Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french
224,10,_____ Datum,das,das Datum,the date,la date,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
225,11,_____ Museum,das,das Museum,the museum,le musée,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
226,12,_____ Gymnasium,das,das Gymnasium,the high school,le lycée,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
227,13,_____ Publikum,das,das Publikum,the audience,le public,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
228,10,_____ Album,das,das Album,the album,l'album,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
229,11,_____ Medium,das,das Medium,the medium,le médium,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
230,12,_____ Stadium,das,das Stadium,the stage,la scène,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
231,13,_____ Maximum,das,das Maximum,the maximum,le maximum,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
232,10,_____ Minimum,das,das Minimum,the minimum,le minimum,nouns finishing in -um are Neutrum,les noms se terminant par -um sont Neutres
233,11,_____ Gefühl,das,das Gefühl,the feeling,le sentiment,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
234,12,_____ Geschenk,das,das Geschenk,the gift,le cadeau,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
235,13,_____ Gewölk,das,das Gewölk,the cloud,le nuage,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
236,10,_____ Gebäude,das,das Gebäude,the building,le bâtiment,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
237,11,_____ Getränk,das,das Getränk,the drink,la boisson,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
238,12,_____ Gepäck,das,das Gepäck,the luggage,les bagages,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
239,13,_____ Gebirge,das,das Gebirge,the mountains,les montagnes,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
240,14,_____ Gehör,das,das Gehör,the hearing,l'audience,senses are usually Masculine,les sens sont généralement Masculins
241,14,_____ Gebrauch,der,der Gebrauch,the use,l'utilisation,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
242,14,_____ Gedanke,der,der Gedanke,the thought,la pensée,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
243,14,_____ Gefahr,die,die Gefahr,the danger,le danger,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
244,14,_____ Gemeinde,die,die Gemeinde,the community,la communauté,nouns beginning in Ge- are usually Neutrum,les noms commençant par Ge- sont généralement Neutres
245,14,_____ Zombie,der,der Zombie,the zombie,le zombie,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
246,14,_____ Hippie,der,der Hippie,the hippie,le hippie,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
247,14,_____ Knie,das,das Knie,the knee,le genou,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
248,15,_____ Wein,der,der Wein,the wine,le vin,alcohols are usually Masculine,les alcools sont généralement Masculins
249,16,_____ Champagner,der,der Champagner,the champagne,le champagne,alcohols are usually Masculine,les alcools sont généralement Masculins
250,17,_____ Cocktail,der,der Cocktail,the cocktail,le cocktail,alcohols are usually Masculine,les alcools sont généralement Masculins
251,15,_____ Sekt,der,der Sekt,the sparkling wine,le vin mousseux,alcohols are usually Masculine,les alcools sont généralement Masculins
252,16,_____ Alkohol,der,der Alkohol,the alcohol,l'alcool,alcohols are usually Masculine,les alcools sont généralement Masculins
253,17,_____ Schnaps,der,der Schnaps,the schnapps,le schnaps,alcohols are usually Masculine,les alcools sont généralement Masculins
254,15,_____ Saft,der,der Saft,the juice,le jus,alcohols are usually Masculine,les alcools sont généralement Masculins
255,16,_____ Elephant,der,der Elephant,the elephant,l'éléphant,nouns finishing in -ant are Masculine,les noms se terminant par -ant sont Masculins
256,17,_____ Diamant,der,der Diamant,the diamond,le diamant,nouns finishing in -ant are Masculine,les noms se terminant par -ant sont Masculins
257,15,_____ Emigrant,der,der Emigrant,the emigrant,l'émigrant,nouns finishing in -ant are Masculine,les noms se terminant par -ant sont Masculins
258,16,_____ Praktikant,der,der Praktikant,the intern,le stagiaire,nouns finishing in -ant are Masculine,les noms se terminant par -ant sont Masculins
259,17,_____ Demonstrant,der,der Demonstrant,the demonstrator,le manifestant,nouns finishing in -ant are Masculine,les noms se terminant par -ant sont Masculins
260,15,_____ Lieferant,der,der Lieferant,the supplier,le fournisseur,nouns finishing in -ant are Masculine,les noms se terminant par -ant sont Masculins
261,16,_____ Ingenieur,der,der Ingenieur,the engineer,l'ingénieur,nouns finishing in -eur are Masculine,les noms se terminant par -eur sont Masculins
262,17,_____ Friseur,der,der Friseur,the hairdresser,le coiffeur,nouns finishing in -eur are Masculine,les noms se terminant par -eur sont Masculins
263,15,_____ Chauffeur,der,der Chauffeur,the chauffeur,le chauffeur,nouns finishing in -eur are Masculine,les noms se terminant par -eur sont Masculins
264,16,_____ Amateur,der,der Amateur,the amateur,l'amateur,nouns finishing in -eur are Masculine,les noms se terminant par -eur sont Masculins
265,17,_____ Regisseur,der,der Regisseur,the director,le directeur,nouns finishing in -eur are Masculine,les noms se terminant par -eur sont Masculins
266,15,_____ Jongleur,der,der Jongleur,the juggler,le jongleur,nouns finishing in -eur are Masculine,les noms se terminant par -eur sont Masculins
267,16,_____ Schlaf,der,der Schlaf,the sleep,le sommeil,nouns coming from verbs not finishing in -en or -t are usually Masculine,les noms dérivés de verbes ne se terminant pas par -en ou -t sont généralement Masculins
268,17,_____ Lauf,der,der Lauf,the run,la course,nouns coming from verbs not finishing in -en or -t are usually Masculine,les noms dérivés de verbes ne se terminant pas par -en ou -t sont généralement Masculins
269,15,_____ Ruf,der,der Ruf,the reputation,la réputation,nouns coming from verbs not finishing in -en or -t are usually Masculine,les noms dérivés de verbes ne se terminant pas par -en ou -t sont généralement Masculins
270,16,_____ Wurf,der,der Wurf,the throw,le lancer,nouns coming from verbs not finishing in -en or -t are usually Masculine,les noms dérivés de verbes ne se terminant pas par -en ou -t sont généralement Masculins
271,17,_____ Kampf,der,der Kampf,the fight,le combat,nouns coming from verbs not finishing in -en or -t are usually Masculine,les noms dérivés de verbes ne se terminant pas par -en ou -t sont généralement Masculins
272,15,_____ Etikette,die,die Etikette,the etiquette,l'étiquette,nouns finishing in -ette are Feminine,les noms se terminant par -ette sont Féminins
273,16,_____ Zigarette,die,die Zigarette,the cigarette,la cigarette,nouns finishing in -ette are Feminine,les noms se terminant par -ette sont Féminins
274,17,_____ Vignette,die,die Vignette,the vignette,la vignette,nouns finishing in -ette are Feminine,les noms se terminant par -ette sont Féminins
275,15,_____ Diskette,die,die Diskette,the floppy disk,la disquette,nouns finishing in -ette are Feminine,les noms se terminant par -ette sont Féminins
276,16,_____ Marionette,die,die Marionette,the puppet,la marionnette,nouns finishing in -ette are Feminine,les noms se terminant par -ette sont Féminins
277,17,_____ Kassette,die,die Kassette,the cassette,la cassette,nouns finishing in -ette are Feminine,les noms se terminant par -ette sont Féminins
278,15,_____ Serviette,die,die Serviette,the napkin,la serviette,nouns finishing in -ette are Feminine,les noms se terminant par -ette sont Féminins
279,16,_____ Diskothek,die,die Diskothek,the discotheque,la discothèque,nouns finishing in -thek are Feminine,les noms se terminant par -thek sont Féminins
280,17,_____ Apothek,die,die Apothek,the pharmacy,la pharmacie,nouns finishing in -thek are Feminine,les noms se terminant par -thek sont Féminins
281,15,_____ Bibliothek,die,die Bibliothek,the library,la bibliothèque,nouns finishing in -thek are Feminine,les noms se terminant par -thek sont Féminins
282,16,_____ Vinothek,die,die Vinothek,the wine shop,la cave à vin,nouns finishing in -thek are Feminine,les noms se terminant par -thek sont Féminins
283,17,_____ Videothek,die,die Videothek,the video store,le vidéoclub,nouns finishing in -thek are Feminine,les noms se terminant par -thek sont Féminins
284,15,_____ Hypothek,die,die Hypothek,the mortgage,l'hypothèque,nouns finishing in -thek are Feminine,les noms se terminant par -thek sont Féminins
285,16,_____ Pinakothek,die,die Pinakothek,the Pinakothek,la Pinacothèque,nouns finishing in -thek are Feminine,les noms se terminant par -thek sont Féminins
286,17,_____ Mandarine,die,die Mandarine,the mandarin,la mandarine,nouns finishing in -ine are Feminine,les noms se terminant par -ine sont Féminins
287,15,_____ Violine,die,die Violine,the violin,le violon,nouns finishing in -ine are Feminine,les noms se terminant par -ine sont Féminins
288,16,_____ Lawine,die,die Lawine,the avalanche,l'avalanche,nouns finishing in -ine are Feminine,les noms se terminant par -ine sont Féminins
289,17,_____ Maschine,die,die Maschine,the machine,la machine,nouns finishing in -ine are Feminine,les noms se terminant par -ine sont Féminins
290,15,_____ Marine,die,die Marine,the navy,la marine,nouns finishing in -ine are Feminine,les noms se terminant par -ine sont Féminins
291,16,_____ Fahrt,die,die Fahrt,the ride,le trajet,verbs as nouns finishing in -t are usually Feminine,les verbes utilisés comme noms et se terminant par -t sont généralement Féminins
292,17,_____ Tat,die,die Tat,the act,la loi,verbs as nouns finishing in -t are usually Feminine,les verbes utilisés comme noms et se terminant par -t sont généralement Féminins
293,15,_____ Sicht,die,die Sicht,the view,la vue,verbs as nouns finishing in -t are usually Feminine,les verbes utilisés comme noms et se terminant par -t sont généralement Féminins
294,16,_____ Schlacht,die,die Schlacht,the battle,la bataille,verbs as nouns finishing in -t are usually Feminine,les verbes utilisés comme noms et se terminant par -t sont généralement Féminins
295,17,_____ Arbeit,die,die Arbeit,the work,le travail,verbs as nouns finishing in -t are usually Feminine,les verbes utilisés comme noms et se terminant par -t sont généralement Féminins
296,15,_____ Glas,das,das Glas,the glass,le verre,materials are usually Neutrum,les matériaux sont généralement Neutres
297,16,_____ Gold,das,das Gold,the gold,l'or,materials are usually Neutrum,les matériaux sont généralement Neutres
298,17,_____ Silber,das,das Silber,the silver,l'argent,materials are usually Neutrum,les matériaux sont généralement Neutres
299,15,_____ Papier,das,das Papier,the paper,le papier,materials are usually Neutrum,les matériaux sont généralement Neutres
300,16,_____ Holz,das,das Holz,the wood,le bois,materials are usually Neutrum,les matériaux sont généralement Neutres
301,17,_____ Ergebnis,das,das Ergebnis,the result,le résultat,nouns finishing in -nis are mostly Neutrum,les noms se terminant par -nis sont pour la plupart Neutres
302,15,_____ Zeugnis,das,das Zeugnis,the testimony,le témoignage,nouns finishing in -nis are mostly Neutrum,les noms se terminant par -nis sont pour la plupart Neutres
303,16,_____ Verständnis,das,das Verständnis,the understanding,la compréhension,nouns finishing in -nis are mostly Neutrum,les noms se terminant par -nis sont pour la plupart Neutres
304,17,_____ Ereignis,das,das Ereignis,the event,l'événement,nouns finishing in -nis are mostly Neutrum,les noms se terminant par -nis sont pour la plupart Neutres
305,15,_____ Geheimnis,das,das Geheimnis,the secret,le secret,nouns finishing in -nis are mostly Neutrum,les noms se terminant par -nis sont pour la plupart Neutres
306,18,_____ Bier,das,das Bier,the beer,la bière,alcohols are usually Masculine,les alcools sont généralement Masculins
307,18,_____ Stahl,der,der Stahl,the steel,l'acier,materials are usually Neutrum,les matériaux sont généralement Neutres
308,18,_____ Bronze,die,die Bronze,the bronze,le bronze,materials are usually Neutrum,les matériaux sont généralement Neutres
309,18,_____ Beton,der,der Beton,the concrete,le béton,materials are usually Neutrum,les matériaux sont généralement Neutres
310,18,_____ Seide,die,die Seide,the silk,la soie,materials are usually Neutrum,les matériaux sont généralement Neutres
311,18,_____ Keramik,die,die Keramik,the ceramics,la céramique,materials are usually Neutrum,les matériaux sont généralement Neutres
312,18,_____ Kenntnis,die,die Kenntnis,the knowledge,la connaissance,materials are usually Neutrum,les matériaux sont généralement Neutres
313,18,_____ Erlaubnis,die,die Erlaubnis,the permission,l'autorisation,materials are usually Neutrum,les matériaux sont généralement Neutres
314,18,_____ Wildnis,die,die Wildnis,the wilderness,la nature sauvage,materials are usually Neutrum,les matériaux sont généralement Neutres
315,19,_____ Mercedes,der,der Mercedes,the Mercedes,la Mercedes,car names from brands are Masculine,les noms de voitures des marques sont Masculins
316,20,_____ Toyota,der,der Toyota,the Toyota,la Toyota,car names from brands are Masculine,les noms de voitures des marques sont Masculins
317,21,_____ Tesla,der,der Tesla,the Tesla,la Tesla,car names from brands are Masculine,les noms de voitures des marques sont Masculins
318,22,_____ Citroen,der,der Citroen,the Citroen,la Citroën,car names from brands are Masculine,les noms de voitures des marques sont Masculins
319,19,_____ Subaru,der,der Subaru,the Subaru,la Subaru,car names from brands are Masculine,les noms de voitures des marques sont Masculins
320,20,_____ Stein,der,der Stein,the stone,la pierre,stones are usually Masculine,les pierres sont généralement Masculines
321,21,_____ Diamant,der,der Diamant,the diamond,le diamant,stones are usually Masculine,les pierres sont généralement Masculines
322,22,_____ Saphir,der,der Saphir,the sapphire,le saphir,stones are usually Masculine,les pierres sont généralement Masculines
323,19,_____ Lapislazuli,der,der Lapislazuli,the lapis lazuli,le lapis-lazuli,stones are usually Masculine,les pierres sont généralement Masculines
324,20,_____ Feels,der,der Feels,the feels,les sentiments,stones are usually Masculine,les pierres sont généralement Masculines
325,21,_____ Stern,der,der Stern,the star,la star,objects in space are usually Masculine,les objets dans l'espace sont généralement Masculins
326,22,_____ Mond,der,der Mond,the moon,la lune,objects in space are usually Masculine,les objets dans l'espace sont généralement Masculins
327,19,_____ Asteroid,der,der Asteroid,the asteroid,l'astéroïde,objects in space are usually Masculine,les objets dans l'espace sont généralement Masculins
328,20,_____ Komet,der,der Komet,the comet,la comète,objects in space are usually Masculine,les objets dans l'espace sont généralement Masculins
329,21,_____ Planet,der,der Planet,the planet,la planète,objects in space are usually Masculine,les objets dans l'espace sont généralement Masculins
330,22,_____ Euro,der,der Euro,the euro,l'euro,currencies are usually Masculine,les devises sont généralement Masculines
331,19,_____ Dollar,der,der Dollar,the dollar,le dollar,currencies are usually Masculine,les devises sont généralement Masculines
332,20,_____ Schilling,der,der Schilling,the shilling,le shilling,currencies are usually Masculine,les devises sont généralement Masculines
333,21,_____ Franken,der,der Franken,the Franks,les Francs,currencies are usually Masculine,les devises sont généralement Masculines
334,22,_____ Pfennig,der,der Pfennig,the penny,le sou,currencies are usually Masculine,les devises sont généralement Masculines
335,19,_____ Kapitalismus,der,der Kapitalismus,the capitalism,le capitalisme,nouns finishing in -ismus are Masculine,les noms se terminant par -ismus sont Masculins
336,20,_____ Kommunismus,der,der Kommunismus,the communism,le communisme,nouns finishing in -ismus are Masculine,les noms se terminant par -ismus sont Masculins
337,21,_____ Sozialismus,der,der Sozialismus,the socialism,le socialisme,nouns finishing in -ismus are Masculine,les noms se terminant par -ismus sont Masculins
338,22,_____ Realismus,der,der Realismus,the realism,le réalisme,nouns finishing in -ismus are Masculine,les noms se terminant par -ismus sont Masculins
339,19,_____ Tourismus,der,der Tourismus,the tourism,le tourisme,nouns finishing in -ismus are Masculine,les noms se terminant par -ismus sont Masculins
340,20,_____ Lehrling,der,der Lehrling,the apprentice,l'apprenti,nouns finishing in -ling are Masculine,les noms se terminant par -ling sont Masculins
341,21,_____ Flüchtling,der,der Flüchtling,the refugee,le réfugié,nouns finishing in -ling are Masculine,les noms se terminant par -ling sont Masculins
342,22,_____ Schmetterling,der,der Schmetterling,the butterfly,le papillon,nouns finishing in -ling are Masculine,les noms se terminant par -ling sont Masculins
343,19,_____ Zwilling,der,der Zwilling,the twin,le jumeau,nouns finishing in -ling are Masculine,les noms se terminant par -ling sont Masculins
344,20,_____ Feigling,der,der Feigling,the coward,le lâche,nouns finishing in -ling are Masculine,les noms se terminant par -ling sont Masculins
345,21,_____ Kontrast,der,der Kontrast,the contrast,le contraste,nouns finishing in -ast are Masculine,les noms se terminant par -ast sont Masculins
346,22,_____ Dynast,der,der Dynast,the dynast,la dynastie,nouns finishing in -ast are Masculine,les noms se terminant par -ast sont Masculins
347,19,_____ Fast,der,der Fast,the almost,le presque,nouns finishing in -ast are Masculine,les noms se terminant par -ast sont Masculins
348,20,_____ Gymnast,der,der Gymnast,the gymnast,la gymnaste,nouns finishing in -ast are Masculine,les noms se terminant par -ast sont Masculins
349,21,_____ Enthusiast,der,der Enthusiast,the enthusiast,l'enthousiaste,nouns finishing in -ast are Masculine,les noms se terminant par -ast sont Masculins
350,22,_____ Eins,die,die Eins,the one,le un,numbers are Feminine,les nombres sont Féminins
351,19,_____ Zwei,die,die Zwei,the two,le deux,numbers are Feminine,les nombres sont Féminins
352,20,_____ Drei,die,die Drei,the three,le trois,numbers are Feminine,les nombres sont Féminins
353,21,_____ Vier,die,die Vier,the four,le quatre,numbers are Feminine,les nombres sont Féminins
354,22,_____ Million,die,die Million,the million,le million,numbers are Feminine,les nombres sont Féminins
355,19,_____ Milliarde,die,die Milliarde,the billion,le milliard,numbers are Feminine,les nombres sont Féminins
356,20,_____ Dekade,die,die Dekade,the decade,la décennie,nouns finishing in -ade are Feminine,les noms se terminant par -ade sont Féminins
357,21,_____ Blockade,die,die Blockade,the blockade,le blocus,nouns finishing in -ade are Feminine,les noms se terminant par -ade sont Féminins
358,22,_____ Limonade,die,die Limonade,the lemonade,la limonade,nouns finishing in -ade are Feminine,les noms se terminant par -ade sont Féminins
359,19,_____ Schokolade,die,die Schokolade,the chocolate,le chocolat,nouns finishing in -ade are Feminine,les noms se terminant par -ade sont Féminins
360,20,_____ Parade,die,die Parade,the parade,le défilé,nouns finishing in -ade are Feminine,les noms se terminant par -ade sont Féminins
361,21,_____ Perspektive,die,die Perspektive,the perspective,la perspective,nouns finishing in -ive are Feminine,les noms se terminant par -ive sont Féminins
362,22,_____ Initiative,die,die Initiative,the initiative,l'initiative,nouns finishing in -ive are Feminine,les noms se terminant par -ive sont Féminins
363,19,_____ Alternative,die,die Alternative,the alternative,l'alternative,nouns finishing in -ive are Feminine,les noms se terminant par -ive sont Féminins
364,20,_____ Offensive,die,die Offensive,the offensive,l'offensive,nouns finishing in -ive are Feminine,les noms se terminant par -ive sont Féminins
365,21,_____ Defensive,die,die Defensive,the defense,la défense,nouns finishing in -ive are Feminine,les noms se terminant par -ive sont Féminins
366,22,_____ Intelligenz,die,die Intelligenz,the intelligence,l'intelligence,nouns finishing in -enz are Feminine,les noms se terminant par -enz sont Féminins
367,19,_____ Tendenz,die,die Tendenz,the tendency,la tendance,nouns finishing in -enz are Feminine,les noms se terminant par -enz sont Féminins
368,20,_____ Existenz,die,die Existenz,the existence,l'existence,nouns finishing in -enz are Feminine,les noms se terminant par -enz sont Féminins
369,21,_____ Konkurrenz,die,die Konkurrenz,the competition,la compétition,nouns finishing in -enz are Feminine,les noms se terminant par -enz sont Féminins
370,22,_____ Frequenz,die,die Frequenz,the frequency,la fréquence,nouns finishing in -enz are Feminine,les noms se terminant par -enz sont Féminins
371,19,_____ Arroganz,die,die Arroganz,the arrogance,l'arrogance,nouns finishing in -anz are Feminine,les noms se terminant par -anz sont Féminins
372,20,_____ Distanz,die,die Distanz,the distance,la distance,nouns finishing in -anz are Feminine,les noms se terminant par -anz sont Féminins
373,21,_____ Toleranz,die,die Toleranz,the tolerance,la tolérance,nouns finishing in -anz are Feminine,les noms se terminant par -anz sont Féminins
374,22,_____ Eleganz,die,die Eleganz,the elegance,l'élégance,nouns finishing in -anz are Feminine,les noms se terminant par -anz sont Féminins
375,19,_____ Relevanz,die,die Relevanz,the relevance,la pertinence,nouns finishing in -anz are Feminine,les noms se terminant par -anz sont Féminins
376,20,_____ Analysis,die,die Analysis,the analysis,l'analyse,nouns finishing in -sis are Feminine,les noms se terminant par -sis sont Féminins
377,21,_____ Basis,die,die Basis,the base,la base,nouns finishing in -sis are Feminine,les noms se terminant par -sis sont Féminins
378,22,_____ Thesis,die,die Thesis,the thesis,la thèse,nouns finishing in -sis are Feminine,les noms se terminant par -sis sont Féminins
379,19,_____ Dosis,die,die Dosis,the dose,la dose,nouns finishing in -sis are Feminine,les noms se terminant par -sis sont Féminins
380,20,_____ Psychosis,die,die Psychosis,the psychosis,la psychose,nouns finishing in -sis are Feminine,les noms se terminant par -sis sont Féminins
381,21,_____ Krieg,die,die Krieg,the war,la guerre,nouns in the context of war are usually Feminine,les noms dans le contexte de la guerre sont généralement Féminins
382,22,_____ Waffe,die,die Waffe,the weapon,l'arme,nouns in the context of war are usually Feminine,les noms dans le contexte de la guerre sont généralement Féminins
383,19,_____ Kugel,die,die Kugel,the ball,la balle,nouns in the context of war are usually Feminine,les noms dans le contexte de la guerre sont généralement Féminins
384,20,_____ Armee,die,die Armee,the army,l'armée,nouns in the context of war are usually Feminine,les noms dans le contexte de la guerre sont généralement Féminins
385,21,_____ Schlacht,die,die Schlacht,the battle,la bataille,nouns in the context of war are usually Feminine,les noms dans le contexte de la guerre sont généralement Féminins
386,22,_____ Gute,das,das Gute,the good,le bien,abstract adjectives as nouns are Neutrum,les adjectifs abstraits utilisés comme noms sont Neutres
387,19,_____ Böse,das,das Böse,the evil,le mal,abstract adjectives as nouns are Neutrum,les adjectifs abstraits utilisés comme noms sont Neutres
388,20,_____ Neue,das,das Neue,the new,le nouveau,abstract adjectives as nouns are Neutrum,les adjectifs abstraits utilisés comme noms sont Neutres
389,21,_____ Blau,das,das Blau,the blue,le bleu,colors are Neutrum,les couleurs sont Neutres
390,22,_____ Gelb,das,das Gelb,the yellow,le jaune,colors are Neutrum,les couleurs sont Neutres
391,19,_____ Rot,das,das Rot,the red,le rouge,colors are Neutrum,les couleurs sont Neutres
392,20,_____ Grün,das,das Grün,the green,le vert,colors are Neutrum,les couleurs sont Neutres
393,21,_____ Schwarz,das,das Schwarz,the black,le noir,colors are Neutrum,les couleurs sont Neutres
394,23,_____ Sonne,die,die Sonne,the sun,le soleil,objects in space are usually Masculine,les objets dans l'espace sont généralement Masculins
395,23,_____ Mark,die,die Mark,the Mark,le Mark,currencies are usually Masculine,les devises sont généralement Masculines
396,23,_____ Pfund,das,das Pfund,the pound,la livre,currencies are usually Masculine,les devises sont généralement Masculines
397,23,_____ Krone,die,die Krone,the crown,la couronne,currencies are usually Masculine,les devises sont généralement Masculines
