Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
303,12,,Sie hat sich _____ ihren Kollegen verliebt.,in,Sie hat sich in ihren Kollegen verliebt.,She fell in love with her colleague.,Elle est tombée amoureuse de son collègue.,,,verlieben,sich verlieben in,to fall in love with = sich verlieben in + Accusative,tomber amoureux de = sich verlieben in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to fall in love with = sich verlieben in + Accusative<br>to introduce a transformation → in + Acc.,tomber amoureux de = sich verlieben in + Accusatif<br>pour introduire une transformation → in + Acc.
304,12,,Er verliebte sich sofort _____ die Stadt.,in,Er verliebte sich sofort in die Stadt.,He immediately fell in love with the city.,Il est immédiatement tombé amoureux de la ville.,,,verlieben,sich verlieben in,to fall in love with = sich verlieben in + Accusative,tomber amoureux de = sich verlieben in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to fall in love with = sich verlieben in + Accusative<br>to introduce a transformation → in + Acc.,tomber amoureux de = sich verlieben in + Accusatif<br>pour introduire une transformation → in + Acc.
305,12,,"Ich habe mich _____ das Lied verliebt, als ich es zum ersten Mal gehört habe.",in,"Ich habe mich in das Lied verliebt, als ich es zum ersten Mal gehört habe.",I fell in love with the song the first time I heard it.,Je suis tombée amoureuse de cette chanson dès la première écoute.,,,verlieben,sich verlieben in,to fall in love with = sich verlieben in + Accusative,tomber amoureux de = sich verlieben in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to fall in love with = sich verlieben in + Accusative<br>to introduce a transformation → in + Acc.,tomber amoureux de = sich verlieben in + Accusatif<br>pour introduire une transformation → in + Acc.
306,12,,Ich rate dir _____ mehr Bewegung.,zu,Ich rate dir zu mehr Bewegung.,I advise you to exercise more.,Je vous conseille de faire plus d'exercice.,,,raten,raten zu,to advise to = raten zu + Dative,conseiller de = raten zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to advise to = raten zu + Dative<br>to introduce an outcome or direction → zu + Dat.,conseiller de = raten zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
307,12,,Der Arzt hat mir _____ einer Diät geraten.,zu,Der Arzt hat mir zu einer Diät geraten.,The doctor advised me to go on a diet.,Le médecin m'a conseillé de faire un régime.,,,raten,raten zu,to advise to = raten zu + Dative,conseiller de = raten zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to advise to = raten zu + Dative<br>to introduce an outcome or direction → zu + Dat.,conseiller de = raten zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
308,12,,Sie rät ihm _____ einem längeren Urlaub.,zu,Sie rät ihm zu einem längeren Urlaub.,She advises him to take a longer vacation.,Elle lui conseille de prendre des vacances plus longues.,,,raten,raten zu,to advise to = raten zu + Dative,conseiller de = raten zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to advise to = raten zu + Dative<br>to introduce an outcome or direction → zu + Dat.,conseiller de = raten zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
309,12,,Ich vertraue _____ meine Fähigkeiten.,auf,Ich vertraue auf meine Fähigkeiten.,I trust in my abilities.,J'ai confiance en mes capacités.,,,vertrauen,vertrauen auf,to trust in = vertrauen auf + Accusative,faire confiance à = vertrauen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to trust in = vertrauen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire confiance à = vertrauen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
310,12,,Wir müssen _____ unsere Erfahrung vertrauen.,auf,Wir müssen auf unsere Erfahrung vertrauen.,We must trust in our experience.,Nous devons faire confiance à notre expérience.,,,vertrauen,vertrauen auf,to trust in = vertrauen auf + Accusative,faire confiance à = vertrauen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to trust in = vertrauen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire confiance à = vertrauen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
311,12,,Sie vertraut _____ die Unterstützung ihrer Freunde.,auf,Sie vertraut auf die Unterstützung ihrer Freunde.,She relies on the support of her friends.,Elle compte sur le soutien de ses amis.,,,vertrauen,vertrauen auf,to trust in = vertrauen auf + Accusative,faire confiance à = vertrauen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to trust in = vertrauen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire confiance à = vertrauen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
312,12,,Ich ärgere mich _____ die ständigen Zugverspätungen.,über,Ich ärgere mich über die ständigen Zugverspätungen.,I get annoyed about the constant train delays.,Les retards constants des trains m'agacent.,,,ärgern,sich ärgern über,to get angry about = sich ärgern über + Accusative,se mettre en colère à propos de = sich ärgern über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to get angry about = sich ärgern über + Accusative<br>to introduce an emotional theme → über + Acc.,se mettre en colère à propos de = sich ärgern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
313,12,,Er ärgert sich _____ seine schlechte Note in Mathematik.,über,Er ärgert sich über seine schlechte Note in Mathematik.,He is annoyed about his bad grade in math.,Il est contrarié par sa mauvaise note en maths.,,,ärgern,sich ärgern über,to get angry about = sich ärgern über + Accusative,se mettre en colère à propos de = sich ärgern über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to get angry about = sich ärgern über + Accusative<br>to introduce an emotional theme → über + Acc.,se mettre en colère à propos de = sich ärgern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
314,12,,Sie ärgert sich _____ den Lärm der Baustelle.,über,Sie ärgert sich über den Lärm der Baustelle.,She is annoyed by the noise from the building site.,Elle est agacée par le bruit du chantier.,,,ärgern,sich ärgern über,to get angry about = sich ärgern über + Accusative,se mettre en colère à propos de = sich ärgern über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to get angry about = sich ärgern über + Accusative<br>to introduce an emotional theme → über + Acc.,se mettre en colère à propos de = sich ärgern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
315,12,,"Kannst du bitte _____ meinen Hund aufpassen, während ich weg bin?",auf,"Kannst du bitte auf meinen Hund aufpassen, während ich weg bin?",Can you please take care of my dog while I am away?,Pourriez-vous prendre soin de mon chien pendant mon absence ?,,,aufpassen,aufpassen auf,to watch over = aufpassen auf + Accusative,"veiller sur, surveiller = aufpassen auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to watch over = aufpassen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,"veiller sur, surveiller = aufpassen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
316,12,,Er passt immer _____ seine kleine Schwester auf.,auf,Er passt immer auf seine kleine Schwester auf.,He always takes care of his little sister.,Il prend toujours soin de sa petite sœur.,,,aufpassen,aufpassen auf,to watch over = aufpassen auf + Accusative,"veiller sur, surveiller = aufpassen auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to watch over = aufpassen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,"veiller sur, surveiller = aufpassen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
317,12,,"Ich passe gut _____ meine Sachen auf, wenn ich reise.",auf,"Ich passe gut auf meine Sachen auf, wenn ich reise.",I take good care of my things when I travel.,Je prends grand soin de mes affaires lorsque je voyage.,,,aufpassen,aufpassen auf,to watch over = aufpassen auf + Accusative,"veiller sur, surveiller = aufpassen auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to watch over = aufpassen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,"veiller sur, surveiller = aufpassen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
318,12,,Diese Regel führt _____ Problemen.,zu,Diese Regel führt zu Problemen.,This rule leads to problems.,Cette règle engendre des problèmes.,,,führen,führen zu,to lead to = führen zu + Dative,mener à = führen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to lead to = führen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,mener à = führen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
319,12,,Sein Verhalten führt _____ Missverständnissen.,zu,Sein Verhalten führt zu Missverständnissen.,His behavior leads to misunderstandings.,Son comportement engendre des malentendus.,,,führen,führen zu,to lead to = führen zu + Dative,mener à = führen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to lead to = führen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,mener à = führen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
320,12,,Die neuen Maßnahmen führten _____ einer Verbesserung der Situation.,zu,Die neuen Maßnahmen führten zu einer Verbesserung der Situation.,The new measures led to an improvement in the situation.,Les nouvelles mesures ont permis d'améliorer la situation.,,,führen,führen zu,to lead to = führen zu + Dative,mener à = führen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to lead to = führen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,mener à = führen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
321,12,,Die Menschen fliehen _____ der Gewalt in ihrer Heimat.,vor,Die Menschen fliehen vor der Gewalt in ihrer Heimat.,The people are fleeing from the violence in their homeland.,Les gens fuient les violences qui sévissent dans leur pays.,,,fliehen,fliehen vor,to flee from = fliehen vor + Dative,fuir quelque chose = fliehen vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to flee from = fliehen vor + Dative<br>to introduce an object of danger → vor + Dat.,fuir quelque chose = fliehen vor + Datif<br>pour introduire un danger → vor + Dat.
322,12,,Er ist _____ der Gefahr in Sicherheit geflohen.,vor,Er ist vor der Gefahr in Sicherheit geflohen.,He fled to safety from the danger.,Il s'est enfui pour se mettre à l'abri du danger.,,,fliehen,fliehen vor,to flee from = fliehen vor + Dative,fuir quelque chose = fliehen vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to flee from = fliehen vor + Dative<br>to introduce an object of danger → vor + Dat.,fuir quelque chose = fliehen vor + Datif<br>pour introduire un danger → vor + Dat.
323,12,,Sie flohen _____ dem Krieg in ein anderes Land.,vor,Sie flohen vor dem Krieg in ein anderes Land.,They fled from the war to another country.,Ils ont fui la guerre pour se réfugier dans un autre pays.,,,fliehen,fliehen vor,to flee from = fliehen vor + Dative,fuir quelque chose = fliehen vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to flee from = fliehen vor + Dative<br>to introduce an object of danger → vor + Dat.,fuir quelque chose = fliehen vor + Datif<br>pour introduire un danger → vor + Dat.
324,12,,Ich fürchte mich _____ großen Spinnen.,vor,Ich fürchte mich vor großen Spinnen.,I am afraid of large spiders.,J'ai peur des grosses araignées.,,,fürchten,sich fürchten vor,to be afraid of = sich fürchten vor + Dative,avoir peur de = sich fürchten vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to be afraid of = sich fürchten vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = sich fürchten vor + Datif<br>pour introduire un danger → vor + Dat.
325,12,,Sie fürchtet sich _____ den Folgen ihrer Entscheidung.,vor,Sie fürchtet sich vor den Folgen ihrer Entscheidung.,She is afraid of the consequences of her decision.,Elle a peur des conséquences de sa décision.,,,fürchten,sich fürchten vor,to be afraid of = sich fürchten vor + Dative,avoir peur de = sich fürchten vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to be afraid of = sich fürchten vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = sich fürchten vor + Datif<br>pour introduire un danger → vor + Dat.
326,12,,Er fürchtet sich _____ dem Fliegen.,vor,Er fürchtet sich vor dem Fliegen.,He is afraid of flying.,Il a peur de l'avion.,,,fürchten,sich fürchten vor,to be afraid of = sich fürchten vor + Dative,avoir peur de = sich fürchten vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to be afraid of = sich fürchten vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = sich fürchten vor + Datif<br>pour introduire un danger → vor + Dat.
327,12,,"Ich konzentriere mich _____ meine Aufgaben, um effizienter zu arbeiten.",auf,"Ich konzentriere mich auf meine Aufgaben, um effizienter zu arbeiten.",I focus on my tasks to work more efficiently.,Je me concentre sur mes tâches pour travailler plus efficacement.,,,konzentrieren,konzentrieren auf,to concentrate on = konzentrieren auf + Accusative,se concentrer sur = konzentrieren auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to concentrate on = konzentrieren auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,se concentrer sur = konzentrieren auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
328,12,,Die Mannschaft konzentriert sich _____ das nächste Spiel.,auf,Die Mannschaft konzentriert sich auf das nächste Spiel.,The team is focusing on the next game.,L'équipe se concentre sur le prochain match.,,,konzentrieren,konzentrieren auf,to concentrate on = konzentrieren auf + Accusative,se concentrer sur = konzentrieren auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to concentrate on = konzentrieren auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,se concentrer sur = konzentrieren auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
329,12,,Sie konzentriert sich voll _____ ihre Abschlussprüfung.,auf,Sie konzentriert sich voll auf ihre Abschlussprüfung.,She is fully focused on her final exam.,Elle est pleinement concentrée sur son examen final.,,,konzentrieren,konzentrieren auf,to concentrate on = konzentrieren auf + Accusative,se concentrer sur = konzentrieren auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to concentrate on = konzentrieren auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,se concentrer sur = konzentrieren auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
330,12,,Das Parfüm riecht _____ Rosen.,nach,Das Parfüm riecht nach Rosen.,The perfume smells like roses.,Le parfum sent la rose.,,,riechen,riechen nach,to smell like = riechen nach + Dative,sentir comme = riechen nach + Datif,to introduce the object of a sense → nach + Dat.,"pour introduire l'objet d'un sens (odorat, goût) → nach + Dat.",to smell like = riechen nach + Dative<br>to introduce the object of a sense → nach + Dat.,"sentir comme = riechen nach + Datif<br>pour introduire l'objet d'un sens (odorat, goût) → nach + Dat."
331,12,,Der Raum riecht _____ frischer Farbe.,nach,Der Raum riecht nach frischer Farbe.,The room smells like fresh paint.,La pièce sent la peinture fraîche.,,,riechen,riechen nach,to smell like = riechen nach + Dative,sentir comme = riechen nach + Datif,to introduce the object of a sense → nach + Dat.,"pour introduire l'objet d'un sens (odorat, goût) → nach + Dat.",to smell like = riechen nach + Dative<br>to introduce the object of a sense → nach + Dat.,"sentir comme = riechen nach + Datif<br>pour introduire l'objet d'un sens (odorat, goût) → nach + Dat."
332,12,,Die Küche riecht _____ gebackenem Kuchen.,nach,Die Küche riecht nach gebackenem Kuchen.,The kitchen smells of baked cake.,La cuisine embaume le gâteau tout juste sorti du four.,,,riechen,riechen nach,to smell like = riechen nach + Dative,sentir comme = riechen nach + Datif,to introduce the object of a sense → nach + Dat.,"pour introduire l'objet d'un sens (odorat, goût) → nach + Dat.",to smell like = riechen nach + Dative<br>to introduce the object of a sense → nach + Dat.,"sentir comme = riechen nach + Datif<br>pour introduire l'objet d'un sens (odorat, goût) → nach + Dat."
333,12,,Er stammt _____ einer kleinen Stadt in Bayern.,aus,Er stammt aus einer kleinen Stadt in Bayern.,He comes from a small town in Bavaria.,Il vient d'une petite ville de Bavière.,,,stammen,stammen aus,"to come from, to originate from = stammen aus + Dative","venir de, avoir pour origine = stammen aus + Datif",to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,"to come from, to originate from = stammen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.","venir de, avoir pour origine = stammen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat."
334,12,,Das Buch stammt _____ dem 18. Jahrhundert.,aus,Das Buch stammt aus dem 18. Jahrhundert.,The book is from the 18th century.,Ce livre date du XVIIIe siècle.,,,stammen,stammen aus,"to come from, to originate from = stammen aus + Dative","venir de, avoir pour origine = stammen aus + Datif",to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,"to come from, to originate from = stammen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.","venir de, avoir pour origine = stammen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat."
335,12,,Diese Tradition stammt _____ dem Mittelalter.,aus,Diese Tradition stammt aus dem Mittelalter.,This tradition dates back to the Middle Ages.,Cette tradition remonte au Moyen Âge.,,,stammen,stammen aus,"to come from, to originate from = stammen aus + Dative","venir de, avoir pour origine = stammen aus + Datif",to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,"to come from, to originate from = stammen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.","venir de, avoir pour origine = stammen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat."
336,12,,"Ich verzichte _____ den Nachtisch, weil ich keinen Hunger habe.",auf,"Ich verzichte auf den Nachtisch, weil ich keinen Hunger habe.",I am skipping dessert because I am not hungry.,Je ne prends pas de dessert car je n'ai pas faim.,,,verzichten,verzichten auf,to renounce = verzichten auf + Accusative,renoncer = verzichten auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to renounce = verzichten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,renoncer = verzichten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
337,12,,"Viele Menschen verzichten _____ Plastik, um die Umwelt zu schützen.",auf,"Viele Menschen verzichten auf Plastik, um die Umwelt zu schützen.",Many people avoid plastic to protect the environment.,De nombreuses personnes évitent le plastique pour protéger l'environnement.,,,verzichten,verzichten auf,to renounce = verzichten auf + Accusative,renoncer = verzichten auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to renounce = verzichten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,renoncer = verzichten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
338,12,,Er verzichtet aus gesundheitlichen Gründen _____ Alkohol.,auf,Er verzichtet aus gesundheitlichen Gründen auf Alkohol.,He abstains from alcohol for health reasons.,Il s'abstient de consommer de l'alcool pour des raisons de santé.,,,verzichten,verzichten auf,to renounce = verzichten auf + Accusative,renoncer = verzichten auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to renounce = verzichten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,renoncer = verzichten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
339,12,,Sie berichtete _____ ihren Erlebnissen während des Auslandssemesters.,von,Sie berichtete von ihren Erlebnissen während des Auslandssemesters.,She talked about her experiences during the semester abroad.,Elle a parlé de son expérience durant son semestre à l'étranger.,,,berichten,berichten von,"to report on (something personal, an experience) = berichten von + Dative","faire un compte rendu (de quelque chose de personnel, d'une expérience) = berichten von + Datif",,,"to report on (something personal, an experience) = berichten von + Dative","faire un compte rendu (de quelque chose de personnel, d'une expérience) = berichten von + Datif"
340,12,,Er hat _____ seinem ersten Arbeitstag berichtet.,von,Er hat von seinem ersten Arbeitstag berichtet.,He reported on his first day at work.,Il a fait son rapport le premier jour de travail.,,,berichten,berichten von,"to report on (something personal, an experience) = berichten von + Dative","faire un compte rendu (de quelque chose de personnel, d'une expérience) = berichten von + Datif",,,"to report on (something personal, an experience) = berichten von + Dative","faire un compte rendu (de quelque chose de personnel, d'une expérience) = berichten von + Datif"
341,12,,Ich möchte dir _____ meiner Reise nach Norwegen berichten.,von,Ich möchte dir von meiner Reise nach Norwegen berichten.,I would like to tell you about my trip to Norway.,Je voudrais vous parler de mon voyage en Norvège.,,,berichten,berichten von,"to report on (something personal, an experience) = berichten von + Dative","faire un compte rendu (de quelque chose de personnel, d'une expérience) = berichten von + Datif",,,"to report on (something personal, an experience) = berichten von + Dative","faire un compte rendu (de quelque chose de personnel, d'une expérience) = berichten von + Datif"
342,12,,Die Medien berichten ausführlich _____ den aktuellen Konflikt.,über,Die Medien berichten ausführlich über den aktuellen Konflikt.,The media report extensively on the current conflict.,Les médias couvrent largement le conflit actuel.,,,berichten,berichten über,to report on (something objective) = berichten über + Accusative,faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to report on (something objective) = berichten über + Accusative<br>to introduce a general subject → über + Acc.,faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif<br>pour introduire un sujet général → über + Acc.
343,12,,Die Zeugin berichtete _____ den Unfallhergang.,über,Die Zeugin berichtete über den Unfallhergang.,The witness reported on how the accident happened.,Le témoin a relaté comment l'accident s'est produit.,,,berichten,berichten über,to report on (something objective) = berichten über + Accusative,faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to report on (something objective) = berichten über + Accusative<br>to introduce a general subject → über + Acc.,faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif<br>pour introduire un sujet général → über + Acc.
344,12,,Er berichtet regelmäßig _____ technische Neuerungen in seinem Blog.,über,Er berichtet regelmäßig über technische Neuerungen in seinem Blog.,He regularly reports on technical innovations in his blog.,Il publie régulièrement des articles sur les innovations techniques sur son blog.,,,berichten,berichten über,to report on (something objective) = berichten über + Accusative,faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to report on (something objective) = berichten über + Accusative<br>to introduce a general subject → über + Acc.,faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif<br>pour introduire un sujet général → über + Acc.
345,13,B1,warnen _____,vor,warnen vor,to warn of,avertir de,Dative,Datif,warnen,warnen vor,to warn of = warnen vor + Dative,avertir de = warnen vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to warn of = warnen vor + Dative<br>to introduce an object of danger → vor + Dat.,avertir de = warnen vor + Datif<br>pour introduire un danger → vor + Dat.
346,13,B1,sich erholen _____,von,sich erholen von,to recover from,se remettre de,Dative,Datif,erholen,sich erholen von,to recover from = sich erholen von + Dative,se remettre de = sich erholen von + Datif,to introduce an origin or a starting point → von + Dat.,pour introduire une origine ou un point de départ → von + Dat.,to recover from = sich erholen von + Dative<br>to introduce an origin or a starting point → von + Dat.,se remettre de = sich erholen von + Datif<br>pour introduire une origine ou un point de départ → von + Dat.
347,13,B1,wirken _____,auf,wirken auf,"to affect, to have an effect on","affecter, avoir un effet sur",Accusative,Accusatif,wirken,wirken auf,"to affect, to have an effect on = wirken auf + Accusative","affecter, avoir un effet sur = wirken auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to affect, to have an effect on = wirken auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.","affecter, avoir un effet sur = wirken auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
348,13,B1,teilnehmen _____,an,teilnehmen an,to participate in,participer à,Dative,Datif,teilnehmen,teilnehmen an,to participate in = teilnehmen an + Dative,participer à = teilnehmen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to participate in = teilnehmen an + Dative<br>to introduce a point of reference → an + Dat.,participer à = teilnehmen an + Datif<br>pour introduire un point de référence → an + Dat.
349,13,B1,leiden _____,an,leiden an,to suffer from (an ailment),souffrir de (une maladie),Dative,Datif,leiden,leiden an,to suffer from (an ailment) = leiden an + Dative,souffrir de (une maladie) = leiden an + Datif,to introduce a cause → an + Dat.,pour introduire une cause → an + Dat.,to suffer from (an ailment) = leiden an + Dative<br>to introduce a cause → an + Dat.,souffrir de (une maladie) = leiden an + Datif<br>pour introduire une cause → an + Dat.
350,13,B1,leiden _____,unter,leiden unter,to suffer from (circumstances),souffrir de (circonstances),Dative,Datif,leiden,leiden unter,to suffer from (circumstances) = leiden unter + Dative,souffrir de (circonstances) = leiden unter + Datif,to introduce a position of weakness → unter + Dat.,pour introduire une position de faiblesse → unter + Dat.,to suffer from (circumstances) = leiden unter + Dative<br>to introduce a position of weakness → unter + Dat.,souffrir de (circonstances) = leiden unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.
351,13,A2,streiten _____,um,streiten um,"to argue about (something concrete), to argue over","se disputer à propos de (quelque chose de concret), se disputer sur",Accusative,Accusatif,streiten,streiten um,"to argue about (something concrete), to argue over = streiten um + Accusative","se disputer à propos de (quelque chose de concret), se disputer sur = streiten um + Accusatif",to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,"to argue about (something concrete), to argue over = streiten um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.","se disputer à propos de (quelque chose de concret), se disputer sur = streiten um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc."
352,13,A2,streiten _____,über,streiten über,to argue about (something abstract),se disputer à propos de (quelque chose d'abstrait),Accusative,Accusatif,streiten,streiten über,to argue about (something abstract) = streiten über + Accusative,se disputer à propos de (quelque chose d'abstrait) = streiten über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to argue about (something abstract) = streiten über + Accusative<br>to introduce an emotional theme → über + Acc.,se disputer à propos de (quelque chose d'abstrait) = streiten über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
353,13,A2,streiten _____,mit,streiten mit,to argue with,se disputer avec,Dative,Datif,streiten,streiten mit,to argue with = streiten mit + Dative,se disputer avec = streiten mit + Datif,to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to argue with = streiten mit + Dative<br>to introduce a partner → mit + Dat.,se disputer avec = streiten mit + Datif<br>pour introduire un partenaire → mit + Dat.
354,13,B1,vorbereiten _____,auf,vorbereiten auf,to prepare oneself for,se préparer à,Accusative,Accusatif,vorbereiten,vorbereiten auf,to prepare oneself for = vorbereiten auf + Accusative,se préparer à = vorbereiten auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to prepare oneself for = vorbereiten auf + Accusative<br>to introduce something in the future → auf + Acc.,se préparer à = vorbereiten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
355,13,B1,weinen _____,über,weinen über,to cry about,pleurer à propos,Accusative,Accusatif,weinen,weinen über,to cry about = weinen über + Accusative,pleurer à propos = weinen über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to cry about = weinen über + Accusative<br>to introduce an emotional theme → über + Acc.,pleurer à propos = weinen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
