Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,chatgpt
69,3,"Denk bitte _____, die Tür abzuschließen, bevor du gehst.",daran,"Denk bitte daran, die Tür abzuschließen, bevor du gehst.",Please remember to lock the door before you leave.,Pense à fermer la porte avant de partir.,"to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.",an from denken an etwas.
70,3,"Die Regierung arbeitet _____, die Bürokratie zu reduzieren.",daran,"Die Regierung arbeitet daran, die Bürokratie zu reduzieren.",The government is working to reduce bureaucracy.,Le gouvernement travaille à réduire la bureaucratie.,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an + Dat.,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an + Dat.,an used with an etwas arbeiten + infinitive goal.
71,3,"Man erkennt seinen Charakter oft _____, wie er mit Kritik umgeht.",daran,"Man erkennt seinen Charakter oft daran, wie er mit Kritik umgeht.",You often recognize a person's character by how they deal with criticism.,On reconnaît souvent le caractère d’une personne à la manière dont elle gère la critique.,to indicate the characteristic by which something is recognized or noticed → an + Dat.,pour indiquer la caractéristique par laquelle quelque chose est reconnu ou remarqué → an + Dat.,an in etwas an etwas erkennen.
72,3,"Er hat viel Erfahrung, und _____ gehört, dass man auch schwierige Entscheidungen treffen muss.",dazu,"Er hat viel Erfahrung, und dazu gehört, dass man auch schwierige Entscheidungen treffen muss.","He has a lot of experience, and that includes that one must also make difficult decisions.","Il a beaucoup d’expérience, et cela inclut que l’on doive aussi prendre des décisions difficiles.",to belong to = gehören zu + Dative<br>to introduce a combination → zu + Dat.,appartenir à = gehören zu + Datif<br>pour introduire une association → zu + Dat.,zu from zu etwas gehören (“to belong to / be part of something”).
73,3,"Sie hat mir ein paar Dokumente geschickt und _____ gesagt, dass ich sie sofort lesen soll.",dazu,"Sie hat mir ein paar Dokumente geschickt und dazu gesagt, dass ich sie sofort lesen soll.",She sent me a few documents and added that I should read them immediately.,Elle m’a envoyé quelques documents et a ajouté que je devais les lire immédiatement.,"to say something about, to comment about = sagen zu + Dative","dire quelque chose à propos de, commenter à propos de = sagen zu + Datif",zu from zu etwas sagen (“to add / say about something”).
74,3,"Der Bericht enthält viele Daten, aber es ist schwer, _____ zu sagen, was sie genau bedeuten.",dazu,"Der Bericht enthält viele Daten, aber es ist schwer, dazu zu sagen, was sie genau bedeuten.","The report contains a lot of data, but it is hard to say about it what they exactly mean.","Le rapport contient beaucoup de données, mais il est difficile de dire à ce sujet ce qu’elles signifient exactement.","to say something about, to comment about = sagen zu + Dative","dire quelque chose à propos de, commenter à propos de = sagen zu + Datif",zu used with etwas zu etwas sagen.
75,3,"Wir haben einen Plan entwickelt und versuchen jetzt, _____ beizutragen, dass er umgesetzt wird.",dazu,"Wir haben einen Plan entwickelt und versuchen jetzt, dazu beizutragen, dass er umgesetzt wird.",We developed a plan and are now trying to contribute to making sure that it is implemented.,Nous avons élaboré un plan et essayons maintenant de contribuer à ce qu’ il soit mis en œuvre.,to contribute to = beitragen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,contribuer à = beitragen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,zu from zu etwas beitragen (“to contribute to something”).
76,3,"Der Minister setzt sich _____ ein, dass die Reform schnell umgesetzt wird.",dafür,"Der Minister setzt sich dafür ein, dass die Reform schnell umgesetzt wird.",The minister is committed to ensuring that the reform is implemented quickly.,Le ministre s’engage pour que la réforme soit mise en œuvre rapidement.,"to advocate for = sich einsetzen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","militer en faveur de = sich einsetzen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",für from sich für etwas einsetzen (“to advocate for something”).
77,3,"Viele Bürger kämpfen _____, dass die Umwelt besser geschützt wird.",dafür,"Viele Bürger kämpfen dafür, dass die Umwelt besser geschützt wird.",Many citizens fight for environmental protection to be improved.,Beaucoup de citoyens se battent pour que l’environnement soit mieux protégé.,"to fight for (a cause) = kämpfen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","se battre pour (une cause) = kämpfen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",für from für etwas kämpfen (“to fight for something”).
78,3,"Die Organisation sorgt _____, dass alle Teilnehmer informiert werden.",dafür,"Die Organisation sorgt dafür, dass alle Teilnehmer informiert werden.",The organization makes sure that all participants are informed.,L’organisation veille à ce que tous les participants soient informés.,"to care for = sorgen für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","prendre soin de = sorgen für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",für from für etwas sorgen (“to ensure something”).
79,3,"Wir arbeiten hart _____, unsere Ziele zu erreichen.",dafür,"Wir arbeiten hart dafür, unsere Ziele zu erreichen.",We work hard to achieve our goals.,Nous travaillons dur pour atteindre nos objectifs.,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,für expresses purpose or intended result.
80,3,"Er hat viel Zeit investiert _____, das Projekt erfolgreich abzuschließen.",dafür,"Er hat viel Zeit investiert dafür, das Projekt erfolgreich abzuschließen.",He invested a lot of time to complete the project successfully.,Il a investi beaucoup de temps pour terminer le projet avec succès.,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,für indicates effort directed toward a goal.
81,3,"Der größte Vorteil des Systems besteht _____, dass es sehr einfach zu bedienen ist.",darin,"Der größte Vorteil des Systems besteht darin, dass es sehr einfach zu bedienen ist.",The main advantage of the system lies in the fact that it is very easy to use.,Le principal avantage du système réside dans le fait qu’ il est très facile à utiliser.,to consist in = bestehen in + Dative<br>to introduce a condition or a state → in + Dat.,consister en = bestehen in + Datif<br>pour introduire une condition ou un état → in + Dat.,in from in etwas bestehen (“to consist in something”).
82,3,"Seine Aufgabe besteht _____, die Daten regelmäßig zu überprüfen.",darin,"Seine Aufgabe besteht darin, die Daten regelmäßig zu überprüfen.",His task consists in checking the data regularly.,Sa tâche consiste à vérifier régulièrement les données.,to consist in = bestehen in + Dative<br>to introduce a condition or a state → in + Dat.,consister en = bestehen in + Datif<br>pour introduire une condition ou un état → in + Dat.,in from in etwas bestehen with an infinitive clause.
83,3,"Der Fehler liegt _____, dass wir die Risiken unterschätzt haben.",darin,"Der Fehler liegt darin, dass wir die Risiken unterschätzt haben.",The mistake lies in the fact that we underestimated the risks.,L’erreur réside dans le fait que nous avons sous-estimé les risques.,"to lie in, to consist in = liegen in + Dative","to lie in, to consist in = liegen in + Dative",in from in etwas liegen (“to lie in something”).
84,3,"Viele Menschen sehen ihre Verantwortung _____, anderen zu helfen.",darin,"Viele Menschen sehen ihre Verantwortung darin, anderen zu helfen.",Many people see their responsibility in helping others.,Beaucoup de gens voient leur responsabilité dans le fait d’aider les autres.,"to indicate that an object is located <i>in</i>, <i>inside</i> another → in + Dat.","pour indiquer qu'un objet est situé <i>dans</i>, <i>à l'intérieur de</i> un autre → in + Dat.",in from etwas in etwas sehen (“to see something in something”).
85,3,"Seine Stärke liegt _____, komplexe Probleme schnell zu analysieren.",darin,"Seine Stärke liegt darin, komplexe Probleme schnell zu analysieren.",His strength lies in analyzing complex problems quickly.,Sa force réside dans le fait d’analyser rapidement des problèmes complexes.,"to lie in, to consist in = liegen in + Dative","se trouver dans, consister en = liegen in + Datif",in used with in etwas liegen to describe a defining quality.
86,3,"Viele Experten gehen _____ aus, dass die Wirtschaft nächstes Jahr wachsen wird.",davon,"Viele Experten gehen davon aus, dass die Wirtschaft nächstes Jahr wachsen wird.",Many experts assume that the economy will grow next year.,Beaucoup d’experts partent du principe que l’économie croîtra l’année prochaine.,to assume = ausgehen von + Dative<br>to introduce an expectation or a demand → von + Dat.,supposer = ausgehen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,von from von etwas ausgehen (“to assume something”).
87,3,"Sie hat mich _____ überzeugt, das Angebot anzunehmen.",davon,"Sie hat mich davon überzeugt, das Angebot anzunehmen.",She convinced me to accept the offer.,Elle m’a convaincu d’accepter l’offre.,to convince of = überzeugen von + Dative<br>to introduce an expectation or a demand → von + Dat.,convaincre de = überzeugen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,von from jemanden von etwas überzeugen (“to convince someone of something”).
88,3,"Viele Menschen träumen _____, einmal um die Welt zu reisen.",davon,"Viele Menschen träumen davon, einmal um die Welt zu reisen.",Many people dream of traveling around the world one day.,Beaucoup de gens rêvent de faire un jour le tour du monde.,to dream of = träumen von + Dative<br>to introduce an expectation or a demand → von + Dat.,rêver de = träumen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,von from von etwas träumen (“to dream of something”).
89,3,"Viele Menschen hoffen _____, dass sich die wirtschaftliche Lage bald verbessert.",darauf,"Viele Menschen hoffen darauf, dass sich die wirtschaftliche Lage bald verbessert.",Many people hope that the economic situation will improve soon.,Beaucoup de gens espèrent que la situation économique s’améliorera bientôt.,to hope for = hoffen auf + Accusative<br>to introduce something in the future → auf + Acc.,espérer = hoffen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf from auf etwas hoffen (“to hope for something”).
90,3,"Die Studenten warten _____, dass die Ergebnisse veröffentlicht werden.",darauf,"Die Studenten warten darauf, dass die Ergebnisse veröffentlicht werden.",The students are waiting for the results to be published.,Les étudiants attendent que les résultats soient publiés.,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf from auf etwas warten (“to wait for something”).
91,3,"Die Firma bereitet sich _____ vor, neue Produkte auf den Markt zu bringen.",darauf,"Die Firma bereitet sich darauf vor, neue Produkte auf den Markt zu bringen.",The company is preparing to launch new products on the market.,L’entreprise se prépare à lancer de nouveaux produits sur le marché.,to prepare oneself for = vorbereiten auf + Accusative<br>to introduce something in the future → auf + Acc.,se préparer à = vorbereiten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf from sich auf etwas vorbereiten (“to prepare for something”).
92,3,"Ich freue mich _____, dich bald wiederzusehen.",darauf,"Ich freue mich darauf, dich bald wiederzusehen.",I look forward to seeing you again soon.,Je me réjouis de te revoir bientôt.,to look forward to = sich freuen auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre avec impatience = sich freuen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf from sich auf etwas freuen (“to look forward to something”).
93,3,"Die Regierung reagierte _____, dass die Inflation weiter gestiegen war, mit neuen Maßnahmen.",darauf,"Die Regierung reagierte darauf, dass die Inflation weiter gestiegen war, mit neuen Maßnahmen.",The government reacted to the fact that inflation had continued to rise with new measures.,Le gouvernement a réagi au fait que l’inflation avait encore augmenté par de nouvelles mesures.,to react to = reagieren auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,réagir à = reagieren auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,auf from auf etwas reagieren (“to react to something”).
94,4,_____ arbeitest du im Moment?,Woran,Woran arbeitest du im Moment?,What are you working on at the moment?,À quoi travailles-tu en ce moment ?,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an + Dat.,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an + Dat.,an from an etwas arbeiten (“to work on something”).
95,4,"Sie fragte mich, _____ ich ihn sofort erkannt habe.",woran,"Sie fragte mich, woran ich ihn sofort erkannt habe.",She asked me by what I recognized him immediately.,Elle m’a demandé à quoi je l’avais reconnu immédiatement.,to indicate the characteristic by which something is recognized or noticed → an + Dat.,pour indiquer la caractéristique par laquelle quelque chose est reconnu ou remarqué → an + Dat.,an from etwas an etwas erkennen (“to recognize something by something”).
96,4,"_____ denkst du, wenn du dieses Lied hörst?",Woran,"Woran denkst du, wenn du dieses Lied hörst?",What do you think about when you hear this song?,À quoi penses-tu quand tu entends cette chanson ?,"to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.",an from an etwas denken (“to think about something”).
97,4,_____ wartest du noch?,Worauf,Worauf wartest du noch?,What are you still waiting for?,Qu’est-ce que tu attends encore ?,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf from auf etwas warten (“to wait for something”).
98,4,"Er fragte mich, _____ ich mich am meisten freue.",worauf,"Er fragte mich, worauf ich mich am meisten freue.",He asked me what I am looking forward to the most.,Il m’a demandé de quoi je me réjouissais le plus.,to look forward to = sich freuen auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre avec impatience = sich freuen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf from sich auf etwas freuen (“to look forward to something”).
99,4,_____ basiert diese Entscheidung?,Worauf,Worauf basiert diese Entscheidung?,What is this decision based on?,Sur quoi cette décision est-elle fondée ?,to be based on = basieren auf + Dative<br>to introduce a base or a foundation → auf + Dat.,être basé sur = basieren auf + Datif<br>pour introduire une base ou une fondation → auf + Dat.,auf from auf etwas basieren (“to be based on something”).
100,4,_____ besteht dieses Material?,Woraus,Woraus besteht dieses Material?,What is this material made of?,De quoi est composé ce matériau ?,to consist of = bestehen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,être composé de = bestehen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.,aus from aus etwas bestehen (“to consist of something”).
101,4,"Sie wollte wissen, _____ der Tisch gemacht ist.",woraus,"Sie wollte wissen, woraus der Tisch gemacht ist.",She wanted to know what the table is made of.,Elle voulait savoir de quoi la table est faite.,to indicate a material → aus + Dat.,pour indiquer un matériau → aus + Dat.,aus expresses the material something is made from.
102,4,_____ brauchst du meine Hilfe?,Wobei,Wobei brauchst du meine Hilfe?,What do you need my help with?,Pour quoi as-tu besoin de mon aide ?,the help with = die Hilfe bei + Dative<br>to introduce a context or a situation → bei + Dat.,"l'aide pour, l'aide à = die Hilfe bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.",bei from bei etwas Hilfe brauchen (“to need help with something”).
103,4,_____ ist dieser Fehler entstanden?,Wodurch,Wodurch ist dieser Fehler entstanden?,What did this error arise through?,Par quoi cette erreur s’est-elle produite ?,to indicate an intermediary or a middleman → durch + Acc.,pour désigner un intermédiaire – <i>par l'intermédiaire de</i> → durch + Acc.,durch expresses the cause or mechanism producing a result.
104,4,_____ kann man die Effizienz des Systems verbessern?,Wodurch,Wodurch kann man die Effizienz des Systems verbessern?,By what means can the efficiency of the system be improved?,Par quels moyens peut-on améliorer l’efficacité du système ?,to indicate an intermediary or a middleman → durch + Acc.,pour désigner un intermédiaire – <i>par l'intermédiaire de</i> → durch + Acc.,durch marks the means by which something happens.
105,4,_____ interessierst du dich im Bereich der Wirtschaft?,Wofür,Wofür interessierst du dich im Bereich der Wirtschaft?,What are you interested in in the field of economics?,À quoi t’intéresses-tu dans le domaine de l’économie ?,"to be interested in = sich interessieren für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","s'intéresser à = sich interessieren für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",für from sich für etwas interessieren (“to be interested in something”).
106,4,"Sie fragte mich, _____ ich dieses Geld verwenden will.",wofür,"Sie fragte mich, wofür ich dieses Geld verwenden will.",She asked me what I want to use this money for.,Elle m’a demandé à quoi je voulais utiliser cet argent.,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,für expresses the purpose or intended use.
107,4,_____ bist du in diesem Projekt verantwortlich?,Wofür,Wofür bist du in diesem Projekt verantwortlich?,What are you responsible for in this project?,De quoi es-tu responsable dans ce projet ?,"to be responsible for = verantwortlich für sein + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","être responsable de = verantwortlich für sein + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",für from für etwas verantwortlich sein (“to be responsible for something”).
108,4,_____ bist du eigentlich allergisch?,Wogegen,Wogegen bist du eigentlich allergisch?,What are you allergic to?,À quoi es-tu allergique ?,to be allergic to = allergisch gegen sein + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,to be allergic to = allergisch gegen sein + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,gegen from gegen etwas allergisch sein (“to be allergic to something”).
109,4,_____ protestieren die Studenten heute auf dem Campus?,Wogegen,Wogegen protestieren die Studenten heute auf dem Campus?,What are the students protesting against on campus today?,Contre quoi les étudiants manifestent-ils aujourd’hui sur le campus ?,to protest against = protestieren gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,protester contre = protestieren gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,gegen from gegen etwas protestieren (“to protest against something”).
110,4,_____ besteht der wichtigste Unterschied zwischen diesen beiden Methoden?,Worin,Worin besteht der wichtigste Unterschied zwischen diesen beiden Methoden?,What is the most important difference between these two methods?,En quoi consiste la principale différence entre ces deux méthodes ?,to consist in = bestehen in + Dative<br>to introduce a condition or a state → in + Dat.,to consist in = bestehen in + Dative<br>to introduce a condition or a state → in + Dat.,in from in etwas bestehen (“to consist in something”).
111,4,_____ liegt deiner Meinung nach das größte Risiko dieses Projekts?,Worin,Worin liegt deiner Meinung nach das größte Risiko dieses Projekts?,"In your opinion, what is the greatest risk associated with this project?",En quoi réside selon toi le plus grand risque de ce projet ?,"to lie in, to consist in = liegen in + Dative","to lie in, to consist in = liegen in + Dative",in from in etwas liegen (“to lie in something”).
112,4,"Der Professor fragte die Studenten, _____ sie die Stärke dieser Theorie sehen.",worin,"Der Professor fragte die Studenten, worin sie die Stärke dieser Theorie sehen.",The professor asked the students what they considered to be the strength of this theory.,"Le professeur a demandé aux étudiants quels étaient, selon eux, les points forts de cette théorie.","to indicate that an object is located <i>in</i>, <i>inside</i> another → in + Dat.","pour indiquer qu'un objet est situé <i>dans</i>, <i>à l'intérieur de</i> un autre → in + Dat.",in from etwas in etwas sehen (“to see something in something”).
113,4,"_____ arbeitest du normalerweise, wenn du Daten analysierst?",Womit,"Womit arbeitest du normalerweise, wenn du Daten analysierst?",What do you usually work with when analyzing data?,Avec quoi travailles-tu normalement quand tu analyses des données ?,general translation of <i>with</i> → mit + Dat.,traduction générale de <i>avec</i> → mit + Dat.,mit from mit etwas arbeiten (“to work with something”).
114,4,_____ hat eigentlich niemand gerechnet?,Womit,Womit hat eigentlich niemand gerechnet?,What did nobody reckon with?,Avec quoi personne ne comptait-il ?,"to count on, to expect = rechnen mit + Dative<br>to introduce a partner → mit + Dat.","compter sur, attendre = rechnen mit + Datif<br>pour introduire un partenaire → mit + Dat.",mit from mit etwas rechnen (“to reckon with something”).
115,4,_____ suchst du eigentlich in diesem Archiv?,Wonach,Wonach suchst du eigentlich in diesem Archiv?,What are you actually searching for in this archive?,Que cherches-tu dans ces archives ?,to search for = suchen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"chercher, rechercher = suchen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",nach from nach etwas suchen (“to search for something”).
116,4,"Der Arzt fragte den Patienten, _____ sich die Schmerzen richten.",wonach,"Der Arzt fragte den Patienten, wonach sich die Schmerzen richten.",The doctor asked the patient where the pain was located.,Le médecin a demandé au patient où il avait mal.,"to follow, to adapt to, to be based on = sich richten nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.","suivre, s'adapter à, se baser sur = sich richten nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",nach from sich nach etwas richten (“to depend on / be guided by something”).
117,4,_____ richtet sich diese Entscheidung im Unternehmen?,Wonach,Wonach richtet sich diese Entscheidung im Unternehmen?,What is this decision in the company based on?,Sur quoi se fonde cette décision dans l’entreprise ?,"to follow, to adapt to, to be based on = sich richten nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.","suivre, s'adapter à, se baser sur = sich richten nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",nach from sich nach etwas richten (“to be guided by something”).
118,4,_____ hängt der Erfolg dieses Projekts am meisten ab?,Wovon,Wovon hängt der Erfolg dieses Projekts am meisten ab?,What does the success of this project depend on the most?,De quoi dépend le plus le succès de ce projet ?,to depend on = abhängen von + Dative<br>to introduce an origin or a starting point → von + Dat.,dépendre de = abhängen von + Datif<br>pour introduire une origine ou un point de départ → von + Dat.,von from von etwas abhängen (“to depend on something”).
119,4,"_____ träumst du, wenn du an deine Zukunft denkst?",Wovon,"Wovon träumst du, wenn du an deine Zukunft denkst?",What do you dream of when you think about your future?,De quoi rêves-tu quand tu penses à ton avenir ?,to dream of = träumen von + Dative<br>to introduce an expectation or a demand → von + Dat.,rêver de = träumen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,von from von etwas träumen (“to dream of something”).
120,4,_____ dient dieses Werkzeug genau?,Wozu,Wozu dient dieses Werkzeug genau?,What exactly is this tool used for?,À quoi sert exactement cet outil ?,to serve to = dienen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,servir à = dienen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,zu from zu etwas dienen (“to serve for something”).
121,4,_____ sprechen die beiden Forscher so intensiv?,Worüber,Worüber sprechen die beiden Forscher so intensiv?,What are the two researchers talking about so intensely?,De quoi les deux chercheurs parlent-ils si intensément ?,to talk about = sprechen über + Accusative<br>to introduce a general subject → über + Acc.,parler de = sprechen über + Accusatif<br>pour introduire un sujet général → über + Acc.,über from über etwas sprechen (“to talk about something”).
122,4,"Sie wollte wissen, _____ sich die Teilnehmer während der Diskussion gestritten haben.",worüber,"Sie wollte wissen, worüber sich die Teilnehmer während der Diskussion gestritten haben.",She wanted to know what the participants argued about during the discussion.,Elle voulait savoir de quoi les participants s’étaient disputés pendant la discussion.,to argue about (something abstract) = streiten über + Accusative<br>to introduce an emotional theme → über + Acc.,se disputer à propos de (quelque chose d'abstrait) = streiten über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,über from über etwas streiten (“to argue about something”).
123,4,_____ hast du dich in seinem Vortrag am meisten gewundert?,Worüber,Worüber hast du dich in seinem Vortrag am meisten gewundert?,What did you wonder about the most in his lecture?,De quoi t’es-tu le plus étonné dans son exposé ?,to wonder about = sich wundern über + Accusative<br>to introduce an emotional theme → über + Acc.,"surprendre, s'interroger = sich wundern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",über from sich über etwas wundern (“to be surprised about something”).
124,4,_____ hast du eigentlich am meisten Angst?,Wovor,Wovor hast du eigentlich am meisten Angst?,What are you most afraid of?,De quoi as-tu le plus peur ?,the fear of = die Angst vor + Dative<br>to introduce an object of danger → vor + Dat.,la peur de = die Angst vor + Datif<br>pour introduire un danger → vor + Dat.,vor from Angst vor etwas haben (“to be afraid of something”).
125,4,"Sie fragte mich, _____ sich viele Investoren in dieser Situation fürchten.",wovor,"Sie fragte mich, wovor sich viele Investoren in dieser Situation fürchten.",She asked me what many investors fear in this situation.,Elle m’a demandé de quoi beaucoup d’investisseurs ont peur dans cette situation.,to be afraid of = sich fürchten vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = sich fürchten vor + Datif<br>pour introduire un danger → vor + Dat.,vor from sich vor etwas fürchten (“to fear something”).
126,4,_____ hat dich dein Kollege gestern gewarnt?,Wovor,Wovor hat dich dein Kollege gestern gewarnt?,What did your colleague warn you about yesterday?,De quoi ton collègue t’a-t-il averti hier ?,to warn of = warnen vor + Dative<br>to introduce an object of danger → vor + Dat.,avertir de = warnen vor + Datif<br>pour introduire un danger → vor + Dat.,vor from jemanden vor etwas warnen (“to warn someone about something”).
127,5,"Die Regierung kündigte neue Maßnahmen an, _____ sie besonders die Energiepolitik betonte.",wobei,"Die Regierung kündigte neue Maßnahmen an, wobei sie besonders die Energiepolitik betonte.","The government announced new measures, emphasizing energy policy in particular.","Le gouvernement a annoncé de nouvelles mesures, en mettant particulièrement l’accent sur la politique énergétique.","to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei signals something occurring during the broader action.
128,5,"Er kündigte völlig unerwartet, _____ niemand im Team gerechnet hatte.",womit,"Er kündigte völlig unerwartet, womit niemand im Team gerechnet hatte.","He resigned completely unexpectedly, which nobody on the team had expected.","Il a démissionné de manière totalement inattendue, ce à quoi personne dans l’équipe ne s’attendait.","to count on, to expect = rechnen mit + Dative<br>to introduce a partner → mit + Dat.","compter sur, attendre = rechnen mit + Datif<br>pour introduire un partenaire → mit + Dat.",mit from mit etwas rechnen (“to expect something”).
129,5,"Die Regierung kündigte neue Reformen an, _____ die Opposition sofort kritisch reagierte.",worauf,"Die Regierung kündigte neue Reformen an, worauf die Opposition sofort kritisch reagierte.","The government announced new reforms, to which the opposition immediately reacted critically.","Le gouvernement a annoncé de nouvelles réformes, ce à quoi l’opposition a immédiatement réagi de manière critique.",to react to = reagieren auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,réagir à = reagieren auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,auf from auf etwas reagieren (“to react to something”).
130,5,"Die Firma veröffentlichte ihre Quartalszahlen, _____ der Aktienkurs deutlich stieg.",worauf/woraufhin,"Die Firma veröffentlichte ihre Quartalszahlen, worauf der Aktienkurs deutlich stieg.","The company published its quarterly results, upon which the share price rose significantly.","L’entreprise a publié ses résultats trimestriels, à la suite de quoi le cours de l’action a nettement augmenté.","to introduce a reaction to a signal, an information or a stimuli → auf + Acc.","pour introduire une réaction à un signal, une information ou un stimuli → auf + Acc.",auf reflects a reaction to an event.
131,5,"Er wies auf mehrere Risiken hin, _____ die Investoren besonders achteten.",worauf,"Er wies auf mehrere Risiken hin, worauf die Investoren besonders achteten.","He pointed out several risks, to which the investors paid particular attention.","Il a signalé plusieurs risques, auxquels les investisseurs ont prêté une attention particulière.","to watch, to pay attention to = achten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",prêter attention à = achten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,auf from auf etwas achten (“to pay attention to something”).
132,5,"Sie stellte eine neue Strategie vor, _____ sich das ganze Team einstellen musste.",worauf,"Sie stellte eine neue Strategie vor, worauf sich das ganze Team einstellen musste.","She presented a new strategy, to which the whole team had to adapt.","Elle a présenté une nouvelle stratégie, à laquelle toute l’équipe a dû s’adapter.",to adjust to = sich einstellen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,prêter attention à = achten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,auf from sich auf etwas einstellen (“to adapt to something”).
133,5,"Der Bericht deckte mehrere Unregelmäßigkeiten auf, _____ die Öffentlichkeit heftig diskutierte.",worüber,"Der Bericht deckte mehrere Unregelmäßigkeiten auf, worüber die Öffentlichkeit heftig diskutierte.","The report revealed several irregularities, which the public debated intensely.","Le rapport a révélé plusieurs irrégularités, ce dont le public a vivement débattu.",to discuss about = diskutieren über + Accusative<br>to introduce a general subject → über + Acc.,discuter de = diskutieren über + Accusatif<br>pour introduire un sujet général → über + Acc.,über from über etwas diskutieren (“to discuss something”).
134,5,"Er erzählte eine persönliche Geschichte, _____ viele Zuhörer sichtlich bewegt waren.",worüber,"Er erzählte eine persönliche Geschichte, worüber viele Zuhörer sichtlich bewegt waren.","He told a personal story, which visibly moved many listeners.","Il a raconté une histoire personnelle, ce qui a visiblement ému de nombreux auditeurs.",to indicate a topic – <i>about</i> → über + Acc.,pour indiquer un sujet – <i>à propos de</i> → über + Acc.,über reflects the topic causing the reaction.
