Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
206,5,Er betreut vier Klienten _____ Stunde.,pro,Er betreut vier Klienten pro Stunde.,He sees four clients per hour.,Il voit quatre clients par heure.,"to indicate a recurring, hourly event → pro + Acc.",pour indiquer une récurrence → pro + Acc.,,
207,5,Das Auto fährt 130 km _____ Stunde.,pro,Das Auto fährt 130 km pro Stunde.,The car travels 130 km per hour.,La voiture roule à 130 km par heure.,"to indicate a recurring, hourly event → pro + Acc.",pour indiquer une récurrence → pro + Acc.,,
208,5,Die Maschine produziert 50 Teile _____ Stunde.,pro,Die Maschine produziert 50 Teile pro Stunde.,The machine produces 50 parts per hour.,La machine produit 50 pièces par heure.,"to indicate a recurring, hourly event → pro + Acc.",pour indiquer une récurrence → pro + Acc.,,
209,5,Ich verdiene 20 Euro _____ Stunde im Nebenjob.,pro,Ich verdiene 20 Euro pro Stunde im Nebenjob.,I earn 20 euros per hour from a part-time job.,Je gagne 20 euros de l'heure grâce à un travail à temps partiel.,"to indicate a recurring, hourly event → pro + Acc.",pour indiquer une récurrence → pro + Acc.,,
210,5,Während der Arbeit trinkt sie etwa zwei Tassen Kaffee _____ Stunde.,pro,Während der Arbeit trinkt sie etwa zwei Tassen Kaffee pro Stunde.,She drinks about two cups of coffee per hour while working.,Elle boit environ deux tasses de café par heure pendant qu'elle travaille.,"to indicate a recurring, hourly event → pro + Acc.",pour indiquer une récurrence → pro + Acc.,,
211,5,Ich trinke zwei Liter Wasser _____ Tag.,pro/am,Ich trinke zwei Liter Wasser pro/am Tag.,I drink two liters of water per day.,Je bois deux litres d'eau par jour.,to indicate an event recurring every day or every part of the day → pro + Acc. / an + Dat.,pour indiquer un événement récurrent chaque jour ou chaque partie de la journée → pro + Acc. / an + Dat.,,
212,5,Er arbeitet vier Stunden _____ Tag.,pro/am,Er arbeitet vier Stunden pro/am Tag.,He works four hours per day.,Il travaille quatre heures par jour.,to indicate an event recurring every day or every part of the day → pro + Acc. / an + Dat.,pour indiquer un événement récurrent chaque jour ou chaque partie de la journée → pro + Acc. / an + Dat.,,
213,5,Ich trinke zwei Tassen Kaffee _____ Morgen.,pro/am,Ich trinke zwei Tassen Kaffee pro/am Morgen.,I drink two cups of coffee per morning.,Je bois deux tasses de café par matin.,to indicate an event recurring every day or every part of the day → pro + Acc. / an + Dat.,pour indiquer un événement récurrent chaque jour ou chaque partie de la journée → pro + Acc. / an + Dat.,,
214,5,Sie geht dreimal spazieren _____ Abend.,pro/am,Sie geht dreimal spazieren pro/am Abend.,She goes for three walks per evening.,Elle fait trois promenades par soir.,to indicate an event recurring every day or every part of the day → pro + Acc. / an + Dat.,pour indiquer un événement récurrent chaque jour ou chaque partie de la journée → pro + Acc. / an + Dat.,,
215,5,Wir lernen eine Stunde Deutsch _____ Tag.,pro/am,Wir lernen eine Stunde Deutsch pro/am Tag.,We learn German for one hour per day.,Nous apprenons l'allemand une heure par jour.,to indicate an event recurring every day or every part of the day → pro + Acc. / an + Dat.,pour indiquer un événement récurrent chaque jour ou chaque partie de la journée → pro + Acc. / an + Dat.,,
216,5,Wir haben zweimal _____ Woche Deutschkurs.,pro/in der,Wir haben zweimal pro/in Woche Deutschkurs.,We have German class twice per week.,Nous avons des cours d'allemand deux fois par semaine.,"to indicate an event recurring every year, every month or every week → pro + Acc. / in + Dat.","pour indiquer un événement récurrent chaque année, chaque mois ou chaque semaine → pro + Acc. / in + Dat.",,
217,5,Ich mache einmal _____ Monat einen Ausflug.,pro/im,Ich mache einmal pro/im Monat einen Ausflug.,I go on a trip once per month.,Je pars en voyage une fois par mois.,"to indicate an event recurring every year, every month or every week → pro + Acc. / in + Dat.","pour indiquer un événement récurrent chaque année, chaque mois ou chaque semaine → pro + Acc. / in + Dat.",,
218,5,Er liest drei Bücher _____ Jahr.,pro/im,Er liest drei Bücher pro/im Jahr.,He reads three books a year.,Il lit trois livres par an.,"to indicate an event recurring every year, every month or every week → pro + Acc. / in + Dat.","pour indiquer un événement récurrent chaque année, chaque mois ou chaque semaine → pro + Acc. / in + Dat.",,
219,5,Ich fahre zweimal _____ Monat nach Berlin.,pro/im,Ich fahre zweimal pro/im Monat nach Berlin.,I travel to Berlin twice a month.,Je voyage à Berlin deux fois par mois.,"to indicate an event recurring every year, every month or every week → pro + Acc. / in + Dat.","pour indiquer un événement récurrent chaque année, chaque mois ou chaque semaine → pro + Acc. / in + Dat.",,
220,5,Wir gehen viermal _____ Woche ins Fitnessstudio.,pro/in der,Wir gehen viermal pro/in der Woche ins Fitnessstudio.,We go to the gym four times a week.,Nous allons à la salle de sport quatre fois par semaine.,"to indicate an event recurring every year, every month or every week → pro + Acc. / in + Dat.","pour indiquer un événement récurrent chaque année, chaque mois ou chaque semaine → pro + Acc. / in + Dat.",,
221,5,_____ 2019 begann ich mit dem Deutschkurs.,,2019 begann ich mit dem Deutschkurs.,I started my German course in 2019.,J'ai commencé mon cours d'allemand en 2019.,to introduce a year → no preposition,pour indiquer une année → pas de préposition,,
222,5,_____ 2020 haben wir eine neue Wohnung gefunden.,,2020 haben wir eine neue Wohnung gefunden.,We found a new apartment in 2020.,Nous avons trouvé un nouvel appartement en 2020.,to introduce a year → no preposition,pour indiquer une année → pas de préposition,,
223,5,_____ 2021 ist mein Bruder nach Berlin gezogen.,,2021 ist mein Bruder nach Berlin gezogen.,My brother moved to Berlin in 2021.,Mon frère a déménagé à Berlin en 2021.,to introduce a year → no preposition,pour indiquer une année → pas de préposition,,
224,5,_____ 2018 war ich zum ersten Mal in Deutschland.,,2018 war ich zum ersten Mal in Deutschland.,I visited Germany for the first time in 2018.,J'ai visité l'Allemagne pour la première fois en 2018.,to introduce a year → no preposition,pour indiquer une année → pas de préposition,,
225,5,_____ 2022 hat sie ihr Studium abgeschlossen.,,2022 hat sie ihr Studium abgeschlossen.,She graduated in 2022.,Elle a obtenu son diplôme en 2022.,to introduce a year → no preposition,pour indiquer une année → pas de préposition,,
226,5,_____ Montags gehe ich immer schwimmen.,,Montags gehe ich immer schwimmen.,I always go swimming on Mondays.,Je vais toujours nager le lundi.,to introduce a temporal adverb → no preposition,pour introduire un adverbe temporel → pas de préposition,,
227,5,_____ Abends liest sie gern ein Buch.,,Abends liest sie gern ein Buch.,"In the evenings, she likes to read a book.","Le soir, elle aime lire un livre.",to introduce a temporal adverb → no preposition,pour introduire un adverbe temporel → pas de préposition,,
228,5,_____ Morgens trinkt er zuerst einen Kaffee.,,Morgens trinkt er zuerst einen Kaffee.,"In the morning, he drinks coffee first.","Le matin, il boit d'abord du café.",to introduce a temporal adverb → no preposition,pour introduire un adverbe temporel → pas de préposition,,
229,5,_____ Freitags treffen wir uns im Park.,,Freitags treffen wir uns im Park.,"On Fridays, we meet in the park.","Le vendredi, nous nous retrouvons au parc.",to introduce a temporal adverb → no preposition,pour introduire un adverbe temporel → pas de préposition,,
230,5,_____ Nachmittags mache ich oft einen Spaziergang.,,Nachmittags mache ich oft einen Spaziergang.,"In the afternoons, I often go for a walk.","L'après-midi, je vais souvent me promener.",to introduce a temporal adverb → no preposition,pour introduire un adverbe temporel → pas de préposition,,
231,6,Ich stehe _____ der Haltestelle.,an,Ich stehe an der Haltestelle.,I am standing at the bus stop.,Je suis debout à l'arrêt de bus.,to indicate a position in the immediate vicinity of something → an + Dat.,pour indiquer une position à proximité immédiate de quelque chose → an + Dat.,,
232,6,Wir sitzen _____ Tisch.,am,Wir sitzen am Tisch.,We are sitting at the table.,Nous sommes assis à la table.,to indicate a position in the immediate vicinity of something → an + Dat.,pour indiquer une position à proximité immédiate de quelque chose → an + Dat.,,
233,6,Er wartet _____ Eingang.,am,Er wartet am Eingang.,He's waiting at the entrance.,Il attend à l'entrée.,to indicate a position in the immediate vicinity of something → an + Dat.,pour indiquer une position à proximité immédiate de quelque chose → an + Dat.,,
234,6,Das Haus liegt _____ der Hauptstraße.,an,Das Haus liegt an der Hauptstraße.,The house is on the main road.,La maison est sur la route principale.,to indicate a position in the immediate vicinity of something → an + Dat.,pour indiquer une position à proximité immédiate de quelque chose → an + Dat.,,
235,6,Die Katze schläft _____ Feuer.,am,Die Katze schläft am Feuer.,The cat is sleeping by the fire.,Le chat dort près du feu.,to indicate a position in the immediate vicinity of something → an + Dat.,pour indiquer une position à proximité immédiate de quelque chose → an + Dat.,,
236,6,Wir machen Urlaub _____ Meer.,am,Wir machen Urlaub am Meer.,We are on vacation by the sea.,Nous sommes en vacances à la mer.,"to indicate a position in next to a body of water – Küste, Strand, Meer, See etc. → an + Dat.","pour indiquer une position à côté d'un plan d'eau – Küste, Strand, Meer, See etc. → an + Dat.",,
237,6,Die Kinder spielen _____ Strand.,am,Die Kinder spielen am Strand.,The children play on the beach.,Les enfants jouent sur la plage.,"to indicate a position in next to a body of water – Küste, Strand, Meer, See etc. → an + Dat.","pour indiquer une position à côté d'un plan d'eau – Küste, Strand, Meer, See etc. → an + Dat.",,
238,6,Mein Hotel liegt _____ See.,am,Mein Hotel liegt am See.,My hotel is by the lake.,Mon hôtel est au bord du lac.,"to indicate a position in next to a body of water – Küste, Strand, Meer, See etc. → an + Dat.","pour indiquer une position à côté d'un plan d'eau – Küste, Strand, Meer, See etc. → an + Dat.",,
239,6,Sie wohnt _____ Fluss.,am,Sie wohnt am Fluss.,She lives by the river.,Elle habite près de la rivière.,"to indicate a position in next to a body of water – Küste, Strand, Meer, See etc. → an + Dat.","pour indiquer une position à côté d'un plan d'eau – Küste, Strand, Meer, See etc. → an + Dat.",,
240,6,Es gibt viele schöne Häuser _____ der Küste.,an,Es gibt viele schöne Häuser an der Küste.,There are many beautiful houses on the coast.,Il y a beaucoup de belles maisons sur la côte.,"to indicate a position in next to a body of water – Küste, Strand, Meer, See etc. → an + Dat.","pour indiquer une position à côté d'un plan d'eau – Küste, Strand, Meer, See etc. → an + Dat.",,
241,6,"Ich bleibe heute _____ Hause, weil ich krank bin.",zu,"Ich bleibe heute zu Hause, weil ich krank bin.",I'm staying home today because I'm sick.,Je reste à la maison aujourd'hui parce que je suis malade.,"to indicate a position at home in combination with ""Hause"" → zu + Dat.","pour indiquer une position chez soi en combinaison avec ""Hause"" → zu + Dat.",,
242,6,Am Wochenende sind wir meistens _____ Hause.,zu,Am Wochenende sind wir meistens zu Hause.,We're usually home on weekends.,Nous sommes généralement à la maison le week-end.,"to indicate a position at home in combination with ""Hause"" → zu + Dat.","pour indiquer une position chez soi en combinaison avec ""Hause"" → zu + Dat.",,
243,6,Abends ist sie gern _____ Hause und liest ein Buch.,zu,Abends ist sie gern zu Hause und liest ein Buch.,She likes to stay home in the evenings and read a book.,Elle aime rester à la maison le soir et lire un livre.,"to indicate a position at home in combination with ""Hause"" → zu + Dat.","pour indiquer une position chez soi en combinaison avec ""Hause"" → zu + Dat.",,
244,6,Meine Kinder spielen _____ Hause im Garten.,zu,Meine Kinder spielen zu Hause im Garten.,My children are playing in the garden at home.,Mes enfants jouent dans le jardin à la maison.,"to indicate a position at home in combination with ""Hause"" → zu + Dat.","pour indiquer une position chez soi en combinaison avec ""Hause"" → zu + Dat.",,
245,6,Bist du heute _____ Hause oder unterwegs?,zu,Bist du heute zu Hause oder unterwegs?,Are you at home or on the road today?,Êtes-vous à la maison ou sur la route aujourd'hui ?,"to indicate a position at home in combination with ""Hause"" → zu + Dat.","pour indiquer une position chez soi en combinaison avec ""Hause"" → zu + Dat.",,
246,6,"Zu spät, ich bin schon _____ Lidl.",bei,"Zu spät, ich bin schon bei Lidl.","Too late, I'm already at Lidl.","Trop tard, je suis déjà chez Lidl.",to indicate a position in and with an institution or a company → bei + Dat.,pour indiquer une position dans et avec une institution ou une entreprise → bei + Dat.,,
247,6,Paul ist _____ der Arbeit.,bei,Paul ist bei der Arbeit.,Paul is at work.,Paul est au travail.,to indicate a position in and with an institution or a company → bei + Dat.,pour indiquer une position dans et avec une institution ou une entreprise → bei + Dat.,,
248,6,Ich lerne Deutsch _____ der Volkshochschule,bei,Ich lerne Deutsch bei der Volkshochschule.,I learn German at the adult education center.,J'apprends l'allemand au centre de formation pour adultes.,to indicate a position in and with an institution or a company → bei + Dat.,pour indiquer une position dans et avec une institution ou une entreprise → bei + Dat.,,
249,6,Ich habe mich _____ Arzt gelangweilt.,beim,Ich habe mich beim Arzt gelangweilt.,I was bored at the doctor's place.,Je m'ennuyais chez le médecin.,to indicate a position in and with an institution or a company → bei + Dat.,pour indiquer une position dans et avec une institution ou une entreprise → bei + Dat.,,
250,6,Ich habe mich _____ der Polizei beschwert.,bei,Ich habe mich bei der Polizei beschwert.,I complained to the police.,Je me suis plaint à la police.,to indicate a position in and with an institution or a company → bei + Dat.,pour indiquer une position dans et avec une institution ou une entreprise → bei + Dat.,,
251,6,Wir machen Urlaub _____ der Insel Mallorca.,auf,Wir machen Urlaub auf der Insel Mallorca.,We're on vacation on the island of Mallorca.,Nous sommes en vacances sur l'île de Majorque.,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",,
252,6,Er wohnt _____ dem Land.,auf,Er wohnt auf dem Land.,He lives in the countryside.,Il vit à la campagne.,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",,
253,6,Die Hütte liegt _____ dem Berg.,auf,Die Hütte liegt auf dem Berg.,The cottage is on the mountain.,Le chalet est sur la montagne.,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",,
254,6,Es gibt viele Boote _____ dem See.,auf,Es gibt viele Boote auf dem See.,There are lots of boats on the lake.,Il y a beaucoup de bateaux sur le lac.,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",,
255,6,Die Kinder spielen _____ der Wiese.,auf,Die Kinder spielen auf der Wiese.,The children play in the meadow.,Les enfants jouent dans le pré.,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",,
256,6,Wir sitzen _____ der Terrasse.,auf,Wir sitzen auf der Terrasse.,We sit on the terrace.,Nous nous asseyons sur la terrasse.,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",,
257,6,Die Kinder spielen _____ dem Spielplatz.,auf,Die Kinder spielen auf dem Spielplatz.,The children are playing in the playground.,Les enfants jouent dans la cour de récréation.,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",,
258,6,Viele Leute sind _____ dem Marktplatz.,auf,Viele Leute sind auf dem Marktplatz.,There are lots of people on the market square.,Il y a beaucoup de monde sur la place du marché.,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",,
259,6,Er liest ein Buch _____ dem Balkon.,auf,Er liest ein Buch auf dem Balkon.,He is reading a book on the balcony.,Il lit un livre sur le balcon.,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",,
260,6,Die Touristen machen Fotos _____ dem Rathausplatz.,auf,Die Touristen machen Fotos auf dem Rathausplatz.,The tourists are taking photos on the town hall square.,Les touristes prennent des photos sur la place de la mairie.,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",,
261,6,Wir machen ein Picknick _____ Wald.,im,Wir machen ein Picknick im Wald.,We have a picnic in the forest.,Nous faisons un pique-nique dans la forêt.,to indicate a position in a delimited space in nature → in + Dat.,pour indiquer une position dans un espace délimité dans la nature → in + Dat.,,
262,6,Die Kinder spielen _____ Park.,im,Die Kinder spielen im Park.,The children play in the park.,Les enfants jouent dans le parc.,to indicate a position in a delimited space in nature → in + Dat.,pour indiquer une position dans un espace délimité dans la nature → in + Dat.,,
263,6,Viele Tiere leben _____ den Bergen.,in,Viele Tiere leben in den Bergen.,Many animals live in the mountains.,De nombreux animaux vivent dans les montagnes.,to indicate a position in a delimited space in nature → in + Dat.,pour indiquer une position dans un espace délimité dans la nature → in + Dat.,,
264,6,Er schwinmt _____ See.,im,Er schwimmt im See.,He swims in the lake.,Il nage dans le lac.,to indicate a position in a delimited space in nature → in + Dat.,pour indiquer une position dans un espace délimité dans la nature → in + Dat.,,
265,6,Ich lese gern ein Buch _____ der Natur.,in,Ich lese gern ein Buch in der Natur.,I like to read a book in nature.,J'aime lire un livre dans la nature.,to indicate a position in a delimited space in nature → in + Dat.,pour indiquer une position dans un espace délimité dans la nature → in + Dat.,,
266,6,Ich wohne _____ Deutschland.,in,Ich wohne in Deutschland.,I live in Germany.,Je vis en Allemagne.,"to indicate a position in a country, region or city → in + Dat.","pour indiquer une position dans un pays, une région ou une ville → in + Dat.",,
267,6,Wir sind gerade _____ Berlin.,in,Wir sind gerade in Berlin.,We're in Berlin at the moment.,Nous sommes à Berlin en ce moment.,"to indicate a position in a country, region or city → in + Dat.","pour indiquer une position dans un pays, une région ou une ville → in + Dat.",,
268,6,Er arbeitet _____ Bayern.,in,Er arbeitet in Bayern.,He works in Bavaria.,Il travaille en Bavière.,"to indicate a position in a country, region or city → in + Dat.","pour indiquer une position dans un pays, une région ou une ville → in + Dat.",,
269,6,Sie studiert _____ der Schweiz.,in,Sie studiert in der Schweiz.,She's studying in Switzerland.,Elle étudie en Suisse.,"to indicate a position in a country, region or city → in + Dat.","pour indiquer une position dans un pays, une région ou une ville → in + Dat.",,
270,6,Meine Großeltern leben _____ einem kleinen Dorf.,in,Meine Großeltern leben in einem kleinen Dorf.,My grandparents live in a small village.,Mes grands-parents vivent dans un petit village.,"to indicate a position in a country, region or city → in + Dat.","pour indiquer une position dans un pays, une région ou une ville → in + Dat.",,
271,7,Er stellt das Glas _____ Fenster.,ans,Er stellt das Glas ans Fenster.,He puts the glass by the window.,Il met le verre près de la fenêtre.,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,,
272,7,Wir setzen uns _____ den Tisch.,an,Wir setzen uns an den Tisch.,We sit down at the table.,Nous nous asseyons à table.,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,,
273,7,Ich stelle den Stuhl _____ den Tisch.,an,Ich stelle den Stuhl an den Tisch.,I put the chair at the table.,J'ai mis la chaise à la table.,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,,
274,7,Das Kind läuft _____ den Eingang.,an,Das Kind läuft an den Eingang.,The child runs to the entrance.,L'enfant court vers l'entrée.,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,,
275,7,Sie setzt sich _____ Feuer.,ans,Sie setzt sich ans Feuer.,She sits down by the fire.,Elle s'assoit près du feu.,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,,
276,7,Ich gehe _____ den Strand.,an,Ich gehe an den Strand.,I am going to the beach.,Je vais à la plage.,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",,
277,7,Wir fahren _____ die Nordsee.,an,Wir fahren an die Nordsee.,We are driving to the North Sea.,Nous roulons vers la mer du Nord.,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",,
278,7,Die Touristen fahren _____ den See.,an,Die Touristen fahren an den See.,The tourists go to the lake.,Les touristes vont au lac.,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",,
279,7,"Er geht _____ Meer, um zu schwimmen.",ans,"Er geht ans Meer, um zu schwimmen.",He goes to the sea to swim.,Il va à la mer pour nager.,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",,
280,7,Wir machen einen Spaziergang _____ den Fluss.,an,Wir machen einen Spaziergang an den Fluss.,We go for a walk to the river.,Nous allons nous promener jusqu'à la rivière.,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",,
281,7,Wir fahren _____ die Insel,auf,Wir fahren auf die Insel.,We travel onto the island.,Nous voyageons sur l'île.,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",,
282,7,Wir wandern _____ den Berg.,auf,Wir wandern auf den Berg.,We hike up the mountain.,Nous gravissons la montagne à pied.,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",,
283,7,Die Kinder laufen _____ die Wiese.,auf,Die Kinder laufen auf die Wiese.,The children run to the meadow.,Les enfants courent vers le pré.,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",,
284,7,"Er fährt _____ das Land, um Ruhe zu finden.",auf,"Er fährt auf das Land, um Ruhe zu finden.",He goes to the countryside to find peace and quiet.,Il part à la campagne pour trouver le calme et la tranquillité.,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",,
285,7,"Sie gehen _____ das Feld, um Gemüse zu ernten.",auf,"Sie gehen auf das Feld, um Gemüse zu ernten.",They go to the field to harvest vegetables.,Ils vont au champ pour récolter des légumes.,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",,
286,7,Wir gehen _____ den Marktplatz.,auf,Wir gehen auf den Marktplatz.,We go to the market square.,Nous allons à la place du marché.,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",,
287,7,Sie läuft _____ den Spielplatz.,auf,Sie läuft auf den Spielplatz.,She runs to the playground.,Elle court vers l'aire de jeux.,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",,
288,7,"Ich gehe _____ die Terrasse, um frische Luft zu holen.",auf,"Ich gehe auf die Terrasse, um frische Luft zu holen.",I go out onto the terrace to get some fresh air.,Je sors sur la terrasse pour prendre l'air.,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",,
289,7,Er tritt _____ den Balkon und schaut hinaus.,auf,Er tritt auf den Balkon und schaut hinaus.,He steps onto the balcony and looks out.,Il sort sur le balcon et regarde dehors.,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",,
290,7,Die Kinder rennen _____ den Schulhof.,auf,Die Kinder rennen auf den Schulhof.,The children run into the schoolyard.,Les enfants courent dans la cour de l’école.,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",,
291,7,Das Kind springt _____ Meer.,ins,Das Kind springt ins Meer.,The child jumps into the sea.,L'enfant saute dans la mer.,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,,
292,7,Wir gehen _____ den Wald spazieren.,in,Wir gehen in den Wald spazieren.,We go for a walk in the forest.,Nous allons nous promener dans la forêt.,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,,
293,7,Die Kinder laufen _____ den Park.,in,Die Kinder laufen in den Park.,The children run into the park.,Les enfants courent dans le parc.,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,,
294,7,Der Vogel taucht _____ den See.,in,Der Vogel taucht in den See.,The bird is diving into the lake.,L'oiseau plonge dans le lac.,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,,
295,7,Für seine Arbeit muss er _____ die Wildnis gehen.,in,Für seine Arbeit muss er in die Wildnis gehen.,"For his work, he needs to go in the wilderness.","Pour son travail, il doit aller dans le désert.",to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,,
296,7,Wir fahren _____ die Schweiz.,in,Wir fahren in die Schweiz.,We go to Switzerland.,Nous allons en Suisse.,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,,
297,7,Er zieht _____ die Türkei.,in,Er zieht in die Türkei.,He moves to Turkey.,Il déménage en Turquie.,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,,
298,7,Ich reise _____ die USA.,in,Ich reise in die USA.,I'm traveling to the USA.,Je voyage aux États-Unis.,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,,
299,7,Sie fliegt _____ den Iran.,in,Sie fliegt in den Iran.,She flies to Iran.,Elle s'envole pour l'Iran.,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,,
300,7,"Wir gehen _____ den Sudan, um dort zu arbeiten.",in,"Wir gehen in den Sudan, um dort zu arbeiten.",We go to Sudan to work there.,Nous allons au Soudan pour y travailler.,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,,
301,7,Wir fahren _____ Deutschland.,nach,Wir fahren nach Deutschland.,We drive to Germany.,Nous roulons jusqu'en Allemagne.,"to indicate a direction to a country, region or city with no article → nach + Dat.","pour indiquer une direction vers un pays, une région ou une ville sans article → nach + Dat.",,
302,7,Sie fliegt _____ Berlin.,nach,Sie fliegt nach Berlin.,She's flying to Berlin.,Elle s'envole pour Berlin.,"to indicate a direction to a country, region or city with no article → nach + Dat.","pour indiquer une direction vers un pays, une région ou une ville sans article → nach + Dat.",,
303,7,Ich reise _____ Spanien.,nach,Ich reise nach Spanien.,I'm traveling to Spain.,Je voyage en Espagne.,"to indicate a direction to a country, region or city with no article → nach + Dat.","pour indiquer une direction vers un pays, une région ou une ville sans article → nach + Dat.",,
304,7,Er zieht _____ Bayern.,nach,Er zieht nach Bayern.,He moves to Bavaria.,Il déménage en Bavière.,"to indicate a direction to a country, region or city with no article → nach + Dat.","pour indiquer une direction vers un pays, une région ou une ville sans article → nach + Dat.",,
305,7,Die Familie fliegt _____ Rom.,nach,Die Familie fliegt nach Rom.,The family flies to Rome.,La famille s'envole pour Rome.,"to indicate a direction to a country, region or city with no article → nach + Dat.","pour indiquer une direction vers un pays, une région ou une ville sans article → nach + Dat.",,
