Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
224,8,Sein Duft _____ Vanille blieb lange in der Luft.,nach,Sein Duft nach Vanille blieb lange in der Luft.,His scent of vanilla lingered in the air for a long time.,Son parfum de vanille est resté longtemps dans l’air.,,,der Duft nach,the scent of = der Duft nach + Dative,"l'odeur de, le parfum de = der Duft nach + Datif",to introduce the object of a sense → nach,"pour introduire l'objet d'un sens (odorat, goût) → nach",the scent of = der Duft nach + Dative<br><br>to introduce the object of a sense → nach,"l'odeur de, le parfum de = der Duft nach + Datif<br><br>pour introduire l'objet d'un sens (odorat, goût) → nach"
225,8,Die Trauer _____ den Verlust war überall spürbar.,über,Die Trauer über den Verlust war überall spürbar.,The grief over the loss was palpable everywhere.,La douleur de cette perte était palpable partout.,,,die Trauer über,the grief about = die Trauer über + Accusative,le chagrin à propos de = die Trauer über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the grief about = die Trauer über + Accusative<br><br>to introduce an emotional theme → über,le chagrin à propos de = die Trauer über + Accusatif<br><br>pour introduire un thème émotionnel → über
226,8,Seine Trauer _____ den Tod seines Freundes war tief.,über,Seine Trauer über den Tod seines Freundes war tief.,His grief over the death of his friend was profound.,Son chagrin suite à la mort de son ami était profond.,,,die Trauer über,the grief about = die Trauer über + Accusative,le chagrin à propos de = die Trauer über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the grief about = die Trauer über + Accusative<br><br>to introduce an emotional theme → über,le chagrin à propos de = die Trauer über + Accusatif<br><br>pour introduire un thème émotionnel → über
227,8,Ihre Trauer _____ das Ende der Beziehung war groß.,über,Ihre Trauer über das Ende der Beziehung war groß.,Her grief over the end of the relationship was deep.,Sa tristesse à propos de la fin de la relation était grande.,,,die Trauer über,the grief about = die Trauer über + Accusative,le chagrin à propos de = die Trauer über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the grief about = die Trauer über + Accusative<br><br>to introduce an emotional theme → über,le chagrin à propos de = die Trauer über + Accusatif<br><br>pour introduire un thème émotionnel → über
228,8,Ihre Stimme _____ den Kandidaten machte den Unterschied.,für,Ihre Stimme für den Kandidaten machte den Unterschied.,Her vote for the candidate made the difference.,Son vote pour le candidat a fait la différence.,,,die Stimme für,the vote for = die Stimme für + Accusative,le vote pour = die Stimme für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the vote for = die Stimme für + Accusative<br><br>to introduce an endorsement or an approval → für,le vote pour = die Stimme für + Accusatif<br><br>pour introduire une approbation ou un accord → für
229,8,Die Stimme _____ die Reform wurde einstimmig abgegeben.,für,Die Stimme für die Reform wurde einstimmig abgegeben.,The vote for the reform was unanimous.,Le vote en faveur de la réforme a été unanime.,,,die Stimme für,the vote for = die Stimme für + Accusative,le vote pour = die Stimme für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the vote for = die Stimme für + Accusative<br><br>to introduce an endorsement or an approval → für,le vote pour = die Stimme für + Accusatif<br><br>pour introduire une approbation ou un accord → für
230,8,Seine Stimme _____ das neue Gesetz war entscheidend.,für,Seine Stimme für das neue Gesetz war entscheidend.,His vote for the new law was decisive.,Sa voix pour la nouvelle loi a été décisive.,,,die Stimme für,the vote for = die Stimme für + Accusative,le vote pour = die Stimme für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the vote for = die Stimme für + Accusative<br><br>to introduce an endorsement or an approval → für,le vote pour = die Stimme für + Accusatif<br><br>pour introduire une approbation ou un accord → für
231,8,Die Stimme _____ den Vorschlag wurde laut geäußert.,gegen,Die Stimme gegen den Vorschlag wurde laut geäußert.,The vote against the proposal was expressed loudly.,Le vote contre la proposition s’est exprimé haut et fort.,,,die Stimme gegen,the vote against = die Stimme gegen + Accusative,le vote contre = die Stimme gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the vote against = die Stimme gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,le vote contre = die Stimme gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
232,8,Ihre Stimme _____ den Plan beeinflusste die Entscheidung.,gegen,Ihre Stimme gegen den Plan beeinflusste die Entscheidung.,Her vote against the plan influenced the decision.,Son vote contre le plan a influencé la décision.,,,die Stimme gegen,the vote against = die Stimme gegen + Accusative,le vote contre = die Stimme gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the vote against = die Stimme gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,le vote contre = die Stimme gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
233,8,Seine Stimme _____ die Maßnahme fand viel Zustimmung.,gegen,Seine Stimme gegen die Maßnahme fand viel Zustimmung.,His voice against the measure found much support.,Sa voix contre la mesure a trouvé beaucoup de soutien.,,,die Stimme gegen,the vote against = die Stimme gegen + Accusative,le vote contre = die Stimme gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the vote against = die Stimme gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,le vote contre = die Stimme gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
234,8,"Der Respekt _____ anderen Kulturen ist wichtig, wenn man in einem internationalen Team arbeitet.",vor,"Der Respekt vor anderen Kulturen ist wichtig, wenn man in einem internationalen Team arbeitet.",Respect for other cultures is important when working in an international team.,Le respect des autres cultures est important lorsqu'on travaille dans une équipe internationale.,,,der Respekt vor,the respect for = der Respekt vor + Dative,le respect de = der Respekt vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the respect for = der Respekt vor + Dative<br><br>to introduce an object of danger → vor,le respect de = der Respekt vor + Datif<br><br>pour introduire un danger → vor
235,8,"Der Respekt _____ der Natur zeigt sich darin, wie wir mit unseren Ressourcen umgehen.",vor,"Der Respekt vor der Natur zeigt sich darin, wie wir mit unseren Ressourcen umgehen.",Respect for nature is shown in the way we handle our resources.,Le respect de la nature se voit dans la façon dont nous utilisons nos ressources.,,,der Respekt vor,the respect for = der Respekt vor + Dative,le respect de = der Respekt vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the respect for = der Respekt vor + Dative<br><br>to introduce an object of danger → vor,le respect de = der Respekt vor + Datif<br><br>pour introduire un danger → vor
236,8,"Der Respekt _____ älteren Menschen bedeutet auch, ihre Erfahrungen und Meinungen ernst zu nehmen.",vor,"Der Respekt vor älteren Menschen bedeutet auch, ihre Erfahrungen und Meinungen ernst zu nehmen.",Respect for older people also means taking their experiences and opinions seriously.,Le respect des personnes âgées signifie aussi prendre leurs expériences et leurs opinions au sérieux.,,,der Respekt vor,the respect for = der Respekt vor + Dative,le respect de = der Respekt vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the respect for = der Respekt vor + Dative<br><br>to introduce an object of danger → vor,le respect de = der Respekt vor + Datif<br><br>pour introduire un danger → vor
237,9,das Bemühen _____,um,das Bemühen um,the effort for,l'effort pour,Accusative,Accusatif,das Bemühen um,the effort for = das Bemühen um + Accusative,l'effort pour = das Bemühen um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the effort for = das Bemühen um + Accusative<br><br>to introduce a central object of concern or covetousness → um,l'effort pour = das Bemühen um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
238,9,die Überzeugung _____,von,die Überzeugung von,the conviction of,la conviction de,Dative,Datif,die Überzeugung von,the conviction of = die Überzeugung von + Dative,la conviction de = die Überzeugung von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the conviction of = die Überzeugung von + Dative<br><br>to introduce an expectation or a demand → von,la conviction de = die Überzeugung von + Datif<br><br>pour introduire une attente ou une demande → von
239,9,die Gratulation _____,zu,die Gratulation zu,the congratulations on,les félicitations pour,Dative,Datif,die Gratulation zu,the congratulations on = die Gratulation zu + Dative,les félicitations pour = die Gratulation zu + Datif,to introduce an occasion → zu,pour introduire une occasion → zu,the congratulations on = die Gratulation zu + Dative<br><br>to introduce an occasion → zu,les félicitations pour = die Gratulation zu + Datif<br><br>pour introduire une occasion → zu
240,9,die Fähigkeit _____,zu,die Fähigkeit zu,the ability to,"la capacité de, la capacité à",Dative,Datif,die Fähigkeit zu,the ability to = die Fähigkeit zu + Dative,"la capacité de, la capacité à = die Fähigkeit zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the ability to = die Fähigkeit zu + Dative<br><br>to introduce an outcome or direction → zu,"la capacité de, la capacité à = die Fähigkeit zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
241,9,die Furcht _____,vor,die Furcht vor,the fear of,la peur de,Dative,Datif,die Furcht vor,the fear of = die Furcht vor + Dative,la peur de = die Furcht vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the fear of = die Furcht vor + Dative<br><br>to introduce an object of danger → vor,la peur de = die Furcht vor + Datif<br><br>pour introduire un danger → vor
242,9,die Beschreibung _____,als,die Beschreibung als,the description as,la description comme,Nominative,Nominatif,die Beschreibung als,the description as = die Beschreibung als + Nominative,la description comme = die Beschreibung als + Nominatif,to introduce an identity → als,pour introduire une identité → als,the description as = die Beschreibung als + Nominative<br><br>to introduce an identity → als,la description comme = die Beschreibung als + Nominatif<br><br>pour introduire une identité → als
243,9,die Schuld _____,an,die Schuld an,the guilt for,"la responsabilité pour, la culpabilité pour",Dative,Datif,die Schuld an,the guilt for = die Schuld an + Dative,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif",to introduce a cause → an,pour introduire une cause → an,the guilt for = die Schuld an + Dative<br><br>to introduce a cause → an,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif<br><br>pour introduire une cause → an"
244,9,die Teilnahme _____,an,die Teilnahme an,the participation in,la participation à,Dative,Datif,die Teilnahme an,the participation in = die Teilnahme an + Dative,la participation à = die Teilnahme an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the participation in = die Teilnahme an + Dative<br><br>to introduce a point of reference → an,la participation à = die Teilnahme an + Datif<br><br>pour introduire un point de référence → an
245,9,das Vertrauen _____,auf,das Vertrauen auf,the trust in,la confiance en,Accusative,Accusatif,das Vertrauen auf,the trust in = das Vertrauen auf + Accusative,la confiance en = das Vertrauen auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the trust in = das Vertrauen auf + Accusative<br><br>to introduce an object of focus or a target → auf,la confiance en = das Vertrauen auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
246,9,die Wirkung _____,auf,die Wirkung auf,the effect on,l'effet sur,Accusative,Accusatif,die Wirkung auf,the effect on = die Wirkung auf + Accusative,l'effet sur = die Wirkung auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the effect on = die Wirkung auf + Accusative<br><br>to introduce an object of focus or a target → auf,l'effet sur = die Wirkung auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
247,9,der Kampf _____,für,der Kampf für,the fight for (something abstract),la lutte pour (quelque chose d'abstrait),Accusative,Accusatif,der Kampf für,the fight for (something abstract) = der Kampf für + Accusative,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif,to introduce a purpose or a beneficiary → für,pour introduire un but ou un bénéficiaire → für,the fight for (something abstract) = der Kampf für + Accusative<br><br>to introduce a purpose or a beneficiary → für,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif<br><br>pour introduire un but ou un bénéficiaire → für
248,9,der Kampf _____,um,der Kampf um,the fight for (something concrete),la lutte pour (quelque chose de concret),Accusative,Accusatif,der Kampf um,the fight for (something concrete) = der Kampf um + Accusative,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the fight for (something concrete) = der Kampf um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
249,9,der Streit _____,über,der Streit über,the argument about,la dispute à propos de,Accusative,Accusatif,der Streit über,the argument about = der Streit über + Accusative,la dispute à propos de = der Streit über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the argument about = der Streit über + Accusative<br><br>to introduce a general subject → über,la dispute à propos de = der Streit über + Accusatif<br><br>pour introduire un sujet général → über
250,9,der Streit _____,mit,der Streit mit,the argument with,la dispute avec,Dative,Datif,der Streit mit,the argument with = der Streit mit + Dative,la dispute avec = der Streit mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the argument with = der Streit mit + Dative<br><br>to introduce a partner → mit,la dispute avec = der Streit mit + Datif<br><br>pour introduire un partenaire → mit
251,9,der Streit _____,um,der Streit um,the argument for,la dispute à propos de,Accusative,Accusatif,der Streit um,the argument for = der Streit um + Accusative,la dispute à propos de = der Streit um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the argument for = der Streit um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la dispute à propos de = der Streit um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
252,10,Das Bemühen _____ eine Lösung war spürbar.,um,Das Bemühen um eine Lösung war spürbar.,The effort to find a solution was noticeable.,L’effort pour trouver une solution était perceptible.,,,das Bemühen um,the effort for = das Bemühen um + Accusative,l'effort pour = das Bemühen um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the effort for = das Bemühen um + Accusative<br><br>to introduce a central object of concern or covetousness → um,l'effort pour = das Bemühen um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
253,10,Ihr Bemühen _____ Gerechtigkeit beeindruckte viele.,um,Ihr Bemühen um Gerechtigkeit beeindruckte viele.,Her effort for justice impressed many.,Son effort pour la justice a impressionné plus d’un.,,,das Bemühen um,the effort for = das Bemühen um + Accusative,l'effort pour = das Bemühen um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the effort for = das Bemühen um + Accusative<br><br>to introduce a central object of concern or covetousness → um,l'effort pour = das Bemühen um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
254,10,Sein Bemühen _____ Frieden zeigte sich in seinen Handlungen.,um,Sein Bemühen um Frieden zeigte sich in seinen Handlungen.,His effort for peace was evident in his actions.,Ses efforts pour la paix se voyaient dans ses actions.,,,das Bemühen um,the effort for = das Bemühen um + Accusative,l'effort pour = das Bemühen um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the effort for = das Bemühen um + Accusative<br><br>to introduce a central object of concern or covetousness → um,l'effort pour = das Bemühen um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
255,10,Die Überzeugung _____ der Notwendigkeit der Reform war stark.,von,Die Überzeugung von der Notwendigkeit der Reform war stark.,The conviction of the need for reform was strong.,La conviction de la nécessité d’une réforme était forte.,,,die Überzeugung von,the conviction of = die Überzeugung von + Dative,la conviction de = die Überzeugung von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the conviction of = die Überzeugung von + Dative<br><br>to introduce an expectation or a demand → von,la conviction de = die Überzeugung von + Datif<br><br>pour introduire une attente ou une demande → von
256,10,Seine Überzeugung _____ ihrer Ehrlichkeit blieb unerschütterlich.,von,Seine Überzeugung von ihrer Ehrlichkeit blieb unerschütterlich.,His conviction of her honesty remained unwavering.,Sa conviction de son honnêteté restait inébranlable.,,,die Überzeugung von,the conviction of = die Überzeugung von + Dative,la conviction de = die Überzeugung von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the conviction of = die Überzeugung von + Dative<br><br>to introduce an expectation or a demand → von,la conviction de = die Überzeugung von + Datif<br><br>pour introduire une attente ou une demande → von
257,10,Ihre Überzeugung _____ der Richtigkeit ihrer Entscheidung war fest.,von,Ihre Überzeugung von der Richtigkeit ihrer Entscheidung war fest.,Her conviction about the correctness of her decision was firm.,Sa conviction de la justesse de sa décision était ferme.,,,die Überzeugung von,the conviction of = die Überzeugung von + Dative,la conviction de = die Überzeugung von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the conviction of = die Überzeugung von + Dative<br><br>to introduce an expectation or a demand → von,la conviction de = die Überzeugung von + Datif<br><br>pour introduire une attente ou une demande → von
258,10,Die Gratulation _____ seinem Sieg war ehrlich gemeint.,zu,Die Gratulation zu seinem Sieg war ehrlich gemeint.,The congratulations on his victory were sincere.,Les félicitations pour sa victoire étaient sincères.,,,die Gratulation zu,the congratulations on = die Gratulation zu + Dative,les félicitations pour = die Gratulation zu + Datif,to introduce an occasion → zu,pour introduire une occasion → zu,the congratulations on = die Gratulation zu + Dative<br><br>to introduce an occasion → zu,les félicitations pour = die Gratulation zu + Datif<br><br>pour introduire une occasion → zu
259,10,Ihre Gratulation _____ seiner Beförderung war herzlich.,zu,Ihre Gratulation zu seiner Beförderung war herzlich.,Her congratulations on his promotion were heartfelt.,Ses félicitations pour sa promotion étaient sincères.,,,die Gratulation zu,the congratulations on = die Gratulation zu + Dative,les félicitations pour = die Gratulation zu + Datif,to introduce an occasion → zu,pour introduire une occasion → zu,the congratulations on = die Gratulation zu + Dative<br><br>to introduce an occasion → zu,les félicitations pour = die Gratulation zu + Datif<br><br>pour introduire une occasion → zu
260,10,Seine Gratulation _____ ihrem Erfolg kam von Herzen.,zu,Seine Gratulation zu ihrem Erfolg kam von Herzen.,His congratulations on her success came from the heart.,Ses félicitations pour son succès venaient du cœur.,,,die Gratulation zu,the congratulations on = die Gratulation zu + Dative,les félicitations pour = die Gratulation zu + Datif,to introduce an occasion → zu,pour introduire une occasion → zu,the congratulations on = die Gratulation zu + Dative<br><br>to introduce an occasion → zu,les félicitations pour = die Gratulation zu + Datif<br><br>pour introduire une occasion → zu
261,10,Die Fähigkeit _____ schneller Analyse ist ein Vorteil.,zu,Die Fähigkeit zu schneller Analyse ist ein Vorteil.,The ability for quick analysis is an advantage.,La capacité d’analyse rapide est un avantage.,,,die Fähigkeit zu,the ability to = die Fähigkeit zu + Dative,"la capacité de, la capacité à = die Fähigkeit zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the ability to = die Fähigkeit zu + Dative<br><br>to introduce an outcome or direction → zu,"la capacité de, la capacité à = die Fähigkeit zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
262,10,Ihre Fähigkeit _____ kreativen Lösungen beeindruckte viele.,zu,Ihre Fähigkeit zu kreativen Lösungen beeindruckte viele.,Her ability for creative solutions impressed many.,Sa capacité à trouver des solutions créatives a impressionné plus d’un.,,,die Fähigkeit zu,the ability to = die Fähigkeit zu + Dative,"la capacité de, la capacité à = die Fähigkeit zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the ability to = die Fähigkeit zu + Dative<br><br>to introduce an outcome or direction → zu,"la capacité de, la capacité à = die Fähigkeit zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
263,10,Seine Fähigkeit _____ klarer Kommunikation hilft dem ganzen Team.,zu,Seine Fähigkeit zu klarer Kommunikation hilft dem ganzen Team.,His ability for clear communication helps the whole team.,Sa capacité à communiquer clairement aide toute l’équipe.,,,die Fähigkeit zu,the ability to = die Fähigkeit zu + Dative,"la capacité de, la capacité à = die Fähigkeit zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the ability to = die Fähigkeit zu + Dative<br><br>to introduce an outcome or direction → zu,"la capacité de, la capacité à = die Fähigkeit zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
264,10,Die Furcht _____ der Prüfung ließ ihn nicht schlafen.,vor,Die Furcht vor der Prüfung ließ ihn nicht schlafen.,The fear of the exam kept him awake.,La peur de l’examen le tenait éveillé.,,,die Furcht vor,the fear of = die Furcht vor + Dative,la peur de = die Furcht vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the fear of = die Furcht vor + Dative<br><br>to introduce an object of danger → vor,la peur de = die Furcht vor + Datif<br><br>pour introduire un danger → vor
265,10,Seine Furcht _____ Ablehnung war sichtbar.,vor,Seine Furcht vor Ablehnung war sichtbar.,His fear of rejection was visible.,Sa peur du rejet était visible.,,,die Furcht vor,the fear of = die Furcht vor + Dative,la peur de = die Furcht vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the fear of = die Furcht vor + Dative<br><br>to introduce an object of danger → vor,la peur de = die Furcht vor + Datif<br><br>pour introduire un danger → vor
266,10,Ihre Furcht _____ dem Scheitern hielt sie lange zurück.,vor,Ihre Furcht vor dem Scheitern hielt sie lange zurück.,Her fear of failure held her back for a long time.,Sa peur de l’échec l’a retenue pendant longtemps.,,,die Furcht vor,the fear of = die Furcht vor + Dative,la peur de = die Furcht vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the fear of = die Furcht vor + Dative<br><br>to introduce an object of danger → vor,la peur de = die Furcht vor + Datif<br><br>pour introduire un danger → vor
267,10,Die Beschreibung _____ ein talentierter Künstler passt zu ihm.,als,Die Beschreibung als ein talentierter Künstler passt zu ihm.,The description as a talented artist suits him.,La description d’artiste talentueux lui convient.,,,die Beschreibung als,the description as = die Beschreibung als + Nominative,la description comme = die Beschreibung als + Nominatif,to introduce an identity → als,pour introduire une identité → als,the description as = die Beschreibung als + Nominative<br><br>to introduce an identity → als,la description comme = die Beschreibung als + Nominatif<br><br>pour introduire une identité → als
268,10,Ihre Beschreibung _____ eine zuverlässige Person überzeugt alle.,als,Ihre Beschreibung als eine zuverlässige Person überzeugt alle.,Her description as a reliable person convinces everyone.,Sa description de personne fiable convainc tout le monde.,,,die Beschreibung als,the description as = die Beschreibung als + Nominative,la description comme = die Beschreibung als + Nominatif,to introduce an identity → als,pour introduire une identité → als,the description as = die Beschreibung als + Nominative<br><br>to introduce an identity → als,la description comme = die Beschreibung als + Nominatif<br><br>pour introduire une identité → als
269,10,Seine Beschreibung _____ ein erfahrener Experte ist treffend.,als,Seine Beschreibung als ein erfahrener Experte ist treffend.,His description as an experienced expert is accurate.,Sa description comme un expert expérimenté est juste.,,,die Beschreibung als,the description as = die Beschreibung als + Nominative,la description comme = die Beschreibung als + Nominatif,to introduce an identity → als,pour introduire une identité → als,the description as = die Beschreibung als + Nominative<br><br>to introduce an identity → als,la description comme = die Beschreibung als + Nominatif<br><br>pour introduire une identité → als
270,10,Die Schuld _____ Fehler wurde auf ihn geschoben.,am,Die Schuld am Fehler wurde auf ihn geschoben.,The blame for the mistake was put on him.,La responsabilité de l’erreur lui a été imputée.,,,die Schuld an,the guilt for = die Schuld an + Dative,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif",to introduce a cause → an,pour introduire une cause → an,the guilt for = die Schuld an + Dative<br><br>to introduce a cause → an,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif<br><br>pour introduire une cause → an"
271,10,Er übernahm die Schuld _____ Missverständnis.,am,Er übernahm die Schuld am Missverständnis.,He took the blame for the misunderstanding.,Il a pris la responsabilité du malentendu.,,,die Schuld an,the guilt for = die Schuld an + Dative,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif",to introduce a cause → an,pour introduire une cause → an,the guilt for = die Schuld an + Dative<br><br>to introduce a cause → an,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif<br><br>pour introduire une cause → an"
272,10,Ihre Schuld _____ Unfall konnte nicht eindeutig bewiesen werden.,am,Ihre Schuld am Unfall konnte nicht eindeutig bewiesen werden.,Her fault in the accident could not be clearly proven.,Sa responsabilité dans l’accident n’a pas pu être clairement prouvée.,,,die Schuld an,the guilt for = die Schuld an + Dative,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif",to introduce a cause → an,pour introduire une cause → an,the guilt for = die Schuld an + Dative<br><br>to introduce a cause → an,"la responsabilité pour, la culpabilité pour = die Schuld an + Datif<br><br>pour introduire une cause → an"
273,10,Seine Teilnahme _____ Wettbewerb brachte ihm Anerkennung.,am,Seine Teilnahme am Wettbewerb brachte ihm Anerkennung.,His participation in the competition brought him recognition.,Sa participation au concours lui a valu une reconnaissance.,,,die Teilnahme an,the participation in = die Teilnahme an + Dative,la participation à = die Teilnahme an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the participation in = die Teilnahme an + Dative<br><br>to introduce a point of reference → an,la participation à = die Teilnahme an + Datif<br><br>pour introduire un point de référence → an
274,10,Die Teilnahme _____ der Konferenz war sehr lehrreich.,an,Die Teilnahme an der Konferenz war sehr lehrreich.,The participation in the conference was very educational.,La participation à la conférence a été très instructive.,,,die Teilnahme an,the participation in = die Teilnahme an + Dative,la participation à = die Teilnahme an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the participation in = die Teilnahme an + Dative<br><br>to introduce a point of reference → an,la participation à = die Teilnahme an + Datif<br><br>pour introduire un point de référence → an
275,10,Ihre Teilnahme _____ Projekt führte zu wertvollen Erfahrungen.,am,Ihre Teilnahme am Projekt führte zu wertvollen Erfahrungen.,Her participation in the project led to valuable experiences.,Sa participation au projet a conduit à des expériences précieuses.,,,die Teilnahme an,the participation in = die Teilnahme an + Dative,la participation à = die Teilnahme an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the participation in = die Teilnahme an + Dative<br><br>to introduce a point of reference → an,la participation à = die Teilnahme an + Datif<br><br>pour introduire un point de référence → an
276,10,Das Vertrauen _____ seine Erfahrung ist groß.,auf,Das Vertrauen auf seine Erfahrung ist groß.,The trust in his experience is strong.,La confiance en son expérience est forte.,,,das Vertrauen auf,the trust in = das Vertrauen auf + Accusative,la confiance en = das Vertrauen auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the trust in = das Vertrauen auf + Accusative<br><br>to introduce an object of focus or a target → auf,la confiance en = das Vertrauen auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
277,10,Ihr Vertrauen _____ das Team motiviert alle.,auf,Ihr Vertrauen auf das Team motiviert alle.,Her trust in the team motivates everyone.,Sa confiance dans l’équipe motive tout le monde.,,,das Vertrauen auf,the trust in = das Vertrauen auf + Accusative,la confiance en = das Vertrauen auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the trust in = das Vertrauen auf + Accusative<br><br>to introduce an object of focus or a target → auf,la confiance en = das Vertrauen auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
278,10,Sein Vertrauen _____ die eigene Stärke half ihm in schwierigen Zeiten.,auf,Sein Vertrauen auf die eigene Stärke half ihm in schwierigen Zeiten.,His trust in his own strength helped him in difficult times.,Sa confiance en sa propre force l’a aidé dans les moments difficiles.,,,das Vertrauen auf,the trust in = das Vertrauen auf + Accusative,la confiance en = das Vertrauen auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the trust in = das Vertrauen auf + Accusative<br><br>to introduce an object of focus or a target → auf,la confiance en = das Vertrauen auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
279,10,Die Wirkung _____ die Zuschauer war enorm.,auf,Die Wirkung auf die Zuschauer war enorm.,The effect on the audience was enormous.,L’effet sur le public a été énorme.,,,die Wirkung auf,the effect on = die Wirkung auf + Accusative,l'effet sur = die Wirkung auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the effect on = die Wirkung auf + Accusative<br><br>to introduce an object of focus or a target → auf,l'effet sur = die Wirkung auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
