Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
87,4,Sie ist _____ einem Lehrer verheiratet.,mit,Sie ist mit einem Lehrer verheiratet.,She is married to a teacher.,Elle est mariée à un professeur.,,,verheiratet mit sein,to be married to = verheiratet mit sein + Dative,être marié à = verheiratet mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be married to = verheiratet mit sein + Dative<br><br>to introduce a partner → mit,être marié à = verheiratet mit sein + Datif<br><br>pour introduire un partenaire → mit
88,4,"Mein Onkel ist _____ einer Ärztin verheiratet, die in Berlin arbeitet.",mit,"Mein Onkel ist mit einer Ärztin verheiratet, die in Berlin arbeitet.",My uncle is married to a doctor who works in Berlin.,Mon oncle est marié à une médecin qui travaille à Berlin.,,,verheiratet mit sein,to be married to = verheiratet mit sein + Dative,être marié à = verheiratet mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be married to = verheiratet mit sein + Dative<br><br>to introduce a partner → mit,être marié à = verheiratet mit sein + Datif<br><br>pour introduire un partenaire → mit
89,4,Ich bin traurig _____ das Ende unserer Freundschaft.,über,Ich bin traurig über das Ende unserer Freundschaft.,I am sad about the end of our friendship.,Je suis triste de la fin de notre amitié.,,,traurig über sein,to be sad about = traurig über sein + Accusative,être triste de = traurig über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be sad about = traurig über sein + Accusative<br><br>to introduce an emotional theme → über,être triste de = traurig über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
90,4,Sie ist traurig _____ den Verlust ihres Haustiers.,über,Sie ist traurig über den Verlust ihres Haustiers.,She is sad about the loss of her pet.,Elle est triste de la perte de son animal de compagnie.,,,traurig über sein,to be sad about = traurig über sein + Accusative,être triste de = traurig über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be sad about = traurig über sein + Accusative<br><br>to introduce an emotional theme → über,être triste de = traurig über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
91,4,"Er war sehr traurig _____ die Nachricht, dass sein Lieblingscafé geschlossen wurde.",über,"Er war sehr traurig über die Nachricht, dass sein Lieblingscafé geschlossen wurde.",He was very sad about the news that his favorite café had closed.,Il était très triste d’apprendre que son café préféré avait fermé.,,,traurig über sein,to be sad about = traurig über sein + Accusative,être triste de = traurig über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be sad about = traurig über sein + Accusative<br><br>to introduce an emotional theme → über,être triste de = traurig über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
92,4,Er ist wütend _____ die ungerechte Behandlung.,über,Er ist wütend über die ungerechte Behandlung.,He is angry about the unfair treatment.,Il est en colère à cause du traitement injuste qu’il subit.,,,wütend über sein,to be angry about a situation = wütend über sein + Accusative,être en colère à propos d'une situation = wütend über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be angry about a situation = wütend über sein + Accusative<br><br>to introduce an emotional theme → über,être en colère à propos d'une situation = wütend über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
93,4,Sie ist wütend _____ den schlechten Kundenservice.,über,Sie ist wütend über den schlechten Kundenservice.,She is angry about the poor customer service.,Elle est en colère à cause du mauvais service client.,,,wütend über sein,to be angry about a situation = wütend über sein + Accusative,être en colère à propos d'une situation = wütend über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be angry about a situation = wütend über sein + Accusative<br><br>to introduce an emotional theme → über,être en colère à propos d'une situation = wütend über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
94,4,"Viele Bürger sind wütend _____ die neuen Steuern, die plötzlich eingeführt wurden.",über,"Viele Bürger sind wütend über die neuen Steuern, die plötzlich eingeführt wurden.",Many citizens are angry about the new taxes that were suddenly introduced.,De nombreux citoyens sont en colère à propos des nouvelles taxes qui ont été introduites soudainement.,,,wütend über sein,to be angry about a situation = wütend über sein + Accusative,être en colère à propos d'une situation = wütend über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be angry about a situation = wütend über sein + Accusative<br><br>to introduce an emotional theme → über,être en colère à propos d'une situation = wütend über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
95,4,Ich bin enttäuscht _____ Ergebnis.,vom,Ich bin enttäuscht vom Ergebnis.,I am disappointed with the result.,Je suis déçu du résultat.,,,enttäuscht von sein,to be disappointed by = enttäuscht von sein + Dative,être déçu par = enttäuscht von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be disappointed by = enttäuscht von sein + Dative<br><br>to introduce an expectation or a demand → von,être déçu par = enttäuscht von sein + Datif<br><br>pour introduire une attente ou une demande → von
96,4,Sie war enttäuscht _____ seinem Verhalten.,von,Sie war enttäuscht von seinem Verhalten.,She was disappointed with his behavior.,Elle était déçue par son comportement.,,,enttäuscht von sein,to be disappointed by = enttäuscht von sein + Dative,être déçu par = enttäuscht von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be disappointed by = enttäuscht von sein + Dative<br><br>to introduce an expectation or a demand → von,être déçu par = enttäuscht von sein + Datif<br><br>pour introduire une attente ou une demande → von
97,4,"Wir sind enttäuscht _____ Service im Restaurant, er war wirklich langsam.",vom,"Wir sind enttäuscht vom Service im Restaurant, er war wirklich langsam.",We are disappointed with the service at the restaurant; it was really slow.,"Nous sommes déçus du service au restaurant, il était vraiment lent.",,,enttäuscht von sein,to be disappointed by = enttäuscht von sein + Dative,être déçu par = enttäuscht von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be disappointed by = enttäuscht von sein + Dative<br><br>to introduce an expectation or a demand → von,être déçu par = enttäuscht von sein + Datif<br><br>pour introduire une attente ou une demande → von
98,4,Regelmäßiges Lesen ist hilfreich _____ Lernen neuer Wörter.,beim,Regelmäßiges Lesen ist hilfreich beim Lernen neuer Wörter.,Regular reading is helpful when learning new words.,La lecture régulière est utile pour apprendre de nouveaux mots.,,,enttäuscht von sein,to be disappointed by = enttäuscht von sein + Dative,être déçu par = enttäuscht von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be disappointed by = enttäuscht von sein + Dative<br><br>to introduce an expectation or a demand → von,être déçu par = enttäuscht von sein + Datif<br><br>pour introduire une attente ou une demande → von
99,4,Ein guter Plan ist hilfreich _____ der Vorbereitung auf die Prüfung.,bei,Ein guter Plan ist hilfreich bei der Vorbereitung auf die Prüfung.,A good plan is helpful when preparing for the exam.,Un bon plan est utile pour la préparation à l’examen.,,,enttäuscht von sein,to be disappointed by = enttäuscht von sein + Dative,être déçu par = enttäuscht von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be disappointed by = enttäuscht von sein + Dative<br><br>to introduce an expectation or a demand → von,être déçu par = enttäuscht von sein + Datif<br><br>pour introduire une attente ou une demande → von
100,4,Die App war hilfreich _____ der Organisation meines Alltags.,bei,Die App war hilfreich bei der Organisation meines Alltags.,The app was helpful in organizing my daily life.,L’application a été utile pour l’organisation de mon quotidien.,,,enttäuscht von sein,to be disappointed by = enttäuscht von sein + Dative,être déçu par = enttäuscht von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be disappointed by = enttäuscht von sein + Dative<br><br>to introduce an expectation or a demand → von,être déçu par = enttäuscht von sein + Datif<br><br>pour introduire une attente ou une demande → von
101,5,gewöhnt _____ sein,an,gewöhnt an sein,to be used to,être habitué à,Accusative,Accusatif,gewöhnt an sein,to be used to = gewöhnt an sein + Accusative,être habitué à = gewöhnt an sein + Accusatif,to introduce a point of reference → an,pour introduire un point de référence → an,to be used to = gewöhnt an sein + Accusative<br><br>to introduce a point of reference → an,être habitué à = gewöhnt an sein + Accusatif<br><br>pour introduire un point de référence → an
102,5,schuldig _____ sein,an,schuldig an sein,to be guilty of,être coupable de,Dative,Datif,schuldig an sein,to be guilty of = schuldig an sein + Dative,être coupable de = schuldig an sein + Datif,to introduce a cause → an,pour introduire une cause → an,to be guilty of = schuldig an sein + Dative<br><br>to introduce a cause → an,être coupable de = schuldig an sein + Datif<br><br>pour introduire une cause → an
103,5,stolz _____ sein,auf,stolz auf sein,to be proud of,être fier de,Accusative,Accusatif,stolz auf sein,to be proud of = stolz auf sein + Accusative,être fier de = stolz auf sein + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,to be proud of = stolz auf sein + Accusative<br><br>to introduce an object of focus or a target → auf,être fier de = stolz auf sein + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
104,5,gespannt _____ sein,auf,gespannt auf sein,"to be excited about, to be curious about",être enthousiasmé à propos de,Accusative,Accusatif,gespannt auf sein,"to be excited about, to be curious about = gespannt auf sein + Accusative",être enthousiasmé à propos de = gespannt auf sein + Accusatif,to introduce something in the future → auf,pour introduire quelque chose dans le future → auf,"to be excited about, to be curious about = gespannt auf sein + Accusative<br><br>to introduce something in the future → auf",être enthousiasmé à propos de = gespannt auf sein + Accusatif<br><br>pour introduire quelque chose dans le future → auf
105,5,bekannt _____ sein,bei,bekannt bei sein,"to be known to, with",être connu auprès de,Dative,Datif,bekannt bei sein,"to be known to, with = bekannt bei sein + Dative",être connu auprès de = bekannt bei sein + Datif,to introduce a context or a situation → bei,pour introduire un contexte ou une situation → bei,"to be known to, with = bekannt bei sein + Dative<br><br>to introduce a context or a situation → bei",être connu auprès de = bekannt bei sein + Datif<br><br>pour introduire un contexte ou une situation → bei
106,5,verantwortlich _____ sein,für,verantwortlich für sein,to be responsible for,être responsable de,Accusative,Accusatif,verantwortlich für sein,to be responsible for = verantwortlich für sein + Accusative,être responsable de = verantwortlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be responsible for = verantwortlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être responsable de = verantwortlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
107,5,befreundet _____ sein,mit,befreundet mit sein,to be friends with,être amis avec,Dative,Datif,befreundet mit sein,to be friends with = befreundet mit sein + Dative,être amis avec = befreundet mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be friends with = befreundet mit sein + Dative<br><br>to introduce a partner → mit,être amis avec = befreundet mit sein + Datif<br><br>pour introduire un partenaire → mit
108,5,verrückt _____ sein,nach,verrückt nach sein,to be crazy about,être fou de,Dative,Datif,verrückt nach sein,to be crazy about = verrückt nach sein + Dative,être fou de = verrückt nach sein + Datif,to introduce the object of a search → nach,pour introduire l'objet d'une recherche → nach,to be crazy about = verrückt nach sein + Dative<br><br>to introduce the object of a search → nach,être fou de = verrückt nach sein + Datif<br><br>pour introduire l'objet d'une recherche → nach
109,5,aufgeregt _____ sein,über,aufgeregt über sein,to be excited about,être enthousiasmé à propos de,Accusative,Accusatif,aufgeregt über sein,to be excited about = aufgeregt über sein + Accusative,être enthousiasmé à propos de = aufgeregt über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be excited about = aufgeregt über sein + Accusative<br><br>to introduce an emotional theme → über,être enthousiasmé à propos de = aufgeregt über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
110,5,froh _____ sein,über,froh über sein,to be happy about,être heureux de,Accusative,Accusatif,froh über sein,to be happy about = froh über sein + Accusative,être heureux de = froh über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be happy about = froh über sein + Accusative<br><br>to introduce an emotional theme → über,être heureux de = froh über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
111,5,begeistert _____ sein,von,begeistert von sein,"to be impressed by, to be amazed by","être enthousiasmé par, être impressioné par",Dative,Datif,begeistert von sein,"to be impressed by, to be amazed by = begeistert von sein + Dative","être enthousiasmé par, être impressioné par = begeistert von sein + Datif",,,"to be impressed by, to be amazed by = begeistert von sein + Dative","être enthousiasmé par, être impressioné par = begeistert von sein + Datif"
112,5,abhängig _____ sein,von,abhängig von sein,to be dependent on,être dépendant de,Dative,Datif,abhängig von sein,to be dependent on = abhängig von sein + Dative,être dépendant de = abhängig von sein + Datif,to introduce an origin or a starting point → von,pour introduire une origine ou un point de départ → von,to be dependent on = abhängig von sein + Dative<br><br>to introduce an origin or a starting point → von,être dépendant de = abhängig von sein + Datif<br><br>pour introduire une origine ou un point de départ → von
113,5,frei _____ sein,von,frei von sein,to be free from,"être libre de, être exempt de",Dative,Datif,frei von sein,to be free from = frei von sein + Dative,"être libre de, être exempt de = frei von sein + Datif",to introduce a separation → von,pour introduire une séparation → von,to be free from = frei von sein + Dative<br><br>to introduce a separation → von,"être libre de, être exempt de = frei von sein + Datif<br><br>pour introduire une séparation → von"
114,5,müde _____ sein,von,müde von sein,to be tired from,être fatigué de,Dative,Datif,müde von sein,to be tired from = müde von sein + Dative,être fatigué de = müde von sein + Datif,to introduce an origin or a starting point → von,pour introduire une origine ou un point de départ → von,to be tired from = müde von sein + Dative<br><br>to introduce an origin or a starting point → von,être fatigué de = müde von sein + Datif<br><br>pour introduire une origine ou un point de départ → von
115,5,unabhängig _____ sein,von,unabhängig von sein,to be independent of,être indépendant de,Dative,Datif,unabhängig von sein,to be independent of = unabhängig von sein + Dative,être indépendant de = unabhängig von sein + Datif,to introduce an origin or a starting point → von,pour introduire une origine ou un point de départ → von,to be independent of = unabhängig von sein + Dative<br><br>to introduce an origin or a starting point → von,être indépendant de = unabhängig von sein + Datif<br><br>pour introduire une origine ou un point de départ → von
116,6,Ich bin _____ die langen Arbeitszeiten gewöhnt.,an,Ich bin an die langen Arbeitszeiten gewöhnt.,I am used to the long working hours.,Je suis habitué aux longues heures de travail.,,,gewöhnt an sein,to be used to = gewöhnt an sein + Accusative,être habitué à = gewöhnt an sein + Accusatif,to introduce a point of reference → an,pour introduire un point de référence → an,to be used to = gewöhnt an sein + Accusative<br><br>to introduce a point of reference → an,être habitué à = gewöhnt an sein + Accusatif<br><br>pour introduire un point de référence → an
117,6,Sie ist _____ Leben in der Großstadt gewöhnt.,ans,Sie ist ans Leben in der Großstadt gewöhnt.,She is used to life in the big city.,Elle est habituée à la vie dans la grande ville.,,,gewöhnt an sein,to be used to = gewöhnt an sein + Accusative,être habitué à = gewöhnt an sein + Accusatif,to introduce a point of reference → an,pour introduire un point de référence → an,to be used to = gewöhnt an sein + Accusative<br><br>to introduce a point of reference → an,être habitué à = gewöhnt an sein + Accusatif<br><br>pour introduire un point de référence → an
118,6,Nach mehreren Jahren im Ausland ist er _____ das ständige Reisen und die verschiedenen Kulturen gewöhnt.,an,Nach mehreren Jahren im Ausland ist er an das ständige Reisen und die verschiedenen Kulturen gewöhnt.,"After several years abroad, he is used to constant traveling and different cultures.","Après plusieurs années à l’étranger, il est habitué aux voyages constants et aux différentes cultures.",,,gewöhnt an sein,to be used to = gewöhnt an sein + Accusative,être habitué à = gewöhnt an sein + Accusatif,to introduce a point of reference → an,pour introduire un point de référence → an,to be used to = gewöhnt an sein + Accusative<br><br>to introduce a point of reference → an,être habitué à = gewöhnt an sein + Accusatif<br><br>pour introduire un point de référence → an
119,6,Er ist schuldig _____ Unfall.,am,Er ist schuldig am Unfall.,He is guilty of the accident.,Il est coupable de l'accident.,,,schuldig an sein,to be guilty of = schuldig an sein + Dative,être coupable de = schuldig an sein + Datif,to introduce a cause → an,pour introduire une cause → an,to be guilty of = schuldig an sein + Dative<br><br>to introduce a cause → an,être coupable de = schuldig an sein + Datif<br><br>pour introduire une cause → an
120,6,Sie wurde schuldig _____ der Verzögerung befunden.,an,Sie wurde schuldig an der Verzögerung befunden.,She was found guilty of the delay.,Elle a été reconnue coupable de retard.,,,schuldig an sein,to be guilty of = schuldig an sein + Dative,être coupable de = schuldig an sein + Datif,to introduce a cause → an,pour introduire une cause → an,to be guilty of = schuldig an sein + Dative<br><br>to introduce a cause → an,être coupable de = schuldig an sein + Datif<br><br>pour introduire une cause → an
121,6,"Der Manager fühlte sich schuldig _____ Scheitern des Projekts, obwohl er alles versucht hatte.",am,"Der Manager fühlte sich schuldig am Scheitern des Projekts, obwohl er alles versucht hatte.","The manager felt guilty for the failure of the project, even though he had tried everything.","Le directeur se sentait coupable de l'échec du projet, même s'il avait tout essayé.",,,schuldig an sein,to be guilty of = schuldig an sein + Dative,être coupable de = schuldig an sein + Datif,to introduce a cause → an,pour introduire une cause → an,to be guilty of = schuldig an sein + Dative<br><br>to introduce a cause → an,être coupable de = schuldig an sein + Datif<br><br>pour introduire une cause → an
122,6,"Ich bin stolz _____ meinen Bruder, der die Prüfung bestanden hat.",auf,"Ich bin stolz auf meinen Bruder, der die Prüfung bestanden hat.","I am proud of my brother, who passed the exam.",Je suis fier de mon frère qui a réussi l'examen.,,,stolz auf sein,to be proud of = stolz auf sein + Accusative,être fier de = stolz auf sein + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,to be proud of = stolz auf sein + Accusative<br><br>to introduce an object of focus or a target → auf,être fier de = stolz auf sein + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
123,6,Sie ist stolz _____ ihr Team nach dem erfolgreichen Projektabschluss.,auf,Sie ist stolz auf ihr Team nach dem erfolgreichen Projektabschluss.,She is proud of her team after the successful project completion.,Elle est fière de son équipe après la réussite du projet.,,,stolz auf sein,to be proud of = stolz auf sein + Accusative,être fier de = stolz auf sein + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,to be proud of = stolz auf sein + Accusative<br><br>to introduce an object of focus or a target → auf,être fier de = stolz auf sein + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
124,6,"Die Eltern sind stolz _____ ihre Tochter, die ein Stipendium für die Universität bekommen hat.",auf,"Die Eltern sind stolz auf ihre Tochter, die ein Stipendium für die Universität bekommen hat.",The parents are proud of their daughter who received a scholarship for university.,Les parents sont fiers de leur fille qui a obtenu une bourse pour l’université.,,,stolz auf sein,to be proud of = stolz auf sein + Accusative,être fier de = stolz auf sein + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,to be proud of = stolz auf sein + Accusative<br><br>to introduce an object of focus or a target → auf,être fier de = stolz auf sein + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
125,6,Wir sind gespannt _____ die Präsentation der neuen Produkte.,auf,Wir sind gespannt auf die Präsentation der neuen Produkte.,We are excited about the presentation of the new products.,Nous sommes ravis de la présentation des nouveaux produits.,,,gespannt auf sein,"to be excited about, to be curious about = gespannt auf sein + Accusative",être enthousiasmé à propos de = gespannt auf sein + Accusatif,to introduce something in the future → auf,pour introduire quelque chose dans le future → auf,"to be excited about, to be curious about = gespannt auf sein + Accusative<br><br>to introduce something in the future → auf",être enthousiasmé à propos de = gespannt auf sein + Accusatif<br><br>pour introduire quelque chose dans le future → auf
126,6,Er ist gespannt _____ den Ausgang des Wettbewerbs.,auf,Er ist gespannt auf den Ausgang des Wettbewerbs.,He is excited about the outcome of the competition.,Il est enthousiasmé par le résultat de la compétition.,,,gespannt auf sein,"to be excited about, to be curious about = gespannt auf sein + Accusative",être enthousiasmé à propos de = gespannt auf sein + Accusatif,to introduce something in the future → auf,pour introduire quelque chose dans le future → auf,"to be excited about, to be curious about = gespannt auf sein + Accusative<br><br>to introduce something in the future → auf",être enthousiasmé à propos de = gespannt auf sein + Accusatif<br><br>pour introduire quelque chose dans le future → auf
127,6,"Die Zuschauer sind gespannt _____ den Film, über den alle seit Wochen sprechen.",auf,"Die Zuschauer sind gespannt auf den Film, über den alle seit Wochen sprechen.",The audience is curious about the movie everyone has been talking about for weeks.,Les spectateurs sont impatients de voir le film dont tout le monde parle depuis des semaines.,,,gespannt auf sein,"to be excited about, to be curious about = gespannt auf sein + Accusative",être enthousiasmé à propos de = gespannt auf sein + Accusatif,to introduce something in the future → auf,pour introduire quelque chose dans le future → auf,"to be excited about, to be curious about = gespannt auf sein + Accusative<br><br>to introduce something in the future → auf",être enthousiasmé à propos de = gespannt auf sein + Accusatif<br><br>pour introduire quelque chose dans le future → auf
128,6,Er ist bekannt _____ seinen Kollegen für seine Zuverlässigkeit.,bei,Er ist bekannt bei seinen Kollegen für seine Zuverlässigkeit.,He is known by his colleagues for his reliability.,Il est connu par ses collègues pour sa fiabilité.,,,bekannt bei sein,"to be known to, with = bekannt bei sein + Dative",être connu auprès de = bekannt bei sein + Datif,to introduce a context or a situation → bei,pour introduire un contexte ou une situation → bei,"to be known to, with = bekannt bei sein + Dative<br><br>to introduce a context or a situation → bei",être connu auprès de = bekannt bei sein + Datif<br><br>pour introduire un contexte ou une situation → bei
129,6,Das Restaurant ist bekannt _____ Touristen für seine gute Küche.,bei,Das Restaurant ist bekannt bei Touristen für seine gute Küche.,The restaurant is known among tourists for its good cuisine.,Le restaurant est connu parmi les touristes pour sa bonne cuisine.,,,bekannt bei sein,"to be known to, with = bekannt bei sein + Dative",être connu auprès de = bekannt bei sein + Datif,to introduce a context or a situation → bei,pour introduire un contexte ou une situation → bei,"to be known to, with = bekannt bei sein + Dative<br><br>to introduce a context or a situation → bei",être connu auprès de = bekannt bei sein + Datif<br><br>pour introduire un contexte ou une situation → bei
130,6,Die Sängerin ist bekannt _____ jungen Leuten für ihre energiegeladenen Auftritte.,bei,Die Sängerin ist bekannt bei jungen Leuten für ihre energiegeladenen Auftritte.,The singer is well known among young people for her energetic performances.,La chanteuse est connue des jeunes pour ses performances pleines d’énergie.,,,bekannt bei sein,"to be known to, with = bekannt bei sein + Dative",être connu auprès de = bekannt bei sein + Datif,to introduce a context or a situation → bei,pour introduire un contexte ou une situation → bei,"to be known to, with = bekannt bei sein + Dative<br><br>to introduce a context or a situation → bei",être connu auprès de = bekannt bei sein + Datif<br><br>pour introduire un contexte ou une situation → bei
131,6,Er ist verantwortlich _____ die Organisation der Konferenz.,für,Er ist verantwortlich für die Organisation der Konferenz.,He is responsible for organizing the conference.,Il est responsable de l'organisation de la conférence.,,,verantwortlich für sein,to be responsible for = verantwortlich für sein + Accusative,être responsable de = verantwortlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be responsible for = verantwortlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être responsable de = verantwortlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
132,6,Sie ist verantwortlich _____ das gesamte Marketingteam.,für,Sie ist verantwortlich für das gesamte Marketingteam.,She is responsible for the entire marketing team.,Elle est responsable de toute l'équipe marketing.,,,verantwortlich für sein,to be responsible for = verantwortlich für sein + Accusative,être responsable de = verantwortlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be responsible for = verantwortlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être responsable de = verantwortlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
133,6,Die Abteilung ist verantwortlich _____ die Umsetzung der neuen Strategie im Unternehmen.,für,Die Abteilung ist verantwortlich für die Umsetzung der neuen Strategie im Unternehmen.,The department is responsible for implementing the new strategy in the company.,Le département est responsable de la mise en œuvre de la nouvelle stratégie dans l’entreprise.,,,verantwortlich für sein,to be responsible for = verantwortlich für sein + Accusative,être responsable de = verantwortlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be responsible for = verantwortlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être responsable de = verantwortlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
134,6,Er ist seit Jahren _____ seinem Nachbarn befreundet.,mit,Er ist seit Jahren mit seinem Nachbarn befreundet.,He has been friends with his neighbor for years.,Il est ami avec son voisin depuis des années.,,,befreundet mit sein,to be friends with = befreundet mit sein + Dative,être amis avec = befreundet mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be friends with = befreundet mit sein + Dative<br><br>to introduce a partner → mit,être amis avec = befreundet mit sein + Datif<br><br>pour introduire un partenaire → mit
135,6,Sie ist eng _____ ihrer ehemaligen Kollegin befreundet.,mit,Sie ist eng mit ihrer ehemaligen Kollegin befreundet.,She is close friends with her former colleague.,Elle est une amie proche de son ancien collègue.,,,befreundet mit sein,to be friends with = befreundet mit sein + Dative,être amis avec = befreundet mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be friends with = befreundet mit sein + Dative<br><br>to introduce a partner → mit,être amis avec = befreundet mit sein + Datif<br><br>pour introduire un partenaire → mit
136,6,"Ich bin gut _____ einem Musiker befreundet, den ich auf einer Reise kennengelernt habe.",mit,"Ich bin gut mit einem Musiker befreundet, den ich auf einer Reise kennengelernt habe.",I’m good friends with a musician I met on a trip.,Je suis ami avec un musicien que j’ai rencontré lors d’un voyage.,,,befreundet mit sein,to be friends with = befreundet mit sein + Dative,être amis avec = befreundet mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be friends with = befreundet mit sein + Dative<br><br>to introduce a partner → mit,être amis avec = befreundet mit sein + Datif<br><br>pour introduire un partenaire → mit
137,6,Sie ist verrückt _____ Schokolade.,nach,Sie ist verrückt nach Schokolade.,She is crazy about chocolate.,Elle est folle du chocolat.,,,verrückt nach sein,to be crazy about = verrückt nach sein + Dative,être fou de = verrückt nach sein + Datif,to introduce the object of a search → nach,pour introduire l'objet d'une recherche → nach,to be crazy about = verrückt nach sein + Dative<br><br>to introduce the object of a search → nach,être fou de = verrückt nach sein + Datif<br><br>pour introduire l'objet d'une recherche → nach
138,6,Er ist verrückt _____ alten Autos.,nach,Er ist verrückt nach alten Autos.,He is crazy about vintage cars.,Il est fou des voitures anciennes.,,,verrückt nach sein,to be crazy about = verrückt nach sein + Dative,être fou de = verrückt nach sein + Datif,to introduce the object of a search → nach,pour introduire l'objet d'une recherche → nach,to be crazy about = verrückt nach sein + Dative<br><br>to introduce the object of a search → nach,être fou de = verrückt nach sein + Datif<br><br>pour introduire l'objet d'une recherche → nach
139,6,Meine Freundin ist verrückt _____ Reisen und plant ständig ihren nächsten Urlaub.,nach,Meine Freundin ist verrückt nach Reisen und plant ständig ihren nächsten Urlaub.,My girlfriend is crazy about traveling and is always planning her next vacation.,Ma copine est folle de voyages et planifie sans cesse ses prochaines vacances.,,,verrückt nach sein,to be crazy about = verrückt nach sein + Dative,être fou de = verrückt nach sein + Datif,to introduce the object of a search → nach,pour introduire l'objet d'une recherche → nach,to be crazy about = verrückt nach sein + Dative<br><br>to introduce the object of a search → nach,être fou de = verrückt nach sein + Datif<br><br>pour introduire l'objet d'une recherche → nach
140,6,Er ist aufgeregt _____ die Neuigkeiten.,über,Er ist aufgeregt über die Neuigkeiten.,He is excited about the news.,Il est enthousiasmé par la nouvelle.,,,aufgeregt über sein,to be excited about = aufgeregt über sein + Accusative,être enthousiasmé à propos de = aufgeregt über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be excited about = aufgeregt über sein + Accusative<br><br>to introduce an emotional theme → über,être enthousiasmé à propos de = aufgeregt über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
