Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
137,1,4,Ich habe ein Geschenk _____ Mutter bekommen.,von meiner,Ich habe ein Geschenk von meiner Mutter bekommen.,I got a gift from my mother.,J'ai reçu un cadeau de ma mère.,mein,von,meiner,,Dative,Datif,Feminine,Féminin,to indicate the property or non-local origin → von + Dat.,pour indiquer la propriété ou l'origine non locale → von + Dat.,", Dative",", Datif"
138,2,4,Das ist der Hund _____ Bruder.,von seinem,Das ist der Hund von seinem Bruder.,That's his brother's dog.,C'est le chien de son frère.,sein,von,seinem,,Dative,Datif,Masculine,Masculin,to indicate the property or non-local origin → von + Dat.,pour indiquer la propriété ou l'origine non locale → von + Dat.,", Dative",", Datif"
139,3,4,Das Lied ist _____ berühmten Band.,von einer,Das Lied ist von einer berühmten Band.,The song is by a famous band.,La chanson est interprétée par un groupe célèbre.,ein,von,einer,,Dative,Datif,Feminine,Féminin,to indicate the property or non-local origin → von + Dat.,pour indiquer la propriété ou l'origine non locale → von + Dat.,", Dative",", Datif"
140,5,2,Er arbeitet _____ großen Firma.,bei einer,Er arbeitet bei einer großen Firma.,He works at a big company.,Il travaille dans une grande entreprise.,ein,bei,einer,arbeiten bei,Dative,Datif,Feminine,Féminin,to work at = arbeiten bei + Dative<br>to introduce a person or an institution → bei + Dat.,travailler à = arbeiten bei + Datif<br>pour introduire une personne ou une institution → bei + Dat.,", Dative",", Datif"
141,5,2,Sie arbeitet _____ neuen Projekt.,an einem,Sie arbeitet an einem neuen Projekt.,She is working on a new project.,Elle travaille sur un nouveau projet.,ein,an,einem,arbeiten an,Dative,Datif,Neuter,Neutre,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an,", Dative",", Datif"
142,5,2,Ich arbeite _____ Deutsch.,an meinem,Ich arbeite an meinem Deutsch.,I am working on my German.,Je travaille mon allemand.,mein,an,meinem,arbeiten an,Dative,Datif,Neuter,Neutre,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an,", Dative",", Datif"
143,5,2,Er arbeitet an der Universität _____ Doktorarbeit.,an seiner,Er arbeitet an der Universität an seiner Doktorarbeit.,He is working on his doctoral thesis at the university.,Il travaille actuellement sur sa thèse de doctorat à l'université.,sein,an,seiner,arbeiten an,Dative,Datif,Feminine,Féminin,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an,", Dative",", Datif"
144,5,2,Ich denke _____ Mutter.,an meine,Ich denke an meine Mutter.,I think about my mother.,Je pense à ma mère.,mein,an,meine,denken an,Accusative,Accusatif,Feminine,Féminin,"to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
145,5,2,Er denkt oft _____ Urlaub.,an seinen,Er denkt oft an seinen Urlaub.,He often thinks about his vacation.,Il pense souvent à ses vacances.,sein,an,seinen,denken an,Accusative,Accusatif,Masculine,Masculin,"to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
146,5,2,Wir müssen _____ Zukunft denken.,an die,Wir müssen an die Zukunft denken.,We have to think about the future.,Nous devons penser à l'avenir.,der/die/das,an,die,denken an,Accusative,Accusatif,Feminine,Féminin,"to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
147,5,2,Ich glaube _____ Freunde.,an meine,Ich glaube an meine Freunde.,I believe in my friends.,Je crois en mes amis.,mein,an,meine,glauben an,Accusative,Accusatif,Plural,Pluriel,"to believe in = glauben an + Accusative<br>to introduce the subject of a thought, with mental focus → an","croire en = glauben an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
148,5,2,Viele Menschen glauben _____ Gute im Menschen.,an das,Viele Menschen glauben an das Gute im Menschen.,Many people believe in the good in people.,Beaucoup de gens croient en la bonté des gens.,der/die/das,an,das,glauben an,Accusative,Accusatif,Neuter,Neutre,"to believe in = glauben an + Accusative<br>to introduce the subject of a thought, with mental focus → an","croire en = glauben an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
149,5,2,Ich hoffe _____ gute Note.,auf eine,Ich hoffe auf eine gute Note.,I hope for a good grade.,J'espère avoir une bonne note.,ein,auf,eine,hoffen auf,Accusative,Accusatif,Feminine,Féminin,to hope for = hoffen auf + Accusative<br>to introduce something in the future → auf + Acc.,espérer = hoffen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
150,5,2,Sie hofft _____ schnelle Antwort.,auf eine,Sie hofft auf eine schnelle Antwort.,She hopes for a quick answer.,Elle espère une réponse rapide.,ein,auf,eine,hoffen auf,Accusative,Accusatif,Feminine,Féminin,to hope for = hoffen auf + Accusative<br>to introduce something in the future → auf + Acc.,espérer = hoffen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
151,5,2,Mein bester Freund kommt _____ Schweiz.,aus der,Mein bester Freund kommt aus der Schweiz.,My best friend is from Switzerland.,Mon meilleur ami est suisse.,der/die/das,aus,der,kommen aus,Dative,Datif,Feminine,Féminin,to come from = kommen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,venir de = kommen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.,", Dative",", Datif"
152,5,2,Ich schreibe _____ Familie.,über meine,Ich schreibe über meine Familie.,I write about my family.,J'écris sur ma famille.,mein,über,meine,schreiben über,Accusative,Accusatif,Feminine,Féminin,to write about = schreiben über + Accusative<br>to introduce a general subject → über + Acc.,écrire sur = schreiben über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
153,5,2,Er schreibt _____ Reise.,über seine,Er schreibt über seine Reise.,He writes about his trip.,Il écrit sur son voyage.,sein,über,seine,schreiben über,Accusative,Accusatif,Feminine,Féminin,to write about = schreiben über + Accusative<br>to introduce a general subject → über + Acc.,écrire sur = schreiben über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
154,5,2,Ich schreibe einen Brief _____ Oma.,an meine,Ich schreibe einen Brief an meine Oma.,I write a letter to my grandma.,J'écris une lettre à ma grand-mère.,mein,an,meine,schreiben an,Accusative,Accusatif,Feminine,Féminin,to write to = schreiben an + Accusative<br>to introduce an addressee → an + Acc.,écrire à = schreiben an + Accusatif<br>pour introduire un destinataire → an + Acc.,", Accusative",", Accusatif"
155,5,2,Sie schreibt eine E-Mail _____ Freund.,an ihren,Sie schreibt eine E-Mail an ihren Freund.,She writes an email to her boyfriend.,Elle écrit un courriel à son petit ami.,ihr,an,ihren,schreiben an,Accusative,Accusatif,Masculine,Masculin,to write to = schreiben an + Accusative<br>to introduce an addressee → an + Acc.,écrire à = schreiben an + Accusatif<br>pour introduire un destinataire → an + Acc.,", Accusative",", Accusatif"
156,5,2,Er schreibt gerade eine Bewerbung _____ Firma.,an eine,Er schreibt gerade eine Bewerbung an eine Firma.,He is writing an application to a company.,Il rédige une candidature pour une entreprise.,ein,an,eine,schreiben an,Accusative,Accusatif,Feminine,Féminin,to write to = schreiben an + Accusative<br>to introduce an addressee → an + Acc.,écrire à = schreiben an + Accusatif<br>pour introduire un destinataire → an + Acc.,", Accusative",", Accusatif"
157,5,2,Ich bin _____ Idee.,gegen die,Ich bin gegen die Idee.,I am against the idea.,Je suis contre cette idée.,der/die/das,gegen,die,sein gegen,Accusative,Accusatif,Feminine,Féminin,to be against = sein gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,être contre = sein gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
158,5,2,Er ist _____ neue Gesetz.,gegen das,Er ist gegen das neue Gesetz.,He is against the new law.,Il est contre la nouvelle loi.,der/die/das,gegen,das,sein gegen,Accusative,Accusatif,Neuter,Neutre,to be against = sein gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,être contre = sein gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
159,5,2,Wir sind _____ Erhöhung der Miete.,gegen eine,Wir sind gegen eine Erhöhung der Miete.,We are against increasing the rent.,Nous sommes contre l'augmentation du loyer.,ein,gegen,eine,sein gegen,Accusative,Accusatif,Feminine,Féminin,to be against = sein gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,être contre = sein gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
160,5,2,Ich bin _____ neue Projekt.,für das,Ich bin für das neue Projekt.,I am for the new project.,Je suis favorable au nouveau projet.,der/die/das,für,das,sein für,Accusative,Accusatif,Neuter,Neutre,"to be for = sein für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","être pour = sein für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
161,5,2,Sie ist _____ längere Pause.,für eine,Sie ist für eine längere Pause.,She is for a longer break.,Elle souhaite une pause plus longue.,ein,für,eine,sein für,Accusative,Accusatif,Feminine,Féminin,"to be for = sein für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","être pour = sein für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
162,5,2,Das Kind spielt _____ Ball.,mit dem,Das Kind spielt mit dem Ball.,The child plays with the ball.,L'enfant joue avec le ballon.,der/die/das,mit,dem,spielen mit,Dative,Datif,Masculine,Masculin,to play with = spielen mit + Dative<br>to introduce a partner → mit + Dat.,jouer avec = spielen mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
163,5,2,Ich spiele _____ Hund.,mit meinem,Ich spiele mit meinem Hund.,I play with my dog.,Je joue avec mon chien.,mein,mit,meinem,spielen mit,Dative,Datif,Masculine,Masculin,to play with = spielen mit + Dative<br>to introduce a partner → mit + Dat.,jouer avec = spielen mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
164,5,2,Sie spielt gerne _____ kleinen Geschwistern.,mit ihren,Sie spielt gerne mit ihren kleinen Geschwistern.,She loves playing with her little brothers and sisters.,Elle adore jouer avec ses petits frères et sœurs.,ihr,mit,ihren,spielen mit,Dative,Datif,Plural,Pluriel,to play with = spielen mit + Dative<br>to introduce a partner → mit + Dat.,jouer avec = spielen mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
165,5,2,Ich treffe mich _____ Freundin.,mit meiner,Ich treffe mich mit meiner Freundin.,I meet with my girlfriend.,Je retrouve ma copine.,mein,mit,meiner,sich treffen mit,Dative,Datif,Feminine,Féminin,to meet with = sich treffen mit + Dative<br>to introduce a partner → mit + Dat.,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif<br>pour introduire un partenaire → mit + Dat.",", Dative",", Datif"
166,5,2,Er trifft sich _____ Kollegen.,mit seinen,Er trifft sich mit seinen Kollegen.,He meets with his colleagues.,Il rencontre ses collègues.,sein,mit,seinen,sich treffen mit,Dative,Datif,Plural,Pluriel,to meet with = sich treffen mit + Dative<br>to introduce a partner → mit + Dat.,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif<br>pour introduire un partenaire → mit + Dat.",", Dative",", Datif"
167,5,2,Ich warte _____ Bus.,auf den,Ich warte auf den Bus.,I am waiting for the bus.,J'attends le bus.,der/die/das,auf,den,warten auf,Accusative,Accusatif,Masculine,Masculin,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
168,5,2,Sie wartet _____ Freundin.,auf ihre,Sie wartet auf ihre Freundin.,She is waiting for her friend.,Elle attend son amie.,ihr,auf,ihre,warten auf,Accusative,Accusatif,Feminine,Féminin,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
169,5,2,Wir warten _____ Ergebnisse der Prüfung.,auf die,Wir warten auf die Ergebnisse der Prüfung.,We are waiting for the results of the audit.,Nous attendons les résultats de l'audit.,der/die/das,auf,die,warten auf,Accusative,Accusatif,Feminine,Féminin,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
170,6,4,Ich übersetze den Text _____ Englischen.,aus dem,Ich übersetze den Text aus dem Englischen.,I translate the text from English.,Je traduis le texte de l'anglais.,der/die/das,aus,dem,übersetzen aus,Dative,Datif,Neuter,Neutre,to translate from = übersetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"traduire de, traduire depuis = übersetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.",", Dative",", Datif"
171,6,4,Sie übersetzt das Buch _____ Französischen.,aus dem,Sie übersetzt das Buch aus dem Französischen.,She translates the book from French.,Elle traduit le livre du français.,der/die/das,aus,dem,übersetzen aus,Dative,Datif,Neuter,Neutre,to translate from = übersetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"traduire de, traduire depuis = übersetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.",", Dative",", Datif"
172,6,4,Er hat einen Artikel _____ Spanischen übersetzt.,aus dem,Er hat einen Artikel aus dem Spanischen übersetzt.,He has translated an article from Spanish.,Il a traduit un article de l'espagnol.,der/die/das,aus,dem,übersetzen aus,Dative,Datif,Neuter,Neutre,to translate from = übersetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"traduire de, traduire depuis = übersetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.",", Dative",", Datif"
173,6,4,Er übersetzt das Dokument _____ Sprache.,in seine,Er übersetzt das Dokument in seine Sprache.,He translates the document into his language.,Il traduit le document dans sa langue.,sein,in,seine,übersetzen in,Accusative,Accusatif,Feminine,Féminin,to translate into = übersetzen in + Accusative<br>to introduce a transformation → in + Acc.,traduire en = übersetzen in + Accusatif<br>pour introduire une transformation → in + Acc.,", Accusative",", Accusatif"
174,6,4,Er fragt _____ Weg.,nach dem,Er fragt nach dem Weg.,He asks for the way.,Il demande son chemin.,der/die/das,nach,dem,fragen nach,Dative,Datif,Masculine,Masculin,to ask for = fragen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,demander = fragen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,", Dative",", Datif"
175,6,4,Ich frage _____ Preis.,nach dem,Ich frage nach dem Preis.,I ask for the price.,Je demande le prix.,der/die/das,nach,dem,fragen nach,Dative,Datif,Masculine,Masculin,to ask for = fragen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,demander = fragen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,", Dative",", Datif"
176,6,4,Sie fragt _____ Termin für das Vorstellungsgespräch.,nach dem,Sie fragt nach dem Termin für das Vorstellungsgespräch.,She asks for the date of the interview.,Elle demande la date de l'entretien.,der/die/das,nach,dem,fragen nach,Dative,Datif,Masculine,Masculin,to ask for = fragen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,demander = fragen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,", Dative",", Datif"
177,6,4,Ich suche _____ Handy.,nach meinem,Ich suche nach meinem Handy.,I am looking for my phone.,Je cherche mon téléphone.,mein,nach,meinem,suchen nach,Dative,Datif,Neuter,Neutre,to search for = suchen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"chercher, rechercher = suchen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",", Dative",", Datif"
178,6,4,Sie sucht _____ neuen Job.,nach einem,Sie sucht nach einem neuen Job.,She is looking for a new job.,Elle cherche un nouvel emploi.,ein,nach,einem,suchen nach,Dative,Datif,Masculine,Masculin,to search for = suchen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"chercher, rechercher = suchen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",", Dative",", Datif"
179,6,4,Wir suchen _____ Lösung für das Problem.,nach einer,Wir suchen nach einer Lösung für das Problem.,We are looking for a solution to the problem.,Nous recherchons une solution à ce problème.,ein,nach,einer,suchen nach,Dative,Datif,Feminine,Féminin,to search for = suchen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"chercher, rechercher = suchen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",", Dative",", Datif"
180,6,4,Das Kind hört _____ Mutter.,auf seine,Das Kind hört auf seine Mutter.,The child listens to his mother.,L'enfant écoute sa mère.,sein,auf,seine,hören auf,Accusative,Accusatif,Feminine,Féminin,to listen to = hören auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,écouter = hören auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
181,6,4,Ich höre _____ Lehrer.,auf den,Ich höre auf den Lehrer.,I listen to the teacher.,J'écoute le professeur.,der/die/das,auf,den,hören auf,Accusative,Accusatif,Masculine,Masculin,to listen to = hören auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,écouter = hören auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
182,6,4,Er hört nie _____ Ratschläge seiner Freunde.,auf die,Er hört nie auf die Ratschläge seiner Freunde.,He never listens to the advice of his friends.,Il n'écoute jamais les conseils de ses amis.,der/die/das,auf,die,hören auf,Accusative,Accusatif,Feminine,Féminin,to listen to = hören auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,écouter = hören auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
183,6,4,Ich spreche _____ Vater.,mit meinem,Ich spreche mit meinem Vater.,I talk with my father.,Je parle avec mon père.,mein,mit,meinem,sprechen mit,Dative,Datif,Masculine,Masculin,to speak with = sprechen mit + Dative<br>to introduce a partner → mit + Dat.,parler avec = sprechen mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
184,6,4,Sie spricht _____ Lehrerin.,mit ihrer,Sie spricht mit ihrer Lehrerin.,She talks with her teacher.,Elle parle avec son professeur.,ihr,mit,ihrer,sprechen mit,Dative,Datif,Feminine,Féminin,to speak with = sprechen mit + Dative<br>to introduce a partner → mit + Dat.,parler avec = sprechen mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
185,6,4,Wir sprechen oft _____ Nachbarn.,mit unseren,Wir sprechen oft mit unseren Nachbarn.,We often talk to our neighbors.,Nous parlons souvent à nos voisins.,unser,mit,unseren,sprechen mit,Dative,Datif,Plural,Pluriel,to speak with = sprechen mit + Dative<br>to introduce a partner → mit + Dat.,parler avec = sprechen mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
186,6,4,Sie fängt _____ Lernen an.,mit dem,Sie fängt mit dem Lernen an.,She starts learning.,Elle commence à apprendre.,der/die/das,mit,dem,anfangen mit,Dative,Datif,Neuter,Neutre,to start with = anfangen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,commencer à = anfangen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
187,6,4,Ich fange _____ Arbeit um 9 Uhr an.,mit der,Ich fange mit der Arbeit um 9 Uhr an.,I start work at 9 o'clock.,Je commence à travailler à 9 heures.,der/die/das,mit,der,anfangen mit,Dative,Datif,Feminine,Féminin,to start with = anfangen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,commencer à = anfangen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
188,6,4,Wir fangen jetzt _____ Kochen an.,mit dem,Wir fangen jetzt mit dem Kochen an.,We start cooking now.,On commence à cuisiner maintenant.,der/die/das,mit,dem,anfangen mit,Dative,Datif,Neuter,Neutre,to start with = anfangen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,commencer à = anfangen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
189,6,4,Wir hören _____ Rauchen auf.,mit dem,Wir hören mit dem Rauchen auf.,We stop smoking.,Nous arrêtons de fumer.,der/die/das,mit,dem,aufhören mit,Dative,Datif,Neuter,Neutre,to stop with = aufhören mit + Dative<br>to introduce a beginning or an end → mit + Dat.,arrêter de = aufhören mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
190,6,4,Sie hört _____ Arbeit um 18 Uhr auf.,mit der,Sie hört mit der Arbeit um 18 Uhr auf.,She stops working at 6 PM.,Elle arrête de travailler à 18h.,der/die/das,mit,der,aufhören mit,Dative,Datif,Feminine,Féminin,to stop with = aufhören mit + Dative<br>to introduce a beginning or an end → mit + Dat.,arrêter de = aufhören mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
191,6,4,Ich höre jetzt _____ Lernen auf.,mit dem,Ich höre jetzt mit dem Lernen auf.,I'm going to stop studying now.,Je vais arrêter d'étudier maintenant.,der/die/das,mit,dem,aufhören mit,Dative,Datif,Neuter,Neutre,to stop with = aufhören mit + Dative<br>to introduce a beginning or an end → mit + Dat.,arrêter de = aufhören mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
192,6,4,Ich beginne _____ neuen Projekt.,mit dem,Ich beginne mit dem neuen Projekt.,I start with the new project.,Je commence par le nouveau projet.,der/die/das,mit,dem,beginnen mit,Dative,Datif,Neuter,Neutre,to begin with = beginnen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,pour commencer = beginnen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
193,6,4,Er beginnt _____ Studium.,mit dem,Er beginnt mit dem Studium.,He starts studying.,Il commence à étudier.,der/die/das,mit,dem,beginnen mit,Dative,Datif,Neuter,Neutre,to begin with = beginnen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,pour commencer = beginnen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
194,6,4,Wir beginnen morgen _____ Umzug.,mit dem,Wir beginnen morgen mit dem Umzug.,We start the move tomorrow.,Nous commençons le déménagement demain.,der/die/das,mit,dem,beginnen mit,Dative,Datif,Masculine,Masculin,to begin with = beginnen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,pour commencer = beginnen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
195,6,4,Ich erinnere mich _____ Kindheit.,an meine,Ich erinnere mich an meine Kindheit.,I remember my childhood.,Je me souviens de mon enfance.,mein,an,meine,sich erinnern an,Accusative,Accusatif,Feminine,Féminin,"to recall, to remember = sich erinnern an + Accusative<br>to introduce the subject of a thought, with mental focus → an","se rappeler, se souvenir = sich erinnern an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
196,6,4,Sie erinnert sich _____ Urlaub.,an den,Sie erinnert sich an den Urlaub.,She remembers the vacation.,Elle se souvient des vacances.,der/die/das,an,den,sich erinnern an,Accusative,Accusatif,Masculine,Masculin,"to recall, to remember = sich erinnern an + Accusative<br>to introduce the subject of a thought, with mental focus → an","se rappeler, se souvenir = sich erinnern an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
197,6,4,Er erinnert sich gern _____ Schulzeit.,an seine,Er erinnert sich gern an seine Schulzeit.,He has fond memories of his school days.,Il garde de bons souvenirs de ses années d'école.,sein,an,seine,sich erinnern an,Accusative,Accusatif,Feminine,Féminin,"to recall, to remember = sich erinnern an + Accusative<br>to introduce the subject of a thought, with mental focus → an","se rappeler, se souvenir = sich erinnern an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
198,6,4,Sie hat _____ Reise nach Afrika erzählt.,über ihre,Sie hat über ihre Reise nach Afrika erzählt.,She talked about her trip to Africa.,Elle a parlé de son voyage en Afrique.,ihr,über,ihre,erzählen über,Accusative,Accusatif,Feminine,Féminin,to tell about = erzählen über + Accusative<br>to introduce a general subject → über + Acc.,raconter = erzählen über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
199,6,4,Er erzählt _____ Geschichte seiner Familie.,über die,Er erzählt über die Geschichte seiner Familie.,He talks about the history of his family.,Il parle de l'histoire de sa famille.,der/die/das,über,die,erzählen über,Accusative,Accusatif,Feminine,Féminin,to tell about = erzählen über + Accusative<br>to introduce a general subject → über + Acc.,raconter = erzählen über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
200,6,4,Ich erzähle gerne _____ Erfahrungen im Ausland.,über meine,Ich erzähle gerne über meine Erfahrungen im Ausland.,I like to talk about my experiences abroad.,J'aime parler de mes expériences à l'étranger.,mein,über,meine,erzählen über,Accusative,Accusatif,Plural,Pluriel,to tell about = erzählen über + Accusative<br>to introduce a general subject → über + Acc.,raconter = erzählen über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
201,6,4,Wir lachen _____ Witz.,über den,Wir lachen über den Witz.,We laugh about the joke.,Nous rions de la blague.,der/die/das,über,den,lachen über,Accusative,Accusatif,Masculine,Masculin,to laugh about = lachen über + Accusative<br>to introduce an emotional theme → über + Acc.,rire de = lachen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
202,6,4,Sie lacht _____ Geschichte.,über seine,Sie lacht über seine Geschichte.,She laughs about his story.,Elle rit de son histoire.,sein,über,seine,lachen über,Accusative,Accusatif,Feminine,Féminin,to laugh about = lachen über + Accusative<br>to introduce an emotional theme → über + Acc.,rire de = lachen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
203,6,4,Ich muss immer noch _____ Film lachen.,über den,Ich muss immer noch über den Film lachen.,I still have to laugh about the movie.,Je ris encore en repensant à ce film.,der/die/das,über,den,lachen über,Accusative,Accusatif,Masculine,Masculin,to laugh about = lachen über + Accusative<br>to introduce an emotional theme → über + Acc.,rire de = lachen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
204,6,4,Sie hat _____ Karriere als Sängerin geredet.,über ihre,Sie hat über ihre Karriere als Sängerin geredet.,She talked about her career as a singer.,Elle a parlé de sa carrière de chanteuse.,ihr,über,ihre,reden über,Accusative,Accusatif,Feminine,Féminin,to talk about something = reden über + Accusative<br>to introduce a general subject → über + Acc.,parler de quelque chose = reden über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
205,6,4,Er redet gern _____ Hobbys und Interessen.,über seine,Er redet gern über seine Hobbys und Interessen.,He likes to talk about his hobbies and interests.,Il aime parler de ses passe-temps et de ses centres d'intérêt.,sein,über,seine,reden über,Accusative,Accusatif,Plural,Pluriel,to talk about something = reden über + Accusative<br>to introduce a general subject → über + Acc.,parler de quelque chose = reden über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
