Nr,level,question,answer,german,english,case,gender,type
230,5,Er hat mit _____ Experten darüber gesprochen.,verschiedenen,Er hat mit verschiedenen Experten darüber gesprochen.,He has spoken with various experts about it.,,,
231,5,Die Preise _____ Produkte variieren stark.,verschiedener,Die Preise verschiedener Produkte variieren stark.,The prices of different products vary greatly.,,,
232,5,"Wir haben _____ Möglichkeiten, das Problem zu lösen.",verschiedene,"Wir haben verschiedene Möglichkeiten, das Problem zu lösen.",We have different ways to solve the problem.,,,
233,5,"_____, die regelmäßig trainieren, bleiben fit.",Diejenigen,"Diejenigen, die regelmäßig trainieren, bleiben fit.",Those who train regularly stay fit.,,,
234,5,"Ich bewundere _____, die hart für ihre Ziele arbeiten.",diejenigen,"Ich bewundere diejenigen, die hart für ihre Ziele arbeiten.",I admire those who work hard for their goals.,,,
235,5,"Mit _____, die interessiert sind, werde ich das Thema besprechen.",denjenigen,"Mit denjenigen, die interessiert sind, werde ich das Thema besprechen.",I will discuss the topic with those who are interested.,,,
236,5,"Die Meinung _____, die viel Erfahrung haben, ist besonders wertvoll.",derjenigen,"Die Meinung derjenigen, die viel Erfahrung haben, ist besonders wertvoll.",The opinion of those who have a lot of experience is especially valuable.,,,
237,5,"Nur _____, die die Prüfung bestehen, dürfen weiterstudieren.",diejenigen,"Nur diejenigen, die die Prüfung bestehen, dürfen weiterstudieren.",Only those who pass the exam are allowed to continue studying.,,,
1,100,_____ Ende ist nah.,Das,Das Ende ist nah.,,nominative,neuter,
2,100,_____ Million ist viel Geld.,Die,Die Million ist viel Geld.,,nominative,feminine,
3,100,_____ Schule ist groß.,Die,Die Schule ist groß.,,nominative,feminine,
4,100,_____ Woche hat sieben Tage.,Die,Die Woche hat sieben Tage.,,nominative,feminine,
5,100,_____ Vater ist müde.,Der,Der Vater ist müde.,,nominative,masculine,
6,100,_____ Seite ist weiß.,Die,Die Seite ist weiß.,,nominative,feminine,
7,100,_____ Leben ist schön.,Das,Das Leben ist schön.,,nominative,neuter,
8,100,_____ Mutter ist nett.,Die,Die Mutter ist nett.,,nominative,feminine,
9,100,_____ Auge ist blau.,Das,Das Auge ist blau.,,nominative,neuter,
10,100,_____ Wörter sind lang.,Die,Die Wörter sind lang.,,nominative,plural,
11,100,_____ Geld ist wichtig.,Das,Das Geld ist wichtig.,,nominative,neuter,
12,100,_____ Weg ist lang.,Der,Der Weg ist lang.,,nominative,masculine,
13,100,_____ Stunde dauert sechzig Minuten.,Die,Die Stunde dauert sechzig Minuten.,,nominative,feminine,
14,100,_____ Name ist bekannt.,Der,Der Name ist bekannt.,,nominative,masculine,
15,100,_____ Kopf tut weh.,Der,Der Kopf tut weh.,,nominative,masculine,
16,100,_____ Paar ist glücklich.,Das,Das Paar ist glücklich.,,nominative,neuter,
17,100,_____ Unternehmen ist groß.,Das,Das Unternehmen ist groß.,,nominative,neuter,
18,100,_____ Bild ist schön.,Das,Das Bild ist schön.,,nominative,neuter,
19,100,_____ Buch ist spannend.,Das,Das Buch ist spannend.,,nominative,neuter,
20,100,_____ Wasser sind kalt.,Die,Die Wasser sind kalt.,,nominative,plural,
21,100,_____ Straße ist lang.,Die,Die Straße ist lang.,,nominative,feminine,
22,100,_____ Minute ist kurz.,Die,Die Minute ist kurz.,,nominative,feminine,
23,100,_____ Gruppe ist klein.,Die,Die Gruppe ist klein.,,nominative,feminine,
24,100,_____ Wert ist hoch.,Der,Der Wert ist hoch.,,nominative,masculine,
25,100,_____ Gesicht ist rund.,Das,Das Gesicht ist rund.,,nominative,neuter,
26,100,_____ Sprache ist schwer.,Die,Die Sprache ist schwer.,,nominative,feminine,
27,100,_____ Ort ist schön.,Der,Der Ort ist schön.,,nominative,masculine,
28,100,_____ Moment ist wichtig.,Der,Der Moment ist wichtig.,,nominative,masculine,
29,100,_____ Interesse ist groß.,Das,Das Interesse ist groß.,,nominative,neuter,
30,100,_____ Rolle sind wichtig.,Die,Die Rolle sind wichtig.,,nominative,plural,
31,100,_____ Tür ist offen.,Die,Die Tür ist offen.,,nominative,feminine,
32,100,_____ Schüler ist fleißig.,Der,Der Schüler ist fleißig.,,nominative,masculine,
33,100,_____ Text ist lang.,Der,Der Text ist lang.,,nominative,masculine,
34,100,_____ Stück ist klein.,Das,Das Stück ist klein.,,nominative,neuter,
35,100,_____ Wohnung ist teuer.,Die,Die Wohnung ist teuer.,,nominative,feminine,
36,100,_____ Meter ist kurz.,Der,Der Meter ist kurz.,,nominative,masculine,
37,100,_____ Punkt ist klar.,Der,Der Punkt ist klar.,,nominative,masculine,
38,100,_____ Situation ist schwierig.,Die,Die Situation ist schwierig.,,nominative,feminine,
39,100,_____ Lehrer ist nett.,Der,Der Lehrer ist nett.,,nominative,masculine,
40,100,_____ Preise sind hoch.,Die,Die Preise sind hoch.,,nominative,plural,
41,100,_____ Stelle ist wichtig.,Die,Die Stelle ist wichtig.,,nominative,feminine,
42,100,_____ Form ist rund.,Die,Die Form ist rund.,,nominative,feminine,
43,100,_____ Monat hat vier Wochen.,Der,Der Monat hat vier Wochen.,,nominative,masculine,
44,100,_____ Familie ist groß.,Die,Die Familie ist groß.,,nominative,feminine,
45,100,_____ Morgen ist schön.,Der,Der Morgen ist schön.,,nominative,masculine,
46,100,_____ Abend ist ruhig.,Der,Der Abend ist ruhig.,,nominative,masculine,
47,100,_____ Sinn ist klar.,Der,Der Sinn ist klar.,,nominative,masculine,
48,100,_____ Staat ist reich.,Der,Der Staat ist reich.,,nominative,masculine,
49,100,_____ Ziel ist weit.,Das,Das Ziel ist weit.,,nominative,neuter,
50,100,_____ Freunde sind nett.,Die,Die Freunde sind nett.,,nominative,plural,
51,100,_____ Thema ist interessant.,Das,Das Thema ist interessant.,,nominative,neuter,
52,100,_____ Person ist freundlich.,Die,Die Person ist freundlich.,,nominative,feminine,
53,100,_____ Nacht ist dunkel.,Die,Die Nacht ist dunkel.,,nominative,feminine,
54,100,_____ Raum ist groß.,Der,Der Raum ist groß.,,nominative,masculine,
55,100,_____ Blick ist schön.,Der,Der Blick ist schön.,,nominative,masculine,
56,100,_____ Platz ist leer.,Der,Der Platz ist leer.,,nominative,masculine,
57,100,_____ Zahl ist hoch.,Die,Die Zahl ist hoch.,,nominative,feminine,
58,100,_____ Uhr ist kaputt.,Die,Die Uhr ist kaputt.,,nominative,feminine,
59,100,_____ Eltern sind nett.,Die,Die Eltern sind nett.,,nominative,plural,
60,100,_____ Jahrhundert ist lang.,Das,Das Jahrhundert ist lang.,,nominative,neuter,
61,100,_____ Sohn ist klug.,Der,Der Sohn ist klug.,,nominative,masculine,
62,100,_____ Werk ist bekannt.,Das,Das Werk ist bekannt.,,nominative,neuter,
63,100,_____ Richtung ist richtig.,Die,Die Richtung ist richtig.,,nominative,feminine,
64,100,_____ Programm ist neu.,Das,Das Programm ist neu.,,nominative,neuter,
65,100,_____ Angst ist groß.,Die,Die Angst ist groß.,,nominative,feminine,
66,100,_____ Information ist wichtig.,Die,Die Information ist wichtig.,,nominative,feminine,
67,100,_____ Kunst ist schön.,Die,Die Kunst ist schön.,,nominative,feminine,
68,100,_____ Musik ist laut.,Die,Die Musik ist laut.,,nominative,feminine,
69,100,_____ Politiken sind kompliziert.,Die,Die Politiken sind kompliziert.,,nominative,plural,
70,100,_____ Beruf ist spannend.,Der,Der Beruf ist spannend.,,nominative,masculine,
71,100,_____ Regel ist klar.,Die,Die Regel ist klar.,,nominative,feminine,
72,100,_____ Gott ist mächtig.,Der,Der Gott ist mächtig.,,nominative,masculine,
73,100,_____ Auto ist schnell.,Das,Das Auto ist schnell.,,nominative,neuter,
74,100,_____ Tisch ist aus Holz.,Der,Der Tisch ist aus Holz.,,nominative,masculine,
75,100,_____ Spiel ist spannend.,Das,Das Spiel ist spannend.,,nominative,neuter,
76,100,_____ Licht ist hell.,Das,Das Licht ist hell.,,nominative,neuter,
77,100,_____ Markt ist groß.,Der,Der Markt ist groß.,,nominative,masculine,
78,100,_____ Tochter ist freundlich.,Die,Die Tochter ist freundlich.,,nominative,feminine,
79,100,_____ Kirchen sind alt.,Die,Die Kirchen sind alt.,,nominative,plural,
80,100,_____ Frage ist einfach.,Die,Die Frage ist einfach.,,nominative,feminine,
81,100,_____ Haus ist groß.,Das,Das Haus ist groß.,,nominative,neuter,
82,100,_____ Leute sind freundlich.,Die,Die Leute sind freundlich.,,nominative,feminine,
83,100,_____ Arbeit ist schwer.,Die,Die Arbeit ist schwer.,,nominative,feminine,
84,100,_____ Prozent ist hoch.,Das,Das Prozent ist hoch.,,nominative,neuter,
85,100,_____ Hand ist klein.,Die,Die Hand ist klein.,,nominative,feminine,
86,100,_____ Stadt ist alt.,Die,Die Stadt ist alt.,,nominative,feminine,
87,100,_____ Herr ist müde.,Der,Der Herr ist müde.,,nominative,masculine,
88,100,_____ Problem ist groß.,Das,Das Problem ist groß.,,nominative,neuter,
89,100,_____ Welt sind schön.,Die,Die Welt sind schön.,,nominative,plural,
90,100,_____ Jahr haben zwölf Monate.,Das,Das Jahr haben zwölf Monate.,,nominative,neuter,
91,100,_____ Mal ist anders als vorher.,Das,Das Mal ist anders als vorher.,,nominative,neuter,
92,100,_____ Beispiel ist sehr einfach.,Das,Das Beispiel ist sehr einfach.,,nominative,neuter,
93,100,_____ Zeit ist knapp.,Die,Die Zeit ist knapp.,,nominative,feminine,
94,100,_____ Frau sind nett.,Die,Die Frau sind nett.,,nominative,feminine,
95,100,_____ Mensch ist intelligent.,Der,Der Mensch ist intelligent.,,nominative,masculine,
96,100,_____ Kind ist klein.,Das,Das Kind ist klein.,,nominative,neuter,
97,100,_____ Tag ist schön.,Der,Der Tag ist schön.,,nominative,masculine,
98,100,_____ Mann sind stark.,Der,Der Mann sind stark.,,nominative,masculine,
99,100,_____ Land ist groß.,Das,Das Land ist groß.,,nominative,neuter,
100,101,Ich sehe _____ Ende des Films.,das,Ich sehe das Ende des Films.,,accusative,neuter,
101,101,Er hat _____ Million gewonnen.,die,Er hat die Million gewonnen.,,accusative,feminine,
102,101,Wir besuchen _____ Schule jeden Tag.,die,Wir besuchen die Schule jeden Tag.,,accusative,feminine,
103,101,Ich plane _____ Woche im Voraus.,die,Ich plane die Woche im Voraus.,,accusative,feminine,
104,101,Sie ruft _____ Vater an.,den,Sie ruft den Vater an.,,accusative,masculine,
105,101,Ich lese _____ Seite im Buch.,die,Ich lese die Seite im Buch.,,accusative,feminine,
106,101,Er genießt _____ Leben.,das,Er genießt das Leben.,,accusative,neuter,
107,101,Wir besuchen _____ Mutter am Wochenende.,die,Wir besuchen die Mutter am Wochenende.,,accusative,feminine,
108,101,Sie schützt _____ Auge mit einer Brille.,das,Sie schützt das Auge mit einer Brille.,,accusative,neuter,
109,101,Er schreibt die Wörter auf.,das,Er schreibt die Wörter auf.,,accusative,plural,
110,101,Er spart _____ Geld.,das,Er spart das Geld.,,accusative,neuter,
111,101,Wir nehmen _____ Weg durch den Park.,den,Wir nehmen den Weg durch den Park.,,accusative,masculine,
112,101,Ich lerne _____ Stunde lang.,die,Ich lerne die Stunde lang.,,accusative,feminine,
113,101,Ich kenne _____ Namen nicht.,den,Ich kenne den Namen nicht.,,accusative,masculine,
114,101,Er hält _____ Kopf hoch.,den,Er hält den Kopf hoch.,,accusative,masculine,
115,101,Ich sehe _____ Paar auf der Straße.,das,Ich sehe das Paar auf der Straße.,,accusative,neuter,
116,101,Wir unterstützen _____ Unternehmen.,das,Wir unterstützen das Unternehmen.,,accusative,neuter,
117,101,Sie malt _____ Bild.,das,Sie malt das Bild.,,accusative,neuter,
118,101,Er liest _____ Buch.,das,Er liest das Buch.,,accusative,neuter,
119,101,Ich trinke die Wasser.,das,Ich trinke die Wasser.,,accusative,plural,
120,101,Er findet _____ Stelle interessant.,die,Er findet die Stelle interessant.,,accusative,feminine,
121,101,Ich ändere _____ Form des Designs.,die,Ich ändere die Form des Designs.,,accusative,feminine,
122,101,Wir feiern _____ Monat des Herbstes.,den,Wir feiern den Monat des Herbstes.,,accusative,masculine,
123,101,Sie liebt _____ Familie sehr.,die,Sie liebt die Familie sehr.,,accusative,feminine,
124,101,Ich genieße _____ Morgen mit Kaffee.,den,Ich genieße den Morgen mit Kaffee.,,accusative,masculine,
125,101,Wir verbringen _____ Abend zusammen.,den,Wir verbringen den Abend zusammen.,,accusative,masculine,
126,101,Ich verstehe _____ Sinn des Wortes.,den,Ich verstehe den Sinn des Wortes.,,accusative,masculine,
127,101,Er kennt _____ Staat gut.,den,Er kennt den Staat gut.,,accusative,masculine,
128,101,Wir erreichen _____ Ziel bald.,das,Wir erreichen das Ziel bald.,,accusative,neuter,
129,101,Ich besuche die Freunde in Berlin.,den,Ich besuche die Freunde in Berlin.,,accusative,plural,
130,101,Er diskutiert _____ Thema im Kurs.,das,Er diskutiert das Thema im Kurs.,,accusative,neuter,
131,101,Ich kenne _____ Person nicht.,die,Ich kenne die Person nicht.,,accusative,feminine,
132,101,Sie verbringt _____ Nacht im Hotel.,die,Sie verbringt die Nacht im Hotel.,,accusative,feminine,
133,101,Wir betreten _____ Raum leise.,den,Wir betreten den Raum leise.,,accusative,masculine,
134,101,Ich genieße _____ Blick auf das Meer.,den,Ich genieße den Blick auf das Meer.,,accusative,masculine,
135,101,Er reserviert _____ Platz für uns.,den,Er reserviert den Platz für uns.,,accusative,masculine,
136,101,Ich schreibe _____ Zahl auf.,die,Ich schreibe die Zahl auf.,,accusative,feminine,
137,101,Ich kaufe _____ Uhr im Geschäft.,die,Ich kaufe die Uhr im Geschäft.,,accusative,feminine,
138,101,Wir besuchen _____ Eltern am Sonntag.,die,Wir besuchen die Eltern am Sonntag.,,accusative,plural,
139,101,Ich überquere _____ Straße.,die,Ich überquere die Straße.,,accusative,feminine,
140,101,Ich warte _____ Minute.,die,Ich warte die Minute.,,accusative,feminine,
141,101,Er sieht _____ Gruppe im Park.,die,Er sieht die Gruppe im Park.,,accusative,feminine,
142,101,Ich verstehe _____ Wert dieser Idee.,den,Ich verstehe den Wert dieser Idee.,,accusative,masculine,
143,101,Sie wäscht _____ Gesicht mit Wasser.,das,Sie wäscht das Gesicht mit Wasser.,,accusative,neuter,
144,101,Wir lernen _____ Sprache in der Schule.,die,Wir lernen die Sprache in der Schule.,,accusative,feminine,
145,101,Ich besuche _____ Ort jedes Jahr.,den,Ich besuche den Ort jedes Jahr.,,accusative,masculine,
146,101,Er genießt _____ Moment.,den,Er genießt den Moment.,,accusative,masculine,
147,101,Ich habe _____ Interesse an diesem Thema.,das,Ich habe das Interesse an diesem Thema.,,accusative,neuter,
148,101,Er spielt _____ Rollen gut.,die,Er spielt die Rollen gut.,,accusative,plural,
149,101,Sie öffnet _____ Tür.,die,Sie öffnet die Tür.,,accusative,feminine,
150,101,Der Lehrer hilft _____ Schüler.,den,Der Lehrer hilft den Schüler.,,accusative,masculine,
151,101,Ich lese _____ Text im Buch.,den,Ich lese den Text im Buch.,,accusative,masculine,
152,101,Er isst _____ Stück Kuchen.,das,Er isst das Stück Kuchen.,,accusative,neuter,
153,101,Wir mieten _____ Wohnung.,die,Wir mieten die Wohnung.,,accusative,feminine,
154,101,Er misst _____ Meter mit dem Lineal.,den,Er misst den Meter mit dem Lineal.,,accusative,masculine,
155,101,Ich setze _____ Punkt am Ende des Satzes.,den,Ich setze den Punkt am Ende des Satzes.,,accusative,masculine,
156,101,Sie erklärt _____ Situation.,die,Sie erklärt die Situation.,,accusative,feminine,
157,101,Ich sehe _____ Lehrer in der Schule.,den,Ich sehe den Lehrer in der Schule.,,accusative,masculine,
158,101,Er bezahlt _____ Preise.,die,Er bezahlt die Preise.,,accusative,plural,
159,101,Ich studiere _____ Jahrhundert der Geschichte.,das,Ich studiere das Jahrhundert der Geschichte.,,accusative,neuter,
160,101,Sie sieht _____ Sohn im Garten.,den,Sie sieht den Sohn im Garten.,,accusative,masculine,
161,101,Er kennt _____ Werk des Künstlers.,das,Er kennt das Werk des Künstlers.,,accusative,neuter,
162,101,Wir nehmen _____ Richtung nach Süden.,die,Wir nehmen die Richtung nach Süden.,,accusative,feminine,
163,101,Ich installiere _____ Programm auf dem Computer.,das,Ich installiere das Programm auf dem Computer.,,accusative,neuter,
164,101,Er fühlt _____ Angst in seinem Herzen.,die,Er fühlt die Angst in seinem Herzen.,,accusative,feminine,
165,101,Sie sucht _____ Information online.,die,Sie sucht die Information online.,,accusative,feminine,
166,101,Wir bewundern _____ Kunst im Museum.,die,Wir bewundern die Kunst im Museum.,,accusative,feminine,
167,101,Er hört _____ Musik im Radio.,die,Er hört die Musik im Radio.,,accusative,feminine,
168,101,Sie diskutiert _____ Politiken in der Zeitung.,die,Sie diskutiert die Politiken in der Zeitung.,,accusative,plural,
169,101,Ich lerne _____ Beruf in der Ausbildung.,den,Ich lerne den Beruf in der Ausbildung.,,accusative,masculine,
170,101,Wir befolgen _____ Regel in der Schule.,die,Wir befolgen die Regel in der Schule.,,accusative,feminine,
171,101,Er verehrt _____ Gott seiner Religion.,den,Er verehrt den Gott seiner Religion.,,accusative,masculine,
172,101,Er fährt _____ Auto zur Arbeit.,das,Er fährt das Auto zur Arbeit.,,accusative,neuter,
173,101,Sie deckt _____ Tisch für das Abendessen.,den,Sie deckt den Tisch für das Abendessen.,,accusative,masculine,
174,101,Ich spiele _____ Spiel mit meinen Freunden.,das,Ich spiele das Spiel mit meinen Freunden.,,accusative,neuter,
175,101,Er schaltet _____ Licht aus.,das,Er schaltet das Licht aus.,,accusative,neuter,
176,101,Sie besucht _____ Markt jeden Samstag.,den,Sie besucht den Markt jeden Samstag.,,accusative,masculine,
177,101,Er liebt _____ Tochter sehr.,die,Er liebt die Tochter sehr.,,accusative,feminine,
178,101,Wir besuchen _____ Kirchen am Sonntag.,die,Wir besuchen die Kirchen am Sonntag.,,accusative,plural,
179,101,Ich sehe _____ Jahr auf dem Kalender.,das,Ich sehe das Jahr auf dem Kalender.,,accusative,neuter,
180,101,Ich erinnere mich an _____ Mal.,das,Ich erinnere mich an das Mal.,,accusative,neuter,
181,101,Er gibt _____ Beispiel im Unterricht.,das,Er gibt das Beispiel im Unterricht.,,accusative,neuter,
182,101,Wir brauchen _____ Zeit für das Projekt.,die,Wir brauchen die Zeit für das Projekt.,,accusative,feminine,
183,101,Er kennt _____ Frau gut.,die,Er kennt die Frau gut.,,accusative,feminine,
184,101,Ich treffe _____ Menschen im Park.,den,Ich treffe den Menschen im Park.,,accusative,masculine,
185,101,Sie liebt _____ Kind sehr.,das,Sie liebt das Kind sehr.,,accusative,neuter,
186,101,Wir genießen _____ Tag am Strand.,den,Wir genießen den Tag am Strand.,,accusative,masculine,
187,101,Sie sieht _____ Mann im Restaurant.,den,Sie sieht den Mann im Restaurant.,,accusative,masculine,
188,101,Wir besuchen _____ Länder im Sommer.,die,Wir besuchen die Länder im Sommer.,,accusative,plural,
189,101,Er beantwortet _____ Frage richtig.,die,Er beantwortet die Frage richtig.,,accusative,feminine,
190,101,Sie kauft _____ Haus in der Stadt.,das,Sie kauft das Haus in der Stadt.,,accusative,neuter,
191,101,Ich treffe _____ Leute am Bahnhof.,die,Ich treffe die Leute am Bahnhof.,,accusative,feminine,
192,101,Sie erledigt _____ Arbeit schnell.,die,Sie erledigt die Arbeit schnell.,,accusative,feminine,
193,101,Ich berechne _____ Prozent.,das,Ich berechne das Prozent.,,accusative,neuter,
194,101,Er hält _____ Hand seines Freundes.,die,Er hält die Hand seines Freundes.,,accusative,feminine,
195,101,Wir besuchen _____ Stadt am Wochenende.,die,Wir besuchen die Stadt am Wochenende.,,accusative,feminine,
196,101,Ich rufe _____ Herrn am Telefon an.,den,Ich rufe den Herrn am Telefon an.,,accusative,masculine,
197,101,Sie löst _____ Problem leicht.,das,Sie löst das Problem leicht.,,accusative,neuter,
198,101,Er entdeckt _____ Welten mit Neugier.,die,Er entdeckt die Welten mit Neugier.,,accusative,plural,
199,102,Er widmet sich _____ Jahrhundert der Geschichte.,dem,Er widmet sich dem Jahrhundert der Geschichte.,,dative,masculine,
200,102,Sie gibt _____ Sohn ein Geschenk.,dem,Sie gibt dem Sohn ein Geschenk.,,dative,masculine,
201,102,Er vertraut _____ Werk des Künstlers.,dem,Er vertraut dem Werk des Künstlers.,,dative,masculine,
202,102,Ich folge _____ Richtung des Weges.,der,Ich folge der Richtung des Weges.,,dative,feminine,
203,102,Ich helfe _____ Programm bei der Installation.,dem,Ich helfe dem Programm bei der Installation.,,dative,masculine,
204,102,Er stellt sich _____ Angst.,der,Er stellt sich der Angst.,,dative,feminine,
205,102,Sie folgt _____ Information auf der Website.,der,Sie folgt der Information auf der Website.,,dative,feminine,
206,102,Wir danken _____ Kunst für ihre Schönheit.,der,Wir danken der Kunst für ihre Schönheit.,,dative,feminine,
207,102,Er lauscht _____ Musik.,der,Er lauscht der Musik.,,dative,feminine,
208,102,Sie wi_____spricht den Politiken des Landes.,der,Sie widerspricht den Politiken des Landes.,,dative,plural,
209,102,Ich widme mich _____ Beruf.,dem,Ich widme mich dem Beruf.,,dative,masculine,
210,102,Wir folgen _____ Regel in _____ Schule.,der,Wir folgen der Regel in der Schule.,,dative,feminine,
211,102,Er glaubt _____ Gott seiner Religion.,dem,Er glaubt dem Gott seiner Religion.,,dative,masculine,
212,102,Ich nähere mich _____ Auto.,dem,Ich nähere mich dem Auto.,,dative,masculine,
213,102,Er gibt _____ Tisch eine neue Farbe.,dem,Er gibt dem Tisch eine neue Farbe.,,dative,masculine,
214,102,Ich folge _____ Spiel mit Spannung.,dem,Ich folge dem Spiel mit Spannung.,,dative,masculine,
215,102,Er nähert sich _____ Licht am Ende des Tunnels.,dem,Er nähert sich dem Licht am Ende des Tunnels.,,dative,masculine,
216,102,Sie hilft _____ Markt mit Werbung.,dem,Sie hilft dem Markt mit Werbung.,,dative,masculine,
217,102,Er schenkt _____ Tochter eine Puppe.,der,Er schenkt der Tochter eine Puppe.,,dative,feminine,
218,102,Wir danken _____ Kirchen für ihre Unterstützung.,den,Wir danken den Kirchen für ihre Unterstützung.,,dative,plural,
219,102,Ich folge _____ Straße bis zum Park.,der,Ich folge der Straße bis zum Park.,,dative,feminine,
220,102,Ich widme _____ Minute meine volle Aufmerksamkeit.,der,Ich widme der Minute meine volle Aufmerksamkeit.,,dative,feminine,
221,102,Er hilft _____ Gruppe mit den Aufgaben.,der,Er hilft der Gruppe mit den Aufgaben.,,dative,feminine,
222,102,Ich vertraue _____ Wert dieser Information.,dem,Ich vertraue dem Wert dieser Information.,,dative,masculine,
223,102,Sie wendet sich _____ Gesicht zu.,dem,Sie wendet sich dem Gesicht zu.,,dative,masculine,
224,102,Wir danken _____ Sprache für ihre Schönheit.,der,Wir danken der Sprache für ihre Schönheit.,,dative,feminine,
225,102,Ich nähere mich _____ Ort langsam.,dem,Ich nähere mich dem Ort langsam.,,dative,masculine,
226,102,Er erinnert sich an _____ Moment.,dem,Er erinnert sich an dem Moment.,,dative,masculine,
227,102,Sie folgt _____ Interesse des Publikums.,dem,Sie folgt dem Interesse des Publikums.,,dative,masculine,
228,102,Er bleibt _____ Rollen treu.,den,Er bleibt den Rollen treu.,,dative,plural,
229,102,Ich stehe _____ Tür gegenüber.,der,Ich stehe der Tür gegenüber.,,dative,feminine,
230,102,Der Lehrer hilft _____ Schüler.,dem,Der Lehrer hilft dem Schüler.,,dative,masculine,
231,102,Ich folge _____ Text im Buch.,dem,Ich folge dem Text im Buch.,,dative,masculine,
232,102,Er gibt _____ Stück eine neue Interpretation.,dem,Er gibt dem Stück eine neue Interpretation.,,dative,masculine,
233,102,Wir helfen _____ Wohnungssuche.,der,Wir helfen der Wohnungssuche.,,dative,feminine,
234,102,Er misst _____ Meter mit _____ Lineal.,dem,Er misst dem Meter mit dem Lineal.,,dative,masculine,
235,102,Ich nähere mich _____ Punkt im Text.,dem,Ich nähere mich dem Punkt im Text.,,dative,masculine,
236,102,Ich passe mich _____ Situation an.,der,Ich passe mich der Situation an.,,dative,feminine,
237,102,Ich danke _____ Lehrer für die Hilfe.,dem,Ich danke dem Lehrer für die Hilfe.,,dative,masculine,
238,102,Er widerspricht _____ Preisen des Produkts.,den,Er widerspricht den Preisen des Produkts.,,dative,plural,
239,102,Er hilft _____ Stelle mit neuen Ideen.,der,Er hilft der Stelle mit neuen Ideen.,,dative,feminine,
240,102,Ich passe _____ Form an.,der,Ich passe der Form an.,,dative,feminine,
241,102,Wir widmen _____ Monat besondere Bedeutung.,dem,Wir widmen dem Monat besondere Bedeutung.,,dative,masculine,
242,102,Sie hilft _____ Familie oft.,der,Sie hilft der Familie oft.,,dative,feminine,
243,102,Ich genieße _____ Morgen mit einem Kaffee.,dem,Ich genieße dem Morgen mit einem Kaffee.,,dative,masculine,
244,102,Wir danken _____ Abend für die Ruhe.,dem,Wir danken dem Abend für die Ruhe.,,dative,masculine,
245,102,Ich vertraue _____ Sinn seiner Worte.,dem,Ich vertraue dem Sinn seiner Worte.,,dative,masculine,
246,102,Er dient _____ Staat als Beamter.,dem,Er dient dem Staat als Beamter.,,dative,masculine,
247,102,Sie nähert sich _____ Ziel langsam.,dem,Sie nähert sich dem Ziel langsam.,,dative,masculine,
248,102,Ich helfe _____ Freunden mit der Arbeit.,den,Ich helfe den Freunden mit der Arbeit.,,dative,plural,
249,102,Wir bleiben _____ Thema treu.,dem,Wir bleiben dem Thema treu.,,dative,masculine,
250,102,Ich danke _____ Person für ihre Hilfe.,der,Ich danke der Person für ihre Hilfe.,,dative,feminine,
251,102,Er widmet sich _____ Nacht und den Sternen.,der,Er widmet sich der Nacht und den Sternen.,,dative,feminine,
252,102,Ich gebe _____ Raum eine neue Farbe.,dem,Ich gebe dem Raum eine neue Farbe.,,dative,masculine,
253,102,Sie folgt _____ Blick des Fotografen.,dem,Sie folgt dem Blick des Fotografen.,,dative,masculine,
254,102,Er nähert sich _____ Platz vorsichtig.,dem,Er nähert sich dem Platz vorsichtig.,,dative,masculine,
255,102,Ich vertraue _____ Zahl auf dem Formular.,der,Ich vertraue der Zahl auf dem Formular.,,dative,feminine,
256,102,Ich glaube _____ Uhr nicht.,der,Ich glaube der Uhr nicht.,,dative,feminine,
257,102,Wir helfen _____ Eltern im Haushalt.,den,Wir helfen den Eltern im Haushalt.,,dative,plural,
258,102,Ich sehe _____ Ende des Films entgegen.,dem,Ich sehe dem Ende des Films entgegen.,,dative,masculine,
259,102,Er vertraut _____ Million an der Börse.,der,Er vertraut der Million an der Börse.,,dative,feminine,
260,102,Wir helfen _____ Schule mit Spenden.,der,Wir helfen der Schule mit Spenden.,,dative,feminine,
261,102,Ich widme _____ Woche meine Zeit.,der,Ich widme der Woche meine Zeit.,,dative,feminine,
262,102,Sie gibt _____ Vater ein Geschenk.,dem,Sie gibt dem Vater ein Geschenk.,,dative,masculine,
263,102,Ich folge _____ Seite im Buch.,der,Ich folge der Seite im Buch.,,dative,feminine,
264,102,Er dankt _____ Leben für seine Erfahrungen.,dem,Er dankt dem Leben für seine Erfahrungen.,,dative,masculine,
265,102,Wir helfen _____ Mutter im Haushalt.,der,Wir helfen der Mutter im Haushalt.,,dative,feminine,
266,102,Sie schützt _____ Auge mit einer Brille.,dem,Sie schützt dem Auge mit einer Brille.,,dative,masculine,
267,102,Ich glaube _____ Wörtern des Lehrers.,den,Ich glaube den Wörtern des Lehrers.,,dative,plural,
268,102,Er vertraut _____ Geld nicht.,dem,Er vertraut dem Geld nicht.,,dative,masculine,
269,102,Ich folge _____ Weg zum See.,dem,Ich folge dem Weg zum See.,,dative,masculine,
270,102,Ich widme _____ Stunde meine volle Konzentration.,der,Ich widme der Stunde meine volle Konzentration.,,dative,feminine,
271,102,Ich erinnere mich an _____ Namen.,dem,Ich erinnere mich an dem Namen.,,dative,masculine,
272,102,Er nickt _____ Kopf zu.,dem,Er nickt dem Kopf zu.,,dative,masculine,
