Nr,level,question,answer,english,german
260,7,Was steckt _____ dieser Geschichte?,hinter,What's behind this story?,Was steckt hinter dieser Geschichte?
261,7,Ich bin _____ der Schule.,in,I am in school.,Ich bin in der Schule.
262,7,Das Buch ist _____ der Tasche.,in,The book is in the bag.,Das Buch ist in der Tasche.
263,7,Wir wohnen _____ Berlin.,in,We live in Berlin.,Wir wohnen in Berlin.
264,7,_____ Sommer ist es warm.,Im,In summer it is warm.,Im Sommer ist es warm.
265,7,Ich bin _____ Büro.,im,I am in the office.,Ich bin im Büro.
266,7,Ich fahre _____ dem Bus.,mit,I go by bus.,Ich fahre mit dem Bus.
267,7,Ich esse _____ meiner Familie.,mit,I eat with my family.,Ich esse mit meiner Familie.
268,7,Sie spielt _____ ihren Freunden.,mit,She plays with her friends.,Sie spielt mit ihren Freunden.
269,7,Ich trinke Kaffee _____ Milch.,mit,I drink coffee with milk.,Ich trinke Kaffee mit Milch.
270,7,Er schreibt _____ einem Stift.,mit,He writes with a pen.,Er schreibt mit einem Stift.
271,7,Ich fahre _____ Berlin.,nach,I am going to Berlin.,Ich fahre nach Berlin.
272,7,Wir fliegen _____ Italien.,nach,We are flying to Italy.,Wir fliegen nach Italien.
273,7,_____ dem Essen spüle ich das Geschirr.,Nach,"After the meal, I wash the dishes.",Nach dem Essen spüle ich das Geschirr.
274,7,Ich gehe _____ Hause.,nach,I am going home.,Ich gehe nach Hause.
275,7,_____ langer Zeit sehen wir uns wieder.,Nach,"After a long time, we see each other again.",Nach langer Zeit sehen wir uns wieder.
276,7,Der Stuhl steht _____ dem Tisch.,neben,The chair is next to the table.,Der Stuhl steht neben dem Tisch.
277,7,Ich sitze _____ meiner Mutter.,neben,I am sitting next to my mother.,Ich sitze neben meiner Mutter.
278,7,Das Haus ist _____ der Kirche.,neben,The house is next to the church.,Das Haus ist neben der Kirche.
279,7,_____ dem Bahnhof gibt es ein Café.,Neben,Next to the train station there is a café.,Neben dem Bahnhof gibt es ein Café.
280,7,Er stellt die Lampe _____ das Bett.,neben,He puts the lamp next to the bed.,Er stellt die Lampe neben das Bett.
281,7,Ich trinke Kaffee _____ Milch.,ohne,I drink coffee without milk.,Ich trinke Kaffee ohne Milch.
282,7,Er geht _____ Jacke raus.,ohne,He goes out without a jacket.,Er geht ohne Jacke raus.
283,7,_____ dich wäre ich traurig.,Ohne,"Without you, I would be sad.",Ohne dich wäre ich traurig.
284,7,Sie kommt _____ ihre Kinder.,ohne,She comes without her children.,Sie kommt ohne ihre Kinder.
285,7,Ich kann _____ meine Brille nicht lesen.,ohne,I can't read without my glasses.,Ich kann ohne meine Brille nicht lesen.
286,7,Ich wohne _____ einem Jahr in Berlin.,seit,I have been living in Berlin for a year.,Ich wohne seit einem Jahr in Berlin.
287,7,Sie arbeitet _____ Montag in der neuen Firma.,seit,She has been working at the new company since Monday.,Sie arbeitet seit Montag in der neuen Firma.
288,7,_____ gestern bin ich krank.,Seit,I have been sick since yesterday.,Seit gestern bin ich krank.
289,7,_____ langer Zeit habe ich ihn nicht gesehen.,Seit,I haven't seen him for a long time.,Seit langer Zeit habe ich ihn nicht gesehen.
290,7,_____ dem Unfall kann er nicht mehr laufen.,Seit,"Since the accident, he can no longer walk.",Seit dem Unfall kann er nicht mehr laufen.
291,7,Die Lampe hängt _____ dem Tisch.,über,The lamp hangs above the table.,Die Lampe hängt über dem Tisch.
292,7,Das Bild hängt _____ dem Sofa.,über,The picture hangs above the sofa.,Das Bild hängt über dem Sofa.
293,7,Der Film ist _____ das Leben eines Künstlers.,über,The film is about the life of an artist.,Der Film ist über das Leben eines Künstlers.
294,7,Der Ball liegt _____ dem Tisch.,unter,The ball is under the table.,Der Ball liegt unter dem Tisch.
295,7,Das Buch ist _____ den Papieren.,unter,The book is under the papers.,Das Buch ist unter den Papieren.
296,7,Wir sitzen _____ einem Baum.,unter,We are sitting under a tree.,Wir sitzen unter einem Baum.
297,7,Die Temperatur ist _____ null Grad.,unter,The temperature is below zero degrees.,Die Temperatur ist unter null Grad.
298,7,Der Unterricht beginnt _____ 8 Uhr.,um,The lesson starts at 8 o'clock.,Der Unterricht beginnt um 8 Uhr.
299,7,Ich treffe dich _____ 10 Uhr.,um,I'll meet you at 10 o'clock.,Ich treffe dich um 10 Uhr.
300,7,Die Erde dreht sich _____ die Sonne.,um,The Earth revolves around the sun.,Die Erde dreht sich um die Sonne.
301,7,Wir sitzen _____ den Tisch.,um,We are sitting around the table.,Wir sitzen um den Tisch.
302,7,Das Buch ist _____ meinem Bruder.,von,The book is from my brother.,Das Buch ist von meinem Bruder.
303,7,Der Zug fährt _____ München nach Hamburg.,von,The train travels from Munich to Hamburg.,Der Zug fährt von München nach Hamburg.
304,7,Die Farbe ist _____ guter Qualität.,von,The paint is of good quality.,Die Farbe ist von guter Qualität.
305,7,_____ Montag bis Freitag arbeite ich.,Von,"From Monday to Friday, I work.",Von Montag bis Freitag arbeite ich.
306,7,Der Baum steht _____ dem Haus.,vor,The tree stands in front of the house.,Der Baum steht vor dem Haus.
307,7,Ich warte _____ der Tür.,vor,I am waiting in front of the door.,Ich warte vor der Tür.
308,7,Das ist _____ meiner Zeit passiert.,vor,That happened before my time.,Das ist vor meiner Zeit passiert.
309,7,Sie schützt sich _____ der Sonne.,vor,She protects herself from the sun.,Sie schützt sich vor der Sonne.
310,7,Ich gehe _____ Bahnhof.,zum,I am going to the train station.,Ich gehe zum Bahnhof.
311,7,Wir fahren _____ Strand.,zum,We are driving to the beach.,Wir fahren zum Strand.
312,7,Ich gehe _____ Fuss.,zu,I go on foot.,Ich gehe zu Fuss.
313,7,_____ dem Frühstück esse ich Brot.,Zu,"For breakfast, I eat bread.",Zu dem Frühstück esse ich Brot.
314,7,Ich gratuliere dir _____ Geburtstag.,zum,I congratulate you on your birthday.,Ich gratuliere dir zum Geburtstag.
315,7,Der Tisch steht _____ den Stühlen.,zwischen,The table is between the chairs.,Der Tisch steht zwischen den Stühlen.
316,7,Ich sitze _____ meiner Mutter und meinem Vater.,zwischen,I am sitting between my mother and my father.,Ich sitze zwischen meiner Mutter und meinem Vater.
317,7,Das Museum ist _____ der Bank und der Post.,zwischen,The museum is between the bank and the post office.,Das Museum ist zwischen der Bank und der Post.
318,7,_____ 10 und 12 Uhr bin ich im Büro.,Zwischen,Between 10 and 12 o'clock I am in the office.,Zwischen 10 und 12 Uhr bin ich im Büro.
319,7,Es gibt einen Unterschied _____ diesen beiden Büchern.,zwischen,There is a difference between these two books.,Es gibt einen Unterschied zwischen diesen beiden Büchern.
320,7,Wir gehen _____ die Strasse,auf,We go onto the street,Wir gehen auf die Strasse
321,8,_____ Abend esse ich Brot.,Am,On the evening I eat bread.,Am Abend esse ich Brot.
322,8,Die Lampe ist _____ der Decke.,an,The lamp is on the ceiling.,Die Lampe ist an der Decke.
323,8,Wir fahren _____ den See.,an,We drive to the lake.,Wir fahren an den See.
324,8,Das Haus ist _____ Fluss.,am,The house is on the river.,Das Haus ist am Fluss.
325,8,Sie schreibt _____ dem Papier,auf,She writes on the paper,Sie schreibt auf dem Papier
326,8,Ich gehe _____ die Party,auf,I go to the party,Ich gehe auf die Party
327,8,Die Musik kommt _____ dem Radio.,aus,The music comes from the radio.,Die Musik kommt aus dem Radio.
328,8,Das Licht kommt _____ dem Fenster.,aus,The light comes from the window.,Das Licht kommt aus dem Fenster.
329,8,Ich nehme das Buch _____ dem Regal.,aus,I take the book from the shelf.,Ich nehme das Buch aus dem Regal.
330,8,Sie steigt _____ dem Bus.,aus,She gets out of the bus.,Sie steigt aus dem Bus.
331,8,Die Geschichte ist _____ dem Buch.,aus,The story is from the book.,Die Geschichte ist aus dem Buch.
332,8,Das Problem liegt _____ der Technik.,bei,The problem is with the technology.,Das Problem liegt bei der Technik.
333,8,_____ dieser Frage brauche ich Hilfe.,Bei,"With this question, I need help.",Bei dieser Frage brauche ich Hilfe.
334,8,Er ist _____ guter Gesundheit.,bei,He is in good health.,Er ist bei guter Gesundheit.
335,8,Ich wohne _____ meiner Familie.,bei,I live with my family.,Ich wohne bei meiner Familie.
336,8,Es ist nur ein kurzer Weg _____ zum Park.,bis,It's only a short way to the park.,Es ist nur ein kurzer Weg bis zum Park.
337,8,_____ später!,Bis,See you later! / Until later!,Bis später!
338,8,Ich zähle _____ zehn.,bis,I count to ten.,Ich zähle bis zehn.
339,8,_____ dahin muss es fertig sein.,Bis,It must be finished by then.,Bis dahin muss es fertig sein.
340,8,Ich danke dir _____ deine Hilfe.,für,I thank you for your help.,Ich danke dir für deine Hilfe.
341,8,Wir haben _____ morgen einen Termin.,für,We have an appointment for tomorrow.,Wir haben für morgen einen Termin.
342,8,_____ mich ist das kein Problem.,Für,"For me, that's not a problem.",Für mich ist das kein Problem.
343,8,Er hat das _____ seinen Freund getan.,für,He did that for his friend.,Er hat das für seinen Freund getan.
344,8,Das Rezept ist _____ vier Personen.,für,The recipe is for four people.,Das Rezept ist für vier Personen.
345,8,Er hat _____ die Regeln verstossen.,gegen,He acted against the rules.,Er hat gegen die Regeln verstossen.
346,8,Stell die Leiter _____ die Wand.,gegen,Put the ladder against the wall.,Stell die Leiter gegen die Wand.
347,8,Ich habe nichts _____ ihn.,gegen,I have nothing against him.,Ich habe nichts gegen ihn.
348,8,Wir kämpfen _____ die Ungerechtigkeit.,gegen,We fight against injustice.,Wir kämpfen gegen die Ungerechtigkeit.
349,8,_____ dem Haus ist ein Garten.,Hinter,Behind the house is a garden.,Hinter dem Haus ist ein Garten.
350,8,Sie versteckt sich _____ der Tür.,hinter,She is hiding behind the door.,Sie versteckt sich hinter der Tür.
351,8,Ich habe es _____ meinen Rücken getan.,hinter,I did it behind my back.,Ich habe es hinter meinen Rücken getan.
352,8,_____ den Bergen geht die Sonne unter.,Hinter,The sun sets behind the mountains.,Hinter den Bergen geht die Sonne unter.
353,8,Er steht _____ seiner Entscheidung.,hinter,He stands behind his decision.,Er steht hinter seiner Entscheidung.
354,8,Das Bild hängt _____ Wohnzimmer.,im,The picture hangs in the living room.,Das Bild hängt im Wohnzimmer.
355,8,Wir treffen uns _____ einer Stunde.,in,We will meet in one hour.,Wir treffen uns in einer Stunde.
356,8,Es ist kalt _____ Winter.,im,It is cold in winter.,Es ist kalt im Winter.
357,8,Der Fisch schwimmt _____ Wasser.,im,The fish swims in the water.,Der Fisch schwimmt im Wasser.
358,8,Wir sprechen _____ dem Lehrer.,mit,We speak with the teacher.,Wir sprechen mit dem Lehrer.
359,8,_____ dem Auto dauert es länger.,Mit,By car it takes longer.,Mit dem Auto dauert es länger.
360,8,Ich gehe _____ dir ins Kino.,mit,I go to the cinema with you.,Ich gehe mit dir ins Kino.
361,8,_____ Freude helfe ich dir.,Mit,"With pleasure, I help you.",Mit Freude helfe ich dir.
362,8,Sie kommt _____ dem Zug an.,mit,She arrives by train.,Sie kommt mit dem Zug an.
363,8,_____ Deutsch spreche ich auch Englisch.,Neben,"Besides German, I also speak English.",Neben Deutsch spreche ich auch Englisch.
364,8,Ich arbeite _____ meinem Studium.,neben,I work alongside my studies.,Ich arbeite neben meinem Studium.
365,8,_____ mir sass ein netter Mann.,Neben,Next to me sat a nice man.,Neben mir sass ein netter Mann.
366,8,_____ den Kosten gibt es auch Vorteile.,Neben,"Besides the costs, there are also advantages.",Neben den Kosten gibt es auch Vorteile.
367,8,_____ Geld kann man nichts kaufen.,Ohne,"Without money, you can't buy anything.",Ohne Geld kann man nichts kaufen.
368,8,Er hat die Prüfung _____ Probleme bestanden.,ohne,He passed the exam without problems.,Er hat die Prüfung ohne Probleme bestanden.
369,8,_____ zu zögern half er mir.,Ohne,"Without hesitating, he helped me.",Ohne zu zögern half er mir.
370,8,Sie ging _____ ein Wort zu sagen.,ohne,She left without saying a word.,Sie ging ohne ein Wort zu sagen.
371,8,Ich bin _____ Hunger.,ohne,I am without hunger. / I am not hungry.,Ich bin ohne Hunger.
372,8,_____ wann lernst du Deutsch?,Seit,How long have you been learning German?,Seit wann lernst du Deutsch?
373,8,Ich kenne ihn _____ meiner Kindheit.,seit,I have known him since my childhood.,Ich kenne ihn seit meiner Kindheit.
374,8,_____ dem frühen Morgen regnet es.,Seit,It has been raining since early morning.,Seit dem frühen Morgen regnet es.
375,8,Er springt _____ den Graben.,über,He jumps over the ditch.,Er springt über den Graben.
376,8,Ich habe _____ 10 Euro bezahlt.,über,I paid over 10 euros.,Ich habe über 10 Euro bezahlt.
377,8,Die Wolken ziehen _____ den Himmel.,über,The clouds are moving across the sky.,Die Wolken ziehen über den Himmel.
378,8,Schreib deinen Namen _____ den Text.,unter,Write your name under the text.,Schreib deinen Namen unter den Text.
379,8,Die Katze versteckt sich _____ dem Bett.,unter,The cat is hiding under the bed.,Die Katze versteckt sich unter dem Bett.
380,8,_____ wie viel Uhr kommst du?,Um,What time are you coming?,Um wie viel Uhr kommst du?
381,8,Er läuft _____ den Block.,um,He runs around the block.,Er läuft um den Block.
382,8,Ich habe das _____ meinem Vater gelernt.,von,I learned that from my father.,Ich habe das von meinem Vater gelernt.
383,8,Er ist krank _____ der Reise.,von,He is sick from the trip.,Er ist krank von der Reise.
384,8,Das ist ein Lied _____ den Beatles.,von,That is a song by the Beatles.,Das ist ein Lied von den Beatles.
385,8,Ich bin müde _____ der Arbeit.,von,I am tired from work.,Ich bin müde von der Arbeit.
386,8,_____ dem Essen waschen wir die Hände.,Vor,"Before eating, we wash our hands.",Vor dem Essen waschen wir die Hände.
387,8,_____ zwei Jahren war ich in Italien.,Vor,"Two years ago, I was in Italy.",Vor zwei Jahren war ich in Italien.
388,8,Er ist _____ Hause.,zu,He is at home.,Er ist zu Hause.
389,8,Ich bleibe _____ Hause.,zu,I am staying at home.,Ich bleibe zu Hause.
390,8,_____ Schluss möchte ich mich bedanken.,Zum,"In conclusion, I would like to thank you.",Zum Schluss möchte ich mich bedanken.
391,8,Ich habe keine Zeit _____ Lesen.,zum,I have no time to read.,Ich habe keine Zeit zum Lesen.
392,8,_____ uns gibt es keine Geheimnisse.,Zwischen,There are no secrets between us.,Zwischen uns gibt es keine Geheimnisse.
393,8,Leg das Buch _____ die anderen Bücher.,zwischen,Put the book between the other books.,Leg das Buch zwischen die anderen Bücher.
394,8,_____ den Jahren feiert man Silvester.,Zwischen,"Between the years, one celebrates New Year's Eve.",Zwischen den Jahren feiert man Silvester.
395,8,_____ zwei Welten.,Zwischen,Between two worlds.,Zwischen zwei Welten.
396,9,"opposite of, across",gegenüber,,
397,9,"through, across",durch,,
398,9,"along, down",entlang,,
399,9,outside of,ausserhalb,,
400,9,"inside of, within",innerhalb,,
401,9,according to,laut,,
402,9,with the help of,mithilfe,,
403,9,instead of,anstatt,,
404,9,despite,trotz,,
405,9,"during, throughout, while",während,,
406,9,"due to, because of",wegen,,
407,10,_____ des schlechten Wetters wurde das Spiel abgesagt.,Wegen,"Because of the bad weather, the game was canceled.",Wegen des schlechten Wetters wurde das Spiel abgesagt.
408,10,Er konnte nicht kommen _____ einer wichtigen Besprechung.,wegen,He couldn't come because of an important meeting.,Er konnte nicht kommen wegen einer wichtigen Besprechung.
409,10,_____ des Verkehrs sind wir zu spät gekommen.,Wegen,"Because of the traffic, we arrived late.",Wegen des Verkehrs sind wir zu spät gekommen.
410,10,Sie war traurig _____ der schlechten Nachricht.,wegen,She was sad because of the bad news.,Sie war traurig wegen der schlechten Nachricht.
411,10,_____ seines Fleisses hat er die Beförderung bekommen.,Wegen,"Because of his diligence, he got the promotion.",Wegen seines Fleisses hat er die Beförderung bekommen.
412,10,_____ der Stadt gibt es viele schöne Wanderwege.,Ausserhalb,"Outside the city, there are many beautiful hiking trails.",Ausserhalb der Stadt gibt es viele schöne Wanderwege.
413,10,Das Parken ist _____ der Geschäftszeiten kostenlos.,ausserhalb,Parking is free outside business hours.,Das Parken ist ausserhalb der Geschäftszeiten kostenlos.
414,10,_____ meines Arbeitsbereichs kenne ich mich nicht so gut aus.,Ausserhalb,"Outside of my field of work, I am not very knowledgeable.",Ausserhalb meines Arbeitsbereichs kenne ich mich nicht so gut aus.
415,10,"Wir wohnen _____ des Stadtzentrums, aber die Verbindung ist gut.",ausserhalb,"We live outside the city center, but the connection is good.","Wir wohnen ausserhalb des Stadtzentrums, aber die Verbindung ist gut."
416,10,_____ der Schule treffe ich mich oft mit meinen Freunden.,Ausserhalb,"Outside of school, I often meet up with my friends.",Ausserhalb der Schule treffe ich mich oft mit meinen Freunden.
417,10,Wir fahren _____ den Tunnel.,durch,We drive through the tunnel.,Wir fahren durch den Tunnel.
418,10,Ich gehe _____ den Park.,durch,I walk through the park.,Ich gehe durch den Park.
419,10,Der Brief kam _____ die Post.,durch,The letter came by mail.,Der Brief kam durch die Post.
420,10,Der Fluss fliesst _____ die Stadt.,durch,The river flows through the city.,Der Fluss fliesst durch die Stadt.
421,10,Man sieht _____ das Fenster.,durch,One can see through the window.,Man sieht durch das Fenster.
422,10,_____ eines Autos kaufte er ein Fahrrad.,Anstatt,"Instead of a car, he bought a bicycle.",Anstatt eines Autos kaufte er ein Fahrrad.
423,10,Sie trank Wasser _____ eines Softdrinks.,anstatt,She drank water instead of a soft drink.,Sie trank Wasser anstatt eines Softdrinks.
424,10,_____ einer Entschuldigung gab er nur eine Ausrede.,Anstatt,"Instead of an apology, he just gave an excuse.",Anstatt einer Entschuldigung gab er nur eine Ausrede.
425,10,Wir entschieden uns für eine Wanderung _____ eines Kinobesuchs.,anstatt,We chose to go hiking instead of going to the cinema.,Wir entschieden uns für eine Wanderung anstatt eines Kinobesuchs.
426,10,"_____ eines grossen Geschenks machte er eine kleine, persönliche Geste.",Anstatt,"Instead of a big gift, he made a small, personal gesture.","Anstatt eines grossen Geschenks machte er eine kleine, persönliche Geste."
427,10,_____ eines Wörterbuchs kann man neue Vokabeln schneller lernen.,Mithilfe,"With the help of a dictionary, one can learn new vocabulary faster.",Mithilfe eines Wörterbuchs kann man neue Vokabeln schneller lernen.
428,10,Er hat das Problem _____ eines Experten gelöst.,mithilfe,He solved the problem with the help of an expert.,Er hat das Problem mithilfe eines Experten gelöst.
429,10,_____ moderner Technologie können wir effizienter arbeiten.,Mithilfe,"With the help of modern technology, we can work more efficiently.",Mithilfe moderner Technologie können wir effizienter arbeiten.
430,10,Das Experiment wurde _____ verschiedener Methoden durchgeführt.,mithilfe,The experiment was conducted using various methods.,Das Experiment wurde mithilfe verschiedener Methoden durchgeführt.
431,10,_____ ihrer Freunde konnte sie die schwere Zeit überstehen.,Mithilfe,"With the help of her friends, she was able to get through the difficult time.",Mithilfe ihrer Freunde konnte sie die schwere Zeit überstehen.
432,10,Die Bank liegt _____ der Post.,gegenüber,The bank is located across from the post office.,Die Bank liegt gegenüber der Post.
433,10,Mein Haus steht direkt _____ dem Park.,gegenüber,My house is directly opposite the park.,Mein Haus steht direkt gegenüber dem Park.
434,10,Er war immer freundlich _____ seinen Kollegen.,gegenüber,He was always friendly towards his colleagues.,Er war immer freundlich gegenüber seinen Kollegen.
435,10,_____ dem letzten Jahr hat sich das Wetter verbessert.,Gegenüber,"Compared to last year, the weather has improved.",Gegenüber dem letzten Jahr hat sich das Wetter verbessert.
436,10,Sie sass mir im Café _____ und hat gelächelt.,gegenüber,She sat across from me in the café and smiled.,Sie sass mir im Café gegenüber und hat gelächelt.
437,10,_____ der Zeitung wird das Wetter morgen sonnig.,Laut,"According to the newspaper, the weather will be sunny tomorrow.",Laut der Zeitung wird das Wetter morgen sonnig.
438,10,_____ dem Lehrer müssen wir das Buch bis nächste Woche lesen.,Laut,"According to the teacher, we have to read the book by next week.",Laut dem Lehrer müssen wir das Buch bis nächste Woche lesen.
439,10,_____ einer Studie trinken Deutsche viel Kaffee.,Laut,"According to a study, Germans drink a lot of coffee.",Laut einer Studie trinken Deutsche viel Kaffee.
440,10,_____ den Regeln ist das Rauchen hier verboten.,Laut,"According to the rules, smoking is prohibited here.",Laut den Regeln ist das Rauchen hier verboten.
441,10,_____ meinem Freund ist das Restaurant sehr gut.,Laut,"According to my friend, the restaurant is very good.",Laut meinem Freund ist das Restaurant sehr gut.
442,10,_____ der Stadt gibt es viele historische Gebäude.,Innerhalb,"Within the city, there are many historical buildings.",Innerhalb der Stadt gibt es viele historische Gebäude.
443,10,Die Lieferung erfolgt _____ einer Woche.,innerhalb,The delivery will take place within a week.,Die Lieferung erfolgt innerhalb einer Woche.
444,10,_____ des Unternehmens gab es viele Veränderungen.,Innerhalb,There have been many changes within the company.,Innerhalb des Unternehmens gab es viele Veränderungen.
445,10,Bitte beantworten Sie die E-Mail _____ von 24 Stunden.,innerhalb,Please reply to the email within 24 hours.,Bitte beantworten Sie die E-Mail innerhalb von 24 Stunden.
446,10,_____ der Schule gibt es strenge Regeln für die Nutzung von Handys.,Innerhalb,"Inside the school, there are strict rules for the use of mobile phones.",Innerhalb der Schule gibt es strenge Regeln für die Nutzung von Handys.
447,10,_____ des Regens gingen wir spazieren.,Trotz,"Despite the rain, we went for a walk.",Trotz des Regens gingen wir spazieren.
448,10,Er bestand die Prüfung _____ seiner Nervosität.,trotz,He passed the exam despite his nervousness.,Er bestand die Prüfung trotz seiner Nervosität.
449,10,_____ des schlechten Wetters fand das Konzert draussen statt.,Trotz,"Despite the bad weather, the concert took place outside.",Trotz des schlechten Wetters fand das Konzert draussen statt.
450,10,"Sie kam pünktlich, _____ des Verkehrs.",trotz,She arrived on time despite the traffic.,"Sie kam pünktlich, trotz des Verkehrs."
451,10,_____ seiner Müdigkeit arbeitete er bis spät in die Nacht.,Trotz,"Despite his fatigue, he worked late into the night.",Trotz seiner Müdigkeit arbeitete er bis spät in die Nacht.
452,10,Wir sind den ganzen Tag den Strand _____ gelaufen.,entlang,We walked along the beach all day.,Wir sind den ganzen Tag den Strand entlang gelaufen.
453,10,_____ der Strasse stehen viele Bäume.,Entlang,Along the street there are many trees.,Entlang der Strasse stehen viele Bäume.
454,10,Sie pflanzten Blumen _____ des Zauns.,entlang,They planted flowers along the fence.,Sie pflanzten Blumen entlang des Zauns.
455,10,Der Zug fährt _____ der Küste.,entlang,The train travels along the coast.,Der Zug fährt entlang der Küste.
456,10,_____ dieser Strecke gibt es viele Sehenswürdigkeiten.,Entlang,Along this stretch there are many sights.,Entlang dieser Strecke gibt es viele Sehenswürdigkeiten.
457,10,_____ des Essens sollte man nicht telefonieren.,Während,"During the meal, one should not use the phone.",Während des Essens sollte man nicht telefonieren.
458,10,Er blieb ruhig _____ des gesamten Meetings.,während,He stayed calm throughout the entire meeting.,Er blieb ruhig während des gesamten Meetings.
459,10,_____ des Sommers fahren viele Menschen in den Urlaub.,Während,"During the summer, many people go on vacation.",Während des Sommers fahren viele Menschen in den Urlaub.
460,10,Sie hat viel gelernt _____ ihres Studiums.,während,She learned a lot during her studies.,Sie hat viel gelernt während ihres Studiums.
461,10,_____ der Nacht sind die Straßen oft leer.,Während,"During the night, the streets are often empty.",Während der Nacht sind die Straßen oft leer.
462,11,"as opposed to, in contrast to, unlike",im gegensatz zu,,
463,11,as a result of,infolge,,
464,11,due to a lack of,mangels,,
465,11,except,ausser,,
466,11,including,inklusive,,
467,11,in addition to,zusätzlich zu,,
468,11,based on,anhand,,
469,11,by means of,mittels,,
470,11,thanks to,dank,,
471,11,"in view of, considering",angesichts,,
472,12,_____ seiner Hilfe konnten wir das Problem schnell lösen.,Dank,"Thanks to his help, we were able to solve the problem quickly.",Dank seiner Hilfe konnten wir das Problem schnell lösen.
473,12,"Die Firma wächst stetig, _____ innovativer Ideen.",dank,The company is growing steadily thanks to innovative ideas.,"Die Firma wächst stetig, dank innovativer Ideen."
474,12,_____ der modernen Medizin leben die Menschen länger.,Dank,"Thanks to modern medicine, people live longer.",Dank der modernen Medizin leben die Menschen länger.
475,12,"Er hat die Prüfung bestanden, _____ seines intensiven Lernens.",dank,He passed the exam thanks to his intensive studying.,"Er hat die Prüfung bestanden, dank seines intensiven Lernens."
476,12,_____ des guten Wetters konnten wir die Reise genießen.,Dank,"Thanks to the good weather, we were able to enjoy the trip.",Dank des guten Wetters konnten wir die Reise genießen.
477,12,Die Identität des Täters wurde _____ DNA-Analyse bestätigt.,mittels,The identity of the perpetrator was confirmed using DNA analysis.,Die Identität des Täters wurde mittels DNA-Analyse bestätigt.
478,12,Das Problem wurde _____ einer neuen Software gelöst.,mittels,The problem was solved by means of new software.,Das Problem wurde mittels einer neuen Software gelöst.
479,12,_____ moderner Technologien kann die Effizienz gesteigert werden.,Mittels,Efficiency can be increased through modern technologies.,Mittels moderner Technologien kann die Effizienz gesteigert werden.
480,12,Die Zahlung erfolgt _____ Kreditkarte oder Überweisung.,mittels,Payment is made by means of credit card or bank transfer.,Die Zahlung erfolgt mittels Kreditkarte oder Überweisung.
481,12,Das Unternehmen optimiert seine Prozesse _____ künstlicher Intelligenz.,mittels,The company optimizes its processes using artificial intelligence.,Das Unternehmen optimiert seine Prozesse mittels künstlicher Intelligenz.
482,12,_____ ausreichender Beweise konnte der Verdächtige nicht verurteilt werden.,Mangels,"Due to a lack of sufficient evidence, the suspect could not be convicted.",Mangels ausreichender Beweise konnte der Verdächtige nicht verurteilt werden.
483,12,_____ Erfahrung fiel ihm die Aufgabe besonders schwer.,Mangels,"Due to a lack of experience, the task was particularly difficult for him.",Mangels Erfahrung fiel ihm die Aufgabe besonders schwer.
484,12,_____ finanzieller Mittel wurde das Projekt gestoppt.,Mangels,"Due to a lack of financial resources, the project was stopped.",Mangels finanzieller Mittel wurde das Projekt gestoppt.
485,12,_____ Interesse wurde die Veranstaltung abgesagt.,Mangels,"Due to a lack of interest, the event was canceled.",Mangels Interesse wurde die Veranstaltung abgesagt.
486,12,_____ besserer Alternativen entschied man sich für diese Lösung.,Mangels,"For lack of better alternatives, this solution was chosen.",Mangels besserer Alternativen entschied man sich für diese Lösung.
487,12,_____ seinen Kollegen arbeitet er lieber allein.,Im Gegensatz zu,"In contrast to his colleagues, he prefers to work alone.",Im Gegensatz zu seinen Kollegen arbeitet er lieber allein.
488,12,_____ früheren Jahren hat sich das Klima stark verändert.,Im Gegensatz zu,"In contrast to previous years, the climate has changed significantly.",Im Gegensatz zu früheren Jahren hat sich das Klima stark verändert.
489,12,_____ ihren Erwartungen war die Prüfung ziemlich schwer.,Im Gegensatz zu,"Contrary to her expectations, the exam was quite difficult.",Im Gegensatz zu ihren Erwartungen war die Prüfung ziemlich schwer.
490,12,_____ vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.,Im Gegensatz zu,"Unlike many other companies, this firm focuses on sustainability.",Im Gegensatz zu vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.
491,12,_____ meinem Bruder interessiere ich mich nicht für Sport.,Im Gegensatz zu,"Unlike my brother, I am not interested in sports.",Im Gegensatz zu meinem Bruder interessiere ich mich nicht für Sport.
492,12,_____ der Statistik lässt sich der Trend klar erkennen.,Anhand,The trend can be clearly seen based on the statistics.,Anhand der Statistik lässt sich der Trend klar erkennen.
493,12,_____ seiner Aussagen kann man die Situation besser verstehen.,Anhand,"Based on his statements, one can better understand the situation.",Anhand seiner Aussagen kann man die Situation besser verstehen.
494,12,Die Qualität wird _____ verschiedener Kriterien bewertet.,anhand,The quality is assessed based on various criteria.,Die Qualität wird anhand verschiedener Kriterien bewertet.
495,12,_____ dieser Beispiele wird das Problem deutlich.,Anhand,This problem becomes clear through these examples.,Anhand dieser Beispiele wird das Problem deutlich.
496,12,Die Echtheit des Dokuments wurde _____ von Experten geprüft.,anhand,The authenticity of the document was verified by experts.,Die Echtheit des Dokuments wurde anhand von Experten geprüft.
497,12,_____ ihm hat niemand die Prüfung bestanden.,Ausser,"Except for him, no one passed the exam.",Ausser ihm hat niemand die Prüfung bestanden.
