Nr,level,answer,question
673,100,überwachen,"to keep under surveillance, to monitor, to observe, to oversee"
674,100,versehen,"to provide, to equip, to supply"
675,100,vorlegen,"to present, to submit, to bring forward"
676,100,winken,to wave
677,100,zuordnen,"to assign, to allocate"
678,100,ausstellen,"to exhibit, to display"
679,100,bergen,"to recover, to rescue, to save, to salvage"
680,100,biegen,"to turn, to bend"
681,100,abbilden,"to depict, to map, to illustrate"
682,100,dringen,to penetrate
683,100,gleiten,"to glide, to slide"
684,100,klagen,"to complain, to lament, to sue"
685,100,kleben,"to stick, to adhere, to bond, to glue"
686,100,klopfen,"to knock, to tap (food)"
687,100,operieren,to operate
688,100,schleichen,"to sneak, to creep"
689,100,stechen,"to sting, to prick, to puncture, to pierce"
690,100,umstellen,"to relocate, to adapt, to change"
691,100,vorkommen,"to occur, to happen, to advance"
692,100,ablaufen,"to expire, to run out, to discharge"
693,100,ableiten,"to derive, to deduce"
694,100,ablösen,"to remove, to detach, to replace"
695,100,abschneiden,"to cut off, to amputate, to block"
696,100,abstimmen,"to coordinate, to vote, to adjust"
697,100,abweichen,"to depart (from), to soak off"
698,100,abwenden,"to turn away, to avert, to abandon"
699,100,agieren,
700,100,anführen,
701,100,anregen,
702,100,anschaffen,
703,100,ansiedeln,
704,100,aufbrechen,
705,100,auffordern,
706,100,aufhalten,
707,100,aufheben,
708,100,aufklären,
709,100,aufladen,
710,100,auflösen,
711,100,aufschreiben,
712,100,aufsteigen,
713,100,ausdrucken,
714,100,auslösen,
715,100,ausmachen,
716,100,ausüben,
717,100,befürchten,
718,100,begeben,
719,100,beherrschen,
720,100,beklagen,
721,100,belasten,
722,100,benennen,
723,100,berechtigen,
724,100,besetzen,
725,100,bremsen,
726,100,dokumentieren,
727,100,drängen,
728,100,eilen,
729,100,einleiten,
730,100,einreichen,
731,100,einschlagen,
732,100,einschränken,
733,100,eintragen,
734,100,eintreten,
735,100,entgegenkommen,
736,100,erarbeiten,
737,100,erforschen,
738,100,erkundigen,
739,100,erleiden,
740,100,erregen,
741,100,erziehen,
742,100,festnehmen,
743,100,festsetzen,
744,100,interpretieren,
745,100,klettern,
746,100,kombinieren,
747,100,konsumieren,
748,100,konzipieren,
749,100,motivieren,
750,100,nachweisen,
751,100,notieren,
752,100,nähern,
753,100,orientieren,
754,100,parken,
755,100,rechtfertigen,
756,100,renovieren,
757,100,schimpfen,
758,100,schwingen,
759,100,schütteln,
760,100,spezialisieren,
761,100,streiken,
762,100,strukturieren,
763,100,transportieren,
764,100,umarmen,
765,100,verdanken,
766,100,verdoppeln,
767,100,vereinfachen,
768,100,verknüpfen,
769,100,verkünden,
770,100,verpacken,
771,100,verschreiben,
772,100,versichern,
773,100,vertreiben,
774,100,verwirklichen,
775,100,voraussetzen,
776,100,vorbeugen,
777,100,wahrnehmen,
778,100,weitergeben,
779,100,widersprechen,
780,100,zugehen,
781,100,zulegen,
782,100,zurückgeben,
783,100,zurückhalten,
784,100,überholen,
785,100,überschreiten,
786,103,ermitteln,"to determine, to ascertain"
787,103,klicken,to click
788,103,kommentieren,to comment
789,103,angehen,"to concern, to tackle (a problem), to turn on (a machine)"
790,103,verteidigen,to defend
791,103,eingehen,"to shrink (textile), to wither/die (plants, animals), to assume something"
792,103,betreffen,"to concern, to affect"
793,103,herrschen,"to rule, to prevail, to control"
794,103,anlegen,"to create, to invest"
795,103,antreten,"to begin, to compete"
796,103,aufstellen,"to set up, to establish"
797,103,ausbauen,"to expand, to develop"
798,103,ausschliessen,"to exclude, to eliminate"
799,103,ausstatten,"to equip, to outfit"
800,103,auszeichnen,"to honor, to distinguish"
801,103,betrachten,"to view, to observe"
802,103,beziehen,"to refer, to obtain"
803,103,drohen,to threaten
804,103,durchsetzen,"to enforce, to assert"
805,103,erfassen,"to record, to capture"
806,103,registrieren,"to register, to enroll"
807,103,erläutern,"to explain, to clarify"
808,103,erweisen,"to prove (passively), to turn out to be, to show"
809,103,genügen,"to suffice, to satisfy"
810,103,kehren,"to return, to sweep"
811,103,umfassen,"to include, to comprise"
812,103,unterliegen,"to be subject to, to undergo"
813,103,verweisen,"to refer, to direct"
814,103,vorliegen,"to exist, to be available"
815,103,vornehmen,"to undertake, to carry out"
816,103,vorsehen,"to plan, to provide for"
817,104,experimentieren,to experiment
818,104,lindern,"to alleviate, to relieve"
819,104,entschliessen,to decide (to do something) (refl.)
820,104,einbeziehen,"to include, to involve, to integrate"
821,104,überleben,to survive
822,104,faulenzen,"to chill, to laze around"
823,104,joggen,to jog
824,104,tauschen,"to swap, to trade, to exchange"
825,104,gefährden,to endanger
826,104,beschützen,"to protect, defend (security)"
827,104,befreien,to free (make free)
828,104,füttern,to feed (an animal)
829,104,frühstücken,to have breakfast
830,104,gönnen,"to treat, to allow, to grant"
831,104,formulieren,"to formulate, to phrase"
832,104,umtauschen,"to convert, to exchange (currency)"
833,104,schälen,to peel
834,104,behindern,"to obstruct, to hamper"
835,104,hetzen,"to rush, to hurry"
836,104,verschweigen,to conceal
837,104,definieren,to define
838,104,befördern,to transport
839,104,umbringen,"to kill, to murder, to be very angry at someone"
840,104,gebrauchen,"to use, to make use of"
841,104,hingehen,"to go (there), (of time) to pass"
842,104,schwören,"to swear, to take an oath"
843,104,angreifen,to attack
844,104,übergeben,"to hand over, to vomit (refl.)"
845,104,vernichten,"to destroy, to ruin, to annihilate, to eradicate"
846,104,heilen,to heal
847,104,zurückkehren,to return
848,104,stützen,"to support, to back, to hold something up, to bolster"
849,104,rollen,to roll
850,104,züchten,"to breed, to grow"
851,104,wehren,"to defend, to resist"
852,104,sondern,"to separate, to split"
853,104,herkommen,"to come over, come here (towards the speaker), to come from"
854,104,betrügen,"to cheat, to swindle, to defraud"
855,104,loswerden,to get rid of someone/something
856,104,erfreuen,"to please, to enjoy (refl.)"
857,104,beibringen,"to teach, to break (news, information) carefully to, to inflict"
858,104,weggehen,"to go away, to leave"
859,104,einigen,
860,104,gleichen,"to equal, to match, to resemble"
861,104,reissen,
862,104,hauen,"to slash, to cut, to hit (coll.)"
863,104,versagen,"to fail, to refuse, to deny"
864,104,preisen,"to praise, to commend"
865,104,verschwenden,"to squander, to waste"
866,104,identifizieren,to identify
867,104,schmelzen,to melt
868,104,importieren,to import
869,104,verbergen,to conceal sth: to hide something
870,104,weitergehen,"to continue, to proceed, to keep moving"
871,104,versetzen,"to put, to move, to deal, to give (a blow, hit), to transfer (when to do with work)"
872,104,beleidigen,"to offend someone, to insult someone"
873,104,verabreden,"to arrange, to make an appointment"
874,104,anhören,to listen to someone
875,104,aussetzen,"to pause, to suspend something, to abandon someone, to expose oneself to something (refl.)"
876,104,trauen,"to trust, to marry, to dare (refl.)"
877,104,abrufen,
878,104,aufweisen,
879,104,bedenken,
880,104,beeinträchtigen,
881,104,befassen,
882,104,beinhalten,
883,104,bereitstellen,
884,104,beruhen,
885,104,beschleunigen,"to accelerate, to speed up"
886,104,verzehren,to consumme (with your mouth)
887,104,einschliessen,
888,104,eingeben,
889,104,erlassen,
890,104,formen,
891,104,fügen,
892,104,gestatten,
893,104,gewähren,
894,104,meistern,
895,104,qualifizieren,
896,104,scheren,
897,104,sicherstellen,
898,104,umgeben,
899,104,verringern,
900,104,verstärken,
901,104,vorgehen,
902,104,vorwerfen,
903,104,auskommen,
904,104,baden,
905,104,befehlen,
906,104,beleben,
907,104,blasen,
908,104,blitzen,
909,104,brüllen,
910,104,demonstrieren,
911,104,deuten,
912,104,einbauen,
913,104,erlöschen,
914,104,erschöpfen,
915,104,gedeihen,
916,104,graben,
917,104,grüssen,
918,104,heizen,
919,104,herausfordern,
920,104,isolieren,
921,104,lauschen,"to listen, to eavesdrop"
922,104,leuchten,
923,104,locken,
924,104,managen,
925,104,nützen,
926,104,pfeifen,
927,104,plagen,
928,104,reizen,
929,104,ringen,
930,104,ruhen,
931,104,rühren,
932,104,schleifen,
933,104,schweben,
934,104,schwitzen,
935,104,siegen,
936,104,strahlen,
937,104,streben,
938,104,strecken,
939,104,toben,
940,104,überwinden,
941,104,verderben,
942,104,vereinigen,
943,104,verkehren,
944,104,verwechseln,
945,104,verweigern,
946,104,würzen,
947,104,zaubern,
948,104,zerschlagen,
949,104,zittern,
950,104,abbiegen,
951,104,abdecken,
952,104,abgrenzen,
953,104,abhalten,
954,104,ablegen,
955,104,abonnieren,
956,104,abrechnen,
957,104,abschalten,
958,104,abschreiben,
959,104,absetzen,
960,104,abspielen,
961,104,abstellen,
962,104,abwarten,
963,104,abwickeln,
964,104,abzeichnen,
965,104,ahnen,
966,104,anbringen,
967,104,andeuten,
968,104,anfallen,
969,104,angehören,
970,104,angucken,
971,104,animieren,
972,104,anklagen,
973,104,anklicken,
974,104,anmerken,
975,104,anordnen,
976,104,anrichten,
977,104,ansetzen,
978,104,anstehen,
979,104,ansteigen,to increase
980,104,anstreben,
981,104,anstrengen,
982,104,anvertrauen,
983,104,aufbewahren,
984,104,aufbringen,
985,104,aufgehen,
986,104,aufkommen,
987,104,auflegen,
988,104,auflisten,
989,104,aufrufen,
990,104,aufschlagen,
991,104,aufsetzen,
992,104,aufsuchen,
993,104,auftragen,
994,104,aufzeigen,
995,104,aufziehen,
996,104,ausblenden,
997,104,ausbrechen,
998,104,ausbreiten,
999,104,ausdehnen,
1000,104,ausdrücken,
1001,104,auseinandersetzen,
1002,104,ausgleichen,
1003,104,aushalten,
1004,104,auslegen,
1005,104,ausleihen,
1006,104,ausnehmen,
1007,104,ausnutzen,
1008,104,auspacken,
1009,104,ausprobieren,
1010,104,ausrüsten,
1011,104,ausschalten,
1012,104,ausscheiden,
1013,104,ausstrahlen,
1014,104,austragen,
1015,104,austreten,
1016,104,ausweichen,
1017,104,ausweisen,
1018,104,basteln,
1019,104,beabsichtigen,
1020,104,bedauern,
1021,104,bedecken,
1022,104,bedürfen,
1023,104,befestigen,
1024,104,befragen,
1025,104,befriedigen,
1026,104,begreifen,
1027,104,begrenzen,
1028,104,beitreten,
1029,104,bekanntgeben,
1030,104,beleuchten,
1031,104,bemalen,
1032,104,bemessen,
1033,104,berufen,
1034,104,beschaffen,
1035,104,beschuldigen,
1036,104,beseitigen,
1037,104,bestreiten,
1038,104,betreten,
1039,104,bewohnen,
1040,104,bewähren,
1041,104,blättern,
1042,104,bohren,
1043,104,charakterisieren,
1044,104,dastehen,
1045,104,dekorieren,
1046,104,dominieren,
1047,104,dulden,
1048,104,durchgehen,
1049,104,durchziehen,
1050,104,einarbeiten,
1051,104,einbrechen,
1052,104,einbringen,
1053,104,eindringen,
1054,104,eingestehen,
1055,104,eingreifen,
1056,104,einhalten,
1057,104,einholen,
1058,104,einlassen,
1059,104,einlegen,
1060,104,einpacken,
1061,104,einräumen,
1062,104,einsammeln,
1063,104,einschätzen,
1064,104,einsehen,
1065,104,eintreffen,
1066,104,einzahlen,
1067,104,entfallen,
1068,104,entfalten,
1069,104,entgehen,
1070,104,entnehmen,
1071,104,entschärfen,
1072,104,entsorgen,
1073,104,erbringen,
1074,104,ereignen,
1075,104,erhoffen,
1076,104,erkranken,
1077,104,erlangen,
1078,104,erlernen,
1079,104,ernten,
1080,104,erschliessen,
1081,104,ersparen,
1082,104,erstatten,
1083,104,erwachen,
1084,104,erwecken,
1085,104,erwidern,
1086,104,erwischen,
1087,104,erörtern,
1088,104,etablieren,
1089,104,feststehen,
1090,104,fixieren,
1091,104,flüchten,
1092,104,freigeben,
1093,104,fungieren,
1094,104,genehmigen,
1095,104,gestehen,
1096,104,gratulieren,
1097,104,grinsen,
1098,104,hacken,
1099,104,haften,
1100,104,hegen,
1101,104,herausgeben,
1102,104,herauskommen,
1103,104,herausnehmen,
1104,104,herausstellen,
1105,104,hervorgehen,
1106,104,hervorrufen,
1107,104,hinausgehen,
1108,104,hinnehmen,
1109,104,hochladen,
1110,104,hocken,
1111,104,ignorieren,
1112,104,infizieren,
1113,104,inszenieren,
1114,104,interviewen,
1115,104,kalkulieren,
1116,104,kennzeichnen,
1117,104,knacken,
1118,104,kommunizieren,
1119,104,kompensieren,
1120,104,komponieren,
1121,104,konfrontieren,
1122,104,konstruieren,
1123,104,kontaktieren,
1124,104,kreisen,
1125,104,kürzen,
1126,104,lagern,
1127,104,langweilen,
1128,104,lauern,
1129,104,lehnen,to lean
1130,104,losgehen,
1131,104,loslassen,
1132,104,mahnen,
1133,104,mangeln,
1134,104,manipulieren,
1135,104,mitwirken,
1136,104,modernisieren,
1137,104,nachfolgen,
1138,104,nachfragen,
1139,104,nachgehen,
1140,104,neigen,
1141,104,nominieren,
1142,104,nähen,
1143,104,optimieren,
1144,104,platzen,
1145,104,platzieren,
1146,104,plädieren,
1147,104,pressen,
1148,104,promovieren,
1149,104,publizieren,
1150,104,rauben,
1151,104,recherchieren,
1152,104,recyceln,
1153,104,reflektieren,
1154,104,regieren,
1155,104,reiben,
1156,104,repräsentieren,
1157,104,resultieren,
1158,104,rutschen,
1159,104,scannen,
1160,104,schildern,
1161,104,schleppen,
1162,104,schrumpfen,
1163,104,schwinden,
1164,104,schämen,
1165,104,segeln,
1166,104,sortieren,
1167,104,spannen,
1168,104,spiegeln,
1169,104,stabilisieren,
1170,104,synchronisieren,
1171,104,tippen,
1172,104,trösten,
1173,104,twittern,
1174,104,täuschen,
1175,104,umbauen,
1176,104,umsteigen,
1177,104,umwandeln,
1178,104,unterbreiten,
1179,104,unterbringen,
1180,104,unterdrücken,
1181,104,untergehen,
1182,104,unterlassen,
1183,104,unterlaufen,
1184,104,unterschätzen,
1185,104,unterstellen,
1186,104,veranlassen,
1187,104,veranschaulichen,
1188,104,verbleiben,to remain
1189,104,verdeutlichen,
1190,104,verdrängen,
1191,104,vereinen,
1192,104,verfallen,
1193,104,vergehen,
1194,104,verlegen,
1195,104,vermieten,
1196,104,vermindern,
1197,104,vermögen,
1198,104,vernachlässigen,
1199,104,vernehmen,
1200,104,versammeln,
1201,104,verschaffen,
1202,104,verschenken,
1203,104,verschicken,
1204,104,verschliessen,
1205,104,verschärfen,
1206,104,verschönern,
1207,104,versenden,
1208,104,versteigern,
1209,104,verständigen,
1210,104,versäumen,
1211,104,verwundern,
1212,104,verzeichnen,
1213,104,vollziehen,
1214,104,vorangehen,
1215,104,vorankommen,
1216,104,vorbeikommen,
1217,104,vorschreiben,
1218,104,vortragen,
1219,104,vorziehen,
1220,104,wandeln,
1221,104,wegnehmen,
1222,104,wehen,
1223,104,weigern,
1224,104,weiterführen,
1225,104,weiterleiten,
1226,104,widerstehen,
1227,104,wohlfühlen,
1228,104,zucken,
1229,104,zuführen,
1230,104,zukommen,
1231,104,zurückblicken,
1232,104,zurückführen,
1233,104,zurückgreifen,
1234,104,zurücklegen,
1235,104,zurücktreten,
1236,104,zurückweisen,
1237,104,zusammenhängen,
1238,104,zusammenkommen,
1239,104,zusammensetzen,
1240,104,zuschauen,
1241,104,zustehen,
1242,104,zutrauen,
1243,104,zutreffen,
1244,104,zuwenden,
1245,104,ähneln,
1246,104,überarbeiten,
1247,104,übereinstimmen,
1248,104,überfordern,
1249,104,übergehen,
1250,104,überreden,
1251,104,überreichen,
1252,104,überschreiben,
1253,104,übersehen,
1254,104,überstehen,
1255,104,überziehen,
1256,104,vorweisen,to demonstrate
1257,104,erschiessen,to shoot dead
1258,104,hindern,to prevent somebody from doing something
1259,105,fällen,"to fall, to fell"
1260,105,gedenken,"to commemorate, to remember"
1261,105,modern,to modernize
1262,105,sieben,"to sieve, to filter"
1263,106,verschlechtern,to worsen
1264,106,abkühlen,to cool down
1265,106,schmerzen,"to hurt, to ache"
1266,106,verheiraten,"to marry (to perform the marriage), to get married (refl.)"
1267,106,stricken,to knit
1268,106,unterzeichnen,to sign (formal)
1269,106,erwärmen,to warm
1270,106,verkleinern,to reduce
1271,106,säubern,to clean
1272,106,verkürzen,to shorten
1273,106,verlangsamen,to slow down
1274,106,ermorden,to murder
1275,106,ruinieren,to ruin
1276,106,scheissen,to shit
1277,106,verzweifeln,to despair
1278,106,vergiften,to poison
1279,106,antun,"to do something to someone, to appeal to someone"
1280,106,quellen,"to soak, to swell"
1281,106,saufen,"to drink (animals), to booze"
1282,106,rinnen,
1283,106,schwellen,
1284,106,weben,
1285,106,angeln,
1286,106,anhaben,
1287,106,beissen,
1288,106,bersten,
1289,106,erkälten,
1290,106,falten,
1291,106,fechten,
1292,106,genesen,
1293,106,husten,
1294,106,kneifen,
1295,106,rauschen,
1296,106,schmeissen,
1297,106,seufzen,
1298,106,spinnen,
1299,106,Staub saugen,
1300,106,zelten,
1301,106,verkleiden,"to dress up, to disguise oneself (refl.)"
1302,106,rasieren,to shave (refl.)
1303,106,pfeffern,to season with pepper
1304,106,bestreuen,to sprinkle
1305,106,einprägen,to memorize
1306,106,einschreiben,"to sign up, to enroll"
1307,106,wiedersehen,"to see again, to meet again"
1308,106,nerven,"to annoy someone, to get on someone's nerves"
1309,106,duzen,to address informally
1310,106,siezen,to address formally
1311,106,benehmen,to behave (refl.)
1312,106,überfallen,"to attack, to raid (a bank), to invade (a country)"
1313,106,schwächen,to weaken
1314,106,erschweren,to burden
1315,106,vergrößern,to enlarge
1316,106,verschmutzen,to dirty
1317,106,weichen,to soften
1318,106,beeilen,"to hurry, to hasten, to rush (refl.)"
1319,106,vererben,to inherit
1320,106,schiefgehen,to go wrong
1321,106,verdammen,"to condemn, to damn"
1322,106,klauen,to steal (colloquial)
1323,106,entkommen,to escape
1324,106,entführen,"to abduct, to kidnap"
1325,106,riskieren,to risk
1326,106,begraben,to bury
1327,106,besiegen,to defeat (in battle or contest)
1328,106,hinzufügen,to add
1329,106,spalten,"to split, to divide"
1330,106,sanieren,to renovate
1331,106,schnappen,"to snap (with one's mouth), to catch, to nab (a criminal) (coll.)"
1332,106,rauskommen,"to get out, to make it big (with gross before verb)"
1333,106,erschaffen,"to create, to produce, to make"
1334,106,schulden,"to owe, to be due to"
1335,106,rächen,to take revenge (refl.)
1336,106,aktualisieren,to update
1337,106,bereuen,"to regret something, to rue something"
1338,106,explodieren,to explode
1339,106,opfern,to sacrifice
1340,106,feuern,"to fire (a weapon), to fire (terminate employment)"
1341,106,anfragen,
1342,106,beibehalten,
1343,106,entschleunigen,"to decelerate, to slow down"
1344,106,deaktivieren,
1345,106,exportieren,
1346,106,gebieten,
1347,106,geleiten,
1348,106,grenzen,
1349,106,konfigurieren,
1350,106,listen,
1351,106,positionieren,
1352,106,posten,
1353,106,proben,
1354,106,tagen,
1355,106,ticken,
1356,106,übermitteln,
1357,106,verfahren,
1358,106,werten,
1359,106,wiederherstellen,
1360,106,zugreifen,
1361,106,zuweisen,
1362,106,belohnen,
1363,106,dämpfen,
1364,106,dehnen,
1365,106,ehren,
1366,106,ersticken,
1367,106,erwägen,
1368,106,verrühren,"to stir, to mix"
1369,106,glänzen,
1370,106,heulen,
1371,106,hüpfen,
1372,106,impfen,
1373,106,irritieren,
1374,106,knüpfen,
1375,106,nähren,
1376,106,quälen,
1377,106,räumen,
1378,106,rüsten,
1379,106,segnen,
1380,106,spritzen,
1381,106,staunen,
1382,106,stopfen,
1383,106,taugen,
1384,106,verführen,
1385,106,vergewaltigen,
1386,106,verklagen,
1387,106,verschlafen,
1388,106,verweilen,
1389,106,wachen,
1390,106,währen,
1391,106,weihen,
1392,106,zünden,
1393,106,zurücknehmen,
1394,106,abarbeiten,
1395,106,abfangen,
1396,106,abfinden,
1397,106,abfragen,
1398,106,abführen,
1399,106,abgehen,
1400,106,abhaken,
1401,106,abklären,
1402,106,ablesen,
1403,106,abliefern,
1404,106,abmelden,
1405,106,abrunden,
1406,106,abschaffen,
1407,106,abschieben,
1408,106,abschmecken,
1409,106,abschrecken,
1410,106,abschätzen,
1411,106,absichern,
1412,106,absprechen,
1413,106,absteigen,
1414,106,abstürzen,
1415,106,abtreten,
1416,106,abverlangen,
1417,106,abwechseln,
1418,106,abwehren,
1419,106,abweisen,
1420,106,abwägen,
1421,106,ahnden,
1422,106,alarmieren,
1423,106,anbauen,
1424,106,anbinden,
1425,106,anbraten,
1426,106,andauern,
1427,106,aneignen,
1428,106,anfahren,
1429,106,anfertigen,
1430,106,anfordern,
1431,106,anfühlen,
1432,106,anheben,
1433,106,anknüpfen,
1434,106,ankurbeln,
1435,106,anlaufen,
1436,106,anlocken,
1437,106,aufmerken,to pay attention
1438,106,anpacken,
1439,106,anrechnen,
1440,106,anreichern,
1441,106,anreisen,
1442,106,ansagen,
1443,106,anschlagen,
1444,106,anschreiben,
1445,106,anspannen,
1446,106,anstecken,
1447,106,ansteuern,
1448,106,anstossen,
1449,106,antreffen,
1450,106,antreiben,
1451,106,anwachsen,
1452,106,anweisen,
1453,106,anzünden,
1454,106,appellieren,
1455,106,argumentieren,
1456,106,arrangieren,
1457,106,attackieren,
1458,106,attestieren,
1459,106,aufarbeiten,
1460,106,aufbereiten,
1461,106,aufbrauchen,
1462,106,aufdecken,
1463,106,auferlegen,
1464,106,auffangen,
1465,106,auffinden,
1466,106,auffüllen,
1467,106,aufgreifen,
1468,106,aufholen,
1469,106,aufhängen,
1470,106,auflaufen,
1471,106,aufrechterhalten,
1472,106,aufschliessen,
1473,106,aufspielen,
1474,106,aufspüren,
1475,106,aufstocken,
1476,106,aufteilen,
1477,106,aufwarten,
1478,106,aufwenden,
1479,106,aufwerten,
1480,106,aufzeichnen,
1481,106,ausarbeiten,
1482,106,ausbleiben,
1483,106,ausbuchen,
1484,106,ausdenken,
1485,106,ausfällen,
1486,106,aushandeln,
1487,106,auskennen,
1488,106,ausklingen,
1489,106,auslassen,
1490,106,auslasten,
1491,106,auslaufen,
1492,106,ausleben,
1493,106,ausliefern,
1494,106,ausrollen,
1495,106,ausrufen,
1496,106,ausräumen,
1497,106,aussagen,"to testify, to state"
1498,106,ausschreiben,
1499,106,ausschöpfen,
1500,106,ausschütten,
1501,106,ausspielen,
1502,106,austoben,
1503,106,ausverkaufen,
1504,106,auswechseln,
1505,106,ausweiten,
1506,106,auszahlen,
1507,106,automatisieren,
1508,106,avancieren,
1509,106,bahnen,
1510,106,beanspruchen,
1511,106,beanstanden,
1512,106,beanständen,
1513,106,bedachen,
1514,106,bedrucken,
1515,106,befahren,
1516,106,befallen,
1517,106,beflügeln,
1518,106,befolgen,
1519,106,befristen,
1520,106,befüllen,
1521,106,befürworten,
1522,106,begehren,
1523,106,begleichen,
1524,106,begnügen,
1525,106,begutachten,
1526,106,begünstigen,
1527,106,beharren,
1528,106,beheben,
1529,106,beheimaten,
1530,106,beherbergen,
1531,106,beilegen,
1532,106,beisteuern,
1533,106,bejahen,
1534,106,bejubeln,
1535,106,bekennen,
1536,106,bekleiden,
1537,106,bekräftigen,
1538,106,bekunden,
1539,106,beladen,
1540,106,belassen,
1541,106,belaufen,
1542,106,belehren,
1543,106,belieben,
1544,106,beliefern,
1545,106,belästigen,
1546,106,bemängeln,
1547,106,benachrichtigen,
1548,106,benachteiligen,
1549,106,bereichern,
1550,106,bereisen,
1551,106,bereithalten,
1552,106,besagen,
1553,106,bescheiden,
1554,106,bescheinigen,
1555,106,bescheren,
1556,106,beschimpfen,
1557,106,beschlagnahmen,
1558,106,beschreiten,
1559,106,beschwören,
1560,106,besiegeln,
1561,106,besinnen,
1562,106,bessern,
1563,106,bestaunen,
1564,106,bestechen,
1565,106,besteigen,
1566,106,bestärken,
1567,106,bestücken,
1568,106,beteuern,
1569,106,betätigen,
1570,106,bewilligen,
1571,106,bewirtschaften,
1572,106,beziffern,
1573,106,bezweifeln,
1574,106,bezwingen,
1575,106,bilanzieren,
1576,106,blenden,
1577,106,blockieren,
1578,106,bloggen,
1579,106,boomen,
1580,106,bündeln,
1581,106,checken,
1582,106,darlegen,
1583,106,datieren,
1584,106,dazugeben,
1585,106,debattieren,
1586,106,dementieren,
1587,106,diagnostizieren,
1588,106,dirigieren,
1589,106,distanzieren,
1590,106,durchbrechen,
1591,106,durchdringen,
1592,106,durchhalten,
1593,106,durchlaufen,
1594,106,durchlesen,
1595,106,durchsuchen,
1596,106,ebnen,
1597,106,einberufen,
1598,106,einbetten,
1599,106,einbinden,
1600,106,einbüssen,
1601,106,eindämmen,
1602,106,einfahren,
1603,106,einfangen,
1604,106,einfinden,
1605,106,einfliessen,
1606,106,einfordern,
1607,106,einhergehen,
1608,106,einkehren,
1609,106,einliefern,
1610,106,einloggen,
1611,106,einläuten,
1612,106,einlösen,
1613,106,einmischen,
1614,106,einordnen,
1615,106,einplanen,
1616,106,einsenden,
1617,106,einsparen,
1618,106,einspielen,
1619,106,einstecken,
1620,106,einstimmen,
1621,106,einstudieren,
1622,106,einstufen,
1623,106,eintauchen,
1624,106,einteilen,
1625,106,einweihen,
1626,106,einwirken,
1627,106,entfachen,
1628,106,entgegennehmen,
1629,106,entgegensetzen,
1630,106,entgegenwirken,
1631,106,entgegnen,
1632,106,enthüllen,
1633,106,entlarven,
1634,106,entlasten,
1635,106,entpuppen,
1636,106,entrichten,
1637,106,entschädigen,
1638,106,entsenden,
1639,106,entspringen,
1640,106,entstammen,
1641,106,entwenden,
1642,106,entzünden,
1643,106,erachten,
1644,106,erahnen,
1645,106,erbauen,
1646,106,erben,
1647,106,erbeuten,
1648,106,erbitten,
1649,106,erblicken,
1650,106,erfragen,
1651,106,ergattern,
1652,106,ergehen,
1653,106,erhitzen,
1654,106,erklimmen,
1655,106,erklingen,
1656,106,erkämpfen,
1657,106,erliegen,
1658,106,erlösen,
1659,106,ermuntern,
1660,106,ermutigen,
1661,106,ermässigen,
1662,106,ernennen,
1663,106,erneuern,
1664,106,erobern,
1665,106,erproben,
1666,106,errechnen,
1667,106,erringen,
1668,106,erschlagen,
1669,106,erschüttern,
1670,106,erspielen,
1671,106,erstehen,
1672,106,erstrahlen,
1673,106,ertönen,
1674,106,erwirtschaften,
1675,106,erzwingen,
1676,106,eskalieren,
1677,106,favorisieren,
1678,106,fegen,
1679,106,fertigstellen,
1680,106,fesseln,
1681,106,festigen,
1682,106,festschreiben,
1683,106,filmen,
1684,106,filtern,
1685,106,fokussieren,
1686,106,forcieren,
1687,106,formieren,
1688,106,fortführen,
1689,106,freischalten,
1690,106,freisetzen,
1691,106,freistellen,
1692,106,färben,
1693,106,garen,
1694,106,gastieren,
1695,106,gebrechen,
1696,106,gebühren,
1697,106,gedulden,
1698,106,gefrieren,
1699,106,gegenüberstehen,
1700,106,geloben,
1701,106,generieren,
1702,106,gereichen,
1703,106,gesellen,
1704,106,gliedern,
1705,106,glücken,
1706,106,googlen,
1707,106,hadern,
1708,106,halbieren,
1709,106,handhaben,
1710,106,hangen,
1711,106,harmonieren,
1712,106,hausen,
1713,106,hemmen,
1714,106,heranführen,
1715,106,heranziehen,
1716,106,herausbringen,
1717,106,herausholen,
1718,106,herbeiführen,
1719,106,hergeben,
1720,106,herrichten,
1721,106,hervorbringen,
1722,106,hinbekommen,
1723,106,hingeben,
1724,106,hinlegen,
1725,106,hinschauen,
1726,106,hinterfragen,
1727,106,hinterlegen,
1728,106,hinziehen,
1729,106,hinzukommen,
1730,106,honorieren,
1731,106,häufen,
1732,106,hüten,
1733,106,illustrieren,
1734,106,implementieren,
1735,106,initiieren,
1736,106,inspirieren,
1737,106,intensivieren,
1738,106,involvieren,
1739,106,jubeln,
1740,106,kandidieren,
1741,106,kassieren,
1742,106,kicken,
1743,106,kippen,
1744,106,klarmachen,
1745,106,klarstellen,
1746,106,klatschen,
1747,106,kleiden,
1748,106,knallen,
1749,106,kollidieren,
1750,106,komplettieren,
1751,106,konkurrieren,
1752,106,konstatieren,
1753,106,kontern,
1754,106,kooperieren,
1755,106,koordinieren,
1756,106,koppeln,
1757,106,krachen,
1758,106,kratzen,
1759,106,kreuzen,
1760,106,krönen,
1761,106,kursieren,
1762,106,köpfen,
1763,106,küren,
1764,106,lackieren,
1765,106,lancieren,
1766,106,leugnen,
