Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
427,23,B1,332,A1,B1,A1,die Richtung,richten,,the direction,"to direct, to adjust, to focus, to judge",Loading...,"diriger, ajuster, focaliser, juger",richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",die Richtung,the direction,Loading...,,
428,23,B1,336,B1,B1,B1,die Scheidung,scheiden,,the divorce,"to separate, to divorce, to part",Loading...,"se séparer, divorcer",scheiden,"to separate, to divorce, to part","se séparer, divorcer",die Scheidung,the divorce,Loading...,,
429,23,B1,347,B1,B1,,die Gewohnheit,gewöhnen,,the habit,"to get used to, to accustom oneself",l'habitude,"s'habituer à, s'accoutumer",gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer",die Gewohnheit,the habit,l'habitude,,
430,23,B1,348,A2,B1,A2,die Auswahl,auswählen,,the selection,"to choose, to select",Loading...,"choisir, sélectionner",auswählen,"to choose, to select","choisir, sélectionner",die Auswahl,the selection,Loading...,,
431,23,B1,350,B1,B1,A2,die Begründung,begründen,,the justification,"to justify, to explain, to establish",Loading...,"justifier, expliquer, établir",begründen,"to justify, to explain, to establish","justifier, expliquer, établir",die Begründung,the justification,Loading...,,
432,23,B1,351,B1,A2,,die Lüge,lügen,,the lie,"to lie, to tell a falsehood",Loading...,"mentir, dire une fausseté",lügen,"to lie, to tell a falsehood","mentir, dire une fausseté",die Lüge,the lie,Loading...,,
433,24,B1,,B1,B1,B1,erhöhen,die Erhöhung,,"to increase, to raise, to enhance",the increase,"augmenter, élever, rehausser",l'augmentation,erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser",die Erhöhung,the increase,l'augmentation,Feminine,Féminin
434,24,B1,,A2,B1,A2,beweisen,der Beweis,,"to prove, to demonstrate",the proof,"prouver, démontrer",Loading...,beweisen,"to prove, to demonstrate","prouver, démontrer",der Beweis,the proof,Loading...,Masculine,Masculin
435,24,B1,,B1,B1,B1,erfinden,die Erfindung,,"to invent, to make up, to fabricate",the invention,"inventer, fabriquer",l'invention,erfinden,"to invent, to make up, to fabricate","inventer, fabriquer",die Erfindung,the invention,l'invention,Feminine,Féminin
436,24,B1,,A1,A1,A2,rechnen,die Rechnung,,"to calculate, to expect, to count on",the bill,"calculer, s'attendre à, compter sur",Loading...,rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur",die Rechnung,the bill,Loading...,Feminine,Féminin
437,24,B1,,A2,A1,A1,unterrichten,der Unterricht,,"to teach, to instruct, to inform",the lesson,"enseigner, instruire, informer",la leçon,unterrichten,"to teach, to instruct, to inform","enseigner, instruire, informer",der Unterricht,the lesson,la leçon,Masculine,Masculin
438,24,B1,,A1,B1,A1,abschließen,der Abschluss,,"to complete, to conclude, to lock",the completion,"compléter, conclure, verrouiller",Loading...,abschließen,"to complete, to conclude, to lock","compléter, conclure, verrouiller",der Abschluss,the completion,Loading...,Masculine,Masculin
439,24,B1,,A1,A2,A1,ausbilden,die Ausbildung,,"to train, to educate, to develop",the training,"former, éduquer, développer (une compétence)",la formation,ausbilden,"to train, to educate, to develop","former, éduquer, développer (une compétence)",die Ausbildung,the training,la formation,Feminine,Féminin
440,24,B1,,B1,B1,,küssen,der Kuss,,"to kiss, to make out",the kiss,"embrasser, peloter",Loading...,küssen,"to kiss, to make out","embrasser, peloter",der Kuss,the kiss,Loading...,Masculine,Masculin
441,24,B1,,A2,A2,B1,umziehen,der Umzug,,"to move (house), to change clothes",the move,"déménager, changer de vêtements",le déménagement,umziehen,"to move (house), to change clothes","déménager, changer de vêtements",der Umzug,the move,le déménagement,Masculine,Masculin
442,24,B1,,A1,A1,A1,enden,das Ende,,"to end, to finish, to conclude",the end,"terminer, achever, conclure",Loading...,enden,"to end, to finish, to conclude","terminer, achever, conclure",das Ende,the end,Loading...,Neuter,Neutre
443,24,B1,,A2,A1,,achten,die Achtung,,"to respect, to pay attention to, to heed",the respect,"respecter, prêter attention à",Loading...,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à",die Achtung,the respect,Loading...,Feminine,Féminin
444,24,B1,,A2,B1,A2,atmen,der Atem,,to breathe,the breath,respirer,le souffle,atmen,to breathe,respirer,der Atem,the breath,le souffle,Masculine,Masculin
445,24,B1,,A1,A1,A1,blicken,der Blick,,"to look, to glance, to gaze","the look, the glance, the gaze","regarder, jeter un coup d'œil, contempler","le regard, le coup d'œil, le regard",blicken,"to look, to glance, to gaze","regarder, jeter un coup d'œil, contempler",der Blick,"the look, the glance, the gaze","le regard, le coup d'œil, le regard",Masculine,Masculin
446,24,B1,,B1,B1,B1,fliehen,die Flucht,,"to flee, to escape, to diverge",the escape,"fuir, s'échapper, diverger",l'évasion,fliehen,"to flee, to escape, to diverge","fuir, s'échapper, diverger",die Flucht,the escape,l'évasion,Feminine,Féminin
447,24,B1,,A1,B1,A1,richten,die Richtung,,"to direct, to adjust, to focus, to judge",the direction,"diriger, ajuster, focaliser, juger",Loading...,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",die Richtung,the direction,Loading...,Feminine,Féminin
448,24,B1,,B1,B1,B1,scheiden,die Scheidung,,"to separate, to divorce, to part",the divorce,"se séparer, divorcer",Loading...,scheiden,"to separate, to divorce, to part","se séparer, divorcer",die Scheidung,the divorce,Loading...,Feminine,Féminin
449,24,B1,,B1,B1,,gewöhnen,die Gewohnheit,,"to get used to, to accustom oneself",the habit,"s'habituer à, s'accoutumer",l'habitude,gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer",die Gewohnheit,the habit,l'habitude,Feminine,Féminin
450,24,B1,,A2,B1,A2,auswählen,die Auswahl,,"to choose, to select",the selection,"choisir, sélectionner",Loading...,auswählen,"to choose, to select","choisir, sélectionner",die Auswahl,the selection,Loading...,Feminine,Féminin
451,24,B1,,B1,B1,A2,begründen,die Begründung,,"to justify, to explain, to establish",the justification,"justifier, expliquer, établir",Loading...,begründen,"to justify, to explain, to establish","justifier, expliquer, établir",die Begründung,the justification,Loading...,Feminine,Féminin
452,24,B1,,B1,A2,,lügen,die Lüge,,"to lie, to tell a falsehood",the lie,"mentir, dire une fausseté",Loading...,lügen,"to lie, to tell a falsehood","mentir, dire une fausseté",die Lüge,the lie,Loading...,Feminine,Féminin
453,25,B1,353,A2,A1,B1,die Entschuldigung,entschuldigen,,the apology,"to excuse, to apologize",Loading...,"excuser, s'excuser",entschuldigen,"to excuse, to apologize","excuser, s'excuser",die Entschuldigung,the apology,Loading...,,
454,25,B1,354,B1,B1,,die Bestätigung,bestätigen,,the confirmation,"to confirm, to acknowledge, to endorse",Loading...,"confirmer, reconnaître, approuver",bestätigen,"to confirm, to acknowledge, to endorse","confirmer, reconnaître, approuver",die Bestätigung,the confirmation,Loading...,,
455,25,B1,355,A1,A1,A1,die Information,informieren,,the information,"to inform, to notify",Loading...,"informer, notifier",informieren,"to inform, to notify","informer, notifier",die Information,the information,Loading...,,
456,25,B1,356,A2,B1,A1,die Reaktion,reagieren,,the reaction,"to react, to respond",Loading...,"réagir, répondre",reagieren,"to react, to respond","réagir, répondre",die Reaktion,the reaction,Loading...,,
457,25,B1,358,B1,B1,,die Garantie,garantieren,,the guarantee,"to guarantee, to assure",Loading...,"garantir, assurer",garantieren,"to guarantee, to assure","garantir, assurer",die Garantie,the guarantee,Loading...,,
458,25,B1,359,A2,B1,A1,die Kritik,kritisieren,,the criticism,"to criticize, to censure",Loading...,"critiquer, censurer",kritisieren,"to criticize, to censure","critiquer, censurer",die Kritik,the criticism,Loading...,,
459,25,B1,362,A2,A1,B1,die Reparatur,reparieren,,the repair,"to repair, to fix",Loading...,réparer,reparieren,"to repair, to fix",réparer,die Reparatur,the repair,Loading...,,
460,25,B1,367,A1,A2,A1,die Meinung,meinen,,the opinion,"to think, to mean, to have an opinion",Loading...,"penser, vouloir dire, avoir une opinion",meinen,"to think, to mean, to have an opinion","penser, vouloir dire, avoir une opinion",die Meinung,the opinion,Loading...,,
461,25,B1,370,A1,B1,A1,der Bericht,berichten,,the report,"to report, to inform, to cover",Loading...,"signaler, informer, couvrir",berichten,"to report, to inform, to cover","signaler, informer, couvrir",der Bericht,the report,Loading...,,
462,25,B1,371,A2,B1,B1,die Übung,üben,,the practice,"to practice, to exercise, to rehearse",la pratique,"pratiquer, s'exercer, répéter",üben,"to practice, to exercise, to rehearse","pratiquer, s'exercer, répéter",die Übung,the practice,la pratique,,
463,25,B1,376,A1,B1,A1,die Organisation,organisieren,,the organization,"to organize, to arrange",Loading...,"organiser, arranger",organisieren,"to organize, to arrange","organiser, arranger",die Organisation,the organization,Loading...,,
464,25,B1,381,A1,B1,A1,der Tod,töten,,the death,"to kill, to slay",la mort,"tuer, égorger",töten,"to kill, to slay","tuer, égorger",der Tod,the death,la mort,,
465,25,B1,383,B1,B1,B1,die Überzeugung,überzeugen,,the conviction,"to convince, to persuade",Loading...,"convaincre, persuader",überzeugen,"to convince, to persuade","convaincre, persuader",die Überzeugung,the conviction,Loading...,,
466,25,B1,386,B1,B1,B1,die Vertretung,vertreten,,the representation,"to represent, to advocate, to stand in for",Loading...,"représenter, défendre, se substituer",vertreten,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",die Vertretung,the representation,Loading...,,
467,25,B1,387,A2,B1,B1,die Betreuung,betreuen,,the supervision,"to look after, to care for, to supervise",Loading...,"prendre soin de, soigner, superviser",betreuen,"to look after, to care for, to supervise","prendre soin de, soigner, superviser",die Betreuung,the supervision,Loading...,,
468,25,B1,395,A2,B1,A1,der Hinweis,hinweisen,,"the hint, the indication","to indicate, to point out, to refer",Loading...,"indiquer, faire remarquer, se référer",hinweisen,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer",der Hinweis,"the hint, the indication",Loading...,,
469,25,B1,397,B1,A2,,die Reinigung,reinigen,,the cleaning,"to clean, to cleanse",le nettoyage,"nettoyer, purifier",reinigen,"to clean, to cleanse","nettoyer, purifier",die Reinigung,the cleaning,le nettoyage,,
470,25,B1,,A2,A2,,die Pflanze,pflanzen,,the plant,"to plant, to sow",la plante,"planter, semer",pflanzen,"to plant, to sow","planter, semer",die Pflanze,the plant,la plante,,
471,25,B1,,B2,B1,,der Stecker,stecken,,the plug,"to stick, to pin",Loading...,"coller, épingler",stecken,"to stick, to pin","coller, épingler",der Stecker,the plug,Loading...,,
472,25,B1,,B1,A1,,die Bäckerei,backen,,the bakery,to bake,la boulangerie,cuire (du pain ou des pâtisseries),backen,to bake,cuire (du pain ou des pâtisseries),die Bäckerei,the bakery,la boulangerie,,
473,26,B1,,A2,A1,B1,entschuldigen,die Entschuldigung,,"to excuse, to apologize",the apology,"excuser, s'excuser",Loading...,entschuldigen,"to excuse, to apologize","excuser, s'excuser",die Entschuldigung,the apology,Loading...,Feminine,Féminin
474,26,B1,,B1,B1,,bestätigen,die Bestätigung,,"to confirm, to acknowledge, to endorse",the confirmation,"confirmer, reconnaître, approuver",Loading...,bestätigen,"to confirm, to acknowledge, to endorse","confirmer, reconnaître, approuver",die Bestätigung,the confirmation,Loading...,Feminine,Féminin
475,26,B1,,A1,A1,A1,informieren,die Information,,"to inform, to notify",the information,"informer, notifier",Loading...,informieren,"to inform, to notify","informer, notifier",die Information,the information,Loading...,Feminine,Féminin
476,26,B1,,A2,B1,A1,reagieren,die Reaktion,,"to react, to respond",the reaction,"réagir, répondre",Loading...,reagieren,"to react, to respond","réagir, répondre",die Reaktion,the reaction,Loading...,Feminine,Féminin
477,26,B1,,B1,B1,,garantieren,die Garantie,,"to guarantee, to assure",the guarantee,"garantir, assurer",Loading...,garantieren,"to guarantee, to assure","garantir, assurer",die Garantie,the guarantee,Loading...,Feminine,Féminin
478,26,B1,,A2,B1,A1,kritisieren,die Kritik,,"to criticize, to censure",the criticism,"critiquer, censurer",Loading...,kritisieren,"to criticize, to censure","critiquer, censurer",die Kritik,the criticism,Loading...,Feminine,Féminin
479,26,B1,,A2,A1,B1,reparieren,die Reparatur,,"to repair, to fix",the repair,réparer,Loading...,reparieren,"to repair, to fix",réparer,die Reparatur,the repair,Loading...,Feminine,Féminin
480,26,B1,,A1,A2,A1,meinen,die Meinung,,"to think, to mean, to have an opinion",the opinion,"penser, vouloir dire, avoir une opinion",Loading...,meinen,"to think, to mean, to have an opinion","penser, vouloir dire, avoir une opinion",die Meinung,the opinion,Loading...,Feminine,Féminin
481,26,B1,,A1,B1,A1,berichten,der Bericht,,"to report, to inform, to cover",the report,"signaler, informer, couvrir",Loading...,berichten,"to report, to inform, to cover","signaler, informer, couvrir",der Bericht,the report,Loading...,Masculine,Masculin
482,26,B1,,A2,B1,B1,üben,die Übung,,"to practice, to exercise, to rehearse",the practice,"pratiquer, s'exercer, répéter",la pratique,üben,"to practice, to exercise, to rehearse","pratiquer, s'exercer, répéter",die Übung,the practice,la pratique,Feminine,Féminin
483,26,B1,,A1,B1,A1,organisieren,die Organisation,,"to organize, to arrange",the organization,"organiser, arranger",Loading...,organisieren,"to organize, to arrange","organiser, arranger",die Organisation,the organization,Loading...,Feminine,Féminin
484,26,B1,,A1,B1,A1,töten,der Tod,,"to kill, to slay",the death,"tuer, égorger",la mort,töten,"to kill, to slay","tuer, égorger",der Tod,the death,la mort,Masculine,Masculin
485,26,B1,,B1,B1,B1,überzeugen,die Überzeugung,,"to convince, to persuade",the conviction,"convaincre, persuader",Loading...,überzeugen,"to convince, to persuade","convaincre, persuader",die Überzeugung,the conviction,Loading...,Feminine,Féminin
486,26,B1,,B1,B1,B1,vertreten,die Vertretung,,"to represent, to advocate, to stand in for",the representation,"représenter, défendre, se substituer",Loading...,vertreten,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",die Vertretung,the representation,Loading...,Feminine,Féminin
487,26,B1,,A2,B1,B1,betreuen,die Betreuung,,"to look after, to care for, to supervise",the supervision,"prendre soin de, soigner, superviser",Loading...,betreuen,"to look after, to care for, to supervise","prendre soin de, soigner, superviser",die Betreuung,the supervision,Loading...,Feminine,Féminin
488,26,B1,,A2,B1,A1,hinweisen,der Hinweis,,"to indicate, to point out, to refer","the hint, the indication","indiquer, faire remarquer, se référer",Loading...,hinweisen,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer",der Hinweis,"the hint, the indication",Loading...,Masculine,Masculin
489,26,B1,,B1,A2,,reinigen,die Reinigung,,"to clean, to cleanse",the cleaning,"nettoyer, purifier",le nettoyage,reinigen,"to clean, to cleanse","nettoyer, purifier",die Reinigung,the cleaning,le nettoyage,Feminine,Féminin
490,26,B1,,A2,A2,,pflanzen,die Pflanze,,"to plant, to sow",the plant,"planter, semer",la plante,pflanzen,"to plant, to sow","planter, semer",die Pflanze,the plant,la plante,Feminine,Féminin
491,26,B1,,B2,B1,,stecken,der Stecker,,"to stick, to pin",the plug,"coller, épingler",Loading...,stecken,"to stick, to pin","coller, épingler",der Stecker,the plug,Loading...,Masculine,Masculin
492,26,B1,,B1,A1,,backen,die Bäckerei,,to bake,the bakery,cuire (du pain ou des pâtisseries),la boulangerie,backen,to bake,cuire (du pain ou des pâtisseries),die Bäckerei,the bakery,la boulangerie,Feminine,Féminin
493,27,B1,,B1,B1,,das Gebäck,backen,,the pastry,to bake,Loading...,cuire (du pain ou des pâtisseries),backen,to bake,cuire (du pain ou des pâtisseries),das Gebäck,the pastry,Loading...,,
494,27,B1,,A2,A2,A2,die Sendung,senden,,the delivery,"to send, to broadcast",la livraison,"envoyer, diffuser",senden,"to send, to broadcast","envoyer, diffuser",die Sendung,the delivery,la livraison,,
495,27,B1,,A2,A1,A2,der Laden,laden,,the shop,"to load, to charge, to invite",le magasin,"charger, inviter",laden,"to load, to charge, to invite","charger, inviter",der Laden,the shop,le magasin,,
496,27,B1,,A1,A1,B1,das Frühstück,frühstücken,,the breakfast,to have breakfast,Loading...,prendre le petit déjeuner,frühstücken,to have breakfast,prendre le petit déjeuner,das Frühstück,the breakfast,Loading...,,
497,27,B1,374,A1,B1,A2,der Start,starten,,the start,"to start, to launch, to take off",le début,"démarrer, lancer, décoller",starten,"to start, to launch, to take off","démarrer, lancer, décoller",der Start,the start,le début,,
498,27,B1,388,A2,B1,A1,die Ursache,verursachen,,the cause,"to cause, to provoke, to bring about",la cause,"causer, provoquer",verursachen,"to cause, to provoke, to bring about","causer, provoquer",die Ursache,the cause,la cause,,
499,27,B1,400,A1,B1,A1,der Krieg,kriegen,,the war,"to get after asking or fighting, to wage war",la guerre,"obtenir après avoir demandé ou combattu, faire la guerre",kriegen,"to get after asking or fighting, to wage war","obtenir après avoir demandé ou combattu, faire la guerre",der Krieg,the war,la guerre,,
500,27,B1,,A1,A2,A1,die Geschichte,geschehen,,"the history, the story","to happen, to occur, to take place",l'histoire,"se produire, avoir lieu (formel)",geschehen,"to happen, to occur, to take place","se produire, avoir lieu (formel)",die Geschichte,"the history, the story",l'histoire,,
501,27,B1,210,B1,,A2,das Leid,leiden,,"the suffering, the grief","to suffer, to endure, to bear",Loading...,"souffrir, endurer, supporter",leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter",das Leid,"the suffering, the grief",Loading...,,
502,27,B1,210,A2,,B1,die Leidenschaft,leiden,,the passion,"to suffer, to endure, to bear",la passion,"souffrir, endurer, supporter",leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter",die Leidenschaft,the passion,la passion,,
503,27,B1,215,B2,,B1,die Überprüfung,überprüfen,,the verification,"to check, to examine, to verify",Loading...,"vérifier, examiner",überprüfen,"to check, to examine, to verify","vérifier, examiner",die Überprüfung,the verification,Loading...,,
504,27,B1,225,B2,,B1,der Hass,hassen,,the hatred,"to hate, to detest",la haine,"haïr, détester",hassen,"to hate, to detest","haïr, détester",der Hass,the hatred,la haine,,
505,27,B1,251,B1,,B1,die Entdeckung,entdecken,,the discovery,"to discover, to find",la découverte,"découvrir, trouver",entdecken,"to discover, to find","découvrir, trouver",die Entdeckung,the discovery,la découverte,,
506,27,B1,267,A2,,B1,die Bestellung,bestellen,,the order,"to order, to reserve",l'ordre,"commander, réserver",bestellen,"to order, to reserve","commander, réserver",die Bestellung,the order,l'ordre,,
507,27,B1,281,B1,,A2,die Verbesserung,verbessern,,the improvement,"to improve, to enhance, to correct",Loading...,"améliorer, renforcer, corriger",verbessern,"to improve, to enhance, to correct","améliorer, renforcer, corriger",die Verbesserung,the improvement,Loading...,,
508,27,B1,288,A2,,A1,die Nutzung,nutzen,,the use,"to use, to utilize, to benefit from",l'utilisation,"utiliser, exploiter, bénéficier de",nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de",die Nutzung,the use,l'utilisation,,
509,27,B1,377,B2,,B1,die Bemühung,sich bemühen,,the effort,"to make an effort, to strive",Loading...,"faire un effort, s'efforcer",sich bemühen,"to make an effort, to strive","faire un effort, s'efforcer",die Bemühung,the effort,Loading...,,
510,28,B1,,B1,B1,,backen,das Gebäck,,to bake,the pastry,cuire (du pain ou des pâtisseries),Loading...,backen,to bake,cuire (du pain ou des pâtisseries),das Gebäck,the pastry,Loading...,Neuter,Neutre
511,28,B1,,A2,A2,A2,senden,die Sendung,,"to send, to broadcast",the delivery,"envoyer, diffuser",la livraison,senden,"to send, to broadcast","envoyer, diffuser",die Sendung,the delivery,la livraison,Feminine,Féminin
512,28,B1,,A2,A1,A2,laden,der Laden,,"to load, to charge, to invite",the shop,"charger, inviter",le magasin,laden,"to load, to charge, to invite","charger, inviter",der Laden,the shop,le magasin,Masculine,Masculin
513,28,B1,,A1,A1,B1,frühstücken,das Frühstück,,to have breakfast,the breakfast,prendre le petit déjeuner,Loading...,frühstücken,to have breakfast,prendre le petit déjeuner,das Frühstück,the breakfast,Loading...,Neuter,Neutre
514,28,B1,,A1,A2,A1,geschehen,die Geschichte,,"to happen, to occur, to take place","the history, the story","se produire, avoir lieu (formel)",l'histoire,geschehen,"to happen, to occur, to take place","se produire, avoir lieu (formel)",die Geschichte,"the history, the story",l'histoire,Feminine,Féminin
515,28,B1,374,A1,B1,A2,starten,der Start,,"to start, to launch, to take off",the start,"démarrer, lancer, décoller",le début,starten,"to start, to launch, to take off","démarrer, lancer, décoller",der Start,the start,le début,Masculine,Masculin
516,28,B1,388,A2,B1,A1,verursachen,die Ursache,,"to cause, to provoke, to bring about",the cause,"causer, provoquer",la cause,verursachen,"to cause, to provoke, to bring about","causer, provoquer",die Ursache,the cause,la cause,Feminine,Féminin
517,28,B1,400,A1,B1,A1,kriegen,der Krieg,,"to get after asking or fighting, to wage war",the war,"obtenir après avoir demandé ou combattu, faire la guerre",la guerre,kriegen,"to get after asking or fighting, to wage war","obtenir après avoir demandé ou combattu, faire la guerre",der Krieg,the war,la guerre,Masculine,Masculin
518,28,B1,,B1,,A2,leiden,das Leid,,"to suffer, to endure, to bear","the suffering, the grief","souffrir, endurer, supporter",Loading...,leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter",das Leid,"the suffering, the grief",Loading...,Neuter,Neutre
519,28,B1,,A2,,B1,leiden,die Leidenschaft,,"to suffer, to endure, to bear",the passion,"souffrir, endurer, supporter",la passion,leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter",die Leidenschaft,the passion,la passion,Feminine,Féminin
520,28,B1,,B2,,B1,überprüfen,die Überprüfung,,"to check, to examine, to verify",the verification,"vérifier, examiner",Loading...,überprüfen,"to check, to examine, to verify","vérifier, examiner",die Überprüfung,the verification,Loading...,Feminine,Féminin
521,28,B1,,B2,,B1,hassen,der Hass,,"to hate, to detest",the hatred,"haïr, détester",la haine,hassen,"to hate, to detest","haïr, détester",der Hass,the hatred,la haine,Masculine,Masculin
522,28,B1,,B1,,B1,entdecken,die Entdeckung,,"to discover, to find",the discovery,"découvrir, trouver",la découverte,entdecken,"to discover, to find","découvrir, trouver",die Entdeckung,the discovery,la découverte,Feminine,Féminin
523,28,B1,,A2,,B1,bestellen,die Bestellung,,"to order, to reserve",the order,"commander, réserver",l'ordre,bestellen,"to order, to reserve","commander, réserver",die Bestellung,the order,l'ordre,Feminine,Féminin
524,28,B1,,B1,,A2,verbessern,die Verbesserung,,"to improve, to enhance, to correct",the improvement,"améliorer, renforcer, corriger",Loading...,verbessern,"to improve, to enhance, to correct","améliorer, renforcer, corriger",die Verbesserung,the improvement,Loading...,Feminine,Féminin
525,28,B1,,A2,,A1,nutzen,die Nutzung,,"to use, to utilize, to benefit from",the use,"utiliser, exploiter, bénéficier de",l'utilisation,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de",die Nutzung,the use,l'utilisation,Feminine,Féminin
526,28,B1,,B2,,B1,sich bemühen,die Bemühung,,"to make an effort, to strive",the effort,"faire un effort, s'efforcer",Loading...,sich bemühen,"to make an effort, to strive","faire un effort, s'efforcer",die Bemühung,the effort,Loading...,Feminine,Féminin
527,29,B1,204,B1,,B1,der Klang,klingen,,the sound,"to sound, to ring, to seem",Loading...,"sonner, sonner, sembler",klingen,"to sound, to ring, to seem","sonner, sonner, sembler",der Klang,the sound,Loading...,,
528,29,B1,205,A2,,A2,die Ansicht,ansehen,,the view,"to look at something, to watch something",la vue,"regarder quelque chose, observer quelque chose",ansehen,"to look at something, to watch something","regarder quelque chose, observer quelque chose",die Ansicht,the view,la vue,,
529,29,B1,206,B2,,B1,die Probe,probieren,,the attempt,"to try, to taste, to sample, to probe",Loading...,"essayer, goûter, échantillonner, sonder",probieren,"to try, to taste, to sample, to probe","essayer, goûter, échantillonner, sonder",die Probe,the attempt,Loading...,,
530,29,B1,208,B2,,,der Diebstahl,stehlen,,the theft,to steal,le vol,voler,stehlen,to steal,voler,der Diebstahl,the theft,le vol,,
531,29,B1,214,B1,,A2,die Gründung,gründen,,"the founding, the foundation","to found, to establish, to start",la fondation,"fonder, établir, démarrer",gründen,"to found, to establish, to start","fonder, établir, démarrer",die Gründung,"the founding, the foundation",la fondation,,
532,29,B1,218,B2,,,die Erstellung,erstellen,,the creation,"to create, to prepare, to compile",Loading...,"créer, préparer, compiler",erstellen,"to create, to prepare, to compile","créer, préparer, compiler",die Erstellung,the creation,Loading...,,
533,29,B1,223,B1,,A2,die Sammlung,sammeln,,the collection,"to collect, to gather, to accumulate",Loading...,"recueillir, rassembler, accumuler",sammeln,"to collect, to gather, to accumulate","recueillir, rassembler, accumuler",die Sammlung,the collection,Loading...,,
534,29,B1,227,C1,,,der Schub,schieben,,the push,"to push, to shove, to wheel",Loading...,"pousser, bousculer, faire tourner",schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner",der Schub,the push,Loading...,,
535,29,B1,230,C1,,,die Abholung,abholen,,the pickup,"to pick up, to collect",le ramassage,"ramasser, collecter",abholen,"to pick up, to collect","ramasser, collecter",die Abholung,the pickup,le ramassage,,
536,29,B1,235,B1,,B1,der Griff,greifen,,the grip,"to grab, to grasp, to seize",la poignée,"saisir, s'emparer",greifen,"to grab, to grasp, to seize","saisir, s'emparer",der Griff,the grip,la poignée,,
537,29,B1,241,A2,,A2,das Rennen,rennen,,the race,"to run, to race, to sprint",Loading...,"courir, faire la course, sprinter",rennen,"to run, to race, to sprint","courir, faire la course, sprinter",das Rennen,the race,Loading...,,
538,29,B1,244,B2,,,die Entspannung,entspannen,,the relaxation,"to relax, to unwind",la détente,"se détendre, se relaxer",entspannen,"to relax, to unwind","se détendre, se relaxer",die Entspannung,the relaxation,la détente,,
539,29,B1,248,B1,,,die Gemälde,malen,,the painting,"to paint, to draw",Loading...,"peindre, dessiner",malen,"to paint, to draw","peindre, dessiner",die Gemälde,the painting,Loading...,,
540,29,B1,255,C1,,,die Besichtigung,besichtigen,,the visit,"to visit, to tour, to inspect",la visite,"visiter, faire un tour, inspecter",besichtigen,"to visit, to tour, to inspect","visiter, faire un tour, inspecter",die Besichtigung,the visit,la visite,,
541,29,B1,260,C2+,,,die Erreichung,erreichen,,the achievement,"to reach, to achieve, to attain",Loading...,"atteindre, réaliser, parvenir",erreichen,"to reach, to achieve, to attain","atteindre, réaliser, parvenir",die Erreichung,the achievement,Loading...,,
542,29,B1,264,C1,,,die Verhinderung,verhindern,,the prevention,"to prevent, to hinder, to stop",Loading...,"empêcher, entraver, arrêter",verhindern,"to prevent, to hinder, to stop","empêcher, entraver, arrêter",die Verhinderung,the prevention,Loading...,,
543,29,B1,268,B2,,,die Buchung,buchen,,the booking,"to book, to reserve",Loading...,réserver,buchen,"to book, to reserve",réserver,die Buchung,the booking,Loading...,,
544,29,B1,272,B1,,B1,der Schnitt,schneiden,,the cut,"to cut, to slice",la coupe,"couper, trancher",schneiden,"to cut, to slice","couper, trancher",der Schnitt,the cut,la coupe,,
545,29,B1,278,B2,,B1,die Entstehung,entstehen,,the emergence,"to arise, to develop, to come into being",Loading...,"surgir, se développer, naître",entstehen,"to arise, to develop, to come into being","surgir, se développer, naître",die Entstehung,the emergence,Loading...,,
546,29,B1,280,C1,,,die Gültigkeit,gelten,,the validity,"to apply, to be valid, to count",Loading...,"appliquer, être valide, compter",gelten,"to apply, to be valid, to count","appliquer, être valide, compter",die Gültigkeit,the validity,Loading...,,
547,30,B1,,B1,,B1,klingen,der Klang,,"to sound, to ring, to seem",the sound,"sonner, sonner, sembler",Loading...,klingen,"to sound, to ring, to seem","sonner, sonner, sembler",der Klang,the sound,Loading...,Masculine,Masculin
548,30,B1,,A2,,A2,ansehen,die Ansicht,,"to look at something, to watch something",the view,"regarder quelque chose, observer quelque chose",la vue,ansehen,"to look at something, to watch something","regarder quelque chose, observer quelque chose",die Ansicht,the view,la vue,Feminine,Féminin
