Nr,level,question,answer,german,adjective,gender,case,article
194,4,Ich helfe dem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe dem klugen Kind bei den Hausaufgaben.,klug,Neutral,Dativ,Bestimmt
195,4,Er gibt dem _____ Buch einen neuen Einband.,alten,Er gibt dem alten Buch einen neuen Einband.,alt,Neutral,Dativ,Bestimmt
196,4,Wir danken dem _____ Gemälde für die Inspiration.,schönen,Wir danken dem schönen Gemälde für die Inspiration.,schön,Neutral,Dativ,Bestimmt
197,4,Der Lehrer erklärt dem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt dem fleißigen Mädchen die Aufgabe.,fleißig,Neutral,Dativ,Bestimmt
198,4,Die Eltern schenken dem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken dem freundlichen Lächeln viel Bedeutung.,freundlich,Neutral,Dativ,Bestimmt
199,5,Das _____ Kind stellt viele Fragen.,kluge,Das kluge Kind stellt viele Fragen.,klug,Neutral,Nominativ,Bestimmt
200,5,Das _____ Buch liegt auf dem Tisch.,alte,Das alte Buch liegt auf dem Tisch.,alt,Neutral,Nominativ,Bestimmt
201,5,Das _____ Bild hängt an der Wand.,schöne,Das schöne Bild hängt an der Wand.,schön,Neutral,Nominativ,Bestimmt
202,5,Das _____ Mädchen macht ihre Hausaufgaben.,fleißige,Das fleißige Mädchen macht ihre Hausaufgaben.,fleißig,Neutral,Nominativ,Bestimmt
203,5,Das _____ Lächeln macht ihn sympathisch.,freundliche,Das freundliche Lächeln macht ihn sympathisch.,freundlich,Neutral,Nominativ,Bestimmt
204,5,Die _____ Kinder stellen viele Fragen.,klugen,Die klugen Kinder stellen viele Fragen.,klug,Plural,Nominativ,Bestimmt
205,5,Die _____ Bücher liegen auf dem Tisch.,alten,Die alten Bücher liegen auf dem Tisch.,alt,Plural,Nominativ,Bestimmt
206,5,Die _____ Bilder hängen an der Wand.,schönen,Die schönen Bilder hängen an der Wand.,schön,Plural,Nominativ,Bestimmt
207,5,Die _____ Schüler lernen jeden Tag.,fleißigen,Die fleißigen Schüler lernen jeden Tag.,fleißig,Plural,Nominativ,Bestimmt
208,5,Die _____ Menschen helfen einander.,freundlichen,Die freundlichen Menschen helfen einander.,freundlich,Plural,Nominativ,Bestimmt
209,5,Der _____ Lehrer erklärt die Grammatik sehr gut.,kluge,Der kluge Lehrer erklärt die Grammatik sehr gut.,klug,Maskulin,Nominativ,Bestimmt
210,5,Der _____ Hund schläft den ganzen Tag.,alte,Der alte Hund schläft den ganzen Tag.,alt,Maskulin,Nominativ,Bestimmt
211,5,Der _____ Baum steht im Garten.,schöne,Der schöne Baum steht im Garten.,schön,Maskulin,Nominativ,Bestimmt
212,5,Der _____ Student lernt jeden Abend Deutsch.,fleißige,Der fleißige Student lernt jeden Abend Deutsch.,fleißig,Maskulin,Nominativ,Bestimmt
213,5,Der _____ Kellner bringt das Essen schnell.,freundliche,Der freundliche Kellner bringt das Essen schnell.,freundlich,Maskulin,Nominativ,Bestimmt
214,5,Die _____ Lehrerin erklärt die Grammatik sehr gut.,kluge,Die kluge Lehrerin erklärt die Grammatik sehr gut.,klug,Feminin,Nominativ,Bestimmt
215,5,Die _____ Katze schläft den ganzen Tag.,alte,Die alte Katze schläft den ganzen Tag.,alt,Feminin,Nominativ,Bestimmt
216,5,Die _____ Blume steht im Garten.,schöne,Die schöne Blume steht im Garten.,schön,Feminin,Nominativ,Bestimmt
217,5,Die _____ Schülerin lernt jeden Abend Deutsch.,fleißige,Die fleißige Schülerin lernt jeden Abend Deutsch.,fleißig,Feminin,Nominativ,Bestimmt
218,5,Die _____ Nachbarin hilft uns oft.,freundliche,Die freundliche Nachbarin hilft uns oft.,freundlich,Feminin,Nominativ,Bestimmt
219,5,Ich sehe den _____ Lehrer im Klassenzimmer.,klugen,Ich sehe den klugen Lehrer im Klassenzimmer.,klug,Maskulin,Akkusativ,Bestimmt
220,5,Sie füttert den _____ Hund jeden Morgen.,alten,Sie füttert den alten Hund jeden Morgen.,alt,Maskulin,Akkusativ,Bestimmt
221,5,Wir bewundern den _____ Baum im Park.,schönen,Wir bewundern den schönen Baum im Park.,schön,Maskulin,Akkusativ,Bestimmt
222,5,Der Professor lobt den _____ Studenten.,fleißigen,Der Professor lobt den fleißigen Studenten.,fleißig,Maskulin,Akkusativ,Bestimmt
223,5,Die Gäste begrüßen den _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen den freundlichen Kellner herzlich.,freundlich,Maskulin,Akkusativ,Bestimmt
224,5,Ich bewundere die _____ Lehrerin.,kluge,Ich bewundere die kluge Lehrerin.,klug,Feminin,Akkusativ,Bestimmt
225,5,Er streichelt die _____ Katze.,alte,Er streichelt die alte Katze.,alt,Feminin,Akkusativ,Bestimmt
226,5,Wir gießen die _____ Blume im Garten.,schöne,Wir gießen die schöne Blume im Garten.,schön,Feminin,Akkusativ,Bestimmt
227,5,Die Lehrerin lobt die _____ Schülerin.,fleißige,Die Lehrerin lobt die fleißige Schülerin.,fleißig,Feminin,Akkusativ,Bestimmt
228,5,Sie begrüßen die _____ Nachbarin.,freundliche,Sie begrüßen die freundliche Nachbarin.,freundlich,Feminin,Akkusativ,Bestimmt
229,5,Ich sehe die _____ Kinder auf dem Spielplatz.,klugen,Ich sehe die klugen Kinder auf dem Spielplatz.,klug,Plural,Akkusativ,Bestimmt
230,5,Sie liest die _____ Bücher in der Bibliothek.,alten,Sie liest die alten Bücher in der Bibliothek.,alt,Plural,Akkusativ,Bestimmt
231,5,Wir bewundern die _____ Bilder im Museum.,schönen,Wir bewundern die schönen Bilder im Museum.,schön,Plural,Akkusativ,Bestimmt
232,5,Der Lehrer lobt die _____ Schüler.,fleißigen,Der Lehrer lobt die fleißigen Schüler.,fleißig,Plural,Akkusativ,Bestimmt
233,5,Die Eltern begrüßen die _____ Nachbarn.,freundlichen,Die Eltern begrüßen die freundlichen Nachbarn.,freundlich,Plural,Akkusativ,Bestimmt
234,5,Ich sehe das _____ Kind auf dem Spielplatz.,kluge,Ich sehe das kluge Kind auf dem Spielplatz.,klug,Neutral,Akkusativ,Bestimmt
235,5,Sie liest das _____ Buch jeden Abend.,alte,Sie liest das alte Buch jeden Abend.,alt,Neutral,Akkusativ,Bestimmt
236,5,Wir bewundern das _____ Bild im Museum.,schöne,Wir bewundern das schöne Bild im Museum.,schön,Neutral,Akkusativ,Bestimmt
237,5,Der Lehrer lobt das _____ Mädchen.,fleißige,Der Lehrer lobt das fleißige Mädchen.,fleißig,Neutral,Akkusativ,Bestimmt
238,5,Die Eltern lieben das _____ Lächeln ihres Kindes.,freundliche,Die Eltern lieben das freundliche Lächeln ihres Kindes.,freundlich,Neutral,Akkusativ,Bestimmt
239,5,Ich helfe den _____ Kindern bei den Hausaufgaben.,klugen,Ich helfe den klugen Kindern bei den Hausaufgaben.,klug,Plural,Dativ,Bestimmt
240,5,Er gibt den _____ Büchern neue Einbände.,alten,Er gibt den alten Büchern neue Einbände.,alt,Plural,Dativ,Bestimmt
241,5,Wir danken den _____ Künstlern für ihre Werke.,schönen,Wir danken den schönen Künstlern für ihre Werke.,schön,Plural,Dativ,Bestimmt
242,5,Der Lehrer erklärt den _____ Schülern die Aufgabe.,fleißigen,Der Lehrer erklärt den fleißigen Schülern die Aufgabe.,fleißig,Plural,Dativ,Bestimmt
243,5,Die Eltern schenken den _____ Nachbarn ein Geschenk.,freundlichen,Die Eltern schenken den freundlichen Nachbarn ein Geschenk.,freundlich,Plural,Dativ,Bestimmt
244,5,Ich helfe der _____ Lehrerin bei den Hausaufgaben.,klugen,Ich helfe der klugen Lehrerin bei den Hausaufgaben.,klug,Feminin,Dativ,Bestimmt
245,5,Er gibt der _____ Katze frisches Wasser.,alten,Er gibt der alten Katze frisches Wasser.,alt,Feminin,Dativ,Bestimmt
246,5,Wir danken der _____ Künstlerin für ihr Werk.,schönen,Wir danken der schönen Künstlerin für ihr Werk.,schön,Feminin,Dativ,Bestimmt
247,5,Die Lehrerin erklärt der _____ Schülerin die Aufgabe.,fleißigen,Die Lehrerin erklärt der fleißigen Schülerin die Aufgabe.,fleißig,Feminin,Dativ,Bestimmt
248,5,Die Nachbarn gratulieren der _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren der freundlichen Frau zum Geburtstag.,freundlich,Feminin,Dativ,Bestimmt
249,5,Ich helfe dem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe dem klugen Lehrer bei den Hausaufgaben.,klug,Maskulin,Dativ,Bestimmt
250,5,Sie gibt dem _____ Hund Futter.,alten,Sie gibt dem alten Hund Futter.,alt,Maskulin,Dativ,Bestimmt
251,5,Wir danken dem _____ Künstler für sein Werk.,schönen,Wir danken dem schönen Künstler für sein Werk.,schön,Maskulin,Dativ,Bestimmt
252,5,Der Professor erklärt dem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt dem fleißigen Studenten die Aufgabe.,fleißig,Maskulin,Dativ,Bestimmt
253,5,Die Gäste schenken dem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken dem freundlichen Kellner ein Trinkgeld.,freundlich,Maskulin,Dativ,Bestimmt
254,5,Ich helfe dem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe dem klugen Kind bei den Hausaufgaben.,klug,Neutral,Dativ,Bestimmt
255,5,Er gibt dem _____ Buch einen neuen Einband.,alten,Er gibt dem alten Buch einen neuen Einband.,alt,Neutral,Dativ,Bestimmt
256,5,Wir danken dem _____ Gemälde für die Inspiration.,schönen,Wir danken dem schönen Gemälde für die Inspiration.,schön,Neutral,Dativ,Bestimmt
257,5,Der Lehrer erklärt dem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt dem fleißigen Mädchen die Aufgabe.,fleißig,Neutral,Dativ,Bestimmt
258,5,Die Eltern schenken dem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken dem freundlichen Lächeln viel Bedeutung.,freundlich,Neutral,Dativ,Bestimmt
259,6,Ein _____ Lehrer erklärt die Grammatik sehr gut.,kluger,Ein kluger Lehrer erklärt die Grammatik sehr gut.,klug,Maskulin,Nominativ,Unbestimmt
260,6,Ein _____ Hund schläft den ganzen Tag.,alter,Ein alter Hund schläft den ganzen Tag.,alt,Maskulin,Nominativ,Unbestimmt
261,6,Ein _____ Baum steht im Garten.,schöner,Ein schöner Baum steht im Garten.,schön,Maskulin,Nominativ,Unbestimmt
262,6,Ein _____ Student lernt jeden Abend Deutsch.,fleißiger,Ein fleißiger Student lernt jeden Abend Deutsch.,fleißig,Maskulin,Nominativ,Unbestimmt
263,6,Ein _____ Kellner bringt das Essen schnell.,freundlicher,Ein freundlicher Kellner bringt das Essen schnell.,freundlich,Maskulin,Nominativ,Unbestimmt
264,6,Eine _____ Lehrerin erklärt die Grammatik sehr gut.,kluge,Eine kluge Lehrerin erklärt die Grammatik sehr gut.,klug,Feminin,Nominativ,Unbestimmt
265,6,Eine _____ Katze schläft den ganzen Tag.,alte,Eine alte Katze schläft den ganzen Tag.,alt,Feminin,Nominativ,Unbestimmt
266,6,Eine _____ Blume steht im Garten.,schöne,Eine schöne Blume steht im Garten.,schön,Feminin,Nominativ,Unbestimmt
267,6,Eine _____ Schülerin lernt jeden Abend Deutsch.,fleißige,Eine fleißige Schülerin lernt jeden Abend Deutsch.,fleißig,Feminin,Nominativ,Unbestimmt
268,6,Eine _____ Nachbarin hilft uns oft.,freundliche,Eine freundliche Nachbarin hilft uns oft.,freundlich,Feminin,Nominativ,Unbestimmt
269,6,Ein _____ Kind stellt viele Fragen.,kluges,Ein kluges Kind stellt viele Fragen.,klug,Neutral,Nominativ,Unbestimmt
270,6,Ein _____ Buch liegt auf dem Tisch.,altes,Ein altes Buch liegt auf dem Tisch.,alt,Neutral,Nominativ,Unbestimmt
271,6,Ein _____ Bild hängt an der Wand.,schönes,Ein schönes Bild hängt an der Wand.,schön,Neutral,Nominativ,Unbestimmt
272,6,Ein _____ Mädchen macht ihre Hausaufgaben.,fleißiges,Ein fleißiges Mädchen macht ihre Hausaufgaben.,fleißig,Neutral,Nominativ,Unbestimmt
273,6,Ein _____ Lächeln macht ihn sympathisch.,freundliches,Ein freundliches Lächeln macht ihn sympathisch.,freundlich,Neutral,Nominativ,Unbestimmt
274,6,Ich bewundere eine _____ Lehrerin.,kluge,Ich bewundere eine kluge Lehrerin.,klug,Feminin,Akkusativ,Unbestimmt
275,6,Er streichelt eine _____ Katze.,alte,Er streichelt eine alte Katze.,alt,Feminin,Akkusativ,Unbestimmt
276,6,Wir gießen eine _____ Blume im Garten.,schöne,Wir gießen eine schöne Blume im Garten.,schön,Feminin,Akkusativ,Unbestimmt
277,6,Die Lehrerin lobt eine _____ Schülerin.,fleißige,Die Lehrerin lobt eine fleißige Schülerin.,fleißig,Feminin,Akkusativ,Unbestimmt
278,6,Sie begrüßen eine _____ Nachbarin.,freundliche,Sie begrüßen eine freundliche Nachbarin.,freundlich,Feminin,Akkusativ,Unbestimmt
279,6,Ich sehe einen _____ Lehrer im Klassenzimmer.,klugen,Ich sehe einen klugen Lehrer im Klassenzimmer.,klug,Maskulin,Akkusativ,Unbestimmt
280,6,Sie füttert einen _____ Hund jeden Morgen.,alten,Sie füttert einen alten Hund jeden Morgen.,alt,Maskulin,Akkusativ,Unbestimmt
281,6,Wir bewundern einen _____ Baum im Park.,schönen,Wir bewundern einen schönen Baum im Park.,schön,Maskulin,Akkusativ,Unbestimmt
282,6,Der Professor lobt einen _____ Studenten.,fleißigen,Der Professor lobt einen fleißigen Studenten.,fleißig,Maskulin,Akkusativ,Unbestimmt
283,6,Die Gäste begrüßen einen _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen einen freundlichen Kellner herzlich.,freundlich,Maskulin,Akkusativ,Unbestimmt
284,6,Ich sehe ein _____ Kind auf dem Spielplatz.,kluges,Ich sehe ein kluges Kind auf dem Spielplatz.,klug,Neutral,Akkusativ,Unbestimmt
285,6,Sie liest ein _____ Buch jeden Abend.,altes,Sie liest ein altes Buch jeden Abend.,alt,Neutral,Akkusativ,Unbestimmt
286,6,Wir bewundern ein _____ Bild im Museum.,schönes,Wir bewundern ein schönes Bild im Museum.,schön,Neutral,Akkusativ,Unbestimmt
287,6,Der Lehrer lobt ein _____ Mädchen.,fleißiges,Der Lehrer lobt ein fleißiges Mädchen.,fleißig,Neutral,Akkusativ,Unbestimmt
288,6,Die Eltern lieben ein _____ Lächeln.,freundliches,Die Eltern lieben ein freundliches Lächeln.,freundlich,Neutral,Akkusativ,Unbestimmt
289,6,Ich helfe einem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe einem klugen Lehrer bei den Hausaufgaben.,klug,Maskulin,Dativ,Unbestimmt
290,6,Sie gibt einem _____ Hund Futter.,alten,Sie gibt einem alten Hund Futter.,alt,Maskulin,Dativ,Unbestimmt
291,6,Wir danken einem _____ Künstler für sein Werk.,schönen,Wir danken einem schönen Künstler für sein Werk.,schön,Maskulin,Dativ,Unbestimmt
292,6,Der Professor erklärt einem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt einem fleißigen Studenten die Aufgabe.,fleißig,Maskulin,Dativ,Unbestimmt
293,6,Die Gäste schenken einem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken einem freundlichen Kellner ein Trinkgeld.,freundlich,Maskulin,Dativ,Unbestimmt
294,6,Ich helfe einer _____ Lehrerin bei den Hausaufgaben.,klugen,Ich helfe einer klugen Lehrerin bei den Hausaufgaben.,klug,Feminin,Dativ,Unbestimmt
295,6,Er gibt einer _____ Katze frisches Wasser.,alten,Er gibt einer alten Katze frisches Wasser.,alt,Feminin,Dativ,Unbestimmt
296,6,Wir danken einer _____ Künstlerin für ihr Werk.,schönen,Wir danken einer schönen Künstlerin für ihr Werk.,schön,Feminin,Dativ,Unbestimmt
297,6,Die Lehrerin erklärt einer _____ Schülerin die Aufgabe.,fleißigen,Die Lehrerin erklärt einer fleißigen Schülerin die Aufgabe.,fleißig,Feminin,Dativ,Unbestimmt
298,6,Die Nachbarn gratulieren einer _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren einer freundlichen Frau zum Geburtstag.,freundlich,Feminin,Dativ,Unbestimmt
299,6,Ich helfe einem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe einem klugen Kind bei den Hausaufgaben.,klug,Neutral,Dativ,Unbestimmt
300,6,Er gibt einem _____ Buch einen neuen Einband.,alten,Er gibt einem alten Buch einen neuen Einband.,alt,Neutral,Dativ,Unbestimmt
301,6,Wir danken einem _____ Gemälde für die Inspiration.,schönen,Wir danken einem schönen Gemälde für die Inspiration.,schön,Neutral,Dativ,Unbestimmt
302,6,Der Lehrer erklärt einem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt einem fleißigen Mädchen die Aufgabe.,fleißig,Neutral,Dativ,Unbestimmt
303,6,Die Eltern schenken einem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken einem freundlichen Lächeln viel Bedeutung.,freundlich,Neutral,Dativ,Unbestimmt
304,7,_____ Lehrerin erklärt die Grammatik sehr gut.,Kluge,Kluge Lehrerin erklärt die Grammatik sehr gut.,klug,Feminin,Nominativ,Ohne Artikel
305,7,_____ Katze schläft den ganzen Tag.,Alte,Alte Katze schläft den ganzen Tag.,alt,Feminin,Nominativ,Ohne Artikel
306,7,_____ Blume steht im Garten.,Schöne,Schöne Blume steht im Garten.,schön,Feminin,Nominativ,Ohne Artikel
307,7,_____ Schülerin lernt jeden Abend Deutsch.,Fleißige,Fleißige Schülerin lernt jeden Abend Deutsch.,fleißig,Feminin,Nominativ,Ohne Artikel
308,7,_____ Nachbarin hilft uns oft.,Freundliche,Freundliche Nachbarin hilft uns oft.,freundlich,Feminin,Nominativ,Ohne Artikel
309,7,_____ Lehrer erklärt die Grammatik sehr gut.,Klüger,Klüger Lehrer erklärt die Grammatik sehr gut.,klug,Maskulin,Nominativ,Ohne Artikel
310,7,_____ Hund schläft den ganzen Tag.,Alter,Alter Hund schläft den ganzen Tag.,alt,Maskulin,Nominativ,Ohne Artikel
311,7,_____ Baum steht im Garten.,Schöner,Schöner Baum steht im Garten.,schön,Maskulin,Nominativ,Ohne Artikel
312,7,_____ Student lernt jeden Abend Deutsch.,Fleißiger,Fleißiger Student lernt jeden Abend Deutsch.,fleißig,Maskulin,Nominativ,Ohne Artikel
313,7,_____ Kellner bringt das Essen schnell.,Freundlicher,Freundlicher Kellner bringt das Essen schnell.,freundlich,Maskulin,Nominativ,Ohne Artikel
314,7,_____ Kind stellt viele Fragen.,Kluges,Kluges Kind stellt viele Fragen.,klug,Neutral,Nominativ,Ohne Artikel
315,7,_____ Buch liegt auf dem Tisch.,Altes,Altes Buch liegt auf dem Tisch.,alt,Neutral,Nominativ,Ohne Artikel
316,7,_____ Bild hängt an der Wand.,Schönes,Schönes Bild hängt an der Wand.,schön,Neutral,Nominativ,Ohne Artikel
317,7,_____ Mädchen macht ihre Hausaufgaben.,Fleißiges,Fleißiges Mädchen macht ihre Hausaufgaben.,fleißig,Neutral,Nominativ,Ohne Artikel
318,7,_____ Lächeln macht ihn sympathisch.,Freundliches,Freundliches Lächeln macht ihn sympathisch.,freundlich,Neutral,Nominativ,Ohne Artikel
319,7,_____ Kinder stellen viele Fragen.,Kluge,Kluge Kinder stellen viele Fragen.,klug,Plural,Nominativ,Ohne Artikel
320,7,_____ Bücher liegen auf dem Tisch.,Alte,Alte Bücher liegen auf dem Tisch.,alt,Plural,Nominativ,Ohne Artikel
321,7,_____ Bilder hängen an der Wand.,Schöne,Schöne Bilder hängen an der Wand.,schön,Plural,Nominativ,Ohne Artikel
322,7,_____ Schüler lernen jeden Tag.,Fleißige,Fleißige Schüler lernen jeden Tag.,fleißig,Plural,Nominativ,Ohne Artikel
323,7,_____ Menschen helfen einander.,Freundliche,Freundliche Menschen helfen einander.,freundlich,Plural,Nominativ,Ohne Artikel
324,7,Ich sehe _____ Lehrer im Klassenzimmer.,klugen,Ich sehe klugen Lehrer im Klassenzimmer.,klug,Maskulin,Akkusativ,Ohne Artikel
325,7,Sie füttert _____ Hund jeden Morgen.,alten,Sie füttert alten Hund jeden Morgen.,alt,Maskulin,Akkusativ,Ohne Artikel
326,7,Wir bewundern _____ Baum im Park.,schönen,Wir bewundern schönen Baum im Park.,schön,Maskulin,Akkusativ,Ohne Artikel
327,7,Der Professor lobt _____ Studenten.,fleißigen,Der Professor lobt fleißigen Studenten.,fleißig,Maskulin,Akkusativ,Ohne Artikel
328,7,Die Gäste begrüßen _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen freundlichen Kellner herzlich.,freundlich,Maskulin,Akkusativ,Ohne Artikel
329,7,Ich sehe _____ Kinder auf dem Spielplatz.,kluge,Ich sehe kluge Kinder auf dem Spielplatz.,klug,Plural,Akkusativ,Ohne Artikel
330,7,Sie liest _____ Bücher in der Bibliothek.,alte,Sie liest alte Bücher in der Bibliothek.,alt,Plural,Akkusativ,Ohne Artikel
331,7,Wir bewundern _____ Bilder im Museum.,schöne,Wir bewundern schöne Bilder im Museum.,schön,Plural,Akkusativ,Ohne Artikel
332,7,Der Lehrer lobt _____ Schüler.,fleißige,Der Lehrer lobt fleißige Schüler.,fleißig,Plural,Akkusativ,Ohne Artikel
333,7,Die Eltern begrüßen _____ Nachbarn.,freundliche,Die Eltern begrüßen freundliche Nachbarn.,freundlich,Plural,Akkusativ,Ohne Artikel
334,7,Ich sehe _____ Kind auf dem Spielplatz.,kluges,Ich sehe kluges Kind auf dem Spielplatz.,klug,Neutral,Akkusativ,Ohne Artikel
335,7,Sie liest _____ Buch jeden Abend.,altes,Sie liest altes Buch jeden Abend.,alt,Neutral,Akkusativ,Ohne Artikel
336,7,Wir bewundern _____ Bild im Museum.,schönes,Wir bewundern schönes Bild im Museum.,schön,Neutral,Akkusativ,Ohne Artikel
337,7,Der Lehrer lobt _____ Mädchen.,fleißiges,Der Lehrer lobt fleißiges Mädchen.,fleißig,Neutral,Akkusativ,Ohne Artikel
338,7,Die Eltern lieben _____ Lächeln.,freundliches,Die Eltern lieben freundliches Lächeln.,freundlich,Neutral,Akkusativ,Ohne Artikel
339,7,Ich bewundere _____ Lehrerin.,kluge,Ich bewundere kluge Lehrerin.,klug,Feminin,Akkusativ,Ohne Artikel
340,7,Er streichelt _____ Katze.,alte,Er streichelt alte Katze.,alt,Feminin,Akkusativ,Ohne Artikel
341,7,Wir gießen _____ Blume im Garten.,schöne,Wir gießen schöne Blume im Garten.,schön,Feminin,Akkusativ,Ohne Artikel
342,7,Die Lehrerin lobt _____ Schülerin.,fleißige,Die Lehrerin lobt fleißige Schülerin.,fleißig,Feminin,Akkusativ,Ohne Artikel
343,7,Sie begrüßen _____ Nachbarin.,freundliche,Sie begrüßen freundliche Nachbarin.,freundlich,Feminin,Akkusativ,Ohne Artikel
344,7,Ich helfe _____ Lehrer bei den Hausaufgaben.,klugem,Ich helfe klugem Lehrer bei den Hausaufgaben.,klug,Maskulin,Dativ,Ohne Artikel
345,7,Er gibt _____ Hund Futter.,altem,Er gibt altem Hund Futter.,alt,Maskulin,Dativ,Ohne Artikel
346,7,Wir danken _____ Künstler für sein Werk.,schönem,Wir danken schönem Künstler für sein Werk.,schön,Maskulin,Dativ,Ohne Artikel
347,7,Der Professor erklärt _____ Studenten die Aufgabe.,fleißigem,Der Professor erklärt fleißigem Studenten die Aufgabe.,fleißig,Maskulin,Dativ,Ohne Artikel
348,7,Die Gäste schenken _____ Kellner ein Trinkgeld.,freundlichem,Die Gäste schenken freundlichem Kellner ein Trinkgeld.,freundlich,Maskulin,Dativ,Ohne Artikel
349,7,Ich helfe _____ Lehrerin bei den Hausaufgaben.,kluger,Ich helfe kluger Lehrerin bei den Hausaufgaben.,klug,Feminin,Dativ,Ohne Artikel
350,7,Er gibt _____ Katze frisches Wasser.,alter,Er gibt alter Katze frisches Wasser.,alt,Feminin,Dativ,Ohne Artikel
351,7,Wir danken _____ Künstlerin für ihr Werk.,schöner,Wir danken schöner Künstlerin für ihr Werk.,schön,Feminin,Dativ,Ohne Artikel
352,7,Die Lehrerin erklärt _____ Schülerin die Aufgabe.,fleißiger,Die Lehrerin erklärt fleißiger Schülerin die Aufgabe.,fleißig,Feminin,Dativ,Ohne Artikel
353,7,Die Nachbarn gratulieren _____ Frau zum Geburtstag.,freundlicher,Die Nachbarn gratulieren freundlicher Frau zum Geburtstag.,freundlich,Feminin,Dativ,Ohne Artikel
354,7,Ich helfe _____ Kind bei den Hausaufgaben.,klugem,Ich helfe klugem Kind bei den Hausaufgaben.,klug,Neutral,Dativ,Ohne Artikel
355,7,Er gibt _____ Buch einen neuen Einband.,altem,Er gibt altem Buch einen neuen Einband.,alt,Neutral,Dativ,Ohne Artikel
356,7,Wir danken _____ Gemälde für die Inspiration.,schönem,Wir danken schönem Gemälde für die Inspiration.,schön,Neutral,Dativ,Ohne Artikel
357,7,Der Lehrer erklärt _____ Mädchen die Aufgabe.,fleißigem,Der Lehrer erklärt fleißigem Mädchen die Aufgabe.,fleißig,Neutral,Dativ,Ohne Artikel
358,7,Die Eltern schenken _____ Lächeln viel Bedeutung.,freundlichem,Die Eltern schenken freundlichem Lächeln viel Bedeutung.,freundlich,Neutral,Dativ,Ohne Artikel
359,7,Ich helfe _____ Kindern bei den Hausaufgaben.,klugen,Ich helfe klugen Kindern bei den Hausaufgaben.,klug,Plural,Dativ,Ohne Artikel
360,7,Er gibt _____ Büchern neue Einbände.,alten,Er gibt alten Büchern neue Einbände.,alt,Plural,Dativ,Ohne Artikel
361,7,Wir danken _____ Künstlern für ihre Werke.,schönen,Wir danken schönen Künstlern für ihre Werke.,schön,Plural,Dativ,Ohne Artikel
362,7,Der Lehrer erklärt _____ Schülern die Aufgabe.,fleißigen,Der Lehrer erklärt fleißigen Schülern die Aufgabe.,fleißig,Plural,Dativ,Ohne Artikel
363,7,Die Eltern schenken _____ Nachbarn ein Geschenk.,freundlichen,Die Eltern schenken freundlichen Nachbarn ein Geschenk.,freundlich,Plural,Dativ,Ohne Artikel
364,8,Ein _____ Lehrer erklärt die Grammatik sehr gut.,kluger,Ein kluger Lehrer erklärt die Grammatik sehr gut.,klug,Maskulin,Nominativ,Unbestimmt
365,8,Ein _____ Hund schläft den ganzen Tag.,alter,Ein alter Hund schläft den ganzen Tag.,alt,Maskulin,Nominativ,Unbestimmt
366,8,Ein _____ Baum steht im Garten.,schöner,Ein schöner Baum steht im Garten.,schön,Maskulin,Nominativ,Unbestimmt
367,8,Ein _____ Student lernt jeden Abend Deutsch.,fleißiger,Ein fleißiger Student lernt jeden Abend Deutsch.,fleißig,Maskulin,Nominativ,Unbestimmt
368,8,Ein _____ Kellner bringt das Essen schnell.,freundlicher,Ein freundlicher Kellner bringt das Essen schnell.,freundlich,Maskulin,Nominativ,Unbestimmt
369,8,Das _____ Kind stellt viele Fragen.,kluge,Das kluge Kind stellt viele Fragen.,klug,Neutral,Nominativ,Bestimmt
370,8,Das _____ Buch liegt auf dem Tisch.,alte,Das alte Buch liegt auf dem Tisch.,alt,Neutral,Nominativ,Bestimmt
371,8,Das _____ Bild hängt an der Wand.,schöne,Das schöne Bild hängt an der Wand.,schön,Neutral,Nominativ,Bestimmt
372,8,Das _____ Mädchen macht ihre Hausaufgaben.,fleißige,Das fleißige Mädchen macht ihre Hausaufgaben.,fleißig,Neutral,Nominativ,Bestimmt
373,8,Das _____ Lächeln macht ihn sympathisch.,freundliche,Das freundliche Lächeln macht ihn sympathisch.,freundlich,Neutral,Nominativ,Bestimmt
374,8,_____ Lehrerin erklärt die Grammatik sehr gut.,Kluge,Kluge Lehrerin erklärt die Grammatik sehr gut.,klug,Feminin,Nominativ,Ohne Artikel
