Nr,level,reflx,verb,preposition,case,english_verb,german,english_sentence,answer,question
240,6,,entschuldigen,für,,,Ich entschuldige mich für meine Verspätung.,I apologize for my delay.,für,Ich entschuldige mich _____ meine Verspätung.
241,6,,entschuldigen,für,,,Sie hat sich für ihren Fehler entschuldigt.,She apologized for her mistake.,für,Sie hat sich _____ ihren Fehler entschuldigt.
242,6,,entschuldigen,bei,,,Ich habe mich bei meiner Freundin für mein Verhalten entschuldigt.,I apologized to my girlfriend for my behavior.,bei,Ich habe mich _____ meiner Freundin für mein Verhalten entschuldigt.
243,6,,entschuldigen,bei,,,Er hat sich bei seinem Lehrer für die Unaufmerksamkeit entschuldigt.,He apologized to his teacher for not paying attention.,bei,Er hat sich _____ seinem Lehrer für die Unaufmerksamkeit entschuldigt.
244,6,,entwickeln,zu,,,Die Stadt hat sich zu einem Tourismuszentrum entwickelt.,The city has developed into a tourist center.,zu,Die Stadt hat sich _____ einem Tourismuszentrum entwickelt.
245,6,,entwickeln,zu,,,Das Hobby hat sich zu einer echten Leidenschaft entwickelt.,The hobby has developed into a real passion.,zu,Das Hobby hat sich _____ einer echten Leidenschaft entwickelt.
246,6,,ergeben,aus,,,Das Problem ergibt sich aus mangelnder Kommunikation.,The problem results from a lack of communication.,aus,Das Problem ergibt sich _____ mangelnder Kommunikation.
247,6,,ergeben,aus,,,Die Lösung ergibt sich aus den gesammelten Daten.,The solution results from the collected data.,aus,Die Lösung ergibt sich _____ den gesammelten Daten.
248,6,,erwarten,von,,,"Ich erwarte von dir, dass du pünktlich bist.",I expect you to be on time.,von,"Ich erwarte _____ dir, dass du pünktlich bist."
249,6,,erwarten,von,,,"Mein Chef erwartet von mir, dass ich flexibel arbeite.",My boss expects me to work flexibly.,von,"Mein Chef erwartet _____ mir, dass ich flexibel arbeite."
250,6,,fehlen,an,,,Es fehlt an sauberem Wasser in vielen Regionen.,There is a lack of clean water in many regions.,an,Es fehlt _____ sauberem Wasser in vielen Regionen.
251,6,,fehlen,an,,,Hier fehlt es an ausreichend Sitzplätzen.,There are not enough seats here.,an,Hier fehlt es _____ ausreichend Sitzplätzen.
252,6,,gehen,um,,,In dem Buch geht es um eine spannende Reise.,The book is about an exciting journey.,um,In dem Buch geht es _____ eine spannende Reise.
253,6,,gehen,um,,,Bei dem Streit geht es um Geld.,The argument is about money.,um,Bei dem Streit geht es _____ Geld.
254,6,,kämpfen,gegen,,,Die Organisation kämpft gegen Armut.,The organization fights against poverty.,gegen,Die Organisation kämpft _____ Armut.
255,6,,kämpfen,gegen,,,Wir kämpfen gegen Diskriminierung.,We fight against discrimination.,gegen,Wir kämpfen _____ Diskriminierung.
256,6,,kämpfen,um,,,Er kämpft um seinen Platz im Team.,He is fighting for his place on the team.,um,Er kämpft _____ seinen Platz im Team.
257,6,,kämpfen,um,,,Sie kämpft um ihre Rechte.,She is fighting for her rights.,um,Sie kämpft _____ ihre Rechte.
258,6,,kämpfen,für,,,Sie kämpfen für bessere Arbeitsbedingungen.,They are fighting for better working conditions.,für,Sie kämpfen _____ bessere Arbeitsbedingungen.
259,6,,kämpfen,für,,,Wir kämpfen für eine saubere Umwelt.,We fight for a clean environment.,für,Wir kämpfen _____ eine saubere Umwelt.
260,6,,kämpfen,mit,,,Er kämpft mit gesundheitlichen Problemen.,He struggles with health problems.,mit,Er kämpft _____ gesundheitlichen Problemen.
261,6,,kämpfen,mit,,,Ich kämpfe mit der neuen Software.,I struggle with the new software.,mit,Ich kämpfe _____ der neuen Software.
262,6,,kümmern,um,,,Er kümmert sich um seine kranke Mutter.,He takes care of his sick mother.,um,Er kümmert sich _____ seine kranke Mutter.
263,6,,kümmern,um,,,Ich kümmere mich um die Organisation der Feier.,I take care of organizing the party.,um,Ich kümmere mich _____ die Organisation der Feier.
264,6,,leben,von,,,Er lebt von seinem Ersparten.,He lives off his savings.,von,Er lebt _____ seinem Ersparten.
265,6,,leben,von,,,Viele Künstler leben von ihren Werken.,Many artists live off their work.,von,Viele Künstler leben _____ ihren Werken.
266,6,,raten,zu,,,Ich rate dir zu mehr Bewegung.,I advise you to exercise more.,zu,Ich rate dir _____ mehr Bewegung.
267,6,,raten,zu,,,Der Arzt hat mir zu einer Diät geraten.,The doctor advised me to go on a diet.,zu,Der Arzt hat mir _____ einer Diät geraten.
268,6,,schmecken,nach,,,Das Essen schmeckt nach Knoblauch.,The food tastes like garlic.,nach,Das Essen schmeckt _____ Knoblauch.
269,6,,schmecken,nach,,,Der Tee schmeckt nach Minze.,The tea tastes like mint.,nach,Der Tee schmeckt _____ Minze.
270,6,,schützen,vor,,,Diese Creme schützt vor Sonnenbrand.,This cream protects against sunburn.,vor,Diese Creme schützt _____ Sonnenbrand.
271,6,,schützen,vor,,,Die Polizei schützt die Bürger vor Kriminalität.,The police protect citizens from crime.,vor,Die Polizei schützt die Bürger _____ Kriminalität.
272,6,,sorgen,für,,,Er sorgt für seine Familie.,He takes care of his family.,für,Er sorgt _____ seine Familie.
273,6,,sorgen,für,,,Ich sorge für genug Getränke bei der Party.,I ensure there are enough drinks at the party.,für,Ich sorge _____ genug Getränke bei der Party.
274,6,,sorgen,um,,,Sie sorgt sich um die Zukunft ihrer Kinder.,She worries about the future of her children.,um,Sie sorgt sich _____ die Zukunft ihrer Kinder.
275,6,,sorgen,um,,,Ich sorge mich um meine Prüfungen.,I worry about my exams.,um,Ich sorge mich _____ meine Prüfungen.
276,6,,sterben,für,,,Viele Menschen sind für ihre Freiheit gestorben.,Many people have died for their freedom.,für,Viele Menschen sind _____ ihre Freiheit gestorben.
277,6,,sterben,für,,,Er ist für seine Überzeugungen gestorben.,He died for his beliefs.,für,Er ist _____ seine Überzeugungen gestorben.
278,6,,sterben,an,,,Er ist an einer schweren Krankheit gestorben.,He died of a serious illness.,an,Er ist _____ einer schweren Krankheit gestorben.
279,6,,sterben,an,,,Viele Menschen sterben an den Folgen von Rauchen.,Many people die from the consequences of smoking.,an,Viele Menschen sterben _____ den Folgen von Rauchen.
280,6,,stimmen,für,,to vote for,Ich stimme für den neuen Plan.,I vote for the new plan.,für,Ich stimme _____ den neuen Plan.
281,6,,stimmen,für,,to vote for,Sie stimmen für den besten Kandidaten.,They vote for the best candidate.,für,Sie stimmen _____ den besten Kandidaten.
282,6,,stimmen,gegen,,to vote against,Er stimmt gegen das Gesetz.,He votes against the law.,gegen,Er stimmt _____ das Gesetz.
283,6,,stimmen,gegen,,to vote against,Ich stimme gegen die Idee.,I vote against the idea.,gegen,Ich stimme _____ die Idee.
284,6,,vergleichen,mit,,,Vergleiche dein Auto nicht mit meinem.,Don't compare your car with mine.,mit,Vergleiche dein Auto nicht _____ meinem.
285,6,,vergleichen,mit,,,Er kann sich mit Ihnen nicht vergleichen.,He cannot compare with you.,mit,Er kann sich _____ Ihnen nicht vergleichen.
286,6,,verlassen,auf,,,Ich verlasse mich auf dich.,I rely on you.,auf,Ich verlasse mich _____ dich.
287,6,,verlassen,auf,,,"Kann ich mich darauf verlassen, dass du pünktlich bist?",Can I rely on you being on time?,darauf,"Kann ich mich _____ verlassen, dass du pünktlich bist?"
288,6,,verlieben,in,,,Sie hat sich in ihren Kollegen verliebt.,She fell in love with her colleague.,in,Sie hat sich _____ ihren Kollegen verliebt.
289,6,,verlieben,in,,,Er verliebte sich sofort in die Stadt.,He immediately fell in love with the city.,in,Er verliebte sich sofort _____ die Stadt.
290,6,,vertrauen,auf,,,Ich vertraue auf meine Fähigkeiten.,I trust in my abilities.,auf,Ich vertraue _____ meine Fähigkeiten.
291,6,,vertrauen,auf,,,Wir müssen auf unsere Erfahrung vertrauen.,We must trust in our experience.,auf,Wir müssen _____ unsere Erfahrung vertrauen.
292,6,,vorbereiten,auf,,,Ich bereite mich auf die Prüfung vor.,I am preparing for the exam.,auf,Ich bereite mich _____ die Prüfung vor.
293,6,,vorbereiten,auf,,,Sie bereitet sich auf das Bewerbungsgespräch vor.,She is preparing for the job interview.,auf,Sie bereitet sich _____ das Bewerbungsgespräch vor.
294,6,,weinen,über,,,Er weinte über den Verlust seines Hundes.,He cried over the loss of his dog.,über,Er weinte _____ den Verlust seines Hundes.
295,6,,weinen,über,,,Sie weinte über den traurigen Film.,She cried about the sad movie.,über,Sie weinte _____ den traurigen Film.
296,6,,wirken,auf,,,Die Musik wirkt beruhigend auf mich.,The music has a calming effect on me.,auf,Die Musik wirkt beruhigend _____ mich.
297,6,,wirken,auf,,,Sein Verhalten wirkt arrogant auf andere.,His behavior seems arrogant to others.,auf,Sein Verhalten wirkt arrogant _____ andere.
298,7,,achten,auf,,,"Ich achte auf meine Ernährung, weil ich darauf großen Wert lege.",I pay attention to my diet because I value it greatly.,darauf,"Ich achte auf meine Ernährung, weil ich _____ großen Wert lege."
299,7,,anfangen,,,to start with,Ich fange mit der Arbeit an und konzentriere mich darauf.,I start with the work and focus on it.,darauf,Ich fange mit der Arbeit an und konzentriere mich _____.
300,7,,ankommen,auf,,,"Es kommt auf das Wetter an, weil wir unseren Plan danach richten müssen.",It depends on the weather because we have to adjust our plan accordingly.,danach,"Es kommt auf das Wetter an, weil wir unseren Plan _____ richten müssen."
301,7,,anrufen,,,to call at,Ich rufe bei meiner Bank an und erkundige mich dabei nach meinem Konto.,I call my bank and inquire about my account while doing so.,dabei,Ich rufe bei meiner Bank an und erkundige mich _____ nach meinem Konto.
302,7,,arbeiten,,,to work at,Ich arbeite bei einer großen Firma und bin zufrieden dabei.,I work at a big company and am happy with it.,dabei,Ich arbeite bei einer großen Firma und bin zufrieden _____.
303,7,,arbeiten,,,to work on,Er arbeitet an einem neuen Projekt und ist sehr motiviert dabei.,He is working on a new project and is very motivated.,dabei,Er arbeitet an einem neuen Projekt und ist sehr motiviert _____.
304,7,,arbeiten,,,to work as,Sie arbeitet als Lehrerin und ist glücklich damit.,She works as a teacher and is happy with it.,damit,Sie arbeitet als Lehrerin und ist glücklich _____.
305,7,,arbeiten,bei,,,"Ich arbeite bei einer großen Firma, weil ich dabei viele Chancen habe.",I work at a big company because I have many opportunities with it.,dabei,"Ich arbeite bei einer großen Firma, weil ich _____ viele Chancen habe."
306,7,,arbeiten,an,,,"Er arbeitet an einem neuen Projekt, weil er dabei viel lernt.",He is working on a new project because he learns a lot from it.,dabei,"Er arbeitet an einem neuen Projekt, weil er _____ viel lernt."
307,7,,arbeiten,als,,,"Sie arbeitet als Lehrerin, weil sie damit glücklich ist.",She works as a teacher because she is happy with it.,damit,"Sie arbeitet als Lehrerin, weil sie _____ glücklich ist."
308,7,,ärgern,über,,,"Ich ärgere mich über die Verspätung, weil ich darüber nicht informiert wurde.",I am annoyed about the delay because I was not informed about it.,darüber,"Ich ärgere mich über die Verspätung, weil ich _____ nicht informiert wurde."
309,7,,aufpassen,auf,,,"Ich passe auf meine kleine Schwester auf, weil ich darauf achten muss.",I take care of my little sister because I have to watch out for her.,darauf,"Ich passe auf meine kleine Schwester auf, weil ich _____ achten muss."
310,7,,ausgehen,von,,,"Ich gehe davon aus, dass er kommt, weil ich davon überzeugt bin.",I assume that he is coming because I am convinced of it.,davon,"Ich gehe _____ aus, dass er kommt, weil ich _____ überzeugt bin."
311,7,,beeilen,mit,,,"Ich beeile mich mit den Hausaufgaben, weil ich damit schnell fertig sein möchte.",I hurry with my homework because I want to finish it quickly.,damit,"Ich beeile mich mit den Hausaufgaben, weil ich _____ schnell fertig sein möchte."
312,7,,beschäftigen,mit,,,"Ich beschäftige mich mit der neuen Aufgabe, weil ich mich damit verbessern will.",I keep myself busy with the new task because I want to improve with it.,damit,"Ich beschäftige mich mit der neuen Aufgabe, weil ich mich _____ verbessern will."
313,7,,beschweren,über,,,"Ich beschwere mich über den Lärm, weil ich darüber nicht hinwegsehen kann.",I complain about the noise because I cannot overlook it.,darüber,"Ich beschwere mich über den Lärm, weil ich _____ nicht hinwegsehen kann."
314,7,,beschweren,bei,,,"Ich beschwere mich bei meinem Nachbarn, weil ich mich bei ihm ungerecht behandelt fühle.",I complain to my neighbor because I feel unfairly treated by him.,bei ihm,"Ich beschwere mich bei meinem Nachbarn, weil ich mich _____ ungerecht behandelt fühle."
315,7,,bitten,,,to ask for / plead for,Ich bitte um Hilfe und bin sehr dankbar dafür.,I ask for help and am very grateful for it.,dafür,Ich bitte um Hilfe und bin sehr dankbar _____.
316,7,,bringen,zu,,,"Diese Erfahrung bringt mich zu einer neuen Perspektive, sodass ich daraus viel lernen kann.",This experience brings me to a new perspective so that I can learn a lot from it.,daraus,"Diese Erfahrung bringt mich zu einer neuen Perspektive, sodass ich _____ viel lernen kann."
317,7,,danken,,,to thank for,Ich danke dir für deine Unterstützung und freue mich darüber.,I thank you for your support and am happy about it.,darüber,Ich danke dir für deine Unterstützung und freue mich _____.
318,7,,denken,,,to think of,Ich denke oft an meinen Urlaub und freue mich darauf.,I often think about my vacation and look forward to it.,darauf,Ich denke oft an meinen Urlaub und freue mich _____.
319,7,,denken,an,,,"Ich denke oft an meinen Urlaub, weil ich mich darauf freue.",I often think about my vacation because I look forward to it.,darauf,"Ich denke oft an meinen Urlaub, weil ich mich _____ freue."
320,7,,einladen,,,to invite to,"Ich lade dich zu meiner Party ein und hoffe darauf, dass du kommst.",I invite you to my party and hope that you come.,darauf,"Ich lade dich zu meiner Party ein und hoffe _____, dass du kommst."
321,7,,enden,mit,,,"Das Treffen endet mit einer Diskussion, weil wir uns damit einigen wollen.",The meeting ends with a discussion because we want to reach an agreement with it.,damit,"Das Treffen endet mit einer Diskussion, weil wir uns _____ einigen wollen."
322,7,,entscheiden,für,,,"Ich entscheide mich für das Studium, weil ich mich dafür sehr interessiere.",I decide on the studies because I am very interested in it.,dafür,"Ich entscheide mich für das Studium, weil ich mich _____ sehr interessiere."
323,7,,entscheiden,gegen,,,"Sie entscheidet sich gegen das Angebot, weil sie dagegen viele Argumente hat.",She decides against the offer because she has many arguments against it.,dagegen,"Sie entscheidet sich gegen das Angebot, weil sie _____ viele Argumente hat."
324,7,,entschuldigen,für,,,"Ich entschuldige mich für mein Verhalten, weil ich mich dafür schäme.",I apologize for my behavior because I am ashamed of it.,dafür,"Ich entschuldige mich für mein Verhalten, weil ich mich _____ schäme."
325,7,,entschuldigen,bei,,,"Ich entschuldige mich bei meinem Freund, weil ich mich bei ihm falsch verhalten habe.",I apologize to my friend because I behaved wrongly towards him.,bei ihm,"Ich entschuldige mich bei meinem Freund, weil ich mich _____ falsch verhalten habe."
326,7,,entwickeln,zu,,,"Das Unternehmen entwickelt sich zu einer großen Firma, weil es dazu gute Chancen hat.",The company is developing into a large firm because it has good opportunities for it.,dazu,"Das Unternehmen entwickelt sich zu einer großen Firma, weil es _____ gute Chancen hat."
327,7,,erfahren,von,,,"Ich habe von dem Unfall erfahren, weil ich davon gelesen habe.",I heard about the accident because I read about it.,davon,"Ich habe von dem Unfall erfahren, weil ich _____ gelesen habe."
328,7,,ergeben,aus,,,"Die Lösung ergibt sich aus den Daten, weil wir daraus Schlüsse ziehen können.",The solution results from the data because we can draw conclusions from it.,daraus,"Die Lösung ergibt sich aus den Daten, weil wir _____ Schlüsse ziehen können."
329,7,,erkennen,an,,,"Ich erkenne ihn an seiner Stimme, weil ich ihn daran sofort erkenne.",I recognize him by his voice because I immediately recognize him by it.,daran,"Ich erkenne ihn an seiner Stimme, weil ich ihn _____ sofort erkenne."
330,7,,erwarten,von,,,"Ich erwarte von dir Ehrlichkeit, weil ich davon überzeugt bin, dass es wichtig ist.",I expect honesty from you because I am convinced that it is important.,davon,"Ich erwarte von dir Ehrlichkeit, weil ich _____ überzeugt bin, dass es wichtig ist."
331,7,,fehlen,an,,,"Es fehlt an Geld, weil wir daran nicht genug gedacht haben.",There is a lack of money because we did not think enough about it.,daran,"Es fehlt an Geld, weil wir _____ nicht genug gedacht haben."
332,7,,fragen,,,"to ask for, about",Ich habe nach dem Preis gefragt und war überrascht darüber.,I asked about the price and was surprised by it.,darüber,Ich habe nach dem Preis gefragt und war überrascht _____.
333,7,,fragen,nach,,,"Ich habe nach dem Preis gefragt, weil ich darüber mehr wissen wollte.",I asked about the price because I wanted to know more about it.,darüber,"Ich habe nach dem Preis gefragt, weil ich _____ mehr wissen wollte."
334,7,,führen,,,to lead to,Dieses Verhalten führt zu Problemen und wir müssen darauf achten.,This behavior leads to problems and we need to be aware of it.,darauf,Dieses Verhalten führt zu Problemen und wir müssen _____ achten.
335,7,,gehen,um,,,"Es geht um das Projekt, weil wir uns darum kümmern müssen.",It is about the project because we have to take care of it.,darum,"Es geht um das Projekt, weil wir uns _____ kümmern müssen."
336,7,,glauben,,,to believe in,Er glaubt an seine Träume und arbeitet hart dafür.,He believes in his dreams and works hard for them.,dafür,Er glaubt an seine Träume und arbeitet hart _____.
337,7,,glauben,an,,,"Er glaubt an seine Träume, weil er dafür hart arbeitet.",He believes in his dreams because he works hard for them.,dafür,"Er glaubt an seine Träume, weil er _____ hart arbeitet."
338,7,,halten,an,,,"Ich halte an meinen Prinzipien fest, weil ich daran glaube.",I stick to my principles because I believe in them.,daran,"Ich halte an meinen Prinzipien fest, weil ich _____ glaube."
339,7,,halten,für,,,"Ich halte das für eine gute Idee, weil ich mich dafür einsetze.",I consider this a good idea because I advocate for it.,dafür,"Ich halte das für eine gute Idee, weil ich mich _____ einsetze."
340,7,,halten,von,,,"Ich halte nichts von dieser Meinung, weil ich davon nicht überzeugt bin.",I don’t think much of this opinion because I am not convinced by it.,davon,"Ich halte nichts von dieser Meinung, weil ich _____ nicht überzeugt bin."
341,7,,hoffen,,,to hope for,Wir hoffen auf gutes Wetter und bereiten uns darauf vor.,We hope for good weather and prepare for it.,darauf,Wir hoffen auf gutes Wetter und bereiten uns _____ vor.
342,7,,hoffen,auf,,,"Wir hoffen auf gutes Wetter, damit wir darauf vorbereitet sind.",We hope for good weather so that we are prepared for it.,darauf,"Wir hoffen auf gutes Wetter, damit wir _____ vorbereitet sind."
343,7,,hören,,,to listen to,Ich höre auf meinen Trainer und vertraue darauf.,I listen to my coach and trust in it.,darauf,Ich höre auf meinen Trainer und vertraue _____.
344,7,,hören,,,to hear of,Ich habe von dem Projekt gehört und interessiere mich dafür.,I have heard about the project and am interested in it.,dafür,Ich habe von dem Projekt gehört und interessiere mich _____.
345,7,,hören,auf,,,"Ich höre auf meinen Trainer, weil ich darauf vertraue.",I listen to my coach because I trust in it.,darauf,"Ich höre auf meinen Trainer, weil ich _____ vertraue."
346,7,,interessieren,,,to be interested in,Ich interessiere mich für Geschichte und lese viel darüber.,I am interested in history and read a lot about it.,darüber,Ich interessiere mich für Geschichte und lese viel _____.
347,7,,kämpfen,gegen,,,"Ich kämpfe gegen Ungerechtigkeit, weil ich dagegen nicht still bleiben kann.",I fight against injustice because I cannot remain silent against it.,dagegen,"Ich kämpfe gegen Ungerechtigkeit, weil ich _____ nicht still bleiben kann."
348,7,,kämpfen,um,,,"Er kämpft um seinen Job, weil er darum nicht verlieren will.",He fights for his job because he does not want to lose it.,darum,"Er kämpft um seinen Job, weil er _____ nicht verlieren will."
349,7,,kämpfen,für,,,"Wir kämpfen für unsere Rechte, weil wir uns dafür stark machen.",We fight for our rights because we advocate for them.,dafür,"Wir kämpfen für unsere Rechte, weil wir uns _____ stark machen."
350,7,,kämpfen,mit,,,"Er kämpft mit gesundheitlichen Problemen, weil er damit täglich zu tun hat.",He struggles with health problems because he deals with them daily.,damit,"Er kämpft mit gesundheitlichen Problemen, weil er _____ täglich zu tun hat."
351,7,,kommen,,,to come from,Sie kommt aus Frankreich und ist stolz darauf.,She comes from France and is proud of it.,darauf,Sie kommt aus Frankreich und ist stolz _____.
352,7,,kommen,aus,,,"Sie kommt aus Frankreich, weshalb sie stolz darauf ist.","She comes from France, which is why she is proud of it.",darauf,"Sie kommt aus Frankreich, weshalb sie stolz _____ ist."
353,7,,kommen,zu,,,"Das Gespräch kommt zu einem interessanten Thema, sodass wir darüber weiterreden können.",The conversation leads to an interesting topic so that we can continue talking about it.,darüber,"Das Gespräch kommt zu einem interessanten Thema, sodass wir _____ weiterreden können."
354,7,,kommen,auf,,,"Ich komme auf eine Idee, weil ich darauf nachgedacht habe.",I come up with an idea because I have thought about it.,darauf,"Ich komme auf eine Idee, weil ich _____ nachgedacht habe."
355,7,,kümmern,um,,,"Ich kümmere mich um die Organisation, weil ich mich darum verantwortlich fühle.",I take care of the organization because I feel responsible for it.,darum,"Ich kümmere mich um die Organisation, weil ich mich _____ verantwortlich fühle."
356,7,,reden,,,to talk about something,Wir reden über den Film und lachen darüber.,We talk about the movie and laugh about it.,darüber,Wir reden über den Film und lachen _____.
357,7,,reden,,,to talk of something,Wir reden von unserer Kindheit und erinnern uns gern daran.,We talk about our childhood and remember it fondly.,daran,Wir reden von unserer Kindheit und erinnern uns gern _____.
358,7,,reden,über,,,"Wir reden über den Film, weil wir darüber gelacht haben.",We talk about the movie because we laughed about it.,darüber,"Wir reden über den Film, weil wir _____ gelacht haben."
359,7,,sagen,,,to say to,"Er hat etwas zu der Situation gesagt, aber ich stimme nicht damit überein.","He said something about the situation, but I don’t agree with it.",damit,"Er hat etwas zu der Situation gesagt, aber ich stimme nicht _____ überein."
360,7,,sagen,,,to speak / say about,Sie sagt viel über ihre Reise und schwärmt davon.,She says a lot about her trip and raves about it.,davon,Sie sagt viel über ihre Reise und schwärmt _____.
361,7,,sagen,zu,,,"Er hat etwas zu der Situation gesagt, weil er damit nicht einverstanden ist.",He said something about the situation because he does not agree with it.,damit,"Er hat etwas zu der Situation gesagt, weil er _____ nicht einverstanden ist."
362,7,,sagen,über,,,"Sie sagt viel über ihre Reise, weil sie davon begeistert ist.",She says a lot about her trip because she is excited about it.,davon,"Sie sagt viel über ihre Reise, weil sie _____ begeistert ist."
363,7,,schreiben,,,to write to,Ich habe einen Brief an meinen Freund geschrieben und freue mich auf seine Antwort darauf.,I wrote a letter to my friend and look forward to his response.,darauf,Ich habe einen Brief an meinen Freund geschrieben und freue mich auf seine Antwort _____.
364,7,,schreiben,über,,,"Ich schreibe über meine Erfahrungen, weil ich daraus lernen möchte.",I write about my experiences because I want to learn from them.,daraus,"Ich schreibe über meine Erfahrungen, weil ich _____ lernen möchte."
365,7,,schreiben,an,,,"Ich habe einen Brief an meinen Freund geschrieben, weil ich darauf eine Antwort erwarte.",I wrote a letter to my friend because I expect a reply to it.,darauf,"Ich habe einen Brief an meinen Freund geschrieben, weil ich _____ eine Antwort erwarte."
366,7,,sein,,,to be against,Ich bin gegen die Entscheidung und argumentiere dagegen.,I am against the decision and argue against it.,dagegen,Ich bin gegen die Entscheidung und argumentiere _____.
367,7,,sein,,,to be for,Ich bin für das neue Gesetz und setze mich dafür ein.,I am for the new law and advocate for it.,dafür,Ich bin für das neue Gesetz und setze mich _____ ein.
368,7,,sein,gegen,,,"Ich bin gegen die Entscheidung, weil ich dagegen viele Argumente habe.",I am against the decision because I have many arguments against it.,dagegen,"Ich bin gegen die Entscheidung, weil ich _____ viele Argumente habe."
369,7,,sein,für,,,"Ich bin für das neue Gesetz, weil ich mich dafür engagiere.",I am for the new law because I advocate for it.,dafür,"Ich bin für das neue Gesetz, weil ich mich _____ engagiere."
370,7,,spielen,,,to play with,Er spielt mit seinem Hund und hat Spaß dabei.,He plays with his dog and has fun with it.,dabei,Er spielt mit seinem Hund und hat Spaß _____.
371,7,,spielen,mit,,,"Er spielt mit seinem Hund, weil er dabei Spaß hat.",He plays with his dog because he has fun with it.,dabei,"Er spielt mit seinem Hund, weil er _____ Spaß hat."
372,7,,sprechen,,,to speak with,Ich spreche mit meinem Chef und diskutiere darüber.,I talk with my boss and discuss it.,darüber,Ich spreche mit meinem Chef und diskutiere _____.
373,7,,sprechen,,,to talk about,Wir sprechen über die Umwelt und sorgen uns darum.,We talk about the environment and care about it.,darum,Wir sprechen über die Umwelt und sorgen uns _____.
374,7,,sprechen,mit,,,"Ich spreche mit meinem Chef, weil ich darüber diskutieren möchte.",I talk with my boss because I want to discuss it.,darüber,"Ich spreche mit meinem Chef, weil ich _____ diskutieren möchte."
375,7,,sprechen,über,,,"Wir sprechen über die Umwelt, weil wir uns darum kümmern müssen.",We talk about the environment because we have to take care of it.,darum,"Wir sprechen über die Umwelt, weil wir uns _____ kümmern müssen."
376,7,,stimmen,für,,,"Ich stimme für den Kandidaten, weil ich darauf vertraue.",I vote for the candidate because I trust in him.,darauf,"Ich stimme für den Kandidaten, weil ich _____ vertraue."
377,7,,stimmen,gegen,,,"Sie stimmen gegen das Projekt, weil sie dagegen protestieren.",They vote against the project because they protest against it.,dagegen,"Sie stimmen gegen das Projekt, weil sie _____ protestieren."
378,7,,suchen,,,to search for,Ich suche nach einer Lösung und denke intensiv darüber nach.,I am looking for a solution and think intensely about it.,darüber,Ich suche nach einer Lösung und denke intensiv _____ nach.
379,7,,suchen,nach,,,"Ich suche nach einer Lösung, weil ich darüber nachdenke.",I am looking for a solution because I am thinking about it.,darüber,"Ich suche nach einer Lösung, weil ich _____ nachdenke."
380,7,,treffen,,,to meet for,Wir treffen uns zu einem Kaffee und freuen uns darauf.,We meet for a coffee and look forward to it.,darauf,Wir treffen uns zu einem Kaffee und freuen uns _____.
381,7,,treffen,,,to meet with,Ich treffe mich mit meinen Freunden und genieße die Zeit damit.,I meet with my friends and enjoy the time with them.,damit,Ich treffe mich mit meinen Freunden und genieße die Zeit _____.
382,7,,treffen,zu,,,"Wir treffen uns zu einem Kaffee, weil wir uns darauf freuen.",We meet for a coffee because we are looking forward to it.,darauf,"Wir treffen uns zu einem Kaffee, weil wir uns _____ freuen."
383,7,,treffen,mit,,,"Ich treffe mich mit meinen Freunden, weil ich damit eine schöne Zeit habe.",I meet with my friends because I have a good time with them.,damit,"Ich treffe mich mit meinen Freunden, weil ich _____ eine schöne Zeit habe."
384,7,,übersetzen,,,to translate from,Ich übersetze das Buch aus dem Englischen und lerne dabei viel.,I translate the book from English and learn a lot from it.,dabei,Ich übersetze das Buch aus dem Englischen und lerne _____ viel.
385,7,,übersetzen,,,to translate into,Ich übersetze den Text ins Deutsche und übe dabei meine Sprachkenntnisse.,I translate the text into German and practice my language skills with it.,dabei,Ich übersetze den Text ins Deutsche und übe _____ meine Sprachkenntnisse.
386,7,,übersetzen,aus,,,"Ich übersetze das Buch aus dem Englischen, weil ich dabei viel lerne.",I translate the book from English because I learn a lot from it.,dabei,"Ich übersetze das Buch aus dem Englischen, weil ich _____ viel lerne."
387,7,,übersetzen,in,,,"Ich übersetze den Text ins Deutsche, weil ich dabei meine Sprachkenntnisse übe.",I translate the text into German because I practice my language skills with it.,dabei,"Ich übersetze den Text ins Deutsche, weil ich _____ meine Sprachkenntnisse übe."
388,7,,warten,auf,,,"Ich warte auf den Bus, weil ich dabei ein Buch lese.",I wait for the bus because I read a book while doing so.,dabei,"Ich warte auf den Bus, weil ich _____ ein Buch lese."
389,8,,ändern,an,,to change about,Woran änderst du etwas?,What are you changing?,Woran,_____ änderst du etwas?
390,8,,anfangen,mit,,to start with,Womit fängst du an?,What are you starting with?,Womit,_____ fängst du an?
391,8,,antworten,auf,,to answer to,Worauf antwortest du?,What are you answering?,Worauf,_____ antwortest du?
392,8,,arbeiten,an,,to work on,Woran arbeitest du?,What are you working on?,Woran,_____ arbeitest du?
393,8,,aufhören,mit,,to stop with,Womit hörst du auf?,What are you stopping with?,Womit,_____ hörst du auf?
394,8,,beginnen,mit,,to begin with,Womit beginnst du?,What are you beginning with?,Womit,_____ beginnst du?
395,8,,bitten,um,,to ask for / plead for,Worum bittest du?,What are you asking for?,Worum,_____ bittest du?
396,8,,bringen,zu,,to bring to,Wozu bringt dich das?,What does that bring you to?,Wozu,_____ bringt dich das?
397,8,,danken,für,,to thank for,Wofür dankst du?,What are you thanking for?,Wofür,_____ dankst du?
