Nr,level,german,english,type,answer,question,case,gender
284,3,Sie gibt dem Kind ein Geschenk.,,,dem,Sie gibt _____ Kind ein Geschenk.,dative,masculine
285,3,Wir widmen dem Tag eine Feier.,,,dem,Wir widmen _____ Tag eine Feier.,dative,masculine
286,3,Sie hilft dem Mann im Garten.,,,dem,Sie hilft _____ Mann im Garten.,dative,masculine
287,3,Er dient den Ländern als Soldat.,,,dem,Er dient den Ländern als Soldat.,dative,plural
288,3,Ich widme der Frage viel Zeit.,,,der,Ich widme _____ Frage viel Zeit.,dative,feminine
289,3,Wir nähern uns dem Haus langsam.,,,dem,Wir nähern uns _____ Haus langsam.,dative,masculine
290,3,Ich erzähle den Leuten eine Geschichte.,,,den,Ich erzähle _____ Leuten eine Geschichte.,dative,neuter
291,3,Er widmet der Arbeit seine ganze Kraft.,,,der,Er widmet _____ Arbeit seine ganze Kraft.,dative,feminine
292,3,Wir passen dem Prozent die Werte an.,,,dem,Wir passen _____ Prozent die Werte an.,dative,masculine
293,3,Ich gebe der Hand einen festen Druck.,,,der,Ich gebe _____ Hand einen festen Druck.,dative,feminine
294,3,Er zeigt der Stadt seine Kunst.,,,der,Er zeigt _____ Stadt seine Kunst.,dative,feminine
295,3,Ich danke dem Herrn für seine Hilfe.,,,dem,Ich danke _____ Herrn für seine Hilfe.,dative,masculine
296,3,Sie nähert sich dem Problem vorsichtig.,,,dem,Sie nähert sich _____ Problem vorsichtig.,dative,masculine
297,3,Ich schenke den Welten ein Lächeln.,,,den,Ich schenke _____ Welten ein Lächeln.,dative,plural
298,4,Das Ende ist nah.,,,Das,_____ Ende ist nah.,nominative,neuter
299,4,Die Million ist viel Geld.,,,Die,_____ Million ist viel Geld.,nominative,feminine
300,4,Die Schule ist groß.,,,Die,_____ Schule ist groß.,nominative,feminine
301,4,Die Woche hat sieben Tage.,,,Die,_____ Woche hat sieben Tage.,nominative,feminine
302,4,Der Vater ist müde.,,,Der,_____ Vater ist müde.,nominative,masculine
303,4,Die Seite ist weiß.,,,Die,_____ Seite ist weiß.,nominative,feminine
304,4,Das Leben ist schön.,,,Das,_____ Leben ist schön.,nominative,neuter
305,4,Die Mutter ist nett.,,,Die,_____ Mutter ist nett.,nominative,feminine
306,4,Das Auge ist blau.,,,Das,_____ Auge ist blau.,nominative,neuter
307,4,Die Wörter sind lang.,,,Die,_____ Wörter sind lang.,nominative,plural
308,4,Das Geld ist wichtig.,,,Das,_____ Geld ist wichtig.,nominative,neuter
309,4,Der Weg ist lang.,,,Der,_____ Weg ist lang.,nominative,masculine
310,4,Die Stunde dauert sechzig Minuten.,,,Die,_____ Stunde dauert sechzig Minuten.,nominative,feminine
311,4,Der Name ist bekannt.,,,Der,_____ Name ist bekannt.,nominative,masculine
312,4,Der Kopf tut weh.,,,Der,_____ Kopf tut weh.,nominative,masculine
313,4,Das Paar ist glücklich.,,,Das,_____ Paar ist glücklich.,nominative,neuter
314,4,Das Unternehmen ist groß.,,,Das,_____ Unternehmen ist groß.,nominative,neuter
315,4,Das Bild ist schön.,,,Das,_____ Bild ist schön.,nominative,neuter
316,4,Das Buch ist spannend.,,,Das,_____ Buch ist spannend.,nominative,neuter
317,4,Die Wasser sind kalt.,,,Die,_____ Wasser sind kalt.,nominative,plural
318,4,Die Straße ist lang.,,,Die,_____ Straße ist lang.,nominative,feminine
319,4,Die Minute ist kurz.,,,Die,_____ Minute ist kurz.,nominative,feminine
320,4,Die Gruppe ist klein.,,,Die,_____ Gruppe ist klein.,nominative,feminine
321,4,Der Wert ist hoch.,,,Der,_____ Wert ist hoch.,nominative,masculine
322,4,Das Gesicht ist rund.,,,Das,_____ Gesicht ist rund.,nominative,neuter
323,4,Die Sprache ist schwer.,,,Die,_____ Sprache ist schwer.,nominative,feminine
324,4,Der Ort ist schön.,,,Der,_____ Ort ist schön.,nominative,masculine
325,4,Der Moment ist wichtig.,,,Der,_____ Moment ist wichtig.,nominative,masculine
326,4,Das Interesse ist groß.,,,Das,_____ Interesse ist groß.,nominative,neuter
327,4,Die Rolle sind wichtig.,,,Die,_____ Rolle sind wichtig.,nominative,plural
328,4,Die Tür ist offen.,,,Die,_____ Tür ist offen.,nominative,feminine
329,4,Der Schüler ist fleißig.,,,Der,_____ Schüler ist fleißig.,nominative,masculine
330,4,Der Text ist lang.,,,Der,_____ Text ist lang.,nominative,masculine
331,4,Das Stück ist klein.,,,Das,_____ Stück ist klein.,nominative,neuter
332,4,Die Wohnung ist teuer.,,,Die,_____ Wohnung ist teuer.,nominative,feminine
333,4,Der Meter ist kurz.,,,Der,_____ Meter ist kurz.,nominative,masculine
334,4,Der Punkt ist klar.,,,Der,_____ Punkt ist klar.,nominative,masculine
335,4,Die Situation ist schwierig.,,,Die,_____ Situation ist schwierig.,nominative,feminine
336,4,Der Lehrer ist nett.,,,Der,_____ Lehrer ist nett.,nominative,masculine
337,4,Die Preise sind hoch.,,,Die,_____ Preise sind hoch.,nominative,plural
338,4,Die Stelle ist wichtig.,,,Die,_____ Stelle ist wichtig.,nominative,feminine
339,4,Die Form ist rund.,,,Die,_____ Form ist rund.,nominative,feminine
340,4,Der Monat hat vier Wochen.,,,Der,_____ Monat hat vier Wochen.,nominative,masculine
341,4,Die Familie ist groß.,,,Die,_____ Familie ist groß.,nominative,feminine
342,4,Der Morgen ist schön.,,,Der,_____ Morgen ist schön.,nominative,masculine
343,4,Der Abend ist ruhig.,,,Der,_____ Abend ist ruhig.,nominative,masculine
344,4,Der Sinn ist klar.,,,Der,_____ Sinn ist klar.,nominative,masculine
345,4,Der Staat ist reich.,,,Der,_____ Staat ist reich.,nominative,masculine
346,4,Das Ziel ist weit.,,,Das,_____ Ziel ist weit.,nominative,neuter
347,4,Der Freund sind nett.,,,Der,_____ Freund sind nett.,nominative,plural
348,4,Das Thema ist interessant.,,,Das,_____ Thema ist interessant.,nominative,neuter
349,4,Die Person ist freundlich.,,,Die,_____ Person ist freundlich.,nominative,feminine
350,4,Die Nacht ist dunkel.,,,Die,_____ Nacht ist dunkel.,nominative,feminine
351,4,Der Raum ist groß.,,,Der,_____ Raum ist groß.,nominative,masculine
352,4,Der Blick ist schön.,,,Der,_____ Blick ist schön.,nominative,masculine
353,4,Der Platz ist leer.,,,Der,_____ Platz ist leer.,nominative,masculine
354,4,Die Zahl ist hoch.,,,Die,_____ Zahl ist hoch.,nominative,feminine
355,4,Die Uhr ist kaputt.,,,Die,_____ Uhr ist kaputt.,nominative,feminine
356,4,Die Eltern sind nett.,,,Die,_____ Eltern sind nett.,nominative,plural
357,4,Das Jahrhundert ist lang.,,,Das,_____ Jahrhundert ist lang.,nominative,neuter
358,4,Der Sohn ist klug.,,,Der,_____ Sohn ist klug.,nominative,masculine
359,4,Das Werk ist bekannt.,,,Das,_____ Werk ist bekannt.,nominative,neuter
360,4,Die Richtung ist richtig.,,,Die,_____ Richtung ist richtig.,nominative,feminine
361,4,Das Programm ist neu.,,,Das,_____ Programm ist neu.,nominative,neuter
362,4,Die Angst ist groß.,,,Die,_____ Angst ist groß.,nominative,feminine
363,4,Die Information ist wichtig.,,,Die,_____ Information ist wichtig.,nominative,feminine
364,4,Die Kunst ist schön.,,,Die,_____ Kunst ist schön.,nominative,feminine
365,4,Die Musik ist laut.,,,Die,_____ Musik ist laut.,nominative,feminine
366,4,Die Politiken sind kompliziert.,,,Die,_____ Politiken sind kompliziert.,nominative,plural
367,4,Der Beruf ist spannend.,,,Der,_____ Beruf ist spannend.,nominative,masculine
368,4,Die Regel ist klar.,,,Die,_____ Regel ist klar.,nominative,feminine
369,4,Der Gott ist mächtig.,,,Der,_____ Gott ist mächtig.,nominative,masculine
370,4,Das Auto ist schnell.,,,Das,_____ Auto ist schnell.,nominative,neuter
371,4,Der Tisch ist aus Holz.,,,Der,_____ Tisch ist aus Holz.,nominative,masculine
372,4,Das Spiel ist spannend.,,,Das,_____ Spiel ist spannend.,nominative,neuter
373,4,Das Licht ist hell.,,,Das,_____ Licht ist hell.,nominative,neuter
374,4,Der Markt ist groß.,,,Der,_____ Markt ist groß.,nominative,masculine
375,4,Die Tochter ist freundlich.,,,Die,_____ Tochter ist freundlich.,nominative,feminine
376,4,Die Kirchen sind alt.,,,Die,_____ Kirchen sind alt.,nominative,plural
377,4,Die Frage ist einfach.,,,Die,_____ Frage ist einfach.,nominative,feminine
378,4,Das Haus ist groß.,,,Das,_____ Haus ist groß.,nominative,neuter
379,4,Die Leute sind freundlich.,,,Die,_____ Leute sind freundlich.,nominative,feminine
380,4,Die Arbeit ist schwer.,,,Die,_____ Arbeit ist schwer.,nominative,feminine
381,4,Das Prozent ist hoch.,,,Das,_____ Prozent ist hoch.,nominative,neuter
382,4,Die Hand ist klein.,,,Die,_____ Hand ist klein.,nominative,feminine
383,4,Die Stadt ist alt.,,,Die,_____ Stadt ist alt.,nominative,feminine
384,4,Der Herr ist müde.,,,Der,_____ Herr ist müde.,nominative,masculine
385,4,Das Problem ist groß.,,,Das,_____ Problem ist groß.,nominative,neuter
386,4,Die Welt sind schön.,,,Die,_____ Welt sind schön.,nominative,plural
387,4,Das Jahr haben zwölf Monate.,,,Das,_____ Jahr haben zwölf Monate.,nominative,neuter
388,4,Das Mal ist anders als vorher.,,,Das,_____ Mal ist anders als vorher.,nominative,neuter
389,4,Das Beispiel ist sehr einfach.,,,Das,_____ Beispiel ist sehr einfach.,nominative,neuter
390,4,Die Zeit ist knapp.,,,Die,_____ Zeit ist knapp.,nominative,feminine
391,4,Die Frau sind nett.,,,Die,_____ Frau sind nett.,nominative,feminine
392,4,Der Mensch ist intelligent.,,,Der,_____ Mensch ist intelligent.,nominative,masculine
393,4,Das Kind ist klein.,,,Das,_____ Kind ist klein.,nominative,neuter
394,4,Der Tag ist schön.,,,Der,_____ Tag ist schön.,nominative,masculine
395,4,Der Mann sind stark.,,,Der,_____ Mann sind stark.,nominative,masculine
396,4,Das Land ist groß.,,,Das,_____ Land ist groß.,nominative,neuter
397,4,Ich sehe das Ende des Films.,,,das,Ich sehe _____ Ende des Films.,accusative,neuter
398,4,Er hat die Million gewonnen.,,,die,Er hat _____ Million gewonnen.,accusative,feminine
399,4,Wir besuchen die Schule jeden Tag.,,,die,Wir besuchen _____ Schule jeden Tag.,accusative,feminine
400,4,Ich plane die Woche im Voraus.,,,die,Ich plane _____ Woche im Voraus.,accusative,feminine
401,4,Sie ruft den Vater an.,,,den,Sie ruft _____ Vater an.,accusative,masculine
402,4,Ich lese die Seite im Buch.,,,die,Ich lese _____ Seite im Buch.,accusative,feminine
403,4,Er genießt das Leben.,,,das,Er genießt _____ Leben.,accusative,neuter
404,4,Wir besuchen die Mutter am Wochenende.,,,die,Wir besuchen _____ Mutter am Wochenende.,accusative,feminine
405,4,Sie schützt das Auge mit einer Brille.,,,das,Sie schützt _____ Auge mit einer Brille.,accusative,neuter
406,4,Er schreibt die Wörter auf.,,,das,Er schreibt die Wörter auf.,accusative,plural
407,4,Er spart das Geld.,,,das,Er spart _____ Geld.,accusative,neuter
408,4,Wir nehmen den Weg durch den Park.,,,den,Wir nehmen _____ Weg durch den Park.,accusative,masculine
409,4,Ich lerne die Stunde lang.,,,die,Ich lerne _____ Stunde lang.,accusative,feminine
410,4,Ich kenne den Namen nicht.,,,den,Ich kenne _____ Namen nicht.,accusative,masculine
411,4,Er hält den Kopf hoch.,,,den,Er hält _____ Kopf hoch.,accusative,masculine
412,4,Ich sehe das Paar auf der Straße.,,,das,Ich sehe _____ Paar auf der Straße.,accusative,neuter
413,4,Wir unterstützen das Unternehmen.,,,das,Wir unterstützen _____ Unternehmen.,accusative,neuter
414,4,Sie malt das Bild.,,,das,Sie malt _____ Bild.,accusative,neuter
415,4,Er liest das Buch.,,,das,Er liest _____ Buch.,accusative,neuter
416,4,Ich trinke die Wasser.,,,das,Ich trinke die Wasser.,accusative,plural
417,4,Er findet die Stelle interessant.,,,die,Er findet _____ Stelle interessant.,accusative,feminine
418,4,Ich ändere die Form des Designs.,,,die,Ich ändere _____ Form des Designs.,accusative,feminine
419,4,Wir feiern den Monat des Herbstes.,,,den,Wir feiern _____ Monat des Herbstes.,accusative,masculine
420,4,Sie liebt die Familie sehr.,,,die,Sie liebt _____ Familie sehr.,accusative,feminine
421,4,Ich genieße den Morgen mit Kaffee.,,,den,Ich genieße _____ Morgen mit Kaffee.,accusative,masculine
422,4,Wir verbringen den Abend zusammen.,,,den,Wir verbringen _____ Abend zusammen.,accusative,masculine
423,4,Ich verstehe den Sinn des Wortes.,,,den,Ich verstehe _____ Sinn des Wortes.,accusative,masculine
424,4,Er kennt den Staat gut.,,,den,Er kennt _____ Staat gut.,accusative,masculine
425,4,Wir erreichen das Ziel bald.,,,das,Wir erreichen _____ Ziel bald.,accusative,neuter
426,4,Ich besuche die Freunde in Berlin.,,,den,Ich besuche die Freunde in Berlin.,accusative,plural
427,4,Er diskutiert das Thema im Kurs.,,,das,Er diskutiert _____ Thema im Kurs.,accusative,neuter
428,4,Ich kenne die Person nicht.,,,die,Ich kenne _____ Person nicht.,accusative,feminine
429,4,Sie verbringt die Nacht im Hotel.,,,die,Sie verbringt _____ Nacht im Hotel.,accusative,feminine
430,4,Wir betreten den Raum leise.,,,den,Wir betreten _____ Raum leise.,accusative,masculine
431,4,Ich genieße den Blick auf das Meer.,,,den,Ich genieße _____ Blick auf das Meer.,accusative,masculine
432,4,Er reserviert den Platz für uns.,,,den,Er reserviert _____ Platz für uns.,accusative,masculine
433,4,Ich schreibe die Zahl auf.,,,die,Ich schreibe _____ Zahl auf.,accusative,feminine
434,4,Ich kaufe die Uhr im Geschäft.,,,die,Ich kaufe _____ Uhr im Geschäft.,accusative,feminine
435,4,Wir besuchen die Eltern am Sonntag.,,,die,Wir besuchen _____ Eltern am Sonntag.,accusative,plural
436,4,Ich überquere die Straße.,,,die,Ich überquere _____ Straße.,accusative,feminine
437,4,Ich warte die Minute.,,,die,Ich warte _____ Minute.,accusative,feminine
438,4,Er sieht die Gruppe im Park.,,,die,Er sieht _____ Gruppe im Park.,accusative,feminine
439,4,Ich verstehe den Wert dieser Idee.,,,den,Ich verstehe _____ Wert dieser Idee.,accusative,masculine
440,4,Sie wäscht das Gesicht mit Wasser.,,,das,Sie wäscht _____ Gesicht mit Wasser.,accusative,neuter
441,4,Wir lernen die Sprache in der Schule.,,,die,Wir lernen _____ Sprache in der Schule.,accusative,feminine
442,4,Ich besuche den Ort jedes Jahr.,,,den,Ich besuche _____ Ort jedes Jahr.,accusative,masculine
443,4,Er genießt den Moment.,,,den,Er genießt _____ Moment.,accusative,masculine
444,4,Ich habe das Interesse an diesem Thema.,,,das,Ich habe _____ Interesse an diesem Thema.,accusative,neuter
445,4,Er spielt die Rollen gut.,,,die,Er spielt _____ Rollen gut.,accusative,plural
446,4,Sie öffnet die Tür.,,,die,Sie öffnet _____ Tür.,accusative,feminine
447,4,Der Lehrer hilft den Schüler.,,,den,Der Lehrer hilft _____ Schüler.,accusative,masculine
448,4,Ich lese den Text im Buch.,,,den,Ich lese _____ Text im Buch.,accusative,masculine
449,4,Er isst das Stück Kuchen.,,,das,Er isst _____ Stück Kuchen.,accusative,neuter
450,4,Wir mieten die Wohnung.,,,die,Wir mieten _____ Wohnung.,accusative,feminine
451,4,Er misst den Meter mit dem Lineal.,,,den,Er misst _____ Meter mit dem Lineal.,accusative,masculine
452,4,Ich setze den Punkt am Ende des Satzes.,,,den,Ich setze _____ Punkt am Ende des Satzes.,accusative,masculine
453,4,Sie erklärt die Situation.,,,die,Sie erklärt _____ Situation.,accusative,feminine
454,4,Ich sehe den Lehrer in der Schule.,,,den,Ich sehe _____ Lehrer in der Schule.,accusative,masculine
455,4,Er bezahlt die Preise.,,,die,Er bezahlt _____ Preise.,accusative,plural
456,4,Ich studiere das Jahrhundert der Geschichte.,,,das,Ich studiere _____ Jahrhundert der Geschichte.,accusative,neuter
457,4,Sie sieht den Sohn im Garten.,,,den,Sie sieht _____ Sohn im Garten.,accusative,masculine
458,4,Er kennt das Werk des Künstlers.,,,das,Er kennt _____ Werk des Künstlers.,accusative,neuter
459,4,Wir nehmen die Richtung nach Süden.,,,die,Wir nehmen _____ Richtung nach Süden.,accusative,feminine
460,4,Ich installiere das Programm auf dem Computer.,,,das,Ich installiere _____ Programm auf dem Computer.,accusative,neuter
461,4,Er fühlt die Angst in seinem Herzen.,,,die,Er fühlt _____ Angst in seinem Herzen.,accusative,feminine
462,4,Sie sucht die Information online.,,,die,Sie sucht _____ Information online.,accusative,feminine
463,4,Wir bewundern die Kunst im Museum.,,,die,Wir bewundern _____ Kunst im Museum.,accusative,feminine
464,4,Er hört die Musik im Radio.,,,die,Er hört _____ Musik im Radio.,accusative,feminine
465,4,Sie diskutiert die Politiken in der Zeitung.,,,die,Sie diskutiert _____ Politiken in der Zeitung.,accusative,plural
466,4,Ich lerne den Beruf in der Ausbildung.,,,den,Ich lerne _____ Beruf in der Ausbildung.,accusative,masculine
467,4,Wir befolgen die Regel in der Schule.,,,die,Wir befolgen _____ Regel in der Schule.,accusative,feminine
468,4,Er verehrt den Gott seiner Religion.,,,den,Er verehrt _____ Gott seiner Religion.,accusative,masculine
469,4,Er fährt das Auto zur Arbeit.,,,das,Er fährt _____ Auto zur Arbeit.,accusative,neuter
470,4,Sie deckt den Tisch für das Abendessen.,,,den,Sie deckt _____ Tisch für das Abendessen.,accusative,masculine
471,4,Ich spiele das Spiel mit meinen Freunden.,,,das,Ich spiele _____ Spiel mit meinen Freunden.,accusative,neuter
472,4,Er schaltet das Licht aus.,,,das,Er schaltet _____ Licht aus.,accusative,neuter
473,4,Sie besucht den Markt jeden Samstag.,,,den,Sie besucht _____ Markt jeden Samstag.,accusative,masculine
474,4,Er liebt die Tochter sehr.,,,die,Er liebt _____ Tochter sehr.,accusative,feminine
475,4,Wir besuchen die Kirchen am Sonntag.,,,die,Wir besuchen _____ Kirchen am Sonntag.,accusative,plural
476,4,Ich sehe das Jahr auf dem Kalender.,,,das,Ich sehe _____ Jahr auf dem Kalender.,accusative,neuter
477,4,Ich erinnere mich an das Mal.,,,das,Ich erinnere mich an _____ Mal.,accusative,neuter
478,4,Er gibt das Beispiel im Unterricht.,,,das,Er gibt _____ Beispiel im Unterricht.,accusative,neuter
479,4,Wir brauchen die Zeit für das Projekt.,,,die,Wir brauchen _____ Zeit für das Projekt.,accusative,feminine
480,4,Er kennt die Frau gut.,,,die,Er kennt _____ Frau gut.,accusative,feminine
481,4,Ich treffe den Menschen im Park.,,,den,Ich treffe _____ Menschen im Park.,accusative,masculine
482,4,Sie liebt das Kind sehr.,,,das,Sie liebt _____ Kind sehr.,accusative,neuter
483,4,Wir genießen den Tag am Strand.,,,den,Wir genießen _____ Tag am Strand.,accusative,masculine
484,4,Sie sieht den Mann im Restaurant.,,,den,Sie sieht _____ Mann im Restaurant.,accusative,masculine
485,4,Wir besuchen die Länder im Sommer.,,,die,Wir besuchen _____ Länder im Sommer.,accusative,plural
486,4,Er beantwortet die Frage richtig.,,,die,Er beantwortet _____ Frage richtig.,accusative,feminine
487,4,Sie kauft das Haus in der Stadt.,,,das,Sie kauft _____ Haus in der Stadt.,accusative,neuter
488,4,Ich treffe die Leute am Bahnhof.,,,die,Ich treffe _____ Leute am Bahnhof.,accusative,feminine
489,4,Sie erledigt die Arbeit schnell.,,,die,Sie erledigt _____ Arbeit schnell.,accusative,feminine
490,4,Ich berechne das Prozent.,,,das,Ich berechne _____ Prozent.,accusative,neuter
491,4,Er hält die Hand seines Freundes.,,,die,Er hält _____ Hand seines Freundes.,accusative,feminine
492,4,Wir besuchen die Stadt am Wochenende.,,,die,Wir besuchen _____ Stadt am Wochenende.,accusative,feminine
493,4,Ich rufe den Herrn am Telefon an.,,,den,Ich rufe _____ Herrn am Telefon an.,accusative,masculine
494,4,Sie löst das Problem leicht.,,,das,Sie löst _____ Problem leicht.,accusative,neuter
495,4,Er entdeckt die Welten mit Neugier.,,,die,Er entdeckt _____ Welten mit Neugier.,accusative,plural
496,4,Er widmet sich dem Jahrhundert der Geschichte.,,,dem,Er widmet sich _____ Jahrhundert der Geschichte.,dative,masculine
497,4,Sie gibt dem Sohn ein Geschenk.,,,dem,Sie gibt _____ Sohn ein Geschenk.,dative,masculine
498,4,Er vertraut dem Werk des Künstlers.,,,dem,Er vertraut _____ Werk des Künstlers.,dative,masculine
499,4,Ich folge der Richtung des Weges.,,,der,Ich folge _____ Richtung des Weges.,dative,feminine
500,4,Ich helfe dem Programm bei der Installation.,,,dem,Ich helfe _____ Programm bei der Installation.,dative,masculine
501,4,Er stellt sich der Angst.,,,der,Er stellt sich _____ Angst.,dative,feminine
502,4,Sie folgt der Information auf der Website.,,,der,Sie folgt _____ Information auf der Website.,dative,feminine
503,4,Wir danken der Kunst für ihre Schönheit.,,,der,Wir danken _____ Kunst für ihre Schönheit.,dative,feminine
504,4,Er lauscht der Musik.,,,der,Er lauscht _____ Musik.,dative,feminine
505,4,Sie widerspricht den Politiken des Landes.,,,der,Sie wi_____spricht den Politiken des Landes.,dative,plural
506,4,Ich widme mich dem Beruf.,,,dem,Ich widme mich _____ Beruf.,dative,masculine
507,4,Wir folgen der Regel in der Schule.,,,der,Wir folgen _____ Regel in _____ Schule.,dative,feminine
508,4,Er glaubt dem Gott seiner Religion.,,,dem,Er glaubt _____ Gott seiner Religion.,dative,masculine
509,4,Ich nähere mich dem Auto.,,,dem,Ich nähere mich _____ Auto.,dative,masculine
510,4,Er gibt dem Tisch eine neue Farbe.,,,dem,Er gibt _____ Tisch eine neue Farbe.,dative,masculine
511,4,Ich folge dem Spiel mit Spannung.,,,dem,Ich folge _____ Spiel mit Spannung.,dative,masculine
512,4,Er nähert sich dem Licht am Ende des Tunnels.,,,dem,Er nähert sich _____ Licht am Ende des Tunnels.,dative,masculine
513,4,Sie hilft dem Markt mit Werbung.,,,dem,Sie hilft _____ Markt mit Werbung.,dative,masculine
514,4,Er schenkt der Tochter eine Puppe.,,,der,Er schenkt _____ Tochter eine Puppe.,dative,feminine
515,4,Wir danken den Kirchen für ihre Unterstützung.,,,den,Wir danken _____ Kirchen für ihre Unterstützung.,dative,plural
516,4,Ich folge der Straße bis zum Park.,,,der,Ich folge _____ Straße bis zum Park.,dative,feminine
517,4,Ich widme der Minute meine volle Aufmerksamkeit.,,,der,Ich widme _____ Minute meine volle Aufmerksamkeit.,dative,feminine
518,4,Er hilft der Gruppe mit den Aufgaben.,,,der,Er hilft _____ Gruppe mit den Aufgaben.,dative,feminine
519,4,Ich vertraue dem Wert dieser Information.,,,dem,Ich vertraue _____ Wert dieser Information.,dative,masculine
520,4,Sie wendet sich dem Gesicht zu.,,,dem,Sie wendet sich _____ Gesicht zu.,dative,masculine
521,4,Wir danken der Sprache für ihre Schönheit.,,,der,Wir danken _____ Sprache für ihre Schönheit.,dative,feminine
522,4,Ich nähere mich dem Ort langsam.,,,dem,Ich nähere mich _____ Ort langsam.,dative,masculine
523,4,Er erinnert sich an dem Moment.,,,dem,Er erinnert sich an _____ Moment.,dative,masculine
524,4,Sie folgt dem Interesse des Publikums.,,,dem,Sie folgt _____ Interesse des Publikums.,dative,masculine
525,4,Er bleibt den Rollen treu.,,,den,Er bleibt _____ Rollen treu.,dative,plural
526,4,Ich stehe der Tür gegenüber.,,,der,Ich stehe _____ Tür gegenüber.,dative,feminine
527,4,Der Lehrer hilft dem Schüler.,,,dem,Der Lehrer hilft _____ Schüler.,dative,masculine
528,4,Ich folge dem Text im Buch.,,,dem,Ich folge _____ Text im Buch.,dative,masculine
529,4,Er gibt dem Stück eine neue Interpretation.,,,dem,Er gibt _____ Stück eine neue Interpretation.,dative,masculine
530,4,Wir helfen der Wohnungssuche.,,,der,Wir helfen _____ Wohnungssuche.,dative,feminine
531,4,Er misst dem Meter mit dem Lineal.,,,dem,Er misst _____ Meter mit _____ Lineal.,dative,masculine
532,4,Ich nähere mich dem Punkt im Text.,,,dem,Ich nähere mich _____ Punkt im Text.,dative,masculine
533,4,Ich passe mich der Situation an.,,,der,Ich passe mich _____ Situation an.,dative,feminine
534,4,Ich danke dem Lehrer für die Hilfe.,,,dem,Ich danke _____ Lehrer für die Hilfe.,dative,masculine
535,4,Er widerspricht den Preisen des Produkts.,,,den,Er widerspricht _____ Preisen des Produkts.,dative,plural
536,4,Er hilft der Stelle mit neuen Ideen.,,,der,Er hilft _____ Stelle mit neuen Ideen.,dative,feminine
537,4,Ich passe der Form an.,,,der,Ich passe _____ Form an.,dative,feminine
538,4,Wir widmen dem Monat besondere Bedeutung.,,,dem,Wir widmen _____ Monat besondere Bedeutung.,dative,masculine
539,4,Sie hilft der Familie oft.,,,der,Sie hilft _____ Familie oft.,dative,feminine
540,4,Ich genieße dem Morgen mit einem Kaffee.,,,dem,Ich genieße _____ Morgen mit einem Kaffee.,dative,masculine
541,4,Wir danken dem Abend für die Ruhe.,,,dem,Wir danken _____ Abend für die Ruhe.,dative,masculine
542,4,Ich vertraue dem Sinn seiner Worte.,,,dem,Ich vertraue _____ Sinn seiner Worte.,dative,masculine
543,4,Er dient dem Staat als Beamter.,,,dem,Er dient _____ Staat als Beamter.,dative,masculine
544,4,Sie nähert sich dem Ziel langsam.,,,dem,Sie nähert sich _____ Ziel langsam.,dative,masculine
545,4,Ich helfe den Freunden mit der Arbeit.,,,den,Ich helfe _____ Freunden mit der Arbeit.,dative,plural
546,4,Wir bleiben dem Thema treu.,,,dem,Wir bleiben _____ Thema treu.,dative,masculine
547,4,Ich danke der Person für ihre Hilfe.,,,der,Ich danke _____ Person für ihre Hilfe.,dative,feminine
548,4,Er widmet sich der Nacht und den Sternen.,,,der,Er widmet sich _____ Nacht und den Sternen.,dative,feminine
549,4,Ich gebe dem Raum eine neue Farbe.,,,dem,Ich gebe _____ Raum eine neue Farbe.,dative,masculine
550,4,Sie folgt dem Blick des Fotografen.,,,dem,Sie folgt _____ Blick des Fotografen.,dative,masculine
551,4,Er nähert sich dem Platz vorsichtig.,,,dem,Er nähert sich _____ Platz vorsichtig.,dative,masculine
552,4,Ich vertraue der Zahl auf dem Formular.,,,der,Ich vertraue _____ Zahl auf dem Formular.,dative,feminine
553,4,Ich glaube der Uhr nicht.,,,der,Ich glaube _____ Uhr nicht.,dative,feminine
554,4,Wir helfen den Eltern im Haushalt.,,,den,Wir helfen _____ Eltern im Haushalt.,dative,plural
555,4,Ich sehe dem Ende des Films entgegen.,,,dem,Ich sehe _____ Ende des Films entgegen.,dative,masculine
556,4,Er vertraut der Million an der Börse.,,,der,Er vertraut _____ Million an der Börse.,dative,feminine
557,4,Wir helfen der Schule mit Spenden.,,,der,Wir helfen _____ Schule mit Spenden.,dative,feminine
558,4,Ich widme der Woche meine Zeit.,,,der,Ich widme _____ Woche meine Zeit.,dative,feminine
559,4,Sie gibt dem Vater ein Geschenk.,,,dem,Sie gibt _____ Vater ein Geschenk.,dative,masculine
560,4,Ich folge der Seite im Buch.,,,der,Ich folge _____ Seite im Buch.,dative,feminine
561,4,Er dankt dem Leben für seine Erfahrungen.,,,dem,Er dankt _____ Leben für seine Erfahrungen.,dative,masculine
562,4,Wir helfen der Mutter im Haushalt.,,,der,Wir helfen _____ Mutter im Haushalt.,dative,feminine
563,4,Sie schützt dem Auge mit einer Brille.,,,dem,Sie schützt _____ Auge mit einer Brille.,dative,masculine
564,4,Ich glaube den Wörtern des Lehrers.,,,den,Ich glaube _____ Wörtern des Lehrers.,dative,plural
565,4,Er vertraut dem Geld nicht.,,,dem,Er vertraut _____ Geld nicht.,dative,masculine
566,4,Ich folge dem Weg zum See.,,,dem,Ich folge _____ Weg zum See.,dative,masculine
567,4,Ich widme der Stunde meine volle Konzentration.,,,der,Ich widme _____ Stunde meine volle Konzentration.,dative,feminine
