Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,explanation_english,explanation_french,case,bedeutung
101,5,_____ stehen,zur Verfügung,zur Verfügung stehen,zur Verfügung stehen,to be available,être disponible,Feminine,Féminin,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,
102,5,_____ stellen,zur Verfügung,zur Verfügung stellen,zur Verfügung stellen,"to make something available, to provide something",fournir,Feminine,Féminin,"zur Verfügung stellen = to make something available, to provide something",zur Verfügung stellen = fournir,,
103,5,_____ schließen,Freundschaft,Freundschaft schließen,Freundschaft schließen,"to make friends, to become friends",se faire des amis,Feminine,Féminin,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,
104,5,_____ treffen,Vorbereitungen,Vorbereitungen treffen,Vorbereitungen treffen,"to prepare, to make preparations","préparer, faire des préparatifs",Plural,Pluriel,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,
105,5,_____ üben,Kritik,Kritik üben,Kritik üben,to criticize,critiquer,Feminine,Féminin,Kritik üben = to criticize,Kritik üben = critiquer,an + Dative,
106,6,sich Sorgen _____,machen,sich Sorgen machen,sich Sorgen machen,to worry,"s'inquiéter, se faire du soucis",,,sich Sorgen machen = to worry,"sich Sorgen machen = s'inquiéter, se faire du soucis",,sich sorgen / sich ängstigen / unruhig werden
107,6,auf der Suche _____,sein,auf der Suche sein,auf der Suche sein,"to look for, to search","chercher, être à la recherche de",,,"auf der Suche sein = to look for, to search","auf der Suche sein = chercher, être à la recherche de",,
108,6,Bescheid _____,sagen/geben,"Bescheid sagen, Bescheid geben","Bescheid sagen, Bescheid geben",to let somebody know,faire passer un message,,,"Bescheid sagen, Bescheid geben = to let somebody know","Bescheid sagen, Bescheid geben = faire passer un message",,
109,6,in der Lage _____,sein,in der Lage sein,in der Lage sein,"to be able to, to be in a position to","pourvoir, être capable de",,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,
110,6,in Kauf _____,nehmen,in Kauf nehmen,in Kauf nehmen,"to accept, to take the risk",accepter,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,
111,6,Platz _____,nehmen,Platz nehmen,Platz nehmen,"to seat, to take a seat","s'assoir, prendre place",,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,
112,6,unter Druck _____,setzen,unter Druck setzen,unter Druck setzen,to put under pressure,mettre sous pression,,,unter Druck setzen = to put under pressure,unter Druck setzen = mettre sous pression,,
113,6,einen Fehler _____,machen/begehen,"einen Fehler machen, einen Fehler begehen","einen Fehler machen, einen Fehler begehen",to make a mistake,"se tromper, faire une erreur",,,"einen Fehler machen, einen Fehler begehen = to make a mistake","einen Fehler machen, einen Fehler begehen = se tromper, faire une erreur",,
114,6,Hilfe _____,leisten,Hilfe leisten,Hilfe leisten,to help,"aider, fournier de l'aide",,,Hilfe leisten = to help,"Hilfe leisten = aider, fournier de l'aide",,
115,6,Interesse _____,zeigen,Interesse zeigen,Interesse zeigen,"to be interested in, to show interest",montrer de l'intérêt,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,
116,6,zur Verfügung _____,stehen,zur Verfügung stehen,zur Verfügung stehen,to be available,être disponible,,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,
117,6,zur Verfügung _____,stellen,zur Verfügung stellen,zur Verfügung stellen,"to make something available, to provide something",fournir,,,"zur Verfügung stellen = to make something available, to provide something",zur Verfügung stellen = fournir,,
118,6,Freundschaft _____,schließen,Freundschaft schließen,Freundschaft schließen,"to make friends, to become friends",se faire des amis,,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,
119,6,Vorbereitungen _____,treffen,Vorbereitungen treffen,Vorbereitungen treffen,"to prepare, to make preparations","préparer, faire des préparatifs",,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,
120,6,Kritik _____,üben,Kritik üben,Kritik üben,to criticize,critiquer,,,Kritik üben = to criticize,Kritik üben = critiquer,,
121,7,Ich mache mir _____ um meine Prüfung.,Sorgen,sich Sorgen machen,Ich mache mir Sorgen um meine Prüfung.,I’m worried about my exam.,Je me fais du souci pour mon examen.,,,sich Sorgen machen = to worry,"sich Sorgen machen = s'inquiéter, se faire du soucis",,
122,7,"Mach dir keine _____, alles wird gut.",Sorgen,sich Sorgen machen,"Mach dir keine Sorgen, alles wird gut.","Don’t worry, everything will be fine.","Ne t’inquiète pas, tout ira bien.",,,sich Sorgen machen = to worry,"sich Sorgen machen = s'inquiéter, se faire du soucis",,
123,7,"Ich bin schon seit Wochen _____ nach einer Wohnung, die sowohl ruhig als auch zentral liegt.",auf der Suche,auf der Suche sein,"Ich bin schon seit Wochen auf der Suche nach einer Wohnung, die sowohl ruhig als auch zentral liegt.",I have been looking for an apartment for weeks that is both quiet and central.,"Je suis à la recherche d’un appartement depuis des semaines, qui soit à la fois calme et central.",,,"auf der Suche sein = to look for, to search","auf der Suche sein = chercher, être à la recherche de",,
124,7,"Viele junge Leute sind heute _____ nach einem Job, der nicht seulement Geld bringt, sondern auch Sinn hat.",auf der Suche,auf der Suche sein,"Viele junge Leute sind heute auf der Suche nach einem Job, der nicht seulement Geld bringt, sondern auch Sinn hat.",Many young people are looking for a job today that not only brings money but also has meaning.,Beaucoup de jeunes sont aujourd’hui à la recherche d’un travail qui n’apporte pas seulement de l’argent mais aussi du sens.,,,"auf der Suche sein = to look for, to search","auf der Suche sein = chercher, être à la recherche de",,
125,7,"Nach mehreren Monaten Training ist sie endlich _____, den Marathon ohne Pause zu laufen.",in der Lage,in der Lage sein,"Nach mehreren Monaten Training ist sie endlich in der Lage, den Marathon ohne Pause zu laufen.","After several months of training, she is finally able to run the marathon without stopping.","Après plusieurs mois d’entraînement, elle est enfin capable de courir le marathon sans s’arrêter.",,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,
126,7,"Wir müssen sicherstellen, dass das Team _____ ist, das Projekt rechtzeitig abzuschließen.",in der Lage,in der Lage sein,"Wir müssen sicherstellen, dass das Team in der Lage ist, das Projekt rechtzeitig abzuschließen.",We need to make sure that the team is able to finish the project on time.,Nous devons nous assurer que l’équipe est capable de terminer le projet à temps.,,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,
127,7,"Wenn du in der Innenstadt wohnen willst, musst du höhere Mieten _____ nehmen.",in Kauf,in Kauf nehmen,"Wenn du in der Innenstadt wohnen willst, musst du höhere Mieten in Kauf nehmen.","If you want to live in the city center, you have to accept higher rent.","Si tu veux vivre en centre-ville, tu dois accepter des loyers plus élevés.",,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,
128,7,"Viele Pendler nehmen lange Fahrzeiten _____, um ein ruhigeres Leben auf dem Land zu führen.",in Kauf,in Kauf nehmen,"Viele Pendler nehmen lange Fahrzeiten in Kauf, um ein ruhigeres Leben auf dem Land zu führen.",Many commuters accept long travel times in order to live a quieter life in the countryside.,Beaucoup de gens qui font la navette acceptent de longs trajets pour vivre plus tranquillement à la campagne.,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,
129,7,"Sag mir bitte _____, sobald du entschieden hast, ob du mit uns in den Urlaub kommst.",Bescheid,"Bescheid sagen, Bescheid geben","Sag mir bitte Bescheid, sobald du entschieden hast, ob du mit uns in den Urlaub kommst.",Please let me know as soon as you have decided whether you are coming on vacation with us.,Dis-moi dès que tu as décidé si tu viens en vacances avec nous.,,,"Bescheid sagen, Bescheid geben = to let somebody know","Bescheid sagen, Bescheid geben = faire passer un message",,
130,7,"Könntest du mir _____ sagen, falls das Meeting früher beginnt?",Bescheid,"Bescheid sagen, Bescheid geben","Könntest du mir Bescheid sagen, falls das Meeting früher beginnt?",Could you let me know if the meeting starts earlier?,Peux-tu me prévenir si la réunion commence plus tôt?,,,"Bescheid sagen, Bescheid geben = to let somebody know","Bescheid sagen, Bescheid geben = faire passer un message",,
131,7,"Bitte nehmen Sie _____, der Arzt wird gleich bei Ihnen sein.",Platz,Platz nehmen,"Bitte nehmen Sie Platz, der Arzt wird gleich bei Ihnen sein.","Please take a seat, the doctor will be with you shortly.","Veuillez prendre place, le médecin sera avec vous dans un instant.",,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,
132,7,"Als die Präsentation begann, nahmen alle ruhig _____ und hörten aufmerksam zu.",Platz,Platz nehmen,"Als die Präsentation begann, nahmen alle ruhig Platz und hörten aufmerksam zu.","When the presentation started, everyone took their seats and listened carefully.","Quand la présentation a commencé, tout le monde a pris place et a écouté attentivement.",,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,
133,7,"Man sollte niemanden unnötig _____ setzen, besonders nicht in stressigen Situationen.",unter Druck,unter Druck setzen,"Man sollte niemanden unnötig unter Druck setzen, besonders nicht in stressigen Situationen.","You shouldn't put anyone under unnecessary pressure, especially in stressful situations.","Il ne faut mettre personne sous pression inutilement, surtout pas dans des situations stressantes.",,,unter Druck setzen = to put under pressure,unter Druck setzen = mettre sous pression,,
134,7,"Die Medien setzen die Regierung immer stärker _____, eine Lösung zu finden.",unter Druck,unter Druck setzen,"Die Medien setzen die Regierung immer stärker unter Druck, eine Lösung zu finden.",The media are putting the government under increasing pressure to find a solution.,Les médias mettent de plus en plus le gouvernement sous pression pour trouver une solution.,,,unter Druck setzen = to put under pressure,unter Druck setzen = mettre sous pression,,
135,7,"Jeder macht manchmal einen _____, und das Wichtigste ist, daraus zu lernen.",Fehler,"einen Fehler machen, einen Fehler begehen","Jeder macht manchmal einen Fehler, und das Wichtigste ist, daraus zu lernen.","Everyone makes a mistake sometimes, and the most important thing is to learn from it.","Tout le monde fait parfois une erreur, et le plus important est d’en tirer des leçons.",,,"einen Fehler machen, einen Fehler begehen = to make a mistake","einen Fehler machen, einen Fehler begehen = se tromper, faire une erreur",,
136,7,"Wenn du einen _____ machst, ist es besser, ihn sofort zuzugeben, statt ihn zu verstecken.",Fehler,"einen Fehler machen, einen Fehler begehen","Wenn du einen Fehler machst, ist es besser, ihn sofort zuzugeben, statt ihn zu verstecken.","If you make a mistake, it's better to admit it right away instead of hiding it.","Si tu fais une erreur, il vaut mieux l’admettre tout de suite plutôt que de la cacher.",,,"einen Fehler machen, einen Fehler begehen = to make a mistake","einen Fehler machen, einen Fehler begehen = se tromper, faire une erreur",,
137,7,"Die Organisation leistet weltweit _____ in Regionen, die von Naturkatastrophen betroffen sind.",Hilfe,Hilfe leisten,"Die Organisation leistet weltweit Hilfe in Regionen, die von Naturkatastrophen betroffen sind.",The organization provides assistance worldwide in regions affected by natural disasters.,L’organisation apporte son aide dans le monde entier dans les régions touchées par des catastrophes naturelles.,,,Hilfe leisten = to help,"Hilfe leisten = aider, fournier de l'aide",,
138,7,"Jeder von uns kann im Alltag _____ leisten, indem er aufmerksam ist und anderen zuhört.",Hilfe,Hilfe leisten,"Jeder von uns kann im Alltag Hilfe leisten, indem er aufmerksam ist und anderen zuhört.",Each of us can offer help in everyday life by being attentive and listening to others.,Chacun de nous peut apporter de l’aide au quotidien en étant attentif et à l’écoute des autres.,,,Hilfe leisten = to help,"Hilfe leisten = aider, fournier de l'aide",,
139,7,"Wenn du echtes _____ zeigst, öffnen sich die Leute oft schneller und erzählen mehr.",Interesse,Interesse zeigen,"Wenn du echtes Interesse zeigst, öffnen sich die Leute oft schneller und erzählen mehr.","When you show genuine interest, people often open up faster and share more.","Quand tu montres un réel intérêt, les gens s’ouvrent souvent plus vite et partagent davantage.",,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,
140,7,Er hat großes _____ an moderner Kunst gezeigt und will jetzt selbst einen Malkurs machen.,Interesse,Interesse zeigen,Er hat großes Interesse an moderner Kunst gezeigt und will jetzt selbst einen Malkurs machen.,He showed great interest in modern art and now wants to take a painting class himself.,Il a montré un grand intérêt pour l’art moderne et veut maintenant suivre un cours de peinture.,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,
141,7,"Wenn Sie Fragen haben, stehe ich Ihnen jederzeit _____.",zur Verfügung,zur Verfügung stehen,"Wenn Sie Fragen haben, stehe ich Ihnen jederzeit zur Verfügung.","If you have questions, I am at your disposal at any time.","Si vous avez des questions, je suis à votre disposition à tout moment.",,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,
142,7,Leider stehen uns für dieses Projekt nur begrenzte Mittel _____.,zur Verfügung,zur Verfügung stehen,Leider stehen uns für dieses Projekt nur begrenzte Mittel zur Verfügung.,"Unfortunately, we only have limited resources available for this project.","Malheureusement, nous ne disposons que de ressources limitées pour ce projet.",,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,
143,7,Die Firma stellt ihren Mitarbeitern moderne Computer _____.,zur Verfügung,zur Verfügung stellen,Die Firma stellt ihren Mitarbeitern moderne Computer zur Verfügung.,The company provides modern computers to its employees.,L’entreprise met des ordinateurs modernes à la disposition de ses employés.,,,"zur Verfügung stellen = to make something available, to provide something",zur Verfügung stellen = fournir,,
144,7,Die Stadt stellt kostenloses WLAN in allen öffentlichen Parks _____.,zur Verfügung,zur Verfügung stellen,Die Stadt stellt kostenloses WLAN in allen öffentlichen Parks zur Verfügung.,The city provides free Wi-Fi in all public parks.,La ville met du Wi-Fi gratuit à disposition dans tous les parcs publics.,,,"zur Verfügung stellen = to make something available, to provide something",zur Verfügung stellen = fournir,,
145,7,"Es fällt mir manchmal schwer, in einer neuen Stadt _____ zu schließen, aber mit etwas Geduld klappt es meistens.",Freundschaft,Freundschaft schließen,"Es fällt mir manchmal schwer, in einer neuen Stadt Freundschaft zu schließen, aber mit etwas Geduld klappt es meistens.","Sometimes it's hard for me to make friends in a new city, but with a bit of patience it usually works out.","J’ai parfois du mal à me faire des amis dans une nouvelle ville, mais avec un peu de patience, ça marche en général.",,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,
146,7,Während ihres Austauschsemesters hat sie schnell _____ mit ihren Mitbewohnern geschlossen.,Freundschaft,Freundschaft schließen,Während ihres Austauschsemesters hat sie schnell Freundschaft mit ihren Mitbewohnern geschlossen.,"During her exchange semester, she quickly made friends with her roommates.","Pendant son semestre d’échange, elle s’est rapidement liée d’amitié avec ses colocataires.",,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,
147,7,"Wir müssen rechtzeitig _____ treffen, damit die Veranstaltung reibungslos abläuft.",Vorbereitungen,Vorbereitungen treffen,"Wir müssen rechtzeitig Vorbereitungen treffen, damit die Veranstaltung reibungslos abläuft.",We need to make preparations in time so that the event runs smoothly.,Nous devons faire les préparatifs à temps pour que l’événement se déroule sans problème.,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,
148,7,"Sie hat bereits alle _____ getroffen, um nächste Woche umzuziehen.",Vorbereitungen,Vorbereitungen treffen,"Sie hat bereits alle Vorbereitungen getroffen, um nächste Woche umzuziehen.",She has already made all the preparations to move next week.,Elle a déjà fait tous les préparatifs pour déménager la semaine prochaine.,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,
149,7,"In großen Teams ist es wichtig, konstruktiv _____ zu üben, damit niemand entmutigt wird.",Kritik,Kritik üben,"In großen Teams ist es wichtig, konstruktiv Kritik zu üben, damit niemand entmutigt wird.","In large teams, it is important to give constructive criticism so that no one becomes discouraged.","Dans les grandes équipes, il est important de formuler des critiques constructives pour que personne ne se décourage.",,,Kritik üben = to criticize,Kritik üben = critiquer,,
150,7,"Der Chef hat offen _____ an unserem Zeitmanagement geübt, aber er hat auch Lösungen vorgeschlagen.",Kritik,Kritik üben,"Der Chef hat offen Kritik an unserem Zeitmanagement geübt, aber er hat auch Lösungen vorgeschlagen.","The boss openly criticized our time management, but he also suggested solutions.","Le patron a ouvertement critiqué notre gestion du temps, mais il a aussi proposé des solutions.",,,Kritik üben = to criticize,Kritik üben = critiquer,,
151,8,"Sie _____ sich Sorgen, weil ihr Sohn krank ist.",macht,sich Sorgen machen,"Sie macht sich Sorgen, weil ihr Sohn krank ist.",She is worried because her son is sick.,Elle se fait du souci parce que son fils est malade.,,,sich Sorgen machen = to worry,"sich Sorgen machen = s'inquiéter, se faire du soucis",,
152,8,Viele Eltern _____ sich Sorgen um die Zukunft ihrer Kinder.,machen,sich Sorgen machen,Viele Eltern machen sich Sorgen um die Zukunft ihrer Kinder.,Many parents worry about their children’s future.,Beaucoup de parents se font du souci pour l’avenir de leurs enfants.,,,sich Sorgen machen = to worry,"sich Sorgen machen = s'inquiéter, se faire du soucis",,
153,8,"Wir _____ ständig auf der Suche nach neuen Ideen, um unser Produkt interessanter zu machen.",sind,auf der Suche sein,"Wir sind ständig auf der Suche nach neuen Ideen, um unser Produkt interessanter zu machen.",We are constantly looking for new ideas to make our product more interesting.,Nous sommes constamment à la recherche de nouvelles idées pour rendre notre produit plus intéressant.,,,"auf der Suche sein = to look for, to search","auf der Suche sein = chercher, être à la recherche de",,
154,8,"Nach dem Unfall _____ die Polizei auf der Suche nach Zeugen, die den Ablauf genau gesehen haben.",war,auf der Suche sein,"Nach dem Unfall war die Polizei auf der Suche nach Zeugen, die den Ablauf genau gesehen haben.","After the accident, the police were looking for witnesses who saw the incident clearly.","Après l’accident, la police était à la recherche de témoins qui avaient vu la scène clairement.",,,"auf der Suche sein = to look for, to search","auf der Suche sein = chercher, être à la recherche de",,
155,8,"Dank des neuen Programms _____ die Schüler nun in der Lage, komplexe Probleme selbstständig zu lösen.",sind,in der Lage sein,"Dank des neuen Programms sind die Schüler nun in der Lage, komplexe Probleme selbstständig zu lösen.","Thanks to the new program, the students are now able to solve complex problems independently.","Grâce au nouveau programme, les élèves sont désormais capables de résoudre des problèmes complexes de manière autonome.",,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,
156,8,"Wenn man genug übt, _____ man irgendwann in der Lage, auch schwierige Aufgaben ohne Stress zu bewältigen.",ist,in der Lage sein,"Wenn man genug übt, ist man irgendwann in der Lage, auch schwierige Aufgaben ohne Stress zu bewältigen.","If you practice enough, you are eventually able to handle even difficult tasks without stress.","Si on s’entraîne assez, on est finalement capable de gérer même des tâches difficiles sans stress.",,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,
157,8,Für seine Karriere hat er häufige Geschäftsreisen in Kauf _____.,genommen,in Kauf nehmen,Für seine Karriere hat er häufige Geschäftsreisen in Kauf genommen.,"For his career, he accepted frequent business trips.","Pour sa carrière, il a accepté de nombreux voyages d’affaires.",,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,
158,8,"Um das Projekt erfolgreich abzuschließen, müssen wir jetzt mehr Stress und Überstunden in Kauf _____.",nehmen,in Kauf nehmen,"Um das Projekt erfolgreich abzuschließen, müssen wir jetzt mehr Stress und Überstunden in Kauf nehmen.","To complete the project successfully, we now have to accept more stress and overtime.","Pour terminer le projet avec succès, nous devons maintenant accepter plus de stress et d’heures supplémentaires.",,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,
159,8,"Ich _____ dir Bescheid, sobald ich eine Rückmeldung vom Chef bekomme.",sage/gebe,"Bescheid sagen, Bescheid geben","Ich sage dir Bescheid, sobald ich eine Rückmeldung vom Chef bekomme.",I will let you know as soon as I get feedback from the boss.,Je te tiens au courant dès que j’ai un retour du chef.,,,"Bescheid sagen, Bescheid geben = to let somebody know","Bescheid sagen, Bescheid geben = faire passer un message",,
160,8,"Falls du morgen nicht kommen kannst, _____ bitte rechtzeitig Bescheid.",sag/gib,"Bescheid sagen, Bescheid geben","Falls du morgen nicht kommen kannst, sag bitte rechtzeitig Bescheid.","If you can't come tomorrow, please let me know in advance.","Si tu ne peux pas venir demain, préviens-moi à l’avance.",,,"Bescheid sagen, Bescheid geben = to let somebody know","Bescheid sagen, Bescheid geben = faire passer un message",,
161,8,"Der Moderator bat die Gäste, auf der Bühne Platz zu _____.",nehmen,Platz nehmen,"Der Moderator bat die Gäste, auf der Bühne Platz zu nehmen.",The moderator asked the guests to take a seat on the stage.,Le présentateur a demandé aux invités de prendre place sur la scène.,,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,
162,8,"Nachdem wir im Restaurant Platz _____ hatten, brachte der Kellner sofort die Speisekarten.",genommen,Platz nehmen,"Nachdem wir im Restaurant Platz genommen hatten, brachte der Kellner sofort die Speisekarten.","After we took our seats in the restaurant, the waiter immediately brought the menus.","Après avoir pris place au restaurant, le serveur a apporté les menus immédiatement.",,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,
163,8,"Er fühlte sich von seinem Chef unter Druck _____, die Aufgabe schneller zu erledigen.",gesetzt,unter Druck setzen,"Er fühlte sich von seinem Chef unter Druck gesetzt, die Aufgabe schneller zu erledigen.",He felt pressured by his boss to finish the task more quickly.,Il s’est senti mis sous pression par son patron pour terminer la tâche plus vite.,,,unter Druck setzen = to put under pressure,unter Druck setzen = mettre sous pression,,
164,8,"Eltern sollten ihre Kinder nicht zu sehr unter Druck _____, gute Noten zu bekommen.",setzen,unter Druck setzen,"Eltern sollten ihre Kinder nicht zu sehr unter Druck setzen, gute Noten zu bekommen.",Parents shouldn't put too much pressure on their children to get good grades.,Les parents ne devraient pas mettre trop de pression sur leurs enfants pour qu’ils aient de bonnes notes.,,,unter Druck setzen = to put under pressure,unter Druck setzen = mettre sous pression,,
165,8,"Im Praktikum habe ich am Anfang viele Fehler _____, aber mein Team hat mich unterstützt.",gemacht/begangen,"einen Fehler machen, einen Fehler begehen","Im Praktikum habe ich am Anfang viele Fehler gemacht, aber mein Team hat mich unterstützt.","During my internship, I made many mistakes at first, but my team supported me.","Pendant mon stage, j’ai fait beaucoup d’erreurs au début, mais mon équipe m’a soutenu.",,,"einen Fehler machen, einen Fehler begehen = to make a mistake","einen Fehler machen, einen Fehler begehen = se tromper, faire une erreur",,
166,8,"Er war so müde, dass er beim Schreiben der E-Mail mehrere Fehler _____ hat.",gemacht/begangen,"einen Fehler machen, einen Fehler begehen","Er war so müde, dass er beim Schreiben der E-Mail mehrere Fehler gemacht hat.",He was so tired that he made several mistakes while writing the email.,Il était tellement fatigué qu’il a fait plusieurs erreurs en écrivant l’e-mail.,,,"einen Fehler machen, einen Fehler begehen = to make a mistake","einen Fehler machen, einen Fehler begehen = se tromper, faire une erreur",,
167,8,"Die Feuerwehr hat sofort Hilfe _____, nachdem die Bewohner das Gebäude verlassen hatten.",geleistet,Hilfe leisten,"Die Feuerwehr hat sofort Hilfe geleistet, nachdem die Bewohner das Gebäude verlassen hatten.",The fire department immediately provided assistance after the residents left the building.,Les pompiers ont immédiatement apporté leur aide après que les habitants ont quitté le bâtiment.,,,Hilfe leisten = to help,"Hilfe leisten = aider, fournier de l'aide",,
168,8,"Um in Krisensituationen wirksam Hilfe _____ zu können, braucht man Erfahrung und gute Vorbereitung.",leisten,Hilfe leisten,"Um in Krisensituationen wirksam Hilfe leisten zu können, braucht man Erfahrung und gute Vorbereitung.","To be able to provide effective help in crisis situations, you need experience and good preparation.","Pour pouvoir apporter de l’aide efficacement dans des situations de crise, il faut de l’expérience et une bonne préparation.",,,Hilfe leisten = to help,"Hilfe leisten = aider, fournier de l'aide",,
169,8,"Die Firma sucht Bewerber, die Interesse an nachhaltigen Technologien _____.",zeigen,Interesse zeigen,"Die Firma sucht Bewerber, die Interesse an nachhaltigen Technologien zeigen.",The company is looking for applicants who show interest in sustainable technologies.,L’entreprise cherche des candidats qui montrent de l’intérêt pour les technologies durables.,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,
170,8,"Wenn Studierende Interesse im Unterricht _____, entsteht eine viel motivierendere Atmosphäre.",zeigen,Interesse zeigen,"Wenn Studierende Interesse im Unterricht zeigen, entsteht eine viel motivierendere Atmosphäre.","When students show interest in class, a much more motivating atmosphere develops.","Quand les étudiants montrent de l’intérêt en cours, une atmosphère beaucoup plus motivante se crée.",,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,
171,8,Die Daten _____ allen Mitarbeitern online zur Verfügung.,stehen,zur Verfügung stehen,Die Daten stehen allen Mitarbeitern online zur Verfügung.,The data is available online to all employees.,Les données sont mises à la disposition de tous les employés en ligne.,,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,
172,8,"Sobald die Ergebnisse vorliegen, werden sie der Öffentlichkeit zur Verfügung _____.",stehen,zur Verfügung stehen,"Sobald die Ergebnisse vorliegen, werden sie der Öffentlichkeit zur Verfügung stehen.","As soon as the results are available, they will be accessible to the public.","Dès que les résultats seront disponibles, ils seront accessibles au public.",,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,
173,8,"Der Lehrer _____ zusätzliche Materialien zur Verfügung, damit die Schüler besser lernen konnten.",stellte,zur Verfügung stellen,"Der Lehrer stellte zusätzliche Materialien zur Verfügung, damit die Schüler besser lernen konnten.",The teacher provided additional materials so that the students could learn better.,Le professeur a mis du matériel supplémentaire à disposition pour aider les élèves à mieux apprendre.,,,"zur Verfügung stellen = to make something available, to provide something",zur Verfügung stellen = fournir,,
174,8,"Um das Projekt erfolgreich umzusetzen, _____ die Organisation Experten zur Verfügung.",stellte,zur Verfügung stellen,"Um das Projekt erfolgreich umzusetzen, stellte die Organisation Experten zur Verfügung.","To successfully implement the project, the organization provided experts.","Pour mener le projet à bien, l’organisation a mis des experts à disposition.",,,"zur Verfügung stellen = to make something available, to provide something",zur Verfügung stellen = fournir,,
175,8,"Kinder _____ oft sehr leicht Freundschaft, wenn sie gemeinsam spielen.",schließen,Freundschaft schließen,"Kinder schließen oft sehr leicht Freundschaft, wenn sie gemeinsam spielen.",Children often make friends very easily when they play together.,Les enfants se lient souvent très facilement d’amitié quand ils jouent ensemble.,,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,
176,8,"Wenn man offen bleibt und Interesse zeigt, kann man in jeder Lebensphase Freundschaft _____.",schließen,Freundschaft schließen,"Wenn man offen bleibt und Interesse zeigt, kann man in jeder Lebensphase Freundschaft schließen.","If you stay open and show interest, you can make friends at any stage of life.","Si on reste ouvert et qu’on montre de l’intérêt, on peut se faire des amis à n’importe quel moment de la vie.",,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,
177,8,"Bevor man eine lange Reise macht, sollte man sorgfältig Vorbereitungen _____.",treffen,Vorbereitungen treffen,"Bevor man eine lange Reise macht, sollte man sorgfältig Vorbereitungen treffen.","Before going on a long trip, one should carefully make preparations.","Avant de faire un long voyage, il faut faire les préparatifs avec soin.",,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,
178,8,Das Team _____ gerade die letzten Vorbereitungen für die Präsentation morgen.,trifft,Vorbereitungen treffen,Das Team trifft gerade die letzten Vorbereitungen für die Präsentation morgen.,The team is currently making the final preparations for tomorrow’s presentation.,L’équipe est en train de faire les derniers préparatifs pour la présentation de demain.,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,
179,8,"Man sollte nur dann Kritik _____, wenn man die Situation gut verstanden hat.",üben,Kritik üben,"Man sollte nur dann Kritik üben, wenn man die Situation gut verstanden hat.",One should only criticize when one truly understands the situation.,On devrait n’exercer des critiques que lorsqu’on comprend vraiment la situation.,,,Kritik üben = to criticize,Kritik üben = critiquer,,
