Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
623,103,C2,benehmen,,to behave (refl.),se comporter (réfl.),1. verb,,,,
624,103,C2,beeilen,,"to hurry, to hasten, to rush (refl.)","se dépêcher, se hâter, se précipiter (réfl.)",1. verb,,,,
625,103,C2,behindern,,"to obstruct, to hamper","gêner, entraver",1. verb,,,,
626,103,C2,befördern,,to transport,transporter,1. verb,,,,
627,103,C2,begraben,,to bury,enterrer,1. verb,,,,
628,103,C2,besiegen,,to defeat (in battle or contest),vaincre (au combat ou dans un concours),1. verb,,,,
629,103,C2,betrügen,,"to cheat, to swindle, to defraud","tricher, escroquer, frauder",1. verb,,,,
630,103,C2,beibringen,,"to teach, to break (news, information) carefully to, to inflict","enseigner, annoncer (des nouvelles, des informations) avec précaution, infliger",1. verb,,,,
631,103,C2,beleidigen,,"to offend someone, to insult someone","offenser quelqu'un, insulter quelqu'un",1. verb,,,,
632,103,C2,beibehalten,,,,1. verb,,,,
633,103,C2,befehlen,,,,1. verb,,,,
634,103,C2,beleben,,,,1. verb,,,,
635,103,C2,belohnen,,,,1. verb,,,,
636,103,C2,beabsichtigen,,,,1. verb,,,,
637,103,C2,beanspruchen,,,,1. verb,,,,
638,103,C2,beanstanden,,,,1. verb,,,,
639,103,C2,beanständen,,,,1. verb,,,,
640,103,C2,bedachen,,,,1. verb,,,,
641,103,C2,bedauern,,,,1. verb,,,,
642,103,C2,bedecken,,,,1. verb,,,,
643,103,C2,bedrucken,,,,1. verb,,,,
644,103,C2,bedürfen,,,,1. verb,,,,
645,103,C2,befahren,,,,1. verb,,,,
646,103,C2,befallen,,,,1. verb,,,,
647,103,C2,befestigen,,,,1. verb,,,,
648,103,C2,beflügeln,,,,1. verb,,,,
649,103,C2,befolgen,,,,1. verb,,,,
650,103,C2,befragen,,,,1. verb,,,,
651,103,C2,befriedigen,,,,1. verb,,,,
652,103,C2,befristen,,,,1. verb,,,,
653,103,C2,befüllen,,,,1. verb,,,,
654,103,C2,befürworten,,,,1. verb,,,,
655,103,C2,begehren,,,,1. verb,,,,
656,103,C2,begleichen,,,,1. verb,,,,
657,103,C2,begnügen,,,,1. verb,,,,
658,103,C2,begreifen,,,,1. verb,,,,
659,103,C2,begrenzen,,,,1. verb,,,,
660,103,C2,begutachten,,,,1. verb,,,,
661,103,C2,begünstigen,,,,1. verb,,,,
662,103,C2,beharren,,,,1. verb,,,,
663,103,C2,beheben,,,,1. verb,,,,
664,103,C2,beheimaten,,,,1. verb,,,,
665,103,C2,beherbergen,,,,1. verb,,,,
666,103,C2,beilegen,,,,1. verb,,,,
667,103,C2,beisteuern,,,,1. verb,,,,
668,103,C2,beitreten,,,,1. verb,,,,
669,103,C2,bejahen,,,,1. verb,,,,
670,103,C2,bejubeln,,,,1. verb,,,,
671,103,C2,bekanntgeben,,,,1. verb,,,,
672,103,C2,bekennen,,,,1. verb,,,,
673,103,C2,bekleiden,,,,1. verb,,,,
674,103,C2,bekräftigen,,,,1. verb,,,,
675,103,C2,bekunden,,,,1. verb,,,,
676,103,C2,beladen,,,,1. verb,,,,
677,103,C2,belassen,,,,1. verb,,,,
678,103,C2,belaufen,,,,1. verb,,,,
679,103,C2,belehren,,,,1. verb,,,,
680,103,C2,beleuchten,,,,1. verb,,,,
681,103,C2,belieben,,,,1. verb,,,,
682,103,C2,beliefern,,,,1. verb,,,,
683,103,C2,belästigen,,,,1. verb,,,,
684,103,C2,bemessen,,,,1. verb,,,,
685,103,C2,bemängeln,,,,1. verb,,,,
686,103,C2,benachrichtigen,,,,1. verb,,,,
687,103,C2,benachteiligen,,,,1. verb,,,,
688,103,C2,bereichern,,,,1. verb,,,,
689,103,C2,bereisen,,,,1. verb,,,,
690,103,C2,bereithalten,,,,1. verb,,,,
691,103,C2,berufen,,,,1. verb,,,,
692,103,C2,besagen,,,,1. verb,,,,
693,103,C2,beschaffen,,,,1. verb,,,,
694,103,C2,bescheiden,,,,1. verb,,,,
695,103,C2,bescheinigen,,,,1. verb,,,,
696,103,C2,bescheren,,,,1. verb,,,,
697,103,C2,beschimpfen,,,,1. verb,,,,
698,103,C2,beschlagnahmen,,,,1. verb,,,,
699,103,C2,beschreiten,,,,1. verb,,,,
700,103,C2,beschuldigen,,,,1. verb,,,,
701,103,C2,beschwören,,,,1. verb,,,,
702,103,C2,beseitigen,,,,1. verb,,,,
703,103,C2,besiegeln,,,,1. verb,,,,
704,103,C2,besinnen,,,,1. verb,,,,
705,103,C2,bessern,,,,1. verb,,,,
706,103,C2,bestaunen,,,,1. verb,,,,
707,103,C2,bestechen,,,,1. verb,,,,
708,103,C2,besteigen,,,,1. verb,,,,
709,103,C2,bestreiten,,,,1. verb,,,,
710,103,C2,bestärken,,,,1. verb,,,,
711,103,C2,bestücken,,,,1. verb,,,,
712,103,C2,beteuern,,,,1. verb,,,,
713,103,C2,betreten,,,,1. verb,,,,
714,103,C2,betätigen,,,,1. verb,,,,
715,103,C2,bewilligen,,,,1. verb,,,,
716,103,C2,bewirtschaften,,,,1. verb,,,,
717,103,C2,bewohnen,,,,1. verb,,,,
718,103,C2,beziffern,,,,1. verb,,,,
719,103,C2,bezweifeln,,,,1. verb,,,,
720,103,C2,bezwingen,,,,1. verb,,,,
721,103,C2,beissen,,,,1. verb,,,,
722,103,C2,bersten,,,,1. verb,,,,
723,103,C2,entkommen,,to escape,s'échapper,1. verb,,,,
724,103,C2,entführen,,"to abduct, to kidnap","enlever, kidnapper",1. verb,,,,
725,103,C2,entfachen,,,,1. verb,,,,
726,103,C2,entfallen,,,,1. verb,,,,
727,103,C2,entfalten,,,,1. verb,,,,
728,103,C2,entgegennehmen,,,,1. verb,,,,
729,103,C2,entgegensetzen,,,,1. verb,,,,
730,103,C2,entgegenwirken,,,,1. verb,,,,
731,103,C2,entgegnen,,,,1. verb,,,,
732,103,C2,entgehen,,,,1. verb,,,,
733,103,C2,enthüllen,,,,1. verb,,,,
734,103,C2,entlarven,,,,1. verb,,,,
735,103,C2,entnehmen,,,,1. verb,,,,
736,103,C2,entpuppen,,,,1. verb,,,,
737,103,C2,entrichten,,,,1. verb,,,,
738,103,C2,entschädigen,,,,1. verb,,,,
739,103,C2,entschärfen,,,,1. verb,,,,
740,103,C2,entsenden,,,,1. verb,,,,
741,103,C2,entsorgen,,,,1. verb,,,,
742,103,C2,entspringen,,,,1. verb,,,,
743,103,C2,entstammen,,,,1. verb,,,,
744,103,C2,entwenden,,,,1. verb,,,,
745,103,C2,entzünden,,,,1. verb,,,,
746,103,C2,erschweren,,to burden,accabler,1. verb,,,,
747,103,C2,erwärmen,,to warm,réchauffer,1. verb,,,,
748,103,C2,ermorden,,to murder,assassiner,1. verb,,,,
749,103,C2,erfreuen,,"to please, to enjoy (refl.)","plaire, jouir (réfl.)",1. verb,,,,
750,103,C2,erschaffen,,"to create, to produce, to make","créer, produire, fabriquer",1. verb,,,,
751,103,C2,erlöschen,,,,1. verb,,,,
752,103,C2,erschöpfen,,,,1. verb,,,,
753,103,C2,ersticken,,,,1. verb,,,,
754,103,C2,erwägen,,,,1. verb,,,,
755,103,C2,erachten,,,,1. verb,,,,
756,103,C2,erahnen,,,,1. verb,,,,
757,103,C2,erbauen,,,,1. verb,,,,
758,103,C2,erben,,,,1. verb,,,,
759,103,C2,erbeuten,,,,1. verb,,,,
760,103,C2,erbitten,,,,1. verb,,,,
761,103,C2,erblicken,,,,1. verb,,,,
762,103,C2,erbringen,,,,1. verb,,,,
763,103,C2,ereignen,,,,1. verb,,,,
764,103,C2,erfragen,,,,1. verb,,,,
765,103,C2,ergattern,,,,1. verb,,,,
766,103,C2,ergehen,,,,1. verb,,,,
767,103,C2,erhitzen,,,,1. verb,,,,
768,103,C2,erhoffen,,,,1. verb,,,,
769,103,C2,erklimmen,,,,1. verb,,,,
770,103,C2,erklingen,,,,1. verb,,,,
771,103,C2,erkranken,,,,1. verb,,,,
772,103,C2,erkämpfen,,,,1. verb,,,,
773,103,C2,erlangen,,,,1. verb,,,,
774,103,C2,erlernen,,,,1. verb,,,,
775,103,C2,erliegen,,,,1. verb,,,,
776,103,C2,erlösen,,,,1. verb,,,,
777,103,C2,ermuntern,,,,1. verb,,,,
778,103,C2,ermutigen,,,,1. verb,,,,
779,103,C2,ermässigen,,,,1. verb,,,,
780,103,C2,ernennen,,,,1. verb,,,,
781,103,C2,erneuern,,,,1. verb,,,,
782,103,C2,ernten,,,,1. verb,,,,
783,103,C2,erobern,,,,1. verb,,,,
784,103,C2,erproben,,,,1. verb,,,,
785,103,C2,errechnen,,,,1. verb,,,,
786,103,C2,erringen,,,,1. verb,,,,
787,103,C2,erschlagen,,,,1. verb,,,,
788,103,C2,erschließen,,,,1. verb,,,,
789,103,C2,erschüttern,,,,1. verb,,,,
790,103,C2,ersparen,,,,1. verb,,,,
791,103,C2,erspielen,,,,1. verb,,,,
792,103,C2,erstatten,,,,1. verb,,,,
793,103,C2,erstehen,,,,1. verb,,,,
794,103,C2,erstrahlen,,,,1. verb,,,,
795,103,C2,ertönen,,,,1. verb,,,,
796,103,C2,erwachen,,,,1. verb,,,,
797,103,C2,erwecken,,,,1. verb,,,,
798,103,C2,erwidern,,,,1. verb,,,,
799,103,C2,erwirtschaften,,,,1. verb,,,,
800,103,C2,erwischen,,,,1. verb,,,,
801,103,C2,erzwingen,,,,1. verb,,,,
802,103,C2,erörtern,,,,1. verb,,,,
803,103,C2,erkälten,,,,1. verb,,,,
804,103,C2,gedenken,,"to commemorate, to remember","commémorer, se souvenir",1. verb,,,,
805,103,C2,gebrauchen,,"to use, to make use of","utiliser, faire usage de",1. verb,,,,
806,103,C2,gebieten,,,,1. verb,,,,
807,103,C2,geleiten,,,,1. verb,,,,
808,103,C2,gedeihen,,,,1. verb,,,,
809,103,C2,gebrechen,,,,1. verb,,,,
810,103,C2,gebühren,,,,1. verb,,,,
811,103,C2,gedulden,,,,1. verb,,,,
812,103,C2,gefrieren,,,,1. verb,,,,
813,103,C2,gegenüberstehen,,,,1. verb,,,,
814,103,C2,geloben,,,,1. verb,,,,
815,103,C2,genehmigen,,,,1. verb,,,,
816,103,C2,generieren,,,,1. verb,,,,
817,103,C2,gereichen,,,,1. verb,,,,
818,103,C2,gesellen,,,,1. verb,,,,
819,103,C2,gestehen,,,,1. verb,,,,
820,103,C2,genesen,,,,1. verb,,,,
821,103,C2,verkleiden,,"to dress up, to disguise oneself (refl.)","se déguiser, se déguiser (réfl.)",1. verb,,,,
822,103,C2,vergrößern,,to enlarge,pour agrandir,1. verb,,,,
823,103,C2,verkleinern,,to reduce,réduire,1. verb,,,,
824,103,C2,verschmutzen,,to dirty,trop sale,1. verb,,,,
825,103,C2,verkürzen,,to shorten,raccourcir,1. verb,,,,
826,103,C2,verlangsamen,,to slow down,ralentir,1. verb,,,,
827,103,C2,vererben,,to inherit,hériter,1. verb,,,,
828,103,C2,verdammen,,"to condemn, to damn","condamner, damner",1. verb,,,,
829,103,C2,vernichten,,"to destroy, to ruin, to annihilate, to eradicate","détruire, ruiner, anéantir, éradiquer",1. verb,,,,
830,103,C2,versagen,,"to fail, to refuse, to deny","échouer, refuser, nier",1. verb,,,,
831,103,C2,verschwenden,,"to squander, to waste","gaspiller, gaspiller",1. verb,,,,
832,103,C2,verbergen,,to conceal sth: to hide something,cacher quelque chose : cacher quelque chose,1. verb,,,,
833,103,C2,versetzen,,"to put, to move, to deal, to give (a blow, hit), to transfer (when to do with work)","mettre, déplacer, distribuer, donner (un coup, un coup), transférer (quand il s'agit de travailler)",1. verb,,,,
834,103,C2,verzehren,,to consumme (with your mouth),consommer (avec la bouche),1. verb,,,,
835,103,C2,verfahren,,,,1. verb,,,,
836,103,C2,verrühren,,"to stir, to mix","remuer, mélanger",1. verb,,,,
837,103,C2,verderben,,,,1. verb,,,,
838,103,C2,vereinigen,,,,1. verb,,,,
839,103,C2,verführen,,,,1. verb,,,,
840,103,C2,vergewaltigen,,,,1. verb,,,,
841,103,C2,verkehren,,,,1. verb,,,,
842,103,C2,verklagen,,,,1. verb,,,,
843,103,C2,verschlafen,,,,1. verb,,,,
844,103,C2,verwechseln,,,,1. verb,,,,
845,103,C2,verweigern,,,,1. verb,,,,
846,103,C2,verweilen,,,,1. verb,,,,
847,103,C2,verabreichen,,,,1. verb,,,,
848,103,C2,verankern,,,,1. verb,,,,
849,103,C2,veranlassen,,,,1. verb,,,,
850,103,C2,veranschaulichen,,,,1. verb,,,,
851,103,C2,veranschlagen,,,,1. verb,,,,
852,103,C2,verantworten,,,,1. verb,,,,
853,103,C2,verbannen,,,,1. verb,,,,
854,103,C2,verbauen,,,,1. verb,,,,
855,103,C2,verbleiben,,to remain,rester,1. verb,,,,
856,103,C2,verbuchen,,,,1. verb,,,,
857,103,C2,verdecken,,,,1. verb,,,,
858,103,C2,verdeutlichen,,,,1. verb,,,,
859,103,C2,verdichten,,,,1. verb,,,,
860,103,C2,verdrängen,,,,1. verb,,,,
861,103,C2,verehren,,,,1. verb,,,,
862,103,C2,vereinen,,,,1. verb,,,,
863,103,C2,verfallen,,,,1. verb,,,,
864,103,C2,verfehlen,,,,1. verb,,,,
865,103,C2,verfeinern,,,,1. verb,,,,
866,103,C2,verhelfen,,,,1. verb,,,,
867,103,C2,verhängen,,,,1. verb,,,,
868,103,C2,verkraften,,,,1. verb,,,,
869,103,C2,verkörpern,,,,1. verb,,,,
870,103,C2,verlagern,,,,1. verb,,,,
871,103,C2,verlauten,,,,1. verb,,,,
872,103,C2,verlegen,,,,1. verb,,,,
873,103,C2,verleiten,,,,1. verb,,,,
874,103,C2,verlesen,,,,1. verb,,,,
875,103,C2,verlinken,,,,1. verb,,,,
876,103,C2,verlosen,,,,1. verb,,,,
877,103,C2,vermarkten,,,,1. verb,,,,
878,103,C2,vermelden,,,,1. verb,,,,
879,103,C2,vermerken,,,,1. verb,,,,
880,103,C2,vermindern,,,,1. verb,,,,
881,103,C2,vermischen,,,,1. verb,,,,
882,103,C2,vermögen,,,,1. verb,,,,
883,103,C2,vernachlässigen,,,,1. verb,,,,
884,103,C2,vernehmen,,,,1. verb,,,,
885,103,C2,verneinen,,,,1. verb,,,,
886,103,C2,vernetzen,,,,1. verb,,,,
887,103,C2,verordnen,,,,1. verb,,,,
888,103,C2,verrechnen,,,,1. verb,,,,
889,103,C2,verrichten,,,,1. verb,,,,
890,103,C2,versammeln,,,,1. verb,,,,
891,103,C2,verschaffen,,,,1. verb,,,,
892,103,C2,verschenken,,,,1. verb,,,,
893,103,C2,verschicken,,,,1. verb,,,,
894,103,C2,verschlagen,,,,1. verb,,,,
895,103,C2,verschleppen,,,,1. verb,,,,
896,103,C2,verschließen,,,,1. verb,,,,
897,103,C2,verschlingen,,,,1. verb,,,,
898,103,C2,verschlüsseln,,,,1. verb,,,,
899,103,C2,verschmelzen,,,,1. verb,,,,
900,103,C2,verschonen,,,,1. verb,,,,
901,103,C2,verschärfen,,,,1. verb,,,,
902,103,C2,verschönern,,,,1. verb,,,,
903,103,C2,versenden,,,,1. verb,,,,
904,103,C2,versenken,,,,1. verb,,,,
905,103,C2,versinken,,,,1. verb,,,,
906,103,C2,versperren,,,,1. verb,,,,
907,103,C2,verspielen,,,,1. verb,,,,
908,103,C2,verspüren,,,,1. verb,,,,
909,103,C2,verstauen,,,,1. verb,,,,
910,103,C2,versteigern,,,,1. verb,,,,
911,103,C2,versterben,,,,1. verb,,,,
912,103,C2,verstossen,,,,1. verb,,,,
913,103,C2,verstreichen,,,,1. verb,,,,
914,103,C2,verständigen,,,,1. verb,,,,
915,103,C2,versäumen,,,,1. verb,,,,
916,103,C2,vertagen,,,,1. verb,,,,
917,103,C2,vertragen,,,,1. verb,,,,
918,103,C2,verunsichern,,,,1. verb,,,,
919,103,C2,vervollständigen,,,,1. verb,,,,
920,103,C2,verwehren,,,,1. verb,,,,
921,103,C2,verwerfen,,,,1. verb,,,,
922,103,C2,verwerten,,,,1. verb,,,,
923,103,C2,verwickeln,,,,1. verb,,,,
924,103,C2,verwundern,,,,1. verb,,,,
925,103,C2,verwöhnen,,,,1. verb,,,,
926,103,C2,verzaubern,,,,1. verb,,,,
927,103,C2,verzeichnen,,,,1. verb,,,,
928,103,C2,verzieren,,,,1. verb,,,,
929,103,C2,verzögern,,,,1. verb,,,,
930,103,C2,verüben,,,,1. verb,,,,
931,103,C2,verzweifeln,,to despair,désespérer,1. verb,,,,
932,103,C2,vergiften,,to poison,empoisonner,1. verb,,,,
933,103,C2,zerbrechen,,,,1. verb,,,,
934,103,C2,zerlegen,,,,1. verb,,,,
935,103,C2,zertifizieren,,,,1. verb,,,,
936,103,C2,durchbrechen,,,,1. verb,,,,
937,103,C2,durchdringen,,,,1. verb,,,,
938,103,C2,durchgehen,,,,1. verb,,,,
939,103,C2,durchhalten,,,,1. verb,,,,
940,103,C2,durchlaufen,,,,1. verb,,,,
941,103,C2,durchlesen,,,,1. verb,,,,
942,103,C2,durchsuchen,,,,1. verb,,,,
943,103,C2,durchziehen,,,,1. verb,,,,
944,103,C2,überfallen,,"to attack, to raid (a bank), to invade (a country)","attaquer, piller (une banque), envahir (un pays)",1. verb,,,,
945,103,C2,überarbeiten,,,,1. verb,,,,
946,103,C2,überbieten,,,,1. verb,,,,
947,103,C2,überbringen,,,,1. verb,,,,
948,103,C2,überbrücken,,,,1. verb,,,,
949,103,C2,überdenken,,,,1. verb,,,,
950,103,C2,übereinstimmen,,,,1. verb,,,,
951,103,C2,überfordern,,,,1. verb,,,,
952,103,C2,überführen,,,,1. verb,,,,
953,103,C2,übergehen,,,,1. verb,,,,
954,103,C2,überragen,,,,1. verb,,,,
955,103,C2,überreden,,,,1. verb,,,,
956,103,C2,überschlagen,,,,1. verb,,,,
957,103,C2,überschreiben,,,,1. verb,,,,
958,103,C2,übersehen,,,,1. verb,,,,
959,103,C2,überspringen,,,,1. verb,,,,
960,103,C2,überstehen,,,,1. verb,,,,
961,103,C2,übersteigen,,,,1. verb,,,,
962,103,C2,übertreffen,,,,1. verb,,,,
963,103,C2,überwiegen,,,,1. verb,,,,
964,103,C2,überwältigen,,,,1. verb,,,,
965,103,C2,überziehen,,,,1. verb,,,,
966,103,C2,umbenennen,,,,1. verb,,,,
967,103,C2,umgestalten,,,,1. verb,,,,
968,103,C2,umleiten,,,,1. verb,,,,
969,103,C2,umrahmen,,,,1. verb,,,,
970,103,C2,umschreiben,,,,1. verb,,,,
971,103,C2,umsehen,,,,1. verb,,,,
972,103,C2,umwandeln,,,,1. verb,,,,
973,103,C2,unterbinden,,,,1. verb,,,,
974,103,C2,unterbreiten,,,,1. verb,,,,
975,103,C2,unterbringen,,,,1. verb,,,,
976,103,C2,unterdrücken,,,,1. verb,,,,
977,103,C2,untergehen,,,,1. verb,,,,
978,103,C2,unterlassen,,,,1. verb,,,,
979,103,C2,unterlaufen,,,,1. verb,,,,
980,103,C2,untermauern,,,,1. verb,,,,
981,103,C2,untersagen,,,,1. verb,,,,
982,103,C2,unterschätzen,,,,1. verb,,,,
983,103,C2,unterstellen,,,,1. verb,,,,
984,103,C2,unterteilen,,,,1. verb,,,,
985,103,C2,unterwerfen,,,,1. verb,,,,
986,103,C2,unterziehen,,,,1. verb,,,,
987,103,C2,abhauen,,"to cut off (cutting weapon), to do a runner, to piss off","couper (arme tranchante), faire fuir, énerver",1. verb,,,,
988,103,C2,abkommen,,,,1. verb,,,,
989,103,C2,abtrennen,,to detach,se détacher,1. verb,,,,
990,103,C2,abbringen,,to dissuade,dissuader,1. verb,,,,
991,103,C2,anlügen,,"to lie to, to tell someone a lie","mentir à quelqu'un, dire un mensonge à quelqu'un",1. verb,,,,
992,103,C2,anscheinen,,,,1. verb,,,,
993,103,C2,anhängen,,to attach,attacher,1. verb,,,,
994,103,C2,einsperren,,"to lock up, to imprison","enfermer, emprisonner",1. verb,,,,
995,103,C2,einatmen,,,,1. verb,,,,
996,103,C2,einbilden,,,,1. verb,,,,
997,103,C2,herschieben,,,,1. verb,,,,
998,103,C2,hervorragen,,,,1. verb,,,,
999,103,C2,hervorwagen,,,,1. verb,,,,
1000,103,C2,herausbekommen,,,,1. verb,,,,
1001,103,C2,nachsehen,,"to chech back, to peek, to look something up","vérifier, jeter un coup d'œil, chercher quelque chose",1. verb,,,,
1002,103,C2,vorbeireiten,,,,1. verb,,,,
1003,103,C2,vorschlafen,,,,1. verb,,,,
1004,103,C2,zurückbringen,,"to return something, to restore","rendre quelque chose, restaurer",1. verb,,,,
1005,103,C2,beglücken,,to make happy,rendre heureux,1. verb,,,,
1006,103,C2,befreunden,,to befriend (refl.),se lier d'amitié (réfl.),1. verb,,,,
1007,103,C2,beglückwünschen,,"to congratulate, to felicitate","féliciter, féliciter",1. verb,,,,
1008,103,C2,bescheissen,,"to deceive someone, to screw someone","tromper quelqu'un, arnaquer quelqu'un",1. verb,,,,
1009,103,C2,beben,,,,1. verb,,,,
1010,103,C2,bellen,,,,1. verb,,,,
1011,103,C2,befehligen,,to command,commander,1. verb,,,,
1012,103,C2,bewachen,,to guard,garder,1. verb,,,,
1013,103,C2,entbehren,,,,1. verb,,,,
1014,103,C2,entgegenen,,,,1. verb,,,,
1015,103,C2,ersehen,,,,1. verb,,,,
1016,103,C2,ersuchen,,,,1. verb,,,,
1017,103,C2,genieren,,,,1. verb,,,,
1018,103,C2,verbrechen,,to commit (a crime),commettre (un crime),1. verb,,,,
1019,103,C2,verarschen,,"to trick, to fool","tromper, duper",1. verb,,,,
1020,103,C2,verfluchen,,to curse,maudire,1. verb,,,,
1021,103,C2,versauen,,"to mess something up, to butcher something, to cock something up","gâcher quelque chose, massacrer quelque chose, faire foirer quelque chose",1. verb,,,,
1022,103,C2,vermasseln,,"to screw up, to botch, to goof, to muddle","faire une erreur, bâcler, faire une gaffe, embrouiller",1. verb,,,,
1023,103,C2,verprügeln,,"to beat someone up, to wallop","frapper quelqu'un, lui donner une claque",1. verb,,,,
1024,103,C2,verscheiden,,,,1. verb,,,,
1025,103,C2,verschilfen,,,,1. verb,,,,
1026,103,C2,verschneien,,,,1. verb,,,,
1027,103,C2,verwehen,,,,1. verb,,,,
1028,103,C2,verachten,,,,1. verb,,,,
1029,103,C2,verkommen,,,,1. verb,,,,
1030,103,C2,vermehren,,,,1. verb,,,,
1031,103,C2,verheimlichen,,to conceal,dissimuler,1. verb,,,,
1032,103,C2,zerfahren,,,,1. verb,,,,
1033,103,C2,durchmachen,,"to go through, to endure, to undergo, to finish, to stay up all night","traverser, endurer, subir, finir, rester éveillé toute la nuit",1. verb,,,,
1034,103,C2,durchmessen,,,,1. verb,,,,
1035,103,C2,übereinkommen,,,,1. verb,,,,
1036,103,C2,überfragen,,,,1. verb,,,,
1037,103,C2,überliegen,,,,1. verb,,,,
1038,103,C2,überschreien,,,,1. verb,,,,
1039,103,C2,umrühen,,to stir,remuer,1. verb,,,,
1040,103,C2,veräußern,,,,1. verb,,,,
1041,103,C2,zusammenstoßen,,,,1. verb,,,,
1042,103,C2,erschießen,,to shoot dead,tuer par balle,1. verb,,,,
1043,103,C2,anschießen,,"to shoot along, to shoot someone","tirer sur quelqu'un, tirer sur quelqu'un",1. verb,,,,
1044,2,A1,anziehen,,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",2. prefix,an,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
1045,2,A1,anrufen,,"to call by telephone, to call on (someone)",appeler par téléphone,2. prefix,an,rufen,"to call, to shout, to summon","appeler, crier, convoquer"
1046,2,A1,anfangen,,to begin something new,commencer quelque chose de nouveau,2. prefix,an,fangen,to catch,attraper
1047,2,A1,aufstehen,,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",2. prefix,auf,stehen,"to stand, to be, to appear","être debout, apparaître"
1048,2,A1,aufhören,,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",2. prefix,auf,hören,"to hear, to listen to","entendre, écouter"
1049,2,A1,bestimmen,,to determine,déterminer,2. prefix,be,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder"
1050,2,A1,bezahlen,,"to pay, to pay someone","payer, payer quelqu'un",2. prefix,be,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier"
1051,2,A1,benutzen,,to use (something),utiliser (quelque chose),2. prefix,be,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de"
1052,2,A1,erzählen,,"to tell, to narrate","raconter, narrer",2. prefix,er,zählen,to count,compter
1053,2,A1,erklären,,"to explain, to declare, to assert","expliquer, déclarer, affirmer",2. prefix,er,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir"
1054,2,A1,verstehen,,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",2. prefix,ver,stehen,"to stand, to be, to appear","être debout, apparaître"
1055,2,A1,versuchen,,"to try, to attempt","essayer, tenter",2. prefix,ver,suchen,"to seek, to search","chercher, rechercher"
1056,2,A1,verkaufen,,to sell,vendre,2. prefix,ver,kaufen,to buy,acheter
1057,2,A1,übersetzen,,to translate,traduire,2. prefix,über,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
1058,5,A2,ansehen,,"to look at something, to watch something","regarder quelque chose, observer quelque chose",2. prefix,an,sehen,"to see, to realise","voir, se rendre compte"
1059,5,A2,einladen,,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",2. prefix,ein,laden,"to load, to charge, to invite","charger, inviter"
1060,5,A2,besuchen,,to visit,visiter,2. prefix,be,suchen,"to seek, to search","chercher, rechercher"
1061,5,A2,ankommen,,"to arrive, to depend on something","arriver, dépendre de quelque chose",2. prefix,an,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
1062,5,A2,anmelden,,"to register, to sign up",s'inscrire,2. prefix,an,melden,"to report, to register","signaler, enregistrer"
1063,5,A2,annehmen,,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir",2. prefix,an,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
1064,5,B1,aufmachen,,"to open (coll.), to head or move off (refl.), to undo something","ouvrir (familier), se diriger ou s'éloigner (réfl.), défaire quelque chose",2. prefix,auf,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
1065,5,B2,einschlafen,,to fall asleep,s'endormir,2. prefix,ein,schlafen,to sleep,dormir
1066,5,A2,einkaufen,,to shop,"faire les courses, faire du shopping",2. prefix,ein,kaufen,to buy,acheter
1067,5,A2,vorstellen,,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",2. prefix,vor,stellen,"to position, to put, to catch","positionner, mettre"
1068,5,A2,besitzen,,"to own, to possess, to have","posséder, avoir",2. prefix,be,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester"
1069,5,A2,behalten,,to keep,garder,2. prefix,be,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
1070,5,A2,befinden,,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",2. prefix,be,finden,to find,trouver
1071,5,A2,empfehlen,,"to recommend, to suggest","recommander, suggérer",2. prefix,emp,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant"
1072,5,A2,entscheiden,,to decide,décider,2. prefix,ent,scheiden,"to separate, to divorce, to part","se séparer, divorcer"
1073,5,A2,enthalten,,"to contain, to include","contenir, inclure",2. prefix,ent,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
1074,5,A2,erkennen,,"to recognise, to realise","reconnaître, réaliser",2. prefix,er,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec"
