Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
149,11,"Irgendwann muss man eine _____ treffen, auch wenn keine Option perfekt ist.",Wahl,eine Wahl treffen,"Irgendwann muss man eine Wahl treffen, auch wenn keine Option perfekt ist.","At some point, you have to make a choice, even if no option is perfect.","À un moment donné, il faut faire un choix, même si aucune option n’est parfaite.",,,,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,,,,,,
150,11,Sie hat eine klare _____ getroffen und sich für die Stelle im Ausland entschieden.,Wahl,eine Wahl treffen,Sie hat eine klare Wahl getroffen und sich für die Stelle im Ausland entschieden.,She made a clear choice and decided on the position abroad.,Elle a fait un choix clair et a choisi le poste à l’étranger.,,,,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,,,,,,
151,11,"Der Chef hat mir die _____ gegeben, früher nach Hause zu gehen.",Erlaubnis,die Erlaubnis geben,"Der Chef hat mir die Erlaubnis gegeben, früher nach Hause zu gehen.",The boss gave me permission to go home earlier.,Le chef m’a donné l’autorisation de rentrer plus tôt.,,,,,die Erlaubnis geben = to give permission,die Erlaubnis geben = donner la permission,,,,,,,
152,11,"Die Eltern haben ihrem Sohn die _____ gegeben, ins Ausland zu reisen.",Erlaubnis,die Erlaubnis geben,"Die Eltern haben ihrem Sohn die Erlaubnis gegeben, ins Ausland zu reisen.",The parents gave their son permission to travel abroad.,Les parents ont donné à leur fils l’autorisation de voyager à l’étranger.,,,,,die Erlaubnis geben = to give permission,die Erlaubnis geben = donner la permission,,,,,,,
153,11,Sein unüberlegtes Verhalten hat die ganze Abteilung _____ gebracht.,in Schwierigkeiten,in Schwierigkeiten bringen,Sein unüberlegtes Verhalten hat die ganze Abteilung in Schwierigkeiten gebracht.,His careless behavior brought the entire department into trouble.,Son comportement irréfléchi a mis tout le service en difficulté.,,,,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,,,,,,
154,11,Mit solchen Aussagen kannst du uns wirklich _____ bringen.,in Schwierigkeiten,in Schwierigkeiten bringen,Mit solchen Aussagen kannst du uns wirklich in Schwierigkeiten bringen.,"With statements like that, you can really get us into trouble.","Avec de telles déclarations, tu peux vraiment nous mettre en difficulté.",,,,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,,,,,,
155,11,"Jeder Einzelne kann einen _____ leisten, um die Umwelt zu schützen.",Beitrag,einen Beitrag leisten,"Jeder Einzelne kann einen Beitrag leisten, um die Umwelt zu schützen.",Every individual can make a contribution to protecting the environment.,Chacun peut apporter sa contribution pour protéger l’environnement.,,,,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,,,,,,
156,11,Durch seine Forschung hat er einen wichtigen _____ zur Wissenschaft geleistet.,Beitrag,einen Beitrag leisten,Durch seine Forschung hat er einen wichtigen Beitrag zur Wissenschaft geleistet.,"Through his research, he made an important contribution to science.","Grâce à ses recherches, il a apporté une contribution importante à la science.",,,,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,,,,,,
157,11,"Ich will dieses Projekt unbedingt _____ bringen, bevor ich in den Urlaub fahre.",zu Ende,zu Ende bringen,"Ich will dieses Projekt unbedingt zu Ende bringen, bevor ich in den Urlaub fahre.",I absolutely want to finish this project before I go on vacation.,Je veux absolument terminer ce projet avant de partir en vacances.,,,,,"etw.<sup>Acc</sup> zu Ende bringen = to finish, to complete","etw.<sup>Acc</sup> zu Ende bringen = finir, achever",,,,,,,
158,11,Sie hat das Buch trotz der schwierigen Sprache _____ gebracht.,zu Ende,zu Ende bringen,Sie hat das Buch trotz der schwierigen Sprache zu Ende gebracht.,She finished the book despite the difficult language.,Elle a terminé le livre malgré la langue difficile.,,,,,"etw.<sup>Acc</sup> zu Ende bringen = to finish, to complete","etw.<sup>Acc</sup> zu Ende bringen = finir, achever",,,,,,,
159,11,Er führt oft _____ mit seinen Kollegen über neue Ideen.,Gespräche/Diskussionen,ein Gespräch führen,Er führt oft Gespräche mit seinen Kollegen über neue Ideen.,He often has conversations with his colleagues about new ideas.,Il a souvent des conversations avec ses collègues sur de nouvelles idées.,,,,,"ein Gespräch führen = to have a conversation, to talk, to discuss","ein Gespräch führen = parler, discuter, avoir une conversation",,,,,,,
160,11,Wir haben gestern ein langes _____ geführt.,Gespräch,ein Gespräch führen,Wir haben gestern ein langes Gespräch geführt.,We had a long conversation yesterday.,Nous avons eu une longue conversation hier.,,,,,"ein Gespräch führen = to have a conversation, to talk, to discuss","ein Gespräch führen = parler, discuter, avoir une conversation",,,,,,,
161,12,"Wenn wir langfristig erfolgreich sein wollen, müssen wir jetzt kluge Maßnahmen _____.",treffen/ergreifen,"Maßnahmen treffen, Maßnahmen ergreifen","Wenn wir langfristig erfolgreich sein wollen, müssen wir jetzt kluge Maßnahmen treffen.","If we want to be successful in the long run, we need to take smart measures now.","Si nous voulons réussir à long terme, nous devons maintenant prendre des mesures intelligentes.",,,,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,,,,,,
162,12,"Um die Umwelt zu schützen, hat die Stadt strenge Maßnahmen _____.",getroffen/ergriffen,"Maßnahmen treffen, Maßnahmen ergreifen","Um die Umwelt zu schützen, hat die Stadt strenge Maßnahmen getroffen.","To protect the environment, the city has taken strict measures.","Pour protéger l’environnement, la ville a pris des mesures strictes.",,,,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,,,,,,
163,12,"Am Anfang _____ sie Zweifel, ob sie den Job schaffen würde.",hatte,"Zweifel haben, Zweifel hegen","Am Anfang hatte sie Zweifel, ob sie den Job schaffen würde.","At first, she had doubts about whether she could handle the job.","Au début, elle avait des doutes quant à sa capacité à réussir dans ce travail.",,,,,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,,,,,,
164,12,"Wenn du Zweifel _____, solltest du noch einmal darüber nachdenken.",hast,"Zweifel haben, Zweifel hegen","Wenn du Zweifel hast, solltest du noch einmal darüber nachdenken.","If you have doubts, you should think about it again.","Si tu as des doutes, tu devrais y réfléchir à nouveau.",,,,,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,,,,,,
165,12,"Wir müssen uns ernsthaft Gedanken _____, wie wir die Situation verbessern können.",machen,sich Gedanken machen,"Wir müssen uns ernsthaft Gedanken machen, wie wir die Situation verbessern können.",We seriously need to think about how we can improve the situation.,Nous devons sérieusement réfléchir à la manière d’améliorer la situation.,,,,,"sich<sup>Dat</sup> Gedanken machen = to think about, to be concerned about","sich<sup>Dat</sup> Gedanken machen = réfléchir, se faire du souci, être inquiet",,,,,,,
166,12,"Sie _____ sich große Gedanken, weil sie seit Tagen keine Rückmeldung bekommen hatte.",machte,sich Gedanken machen,"Sie machte sich große Gedanken, weil sie seit Tagen keine Rückmeldung bekommen hatte.",She was very concerned because she hadn’t received any feedback for days.,Elle était très inquiète car elle n'avait pas eu de nouvelles depuis des jours.,,,,,"sich<sup>Dat</sup> Gedanken machen = to think about, to be concerned about","sich<sup>Dat</sup> Gedanken machen = réfléchir, se faire du souci, être inquiet",,,,,,,
167,12,Medien können einen erheblichen Einfluss auf die öffentliche Meinung _____.,haben,einen Einfluss haben,Medien können einen erheblichen Einfluss auf die öffentliche Meinung haben.,Media can have a significant influence on public opinion.,Les médias peuvent avoir une influence considérable sur l’opinion publique.,,,,,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,,,,,,
168,12,"Seine Familie _____ einen großen Einfluss darauf, welchen Beruf er gewählt hat.",hatte,einen Einfluss haben,"Seine Familie hatte einen großen Einfluss darauf, welchen Beruf er gewählt hat.",His family had a strong influence on the career he chose.,Sa famille a eu une grande influence sur le métier qu’il a choisi.,,,,,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,,,,,,
169,12,"Wenn du eine Wahl _____ sollst, solltest du dir vorher alle Informationen genau anschauen.",treffen,eine Wahl treffen,"Wenn du eine Wahl treffen sollst, solltest du dir vorher alle Informationen genau anschauen.","If you have to make a choice, you should carefully look at all the information beforehand.","Si tu dois faire un choix, tu devrais examiner toutes les informations attentivement.",,,,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,,,,,,
170,12,Der Ausschuss hat nach langer Diskussion eine einstimmige Wahl _____.,getroffen,eine Wahl treffen,Der Ausschuss hat nach langer Diskussion eine einstimmige Wahl getroffen.,"After a long discussion, the committee made a unanimous choice.","Après une longue discussion, le comité a fait un choix unanime.",,,,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,,,,,,
171,12,"Uns wurde die Erlaubnis _____, das Projekt selbstständig weiterzuführen.",gegeben,die Erlaubnis geben,"Uns wurde die Erlaubnis gegeben, das Projekt selbstständig weiterzuführen.",We were given permission to continue the project independently.,On nous a donné l’autorisation de poursuivre le projet de manière autonome.,,,,,die Erlaubnis geben = to give permission,die Erlaubnis geben = donner la permission,,,,,,,
172,12,"Die Behörde hat dem Unternehmen die Erlaubnis _____, neue Mitarbeiter einzustellen.",gegeben,die Erlaubnis geben,"Die Behörde hat dem Unternehmen die Erlaubnis gegeben, neue Mitarbeiter einzustellen.",The authority gave the company permission to hire new employees.,L’autorité a donné à l’entreprise l’autorisation d’embaucher de nouveaux employés.,,,,,die Erlaubnis geben = to give permission,die Erlaubnis geben = donner la permission,,,,,,,
173,12,Der Artikel _____ den Politiker in große Schwierigkeiten.,brachte,in Schwierigkeiten bringen,Der Artikel brachte den Politiker in große Schwierigkeiten.,The article put the politician in serious trouble.,L’article a mis le politicien en grande difficulté.,,,,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,,,,,,
174,12,"Wenn du vertrauliche Informationen weitergibst, _____ du deinen Kollegen in Schwierigkeiten.",bringst,in Schwierigkeiten bringen,"Wenn du vertrauliche Informationen weitergibst, bringst du deinen Kollegen in Schwierigkeiten.","If you share confidential information, you put your colleague in trouble.","Si tu diffuses des informations confidentielles, tu mets ton collègue en difficulté.",,,,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,,,,,,
175,12,"Um das Projekt erfolgreich abzuschließen, muss jedes Teammitglied seinen Beitrag _____.",leisten,einen Beitrag leisten,"Um das Projekt erfolgreich abzuschließen, muss jedes Teammitglied seinen Beitrag leisten.","To complete the project successfully, each team member must do their part.","Pour terminer le projet avec succès, chaque membre de l’équipe doit apporter sa contribution.",,,,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,,,,,,
176,12,"Auch kleine Gesten können einen großen Beitrag _____, wenn viele Menschen mitmachen.",leisten,einen Beitrag leisten,"Auch kleine Gesten können einen großen Beitrag leisten, wenn viele Menschen mitmachen.",Even small gestures can make a big contribution when many people take part.,Même les petits gestes peuvent apporter une grande contribution si beaucoup de gens participent.,,,,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,,,,,,
177,12,"Wenn wir zusammenarbeiten, können wir die Aufgabe schneller zu Ende _____.",bringen,zu Ende bringen,"Wenn wir zusammenarbeiten, können wir die Aufgabe schneller zu Ende bringen.","If we work together, we can finish the task faster.","Si on travaille ensemble, on peut terminer la tâche plus vite.",,,,,"etw.<sup>Acc</sup> zu Ende bringen = to finish, to complete","etw.<sup>Acc</sup> zu Ende bringen = finir, achever",,,,,,,
178,12,"Er hat sein Studium zu Ende _____, obwohl er nebenbei noch gearbeitet hat.",gebracht,zu Ende bringen,"Er hat sein Studium zu Ende gebracht, obwohl er nebenbei noch gearbeitet hat.",He finished his studies even though he worked on the side.,Il a terminé ses études même s’il travaillait à côté.,,,,,"etw.<sup>Acc</sup> zu Ende bringen = to finish, to complete","etw.<sup>Acc</sup> zu Ende bringen = finir, achever",,,,,,,
179,12,"Es ist wichtig, offene Gespräche in der Familie zu _____.",führen,ein Gespräch führen,"Es ist wichtig, offene Gespräche in der Familie zu führen.",It’s important to have open conversations within the family.,Il est important d’avoir des conversations ouvertes dans la famille.,,,,,"ein Gespräch führen = to have a conversation, to talk, to discuss","ein Gespräch führen = parler, discuter, avoir une conversation",,,,,,,
180,12,Sie _____ ein ernstes Gespräch mit ihrem Chef.,führte,ein Gespräch führen,Sie führte ein ernstes Gespräch mit ihrem Chef.,She had a serious conversation with her boss.,Elle a eu une conversation sérieuse avec son patron.,,,,,"ein Gespräch führen = to have a conversation, to talk, to discuss","ein Gespräch führen = parler, discuter, avoir une conversation",,,,,,,
181,13,_____ besuchen,einen Kurs,einen Kurs besuchen,einen Kurs besuchen,to attend a course,"assister à un cours, suivre un course",Masculine,Masculin,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,,B1B2,einen Kurs besuchen,no (normal verb-object),einen Kurs belegen,
182,13,von jdm. _____ nehmen,Abschied,Abschied nehmen,von jdm. Abschied nehmen,to say goodbye,dire au revoir,Masculine,Masculin,von jdm. Abschied nehmen,von + Dat.,von jdm. Abschied nehmen = to say goodbye,von jdm. Abschied nehmen = dire au revoir,,,B2,B1B2,Abschied nehmen,yes,sich verabschieden
183,13,_____ stehen,zur Verfügung,zur Verfügung stehen,zur Verfügung stehen,to be available,être disponible,Feminine,Féminin,,für + Acc.,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,,,B2,zur Verfügung stehen,no (fixed expression),verfügbar sein
184,13,jdm. etw.<sup>Acc</sup> _____ stellen,zur Verfügung,zur Verfügung stellen,jdm. etw.<sup>Acc</sup> zur Verfügung stellen,"to make something available, to provide something",fournir,Feminine,Féminin,jdm. etw.<sup>Acc</sup> zur Verfügung stellen,,"jdm. etw.<sup>Acc</sup> zur Verfügung stellen = to make something available, to provide something",jdm. etw.<sup>Acc</sup> zur Verfügung stellen = fournir,,,C1,B2C1,zur Verfügung stellen,yes,bereitstellen
185,13,_____ kommen,in Frage,in Frage kommen,in Frage kommen,"to be a possibility, to come into question","être éligible, être pris en considération",Feminine,Féminin,,für + Acc.,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,,,B2,in Frage kommen,fixed expression,"möglich sein, infrage sein"
186,13,etw.<sup>Acc</sup> _____ stellen,in Frage,in Frage stellen,etw.<sup>Acc</sup> in Frage stellen,"to question, to challenge, to come into question","remettre en question, mettre en cause, contester",Feminine,Féminin,etw.<sup>Acc</sup> in Frage stellen,,"etw.<sup>Acc</sup> in Frage stellen = to question, to challenge, to come into question","etw.<sup>Acc</sup> in Frage stellen = remettre en question, mettre en cause, contester",,,D1,B2C1,in Frage stellen,yes,bezweifeln
187,13,_____ treffen,eine Entscheidung,eine Entscheidung treffen,eine Entscheidung treffen,"to decide, to make a decision","décider, prendre une décision",Feminine,Féminin,,,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,A2,B2,eine Entscheidung treffen,yes,entscheiden
188,13,für etw.<sup>Acc</sup> _____ haben,Verständnis,Verständnis haben,für etw.<sup>Acc</sup> Verständnis haben,be understanding,faire preuve de compréhension,Neuter,Neutre,für etw.<sup>Acc</sup> Verständnis haben,für + Acc.,für etw.<sup>Acc</sup> Verständnis haben = be understanding,für etw.<sup>Acc</sup> Verständnis haben = faire preuve de compréhension,haben,A1,A1,B1B2,Verständnis haben,borderline NVV,verstehen
189,13,_____ ablegen,eine Prüfung,eine Prüfung ablegen,eine Prüfung ablegen,to take an exam,passer un examen,Feminine,Féminin,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,,,B2,eine Prüfung ablegen,yes,"geprüft werden, eine Prüfung machen"
190,13,über etw.<sup>Acc</sup> _____ halten,eine Rede,eine Rede halten,über etw.<sup>Acc</sup> eine Rede halten,to give a speech,"faire un discours, prononcer un discours",Feminine,Féminin,über etw.<sup>Acc</sup> eine Rede halten,über + Acc.,über etw.<sup>Acc</sup> eine Rede halten = to give a speech,"über etw.<sup>Acc</sup> eine Rede halten = faire un discours, prononcer un discours",,,A1,B2,eine Rede halten,yes,sprechen
191,14,einen Kurs _____,besuchen,einen Kurs besuchen,einen Kurs besuchen,to attend a course,"assister à un cours, suivre un course",,,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,,,,,,
192,14,von jdm. Abschied _____,nehmen,Abschied nehmen,von jdm. Abschied nehmen,to say goodbye,dire au revoir,,,,,von jdm. Abschied nehmen = to say goodbye,von jdm. Abschied nehmen = dire au revoir,,,,,,,
193,14,zur Verfügung _____,stehen,zur Verfügung stehen,zur Verfügung stehen,to be available,être disponible,,,,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,,,,,,
194,14,jdm. etw.<sup>Acc</sup> zur Verfügung _____,stellen,zur Verfügung stellen,jdm. etw.<sup>Acc</sup> zur Verfügung stellen,"to make something available, to provide something",fournir,,,,,"jdm. etw.<sup>Acc</sup> zur Verfügung stellen = to make something available, to provide something",jdm. etw.<sup>Acc</sup> zur Verfügung stellen = fournir,,,,,,,
195,14,in Frage _____,kommen,in Frage kommen,in Frage kommen,"to be a possibility, to come into question","être éligible, être pris en considération",,,,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,,,,,,
196,14,etw.<sup>Acc</sup> in Frage _____,stellen,in Frage stellen,etw.<sup>Acc</sup> in Frage stellen,"to question, to challenge, to come into question","remettre en question, mettre en cause, contester",,,,,"etw.<sup>Acc</sup> in Frage stellen = to question, to challenge, to come into question","etw.<sup>Acc</sup> in Frage stellen = remettre en question, mettre en cause, contester",,,,,,,
197,14,eine Entscheidung _____,treffen,eine Entscheidung treffen,eine Entscheidung treffen,"to decide, to make a decision","décider, prendre une décision",,,,,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,,,,,
198,14,für etw.<sup>Acc</sup> Verständnis _____,haben,Verständnis haben,für etw.<sup>Acc</sup> Verständnis haben,be understanding,faire preuve de compréhension,,,,,für etw.<sup>Acc</sup> Verständnis haben = be understanding,für etw.<sup>Acc</sup> Verständnis haben = faire preuve de compréhension,,,,,,,
199,14,eine Prüfung _____,ablegen,eine Prüfung ablegen,eine Prüfung ablegen,to take an exam,passer un examen,,,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,,,,,,
200,14,über etw.<sup>Acc</sup> eine Rede _____,halten,eine Rede halten,über etw.<sup>Acc</sup> eine Rede halten,to give a speech,"faire un discours, prononcer un discours",,,,,über etw.<sup>Acc</sup> eine Rede halten = to give a speech,"über etw.<sup>Acc</sup> eine Rede halten = faire un discours, prononcer un discours",,,,,,,
201,15,"Ich habe beschlossen, einen _____ zu besuchen, um meine Präsentationsfähigkeiten zu verbessern.",Kurs,einen Kurs besuchen,"Ich habe beschlossen, einen Kurs zu besuchen, um meine Präsentationsfähigkeiten zu verbessern.",I decided to attend a course to improve my presentation skills.,J’ai décidé de suivre un cours pour améliorer mes compétences en présentation.,,,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,,,,,,
202,15,"Viele Mitarbeiter besuchen regelmäßig _____, damit sie beruflich auf dem neuesten Stand bleiben.",Kurse,einen Kurs besuchen,"Viele Mitarbeiter besuchen regelmäßig Kurse, damit sie beruflich auf dem neuesten Stand bleiben.",Many employees regularly attend courses so they can stay up to date professionally.,Beaucoup d’employés suivent régulièrement des cours pour rester à jour professionnellement.,,,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,,,,,,
203,15,Am Bahnhof nahm sie schweren Herzens _____ von ihrer Familie.,Abschied,Abschied nehmen,Am Bahnhof nahm sie schweren Herzens Abschied von ihrer Familie.,"At the train station, she sadly said goodbye to her family.","À la gare, elle a pris congé de sa famille le cœur lourd.",,,,,von jdm. Abschied nehmen = to say goodbye,von jdm. Abschied nehmen = dire au revoir,,,,,,,
204,15,Nach zehn Jahren im Unternehmen nahm er offiziell _____ von seinen Kollegen.,Abschied,Abschied nehmen,Nach zehn Jahren im Unternehmen nahm er offiziell Abschied von seinen Kollegen.,"After ten years at the company, he officially said farewell to his colleagues.","Après dix ans dans l’entreprise, il a officiellement fait ses adieux à ses collègues.",,,,,von jdm. Abschied nehmen = to say goodbye,von jdm. Abschied nehmen = dire au revoir,,,,,,,
205,15,"Wenn Sie Fragen haben, stehe ich Ihnen jederzeit _____.",zur Verfügung,zur Verfügung stehen,"Wenn Sie Fragen haben, stehe ich Ihnen jederzeit zur Verfügung.","If you have questions, I am at your disposal at any time.","Si vous avez des questions, je suis à votre disposition à tout moment.",,,,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,,,,,,
206,15,Leider stehen uns für dieses Projekt nur begrenzte Mittel _____.,zur Verfügung,zur Verfügung stehen,Leider stehen uns für dieses Projekt nur begrenzte Mittel zur Verfügung.,"Unfortunately, we only have limited resources available for this project.","Malheureusement, nous ne disposons que de ressources limitées pour ce projet.",,,,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,,,,,,
207,15,Die Firma stellt ihren Mitarbeitern moderne Computer _____.,zur Verfügung,zur Verfügung stellen,Die Firma stellt ihren Mitarbeitern moderne Computer zur Verfügung.,The company provides modern computers to its employees.,L’entreprise met des ordinateurs modernes à la disposition de ses employés.,,,,,"jdm. etw.<sup>Acc</sup> zur Verfügung stellen = to make something available, to provide something",jdm. etw.<sup>Acc</sup> zur Verfügung stellen = fournir,,,,,,,
208,15,Die Stadt stellt kostenloses WLAN in allen öffentlichen Parks _____.,zur Verfügung,zur Verfügung stellen,Die Stadt stellt kostenloses WLAN in allen öffentlichen Parks zur Verfügung.,The city provides free Wi-Fi in all public parks.,La ville met du Wi-Fi gratuit à disposition dans tous les parcs publics.,,,,,"jdm. etw.<sup>Acc</sup> zur Verfügung stellen = to make something available, to provide something",jdm. etw.<sup>Acc</sup> zur Verfügung stellen = fournir,,,,,,,
209,15,"Für die Stelle kommt nur jemand _____, der bereits Berufserfahrung hat.",in Frage,in Frage kommen,"Für die Stelle kommt nur jemand in Frage, der bereits Berufserfahrung hat.",Only someone who already has professional experience is eligible for the position.,"Pour le poste, seule une personne ayant déjà de l’expérience professionnelle peut être envisagée.",,,,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,,,,,,
210,15,Ein Umzug ins Ausland kommt für ihn im Moment überhaupt nicht _____.,in Frage,in Frage kommen,Ein Umzug ins Ausland kommt für ihn im Moment überhaupt nicht in Frage.,Moving abroad is completely out of the question for him at the moment.,Un déménagement à l’étranger n’est absolument pas envisageable pour lui en ce moment.,,,,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,,,,,,
211,15,Nach dem Skandal wurde die Glaubwürdigkeit des Unternehmens stark _____ gestellt.,in Frage,in Frage stellen,Nach dem Skandal wurde die Glaubwürdigkeit des Unternehmens stark in Frage gestellt.,"After the scandal, the company’s credibility was seriously called into question.","Après le scandale, la crédibilité de l’entreprise a été fortement remise en question.",,,,,"etw.<sup>Acc</sup> in Frage stellen = to question, to challenge, to come into question","etw.<sup>Acc</sup> in Frage stellen = remettre en question, mettre en cause, contester",,,,,,,
212,15,"Manche Experten stellen _____, ob die Reform tatsächlich notwendig ist.",in Frage,in Frage stellen,"Manche Experten stellen in Frage, ob die Reform tatsächlich notwendig ist.",Some experts question whether the reform is actually necessary.,Certains experts remettent en question si la réforme est réellement nécessaire.,,,,,"etw.<sup>Acc</sup> in Frage stellen = to question, to challenge, to come into question","etw.<sup>Acc</sup> in Frage stellen = remettre en question, mettre en cause, contester",,,,,,,
213,15,"Es ist oft schwer, die richtige _____ zu treffen.",Entscheidung,eine Entscheidung treffen,"Es ist oft schwer, die richtige Entscheidung zu treffen.",It’s often hard to make the right decision.,Il est souvent difficile de prendre la bonne décision.,,,,,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,,,,,
214,15,Ich muss heute eine wichtige _____ treffen.,Entscheidung,eine Entscheidung treffen,Ich muss heute eine wichtige Entscheidung treffen.,I have to make an important decision today.,Je dois prendre une décision importante aujourd’hui.,,,,,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,,,,,
215,15,Der Lehrer hatte _____ für die schwierige Situation der Studentin.,Verständnis,Verständnis haben,Der Lehrer hatte Verständnis für die schwierige Situation der Studentin.,The teacher showed understanding for the student’s difficult situation.,Le professeur a fait preuve de compréhension face à la situation difficile de l’étudiante.,,,,,für etw.<sup>Acc</sup> Verständnis haben = be understanding,für etw.<sup>Acc</sup> Verständnis haben = faire preuve de compréhension,,,,,,,
216,15,"Ich habe _____ dafür, dass sich der Plan kurzfristig geändert hat.",Verständnis,Verständnis haben,"Ich habe Verständnis dafür, dass sich der Plan kurzfristig geändert hat.",I understand that the plan was changed at short notice.,J’ai de la compréhension pour le fait que le plan ait changé à la dernière minute.,,,,,für etw.<sup>Acc</sup> Verständnis haben = be understanding,für etw.<sup>Acc</sup> Verständnis haben = faire preuve de compréhension,,,,,,,
217,15,Nach monatelangem Lernen hat sie endlich ihre _____ abgelegt.,Prüfung,eine Prüfung ablegen,Nach monatelangem Lernen hat sie endlich ihre Prüfung abgelegt.,"After months of studying, she finally took her exam.","Après des mois d’étude, elle a enfin passé son examen.",,,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,,,,,,
218,15,"Bevor man an der Universität studieren kann, muss man eine _____ ablegen.",Prüfung,eine Prüfung ablegen,"Bevor man an der Universität studieren kann, muss man eine Prüfung ablegen.","Before you can study at the university, you have to take an exam.","Avant de pouvoir étudier à l’université, il faut passer un examen.",,,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,,,,,,
219,15,Er musste vor mehr als dreihundert Leuten eine _____ halten und war vorher sehr nervös.,Rede,eine Rede halten,Er musste vor mehr als dreihundert Leuten eine Rede halten und war vorher sehr nervös.,He had to give a speech in front of more than three hundred people and was very nervous beforehand.,Il a dû prononcer un discours devant plus de trois cents personnes et il était très nerveux avant.,,,,,über etw.<sup>Acc</sup> eine Rede halten = to give a speech,"über etw.<sup>Acc</sup> eine Rede halten = faire un discours, prononcer un discours",,,,,,,
220,15,"Die Präsidentin hielt eine _____, in der sie die wichtigsten Ziele für das kommende Jahr erklärte.",Rede,eine Rede halten,"Die Präsidentin hielt eine Rede, in der sie die wichtigsten Ziele für das kommende Jahr erklärte.",The president gave a speech in which she explained the main goals for the coming year.,La présidente a prononcé un discours dans lequel elle a expliqué les objectifs principaux pour l’année à venir.,,,,,über etw.<sup>Acc</sup> eine Rede halten = to give a speech,"über etw.<sup>Acc</sup> eine Rede halten = faire un discours, prononcer un discours",,,,,,,
221,16,"Sie _____ gerade einen Kurs an der Universität, der sich auf nachhaltige Technologien konzentriert.",besucht,einen Kurs besuchen,"Sie besucht gerade einen Kurs an der Universität, der sich auf nachhaltige Technologien konzentriert.",She is currently attending a course at the university that focuses on sustainable technologies.,Elle suit actuellement un cours à l’université qui porte sur les technologies durables.,,,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,,,,,,
