Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french
82,3,"_____ sorgfältig die Analyse auch durchgeführt wurde, ließ sie zentrale Risiken unberücksichtigt.",So/Wie/Sosehr,"So sorgfältig die Analyse auch durchgeführt wurde, ließ sie zentrale Risiken unberücksichtigt.","Thorough as the analysis was, it overlooked key risks.","Aussi minutieuse que l’analyse ait été, elle a négligé des risques essentiels.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
83,3,"_____ groß der politische Wille auch sein mag, ohne breite Unterstützung ist eine Reform kaum durchsetzbar.",So/Wie/Sosehr,"So groß der politische Wille auch sein mag, ohne breite Unterstützung ist eine Reform kaum durchsetzbar.","Strong as the political will may be, a reform is hardly feasible without broad support.","Aussi forte que soit la volonté politique, une réforme est difficilement applicable sans large soutien.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
84,3,"_____ plausibel die Erklärung auch klingt, sie beantwortet die entscheidende Frage nicht.",So/Wie/Sosehr,"So plausibel die Erklärung auch klingt, sie beantwortet die entscheidende Frage nicht.","Plausible as the explanation sounds, it does not answer the crucial question.","Aussi plausible que paraisse l’explication, elle ne répond pas à la question décisive.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
85,3,"_____ dringend Handlungsbedarf auch besteht, überstürzte Maßnahmen würden mehr schaden als nutzen.",So/Wie/Sosehr,"So dringend Handlungsbedarf auch besteht, überstürzte Maßnahmen würden mehr schaden als nutzen.","Urgent as action may be, hasty measures would do more harm than good.","Aussi urgent que soit le besoin d’agir, des mesures précipitées feraient plus de mal que de bien.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
86,3,"So komplex die Ausgangslage _____ ist, eine klare Priorisierung bleibt unerlässlich.",auch,"So komplex die Ausgangslage auch ist, eine klare Priorisierung bleibt unerlässlich.","Complex as the initial situation may be, clear prioritization remains essential.","Aussi complexe que soit la situation de départ, une hiérarchisation claire reste indispensable.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
87,3,"So begründet die Kritik _____ erscheint, sie greift in diesem Punkt zu kurz.",auch,"So begründet die Kritik auch erscheint, sie greift in diesem Punkt zu kurz.","Justified as the criticism may seem, it falls short on this point.","Aussi fondée que paraisse la critique, elle est insuffisante sur ce point.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
88,3,"So sorgfältig die Vorbereitung _____ war, unvorhergesehene Probleme traten dennoch auf.",auch,"So sorgfältig die Vorbereitung auch war, unvorhergesehene Probleme traten dennoch auf.","Careful as the preparation was, unforeseen problems nevertheless arose.","Aussi soigneuse qu’ait été la préparation, des problèmes imprévus sont néanmoins survenus.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
89,3,"So attraktiv das Angebot _____ klingt, langfristige Verpflichtungen sollten nicht unterschätzt werden.",auch,"So attraktiv das Angebot auch klingt, langfristige Verpflichtungen sollten nicht unterschätzt werden.","Attractive as the offer may sound, long-term commitments should not be underestimated.","Aussi attrayante que paraisse l’offre, les engagements à long terme ne doivent pas être sous-estimés.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
90,3,"So nachvollziehbar die Entscheidung _____ sein mag, sie stößt intern auf erheblichen Widerstand.",auch,"So nachvollziehbar die Entscheidung auch sein mag, sie stößt intern auf erheblichen Widerstand.","Understandable as the decision may be, it meets with considerable internal resistance.","Aussi compréhensible que puisse être la décision, elle rencontre une résistance interne importante.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
91,100,,zu als dass,zu als dass,too ... to,"trop ... pour, trop ... pour que",,
92,100,,"so auch, wie auch","so auch, wie auch",,however,,
