Nr,exercise,points,german,english,comparative,superlative,opposite,,,
590,5. C1,6,kontinuierlich,,,,,,,
591,5. C1,6,materiell,,,,,,,
592,5. C1,6,pädagogisch,,,,,,,
593,5. C1,6,psychisch,,,,,,,
594,5. C1,6,unsicher,,,,,,,
595,5. C1,6,auswärtig,,,,,,,
596,5. C1,6,beliebig,,,,,,,
597,5. C1,6,derzeitig,,,,,,,
598,5. C1,6,friedlich,,,,,,,
599,5. C1,6,genetisch,,,,,,,
600,5. C1,6,restlich,,,,,,,
601,5. C1,6,umstritten,,,,,,,
602,5. C1,6,jahrelang,,,,,,,
603,5. C1,6,konstant,,,,,,,
604,5. C1,6,liberal,,,,,,,
605,5. C1,6,logisch,,,,,,,
606,5. C1,6,optisch,,,,,,,
607,5. C1,6,organisch,,,,,,,
608,5. C1,6,spontan,,,,,,,
609,5. C1,6,unzählig,,,,,,,
610,5. C1,6,herrlich,,,,,,,
611,5. C1,6,kirchlich,,,,,,,
612,5. C1,6,unangenehm,,,,,,,
613,5. C1,6,einmalig,,,,,,,
614,5. C1,6,formal,,,,,,,
615,5. C1,6,klinisch,,,,,,,
616,5. C1,6,organisatorisch,,,,,,,
617,5. C1,6,sexuell,,,,,,,
618,5. C1,6,stetig,,,,,,,
619,5. C1,6,unklar,,,,,,,
620,5. C1,6,betrieblich,,,,,,,
621,5. C1,6,bürgerlich,,,,,,,
622,5. C1,6,einheimisch,,,,,,,
623,5. C1,6,empfindlich,,,,,,,
624,5. C1,6,großzügig,,,,,,,
625,5. C1,6,konventionell,,,,,,,
626,5. C1,6,linear,,,,,,,
627,5. C1,6,mühsam,,,,,,,
628,5. C1,6,psychologisch,,,,,,,
629,5. C1,6,qualitativ,,,,,,,
630,5. C1,6,reichlich,,,,,,,
631,5. C1,6,strukturell,,,,,,,
632,5. C1,6,zulässig,,,,,,,
633,5. C1,6,beträchtlich,,,,,,,
634,5. C1,6,charakteristisch,,,,,,,
635,5. C1,6,diskret,,,,,,,
636,5. C1,6,einseitig,,,,,,,
637,5. C1,6,mechanisch,,,,,,,
638,5. C1,6,medial,,,,,,,
639,5. C1,6,örtlich,,,,,,,
640,5. C1,6,physisch,,,,,,,
641,5. C1,6,symbolisch,,,,,,,
642,5. C1,6,vermeintlich,,,,,,,
643,5. C1,6,vorig,,,,,,,
644,5. C1,6,ärztlich,,,,,,,
645,5. C1,6,aufwendig,,,,,,,
646,5. C1,6,bemerkenswert,,,,,,,
647,5. C1,6,chronisch,,,,,,,
648,5. C1,6,düster,,,,,,,
649,5. C1,6,effizient,,,,,,,
650,5. C1,6,emotional,,,,,,,
651,5. C1,6,erreichbar,,,,,,,
652,5. C1,6,landwirtschaftlich,,,,,,,
653,5. C1,6,maßgeblich,,,,,,,
654,5. C1,6,operativ,,,,,,,
655,5. C1,6,philosophisch,,,,,,,
656,5. C1,6,sachlich,,,,,,,
657,5. C1,6,überflüssig,,,,,,,
658,5. C1,6,unsichtbar,,,,,,,
659,5. C1,6,verbindlich,,,,,,,
660,5. C1,6,zwangsläufig,,,,,,,
661,5. C1,6,auffällig,,,,,,,
662,5. C1,6,aufrecht,,,,,,,
663,5. C1,6,drastisch,,,,,,,
664,5. C1,6,explizit,,,,,,,
665,5. C1,6,fachlich,,,,,,,
666,5. C1,6,fotografisch,,,,,,,
667,5. C1,6,gleichmäßig,,,,,,,
668,5. C1,6,identisch,,,,,,,
669,5. C1,6,industriell,,,,,,,
670,5. C1,6,permanent,,,,,,,
671,5. C1,6,regelrecht,,,,,,,
672,5. C1,6,spürbar,,,,,,,
673,5. C1,6,starr,,,,,,,
674,5. C1,6,steuerlich,,,,,,,
675,5. C1,6,unverändert,,,,,,,
676,5. C1,6,unverzüglich,,,,,,,
677,5. C1,6,unwahrscheinlich,,,,,,,
678,5. C1,6,vertraglich,,,,,,,
679,5. C1,6,amtlich,,,,,,,
680,5. C1,6,außergewöhnlich,,,,,,,
681,5. C1,6,bedeutsam,,,,,,,
682,5. C1,6,elementar,,,,,,,
683,5. C1,6,flüchtig,,,,,,,
684,5. C1,6,gänzlich,,,,,,,
685,5. C1,6,kognitiv,,,,,,,
686,5. C1,6,mutmaßlich,,,,,,,
687,5. C1,6,nachträglich,,,,,,,
688,5. C1,6,naturwissenschaftlich,,,,,,,
689,5. C1,6,quantitativ,,,,,,,
690,5. C1,6,schulisch,,,,,,,
691,5. C1,6,strikt,,,,,,,
692,5. C1,6,therapeutisch,,,,,,,
693,5. C1,6,unglücklich,,,,,,,
694,5. C1,6,vorzeitig,,,,,,,
695,5. C1,6,ästhetisch,,,,,,,
696,5. C1,6,einstig,,,,,,,
697,5. C1,6,flüssig,,,,,,,
698,5. C1,6,ländlich,,,,,,,
699,5. C1,6,nachdenklich,,,,,,,
700,5. C1,6,schräg,,,,,,,
701,5. C1,6,unerwartet,,,,,,,
702,5. C1,6,absurd,,,,,,,
703,5. C1,6,großartig,,,,,,,
704,5. C1,6,ostdeutsch,,,,,,,
705,5. C1,6,radioaktiv,,,,,,,
706,5. C1,6,solide,,,,,,,
707,5. C1,6,technologisch,,,,,,,
708,5. C1,6,unerträglich,,,,,,,
709,5. C1,6,westdeutsch,,,,,,,
710,5. C1,6,bar,,,,,,,
711,5. C1,6,früher,,,,,,,
712,5. C1,6,später,,,,,,,
713,5. C1,5,entscheidend,,,,,,,
714,5. C1,5,innere,,,,,,,
715,5. C1,5,schlimmer,,,,,,,
716,5. C1,5,rechte,,,,,,,
717,5. C1,5,geboren,,,,,,,
718,5. C1,5,erneut,,,,,,,
719,5. C1,5,blöde,,,,,,,
720,5. C1,5,nebelig,,,,,,,
721,5. C1,5,wurscht,,,,,,,
722,5. C1,5,wurst,,,,,,,
723,5. C1,4,rasch,,,,,,,
724,5. C1,4,okay,,,,,,,
725,5. C1,4,linke,,,,,,,
726,5. C1,4,obere,,,,,,,
727,5. C1,4,geistig,,,,,,,
728,5. C1,4,außen,,,,,,,
729,5. C1,4,schart,,,,,,,
730,5. C1,4,berühmt,,,,,,,
731,5. C1,4,mittlere,,,,,,,
732,5. C1,4,westlich,,,,,,,
733,5. C1,4,umgekehrt,,,,,,,
734,5. C1,4,dringend,,,,,,,
735,5. C1,4,überwiegend,,,,,,,
736,5. C1,4,bedeutend,,,,,,,
737,5. C1,4,angemessen,,,,,,,
738,5. C1,4,entfernt,,,,,,,
739,5. C1,4,welch,,,,,,,
740,5. C1,4,verheiratet,,,,,,,
741,5. C1,4,äußere,,,,,,,
742,5. C1,3,gewohnt,,,,,,,
743,5. C1,3,untere,,,,,,,
744,5. C1,3,kompliziert,,,,,,,
745,5. C1,3,allmählich,,,,,,,
746,5. C1,3,spannend,,,,,,,
747,5. C1,3,gezielt,,,,,,,
748,5. C1,3,gefangen,,,,,,,
749,5. C1,3,verrückt,,,,,,,
750,5. C1,3,vertraut,,,,,,,
751,5. C1,3,beliebt,,,,,,,
752,5. C1,3,vorübergehend,,,,,,,
753,5. C1,3,analog,,,,,,,
754,5. C1,3,südlich,,,,,,,
755,5. C1,3,ausgeprägt,,,,,,,
756,5. C1,3,ausgezeichnet,,,,,,,
757,5. C1,3,hervorragend,,,,,,,
758,5. C1,3,stellvertretend,,,,,,,
759,5. C1,3,methodisch,,,,,,,
760,5. C1,3,top,,,,,,,
761,5. C1,3,wütend,,,,,,,
762,5. C1,3,bescheiden,,,,,,,
763,5. C1,3,deutschsprachig,,,,,,,
764,5. C1,3,nachfolgend,,,,,,,
765,5. C1,3,angewiesen,,,,,,,
766,5. C1,3,anstrengend,,,,,,,
767,5. C1,3,behindert,,,,,,,
768,5. C1,3,nördlich,,,,,,,
769,5. C1,3,vermehrt,,,,,,,
770,5. C1,3,dauernd,,,,,,,
771,5. C1,3,detailliert,,,,,,,
772,5. C1,3,einverstanden,,,,,,,
773,5. C1,3,fließend,,,,,,,
774,5. C1,3,präzise,,,,,,,
775,5. C1,3,besorgt,,,,,,,
776,5. C1,3,gespannt,,,,,,,
777,5. C1,3,motorisch,,,,,,,
778,5. C1,3,verlegen,,,,,,,
779,5. C1,3,anscheinend,,,,,,,
780,5. C1,3,gleichsam,,,,,,,
781,5. C1,3,olympisch,,,,,,,
782,5. C1,3,glänzend,,,,,,,
783,5. C1,3,östlich,,,,,,,
784,5. C1,5,fähig,,,,,,,
785,5. C1,2,erkrankt,,,,,,,
786,5. C1,2,eifersüchtig,,,,,,,
787,5. C1,2,neidisch,,,,,,,
788,5. C1,2,geeignet,,,,,,,
789,5. C1,2,immun,,,,,,,
790,5. C1,2,entsetzt,,,,,,,
