Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
259,11,,heute Abend,,tonight,ce soir,heute abend = tonight,heute abend = ce soir,,
260,11,,zusammen,,together,ensemble,zusammen = together,zusammen = ensemble,,
261,11,,noch nicht,,"not yet, still not","pas encore, toujours pas","noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
262,11,,zweimal,,twice,deux fois,zweimal = twice,zweimal = deux fois,,
263,11,,langsam,,slowly,lentement,langsam = slowly,langsam = lentement,schnell,
264,11,,schnell,,"quickly, rapidly","vite, rapidement","schnell = quickly, rapidly","schnell = vite, rapidement",langsam,
265,11,,morgen früh,,tomorrow morning,demain matin,morgen früh = tomorrow morning,morgen früh = demain matin,,
266,11,,natürlich,,"naturally, of course","naturellement, bien sûr","natürlich = naturally, of course","natürlich = naturellement, bien sûr",,
267,11,,da drüben,,over there,là-bas,da drüben = over there,da drüben = là-bas,,
268,12,Ich war _____ in Berlin.,einmal,Ich war einmal in Berlin.,I was in Berlin once.,J'étais à Berlin une fois.,einmal = once,einmal = une fois,,
269,12,Kannst du das noch _____ sagen?,einmal,Kannst du das noch einmal sagen?,Can you say that again?,Peux-tu le répéter ?,einmal = once,einmal = une fois,,
270,12,Ich möchte _____ nach Japan reisen.,einmal,Ich möchte einmal nach Japan reisen.,I would like to travel to Japan one day.,J'aimerais voyager au Japon un jour.,einmal = once,einmal = une fois,,
271,12,Probier es _____ aus!,einmal,Probier es einmal aus!,Try it once!,Essayez-le une fois !,einmal = once,einmal = une fois,,
272,12,Er hat das nur _____ gemacht.,einmal,Er hat das nur einmal gemacht.,He only did that once.,Il n'a fait ça qu'une fois.,einmal = once,einmal = une fois,,
273,12,_____ gehen wir ins Kino.,Heute Abend,Heute Abend gehen wir ins Kino.,Tonight we are going to the cinema.,Ce soir nous allons au cinéma.,heute abend = tonight,heute abend = ce soir,,
274,12,Ich koche _____ für meine Freunde.,heute Abend,Ich koche heute Abend für meine Freunde.,I am cooking for my friends tonight.,Je cuisine pour mes amis ce soir.,heute abend = tonight,heute abend = ce soir,,
275,12,_____ möchte ich ein Buch lesen.,Heute Abend,Heute Abend möchte ich ein Buch lesen.,Tonight I want to read a book.,"Ce soir, je veux lire un livre.",heute abend = tonight,heute abend = ce soir,,
276,12,Wir treffen uns _____ im Restaurant.,heute Abend,Wir treffen uns heute Abend im Restaurant.,We are meeting at the restaurant tonight.,Nous nous retrouvons au restaurant ce soir.,heute abend = tonight,heute abend = ce soir,,
277,12,_____ wird es wahrscheinlich regnen.,Heute Abend,Heute Abend wird es wahrscheinlich regnen.,Tonight it will probably rain.,Ce soir il va probablement pleuvoir.,heute abend = tonight,heute abend = ce soir,,
278,12,Wir lernen _____ Deutsch.,zusammen,Wir lernen zusammen Deutsch.,We are learning German together.,Nous apprenons l'allemand ensemble.,zusammen = together,zusammen = ensemble,,
279,12,Ich esse gern _____ mit meinen Freunden.,zusammen,Ich esse gern zusammen mit meinen Freunden.,I like eating together with my friends.,J'aime manger avec mes amis.,zusammen = together,zusammen = ensemble,,
280,12,Sie arbeiten _____ an einem Projekt.,zusammen,Sie arbeiten zusammen an einem Projekt.,They are working together on a project.,Ils travaillent ensemble sur un projet.,zusammen = together,zusammen = ensemble,,
281,12,Lass uns _____ spazieren gehen.,zusammen,Lass uns zusammen spazieren gehen.,Let's go for a walk together.,Allons nous promener ensemble.,zusammen = together,zusammen = ensemble,,
282,12,Wir haben _____ einen Film geschaut.,zusammen,Wir haben zusammen einen Film geschaut.,We watched a movie together.,Nous avons regardé un film ensemble.,zusammen = together,zusammen = ensemble,,
283,12,Ich habe meine Hausaufgaben _____ gemacht.,noch nicht,Ich habe meine Hausaufgaben noch nicht gemacht.,I haven’t done my homework yet.,Je n’ai pas encore fait mes devoirs.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
284,12,Wir sind _____ fertig.,noch nicht,Wir sind noch nicht fertig.,We’re not finished yet.,Nous n’avons pas encore fini.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
285,12,Er hat das Buch _____ gelesen.,noch nicht,Er hat das Buch noch nicht gelesen.,He hasn’t read the book yet.,Il n’a pas encore lu le livre.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
286,12,Sie ist _____ angekommen.,noch nicht,Sie ist noch nicht angekommen.,She hasn’t arrived yet.,Elle n’est pas encore arrivée.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
287,12,Ich kann _____ schwimmen.,noch nicht,Ich kann noch nicht schwimmen.,I can’t swim yet.,Je ne sais pas encore nager.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
288,12,Ich war schon _____ in Deutschland.,zweimal,Ich war schon zweimal in Deutschland.,I have been to Germany twice.,Je suis allé deux fois en Allemagne.,zweimal = twice,zweimal = deux fois,,
289,12,Bitte lies den Text _____.,zweimal,Bitte lies den Text zweimal.,Please read the text twice.,Veuillez lire le texte deux fois.,zweimal = twice,zweimal = deux fois,,
290,12,Ich gehe _____ pro Woche joggen.,zweimal,Ich gehe zweimal pro Woche joggen.,I go jogging twice a week.,Je fais du jogging deux fois par semaine.,zweimal = twice,zweimal = deux fois,,
291,12,Er hat _____ angerufen.,zweimal,Er hat zweimal angerufen.,He called twice.,Il a appelé deux fois.,zweimal = twice,zweimal = deux fois,,
292,12,Wir sehen uns mindestens _____ im Monat.,zweimal,Wir sehen uns mindestens zweimal im Monat.,We see each other at least twice a month.,Nous nous voyons au moins deux fois par mois.,zweimal = twice,zweimal = deux fois,,
293,12,"Bitte sprich nicht so _____, ich kann dir nicht folgen.",schnell,"Bitte sprich nicht so schnell, ich kann dir nicht folgen.","Please don’t speak so fast, I can’t follow you.","S'il vous plaît, ne parlez pas si vite, je ne peux pas vous suivre.","schnell = quickly, rapidly","schnell = vite, rapidement",,
294,12,"Er läuft sehr _____, weil er für einen Wettkampf trainiert.",schnell,"Er läuft sehr schnell, weil er für einen Wettkampf trainiert.",He runs very fast because he is training for a competition.,Il court très vite car il s'entraîne pour une compétition.,"schnell = quickly, rapidly","schnell = vite, rapidement",,
295,12,"Die Zeit vergeht _____, wenn man Spaß hat.",schnell,"Die Zeit vergeht schnell, wenn man Spaß hat.",Time passes quickly when you are having fun.,Le temps passe vite quand on s'amuse.,"schnell = quickly, rapidly","schnell = vite, rapidement",,
296,12,"Wir müssen _____ gehen, sonst verpassen wir den Bus.",schnell,"Wir müssen schnell gehen, sonst verpassen wir den Bus.","We have to walk quickly, otherwise, we’ll miss the bus.","Il faut marcher vite, sinon on va rater le bus.","schnell = quickly, rapidly","schnell = vite, rapidement",,
297,12,Sie hat _____ ihre Hausaufgaben gemacht und ist dann rausgegangen.,schnell,Sie hat schnell ihre Hausaufgaben gemacht und ist dann rausgegangen.,She quickly did her homework and then went outside.,Elle a rapidement fait ses devoirs et est ensuite sortie.,"schnell = quickly, rapidly","schnell = vite, rapidement",,
298,12,"Bitte sprich _____, ich verstehe nicht alles.",langsam,"Bitte sprich langsam, ich verstehe nicht alles.","Please speak slowly, I don’t understand everything.","S'il vous plaît, parlez lentement, je ne comprends pas tout.",langsam = slowly,langsam = lentement,,
299,12,"Er fährt _____, weil die Straße rutschig ist.",langsam,"Er fährt langsam, weil die Straße rutschig ist.",He drives slowly because the road is slippery.,Il conduit lentement parce que la route est glissante.,langsam = slowly,langsam = lentement,,
300,12,"Der Computer arbeitet _____, weil er alt ist.",langsam,"Der Computer arbeitet langsam, weil er alt ist.",The computer works slowly because it is old.,L'ordinateur fonctionne lentement parce qu'il est vieux.,langsam = slowly,langsam = lentement,,
301,12,Sie ging _____ durch den Park und genoss die Sonne.,langsam,Sie ging langsam durch den Park und genoss die Sonne.,She walked slowly through the park and enjoyed the sun.,Elle marchait lentement dans le parc et profitait du soleil.,langsam = slowly,langsam = lentement,,
302,12,"Ich lerne _____, aber ich mache Fortschritte.",langsam,"Ich lerne langsam, aber ich mache Fortschritte.","I learn slowly, but I am making progress.","J'apprends lentement, mais je fais des progrès.",langsam = slowly,langsam = lentement,,
303,12,_____ gehe ich joggen im Park.,Morgen früh,Morgen früh gehe ich joggen im Park.,Tomorrow morning I am going jogging in the park.,Demain matin je vais faire un jogging dans le parc.,morgen früh = tomorrow morning,morgen früh = demain matin,,
304,12,Wir fahren _____ mit dem Zug nach München.,morgen früh,Wir fahren morgen früh mit dem Zug nach München.,We are taking the train to Munich tomorrow morning.,Nous prenons le train pour Munich demain matin.,morgen früh = tomorrow morning,morgen früh = demain matin,,
305,12,"Ich muss _____ arbeiten, also gehe ich früh ins Bett.",morgen früh,"Ich muss morgen früh arbeiten, also gehe ich früh ins Bett.","I have to work tomorrow morning, so I am going to bed early.","Je dois travailler demain matin, donc je vais me coucher tôt.",morgen früh = tomorrow morning,morgen früh = demain matin,,
306,12,_____ kaufe ich frisches Brot beim Bäcker.,Morgen früh,Morgen früh kaufe ich frisches Brot beim Bäcker.,Tomorrow morning I will buy fresh bread at the bakery.,Demain matin j’achèterai du pain frais à la boulangerie.,morgen früh = tomorrow morning,morgen früh = demain matin,,
307,12,_____ lernen wir für die Prüfung in der Bibliothek.,Morgen früh,Morgen früh lernen wir für die Prüfung in der Bibliothek.,Tomorrow morning we will study for the exam in the library.,Demain matin nous allons étudier pour l’examen à la bibliothèque.,morgen früh = tomorrow morning,morgen früh = demain matin,,
308,12,"_____ helfe ich dir, wenn du Hilfe brauchst.",Natürlich,"Natürlich helfe ich dir, wenn du Hilfe brauchst.","Of course, I will help you if you need help.","Bien sûr, je t'aiderai si tu as besoin d'aide.","natürlich = naturally, of course","natürlich = naturellement, bien sûr",,
309,12,"Er war müde, also hat er sich _____ früh schlafen gelegt.",natürlich,"Er war müde, also hat er sich natürlich früh schlafen gelegt.","He was tired, so of course, he went to bed early.","Il était fatigué, alors bien sûr, il s'est couché tôt.","natürlich = naturally, of course","natürlich = naturellement, bien sûr",,
310,12,"_____ kannst du mich jederzeit anrufen, wenn du Fragen hast.",Natürlich,"Natürlich kannst du mich jederzeit anrufen, wenn du Fragen hast.","Of course, you can call me anytime if you have questions.","Bien sûr, vous pouvez m'appeler à tout moment si vous avez des questions.","natürlich = naturally, of course","natürlich = naturellement, bien sûr",,
311,12,"Es ist _____ wichtig, gesund zu essen.",natürlich,"Es ist natürlich wichtig, gesund zu essen.","Naturally, it is important to eat healthily.","Naturellement, il est important de manger sainement.","natürlich = naturally, of course","natürlich = naturellement, bien sûr",,
312,12,"Sie war nervös vor der Prüfung, was _____ verständlich ist.",natürlich,"Sie war nervös vor der Prüfung, was natürlich verständlich ist.","She was nervous before the exam, which is naturally understandable.","Elle était nerveuse avant l’examen, ce qui est naturellement compréhensible.","natürlich = naturally, of course","natürlich = naturellement, bien sûr",,
313,12,Siehst du das Café _____? Dort gibt es den besten Kuchen.,da drüben,Siehst du das Café da drüben? Dort gibt es den besten Kuchen.,Do you see the café over there? They have the best cake.,Tu vois le café là-bas ? Ils ont les meilleurs gâteaux.,da drüben = over there,da drüben = là-bas,,
314,12,Mein Auto steht _____ auf dem Parkplatz.,da drüben,Mein Auto steht da drüben auf dem Parkplatz.,My car is parked over there in the parking lot.,Ma voiture est garée là-bas sur le parking.,da drüben = over there,da drüben = là-bas,,
315,12,"_____ ist ein schöner Park, lass uns dort spazieren gehen.",Da drüben,"Da drüben ist ein schöner Park, lass uns dort spazieren gehen.","Over there is a beautiful park, let's go for a walk there.","Là-bas il y a un beau parc, allons nous y promener.",da drüben = over there,da drüben = là-bas,,
316,12,"Ich glaube, ich habe ihn _____ an der Bushaltestelle gesehen.",da drüben,"Ich glaube, ich habe ihn da drüben an der Bushaltestelle gesehen.",I think I saw him over there at the bus stop.,"Je crois que je l'ai vu là-bas, à l'arrêt de bus.",da drüben = over there,da drüben = là-bas,,
317,12,"Das Kino ist nicht weit, es ist gleich _____ an der Ecke.",da drüben,"Das Kino ist nicht weit, es ist gleich da drüben an der Ecke.","The cinema isn't far, it's just over there at the corner.","Le cinéma n'est pas loin, il est juste là-bas au coin.",da drüben = over there,da drüben = là-bas,,
318,13,,vorgestern,,the day before yesterday,avant-hier,vorgestern = the day before yesterday,vorgestern = avant-hier,übermorgen,
319,13,,übermorgen,,the day after tomorrow,après-demain,übermorgen = the day after tomorrow,übermorgen = après-demain,vorgestern,
320,13,,vorn,,"in the front, at the front","devant, à l'avant","vorn = in the front, at the front","vorn = devant, à l'avant",hinten,
321,13,,hinten,,at the back,à l'arrière,hinten = at the back,hinten = à l'arrière,vorn,
322,13,,oben,,"above, at the top","au-dessus, en haut","oben = above, at the top","oben = au-dessus, en haut",unten,
323,13,,unten,,"below, at the bottom","ci-dessous, en bas","unten = below, at the bottom","unten = ci-dessous, en bas",oben,
324,13,,vorher,,"before, beforehand","avant, préalablement","vorher = before, beforehand","vorher = avant, préalablement",danach,
325,13,,danach,,"after, afterwards, thereafter","après, par la suite","danach = after, afterwards, thereafter","danach = après, par la suite",vorher,
326,13,,ziemlich,,"quite, fairly","assez, franchement","ziemlich = quite, fairly","ziemlich = assez, franchement",,
327,13,,eigentlich,,"actually, indeed","en fait, en effet","eigentlich = actually, indeed","eigentlich = en fait, en effet",,
328,14,_____ war ich im Kino mit meinen Freunden.,Vorgestern,Vorgestern war ich im Kino mit meinen Freunden.,"The day before yesterday, I was at the cinema with my friends.","Avant-hier, j'étais au cinéma avec mes amis.",vorgestern = the day before yesterday,vorgestern = avant-hier,,
329,14,Es hat _____ den ganzen Tag geregnet.,vorgestern,Es hat vorgestern den ganzen Tag geregnet.,It rained all day the day before yesterday.,Il a plu toute la journée avant-hier.,vorgestern = the day before yesterday,vorgestern = avant-hier,,
330,14,Ich habe ihn _____ in der Stadt getroffen.,vorgestern,Ich habe ihn vorgestern in der Stadt getroffen.,I met him in the city the day before yesterday.,Je l'ai rencontré en ville avant-hier.,vorgestern = the day before yesterday,vorgestern = avant-hier,,
331,14,_____ hatten wir eine wichtige Besprechung im Büro.,Vorgestern,Vorgestern hatten wir eine wichtige Besprechung im Büro.,"The day before yesterday, we had an important meeting at the office.","Avant-hier, nous avons eu une réunion importante au bureau.",vorgestern = the day before yesterday,vorgestern = avant-hier,,
332,14,Meine Großeltern sind _____ aus dem Urlaub zurückgekommen.,vorgestern,Meine Großeltern sind vorgestern aus dem Urlaub zurückgekommen.,My grandparents returned from vacation the day before yesterday.,Mes grands-parents sont rentrés de vacances avant-hier.,vorgestern = the day before yesterday,vorgestern = avant-hier,,
333,14,_____ haben wir eine wichtige Prüfung in der Schule.,Übermorgen,Übermorgen haben wir eine wichtige Prüfung in der Schule.,"The day after tomorrow, we have an important exam at school.","Après-demain, nous avons un examen important à l'école.",übermorgen = the day after tomorrow,übermorgen = après-demain,,
334,14,Meine Eltern kommen _____ aus dem Urlaub zurück.,übermorgen,Meine Eltern kommen übermorgen aus dem Urlaub zurück.,My parents are coming back from vacation the day after tomorrow.,Mes parents reviennent de vacances après-demain.,übermorgen = the day after tomorrow,übermorgen = après-demain,,
335,14,Wir fahren _____ in die Berge zum Wandern.,übermorgen,Wir fahren übermorgen in die Berge zum Wandern.,We are going to the mountains for a hike the day after tomorrow.,Nous allons faire une randonnée en montagne après-demain.,übermorgen = the day after tomorrow,übermorgen = après-demain,,
336,14,_____ beginnt das neue Semester an der Universität.,Übermorgen,Übermorgen beginnt das neue Semester an der Universität.,The new semester at the university starts the day after tomorrow.,Le nouveau semestre à l'université commence après-demain.,übermorgen = the day after tomorrow,übermorgen = après-demain,,
337,14,"Ich muss _____ früh aufstehen, weil ich einen Termin habe.",übermorgen,"Ich muss übermorgen früh aufstehen, weil ich einen Termin habe.",I have to get up early the day after tomorrow because I have an appointment.,Je dois me lever tôt après-demain car j'ai un rendez-vous.,übermorgen = the day after tomorrow,übermorgen = après-demain,,
338,14,Mein Zimmer ist _____ im zweiten Stock.,oben,Mein Zimmer ist oben im zweiten Stock.,My room is upstairs on the second floor.,"Ma chambre est à l'étage, au deuxième étage.","oben = above, at the top","oben = au-dessus, en haut",,
339,14,Das Buch liegt _____ auf dem Regal.,oben,Das Buch liegt oben auf dem Regal.,The book is on the shelf above.,Le livre est sur l'étagère du dessus.,"oben = above, at the top","oben = au-dessus, en haut",,
340,14,"Ich gehe nach _____, um meine Jacke zu holen.",oben,"Ich gehe nach oben, um meine Jacke zu holen.",I'm going upstairs to get my jacket.,Je monte chercher ma veste.,"oben = above, at the top","oben = au-dessus, en haut",,
341,14,_____ auf dem Berg hat man eine schöne Aussicht.,Oben,Oben auf dem Berg hat man eine schöne Aussicht.,"At the top of the mountain, you have a beautiful view.","Au sommet de la montagne, vous avez une belle vue.","oben = above, at the top","oben = au-dessus, en haut",,
342,14,"Die Küche ist unten, das Wohnzimmer ist _____.",oben,"Die Küche ist unten, das Wohnzimmer ist oben.","The kitchen is downstairs, the living room is upstairs.","La cuisine est en bas, le salon est à l'étage.","oben = above, at the top","oben = au-dessus, en haut",,
343,14,"Mein Schlafzimmer ist oben, die Küche ist _____.",unten,"Mein Schlafzimmer ist oben, die Küche ist unten.","My bedroom is upstairs, the kitchen is downstairs.","Ma chambre est à l'étage, la cuisine est en bas.","unten = below, at the bottom","unten = ci-dessous, en bas",,
344,14,Das Buch liegt _____ im Regal.,unten,Das Buch liegt unten im Regal.,The book is on the lower shelf.,Le livre est sur l'étagère du bas.,"unten = below, at the bottom","unten = ci-dessous, en bas",,
345,14,"Ich gehe nach _____, um die Tür zu öffnen.",unten,"Ich gehe nach unten, um die Tür zu öffnen.",I'm going downstairs to open the door.,Je descends pour ouvrir la porte.,"unten = below, at the bottom","unten = ci-dessous, en bas",,
346,14,_____ im Tal gibt es ein kleines Dorf.,Unten,Unten im Tal gibt es ein kleines Dorf.,"Down in the valley, there is a small village.","En bas de la vallée, il y a un petit village.","unten = below, at the bottom","unten = ci-dessous, en bas",,
347,14,Bitte warten Sie _____ am Eingang.,unten,Bitte warten Sie unten am Eingang.,Please wait downstairs at the entrance.,Veuillez attendre en bas à l'entrée.,"unten = below, at the bottom","unten = ci-dessous, en bas",,
348,14,"Ich sitze lieber _____ im Bus, weil ich die Aussicht mag.",vorn,"Ich sitze lieber vorn im Bus, weil ich die Aussicht mag.",I prefer to sit at the front of the bus because I like the view.,Je préfère m'asseoir à l'avant du bus parce que j'aime la vue.,"vorn = in the front, at the front","vorn = devant, à l'avant",,
349,14,Das Museum ist gleich _____ an der Ecke.,vorn,Das Museum ist gleich vorn an der Ecke.,The museum is right at the front on the corner.,"Le musée est juste en face, au coin.","vorn = in the front, at the front","vorn = devant, à l'avant",,
350,14,"Stell dich bitte _____ an, wenn du schon dran bist.",vorn,"Stell dich bitte vorn an, wenn du schon dran bist.",Please stand in front if it’s your turn.,Veuillez vous placer devant si c’est votre tour.,"vorn = in the front, at the front","vorn = devant, à l'avant",,
351,14,_____ im Garten stehen viele bunte Blumen.,Vorn,Vorn im Garten stehen viele bunte Blumen.,"In the front of the garden, there are many colorful flowers.","À l'avant du jardin, il y a beaucoup de fleurs colorées.","vorn = in the front, at the front","vorn = devant, à l'avant",,
352,14,Die besten Plätze im Theater sind oft ganz _____.,vorn,Die besten Plätze im Theater sind oft ganz vorn.,The best seats in the theater are often right at the front.,Les meilleures places au théâtre sont souvent tout au premier plan.,"vorn = in the front, at the front","vorn = devant, à l'avant",,
353,14,Das Auto steht ganz _____ auf dem Parkplatz.,hinten,Das Auto steht ganz hinten auf dem Parkplatz.,The car is parked all the way at the back of the parking lot.,La voiture est garée tout au fond du parking.,hinten = at the back,hinten = à l'arrière,,
354,14,_____ im Garten gibt es eine kleine Hütte.,Hinten,Hinten im Garten gibt es eine kleine Hütte.,"At the back of the garden, there is a small hut.","Au fond du jardin, il y a une petite cabane.",hinten = at the back,hinten = à l'arrière,,
355,14,"Ich sitze lieber _____ im Bus, weil es ruhiger ist.",hinten,"Ich sitze lieber hinten im Bus, weil es ruhiger ist.",I prefer to sit at the back of the bus because it is quieter.,Je préfère m'asseoir à l'arrière du bus parce que c'est plus calme.,hinten = at the back,hinten = à l'arrière,,
356,14,"Der Eingang ist vorne, aber _____ gibt es einen Notausgang.",hinten,"Der Eingang ist vorne, aber hinten gibt es einen Notausgang.","The entrance is at the front, but there is an emergency exit at the back.","L'entrée se fait à l'avant, mais il y a une sortie de secours à l'arrière.",hinten = at the back,hinten = à l'arrière,,
357,14,_____ im Schrank habe ich noch ein altes Fotoalbum gefunden.,Hinten,Hinten im Schrank habe ich noch ein altes Fotoalbum gefunden.,"At the back of the cupboard, I found an old photo album.","Au fond du placard, j'ai trouvé un vieil album photo.",hinten = at the back,hinten = à l'arrière,,
358,14,"Ich muss meine E-Mails checken, _____ kann ich nicht gehen.",vorher,"Ich muss meine E-Mails checken, vorher kann ich nicht gehen.","I have to check my emails, before that I can’t leave.","Je dois vérifier mes emails, avant cela je ne peux pas partir.","vorher = before, beforehand","vorher = avant, préalablement",,
359,14,"Sie hatte noch nie Sushi probiert, _____ mochte sie es nicht.",vorher,"Sie hatte noch nie Sushi probiert, vorher mochte sie es nicht.","She had never tried sushi before, before that she didn’t like it.","Elle n’avait jamais goûté aux sushis auparavant, avant cela elle ne les aimait pas.","vorher = before, beforehand","vorher = avant, préalablement",,
360,14,"Wir sollten die Tickets kaufen, _____ könnten sie ausverkauft sein.",vorher,"Wir sollten die Tickets kaufen, vorher könnten sie ausverkauft sein.","We should buy the tickets, before that they might sell out.","Nous devrions acheter les billets, avant qu'ils ne soient tous vendus.","vorher = before, beforehand","vorher = avant, préalablement",,
361,14,"Er hat den Vertrag genau gelesen, _____ wollte er nicht unterschreiben.",vorher,"Er hat den Vertrag genau gelesen, vorher wollte er nicht unterschreiben.","He read the contract carefully, before that he didn’t want to sign.","Il a lu attentivement le contrat, avant cela il ne voulait pas signer.","vorher = before, beforehand","vorher = avant, préalablement",,
362,14,"Ich rufe dich an, _____ muss ich aber noch etwas erledigen.",vorher,"Ich rufe dich an, vorher muss ich aber noch etwas erledigen.","I will call you, but before that, I need to take care of something.","Je t'appellerai, mais avant cela, je dois m'occuper de quelque chose.","vorher = before, beforehand","vorher = avant, préalablement",,
363,14,"Wir gehen ins Kino, und _____ essen wir in einem Restaurant.",danach,"Wir gehen ins Kino, und danach essen wir in einem Restaurant.","We are going to the cinema, and after that, we will eat in a restaurant.","Nous allons au cinéma, et après, nous mangerons au restaurant.","danach = after, afterwards, thereafter","danach = après, par la suite",,
364,14,"Er hat das Meeting beendet, _____ hat er eine Pause gemacht.",danach,"Er hat das Meeting beendet, danach hat er eine Pause gemacht.","He finished the meeting, and afterwards, he took a break.","Il a terminé la réunion, et après, il a fait une pause.","danach = after, afterwards, thereafter","danach = après, par la suite",,
365,14,"Ich mache meine Hausaufgaben, _____ treffe ich mich mit Freunden.",danach,"Ich mache meine Hausaufgaben, danach treffe ich mich mit Freunden.","I do my homework, and after that, I meet up with friends.","Je fais mes devoirs et après, je retrouve des amis.","danach = after, afterwards, thereafter","danach = après, par la suite",,
366,14,"Sie hat die Präsentation gehalten, _____ gab es viele Fragen.",danach,"Sie hat die Präsentation gehalten, danach gab es viele Fragen.","She gave the presentation, and afterwards, there were many questions.","Elle a fait la présentation, et après, il y a eu beaucoup de questions.","danach = after, afterwards, thereafter","danach = après, par la suite",,
367,14,"Ich habe das Buch gelesen, _____ habe ich den Film geschaut.",danach,"Ich habe das Buch gelesen, danach habe ich den Film geschaut.","I read the book, and after that, I watched the movie.","J'ai lu le livre, et après, j'ai regardé le film.","danach = after, afterwards, thereafter","danach = après, par la suite",,
368,14,Das Wetter ist heute _____ kalt für den Frühling.,ziemlich,Das Wetter ist heute ziemlich kalt für den Frühling.,The weather is quite cold today for spring.,Il fait assez froid aujourd’hui pour le printemps.,"ziemlich = quite, fairly","ziemlich = assez, franchement",,
369,14,"Die Prüfung war _____ schwer, aber ich habe mein Bestes gegeben.",ziemlich,"Die Prüfung war ziemlich schwer, aber ich habe mein Bestes gegeben.","The exam was quite difficult, but I did my best.","L'examen était assez difficile, mais j'ai fait de mon mieux.","ziemlich = quite, fairly","ziemlich = assez, franchement",,
370,14,Er ist ein _____ erfahrener Ingenieur in seinem Bereich.,ziemlich,Er ist ein ziemlich erfahrener Ingenieur in seinem Bereich.,He is quite an experienced engineer in his field.,C'est un ingénieur assez expérimenté dans son domaine.,"ziemlich = quite, fairly","ziemlich = assez, franchement",,
371,14,"Die Wohnung ist _____ teuer, aber sie hat eine tolle Lage.",ziemlich,"Die Wohnung ist ziemlich teuer, aber sie hat eine tolle Lage.","The apartment is quite expensive, but it has a great location.","L'appartement est assez cher, mais il est très bien situé.","ziemlich = quite, fairly","ziemlich = assez, franchement",,
372,14,"Das Buch war _____ interessant, ich konnte es kaum weglegen.",ziemlich,"Das Buch war ziemlich interessant, ich konnte es kaum weglegen.","The book was quite interesting, I could hardly put it down.","Le livre était assez intéressant, j'ai eu du mal à le lâcher.","ziemlich = quite, fairly","ziemlich = assez, franchement",,
373,14,"_____ wollte ich ins Kino gehen, aber ich habe keine Zeit.",Eigentlich,"Eigentlich wollte ich ins Kino gehen, aber ich habe keine Zeit.","Actually, I wanted to go to the cinema, but I don't have time.","En fait, je voulais aller au cinéma, mais je n'ai pas le temps.","eigentlich = actually, indeed","eigentlich = en fait, en effet",,
374,14,"Er ist _____ sehr nett, aber manchmal ein bisschen schüchtern.",eigentlich,"Er ist eigentlich sehr nett, aber manchmal ein bisschen schüchtern.","He is actually very nice, but sometimes a little shy.","Il est en fait très gentil, mais parfois un peu timide.","eigentlich = actually, indeed","eigentlich = en fait, en effet",,
375,14,"_____ esse ich kein Fleisch, aber heute mache ich eine Ausnahme.",Eigentlich,"Eigentlich esse ich kein Fleisch, aber heute mache ich eine Ausnahme.","Actually, I don’t eat meat, but today I’m making an exception.","En fait, je ne mange pas de viande, mais aujourd’hui je fais une exception.","eigentlich = actually, indeed","eigentlich = en fait, en effet",,
376,14,"Wir wollten _____ nach Italien reisen, aber die Flüge waren zu teuer.",eigentlich,"Wir wollten eigentlich nach Italien reisen, aber die Flüge waren zu teuer.","We actually wanted to travel to Italy, but the flights were too expensive.","En fait, nous voulions voyager en Italie, mais les vols étaient trop chers.","eigentlich = actually, indeed","eigentlich = en fait, en effet",,
377,14,"_____ ist es nicht schwer, aber man muss viel üben.",Eigentlich,"Eigentlich ist es nicht schwer, aber man muss viel üben.","Actually, it’s not difficult, but you have to practice a lot.","En fait, ce n’est pas difficile, mais il faut beaucoup s’entraîner.","eigentlich = actually, indeed","eigentlich = en fait, en effet",,
378,15,,leider,,unfortunately,malheureusement,leider = unfortunately,leider = malheureusement,,
379,15,,täglich,,"daily, every day","quotidiennement, tous les jours","täglich = daily, every day","täglich = quotidiennement, tous les jours",,
380,15,,wöchentlich,,weekly,"chaque semaine, hebdomadairement",wöchentlich = weekly,"wöchentlich = chaque semaine, hebdomadairement",,
381,15,,monatlich,,monthly,"chaque mois, mensuellement",monatlich = monthly,"monatlich = chaque mois, mensuellement",,
382,15,,jährlich,,yearly,"chaque année, annuellement",jährlich = yearly,"jährlich = chaque année, annuellement",,
383,15,,gar nicht,,"not at all, not even","pas du tout, même pas","gar nicht = not at all, not even","gar nicht = pas du tout, même pas",,
384,15,,wahrscheinlich,,"probably, likely","probablement, vraisemblablement","wahrscheinlich = probably, likely","wahrscheinlich = probablement, vraisemblablement",,
385,15,,lieber,,rather,plutôt,lieber = rather,lieber = plutôt,,
386,15,,glücklicherweise,,fortunately,heureusement,glücklicherweise = fortunately,glücklicherweise = heureusement,unfortunately,
387,15,,zuhause,,"at home, home","à la maison, chez soi","zuhause = at home, home","zuhause = à la maison, chez soi",,
