Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
165,10,"Er verbessert sein Deutsch, _____ er jeden Tag deutsche Bücher liest.",indem,indem,"Er verbessert sein Deutsch, indem er jeden Tag deutsche Bücher liest.",He improves his German by reading German books every day.,Il améliore son allemand en lisant des livres allemands tous les jours.,,,indem = by (+ ...ing) ● Subordinating conjunction,"indem = en (+ participe présent), par (+ infinitif) ● Conjonctions de subordination"
166,10,"Du kannst Energie sparen, _____ du das Licht ausschaltest, wenn du den Raum verlässt.",indem,indem,"Du kannst Energie sparen, indem du das Licht ausschaltest, wenn du den Raum verlässt.",You can save energy by turning off the light when you leave the room.,Vous pouvez économiser de l’énergie en éteignant la lumière lorsque vous quittez la pièce.,,,indem = by (+ ...ing) ● Subordinating conjunction,"indem = en (+ participe présent), par (+ infinitif) ● Conjonctions de subordination"
167,10,"Sie hält sich fit, _____ sie regelmäßig joggt.",indem,indem,"Sie hält sich fit, indem sie regelmäßig joggt.",She keeps fit by jogging regularly.,Elle se maintient en forme en faisant du jogging régulièrement.,,,indem = by (+ ...ing) ● Subordinating conjunction,"indem = en (+ participe présent), par (+ infinitif) ● Conjonctions de subordination"
168,10,"Wir können Geld sparen, _____ wir weniger auswärts essen.",indem,indem,"Wir können Geld sparen, indem wir weniger auswärts essen.",We can save money by eating out less.,Nous pouvons économiser de l’argent en mangeant moins au restaurant.,,,indem = by (+ ...ing) ● Subordinating conjunction,"indem = en (+ participe présent), par (+ infinitif) ● Conjonctions de subordination"
169,10,"Er löste das Problem, _____ er eine neue Strategie entwickelte.",indem,indem,"Er löste das Problem, indem er eine neue Strategie entwickelte.",He solved the problem by developing a new strategy.,Il a résolu le problème en développant une nouvelle stratégie.,,,indem = by (+ ...ing) ● Subordinating conjunction,"indem = en (+ participe présent), par (+ infinitif) ● Conjonctions de subordination"
170,10,"_____ es regnet, nehmen wir einen Regenschirm mit.",Falls,Falls,"Falls es regnet, nehmen wir einen Regenschirm mit.","In case it rains, we will take an umbrella.","En cas de pluie, nous prendrons un parapluie.",,,"falls = in case, if ● Subordinating conjunction",falls = au cas où ● Conjonctions de subordination
171,10,"_____ du Fragen hast, kannst du mich jederzeit anrufen.",Falls,Falls,"Falls du Fragen hast, kannst du mich jederzeit anrufen.","If you have any questions, you can call me anytime.","Si vous avez des questions, vous pouvez m'appeler à tout moment.",,,"falls = in case, if ● Subordinating conjunction",falls = au cas où ● Conjonctions de subordination
172,10,"Er nimmt einen Mantel mit, _____ es kalt wird.",falls,falls,"Er nimmt einen Mantel mit, falls es kalt wird.",He is taking a coat with him in case it gets cold.,Il prend un manteau avec lui au cas où il ferait froid.,,,"falls = in case, if ● Subordinating conjunction",falls = au cas où ● Conjonctions de subordination
173,10,"_____ du dich verspätet, gib mir bitte Bescheid.",Falls,Falls,"Falls du dich verspätet, gib mir bitte Bescheid.","If you are running late, please let me know.","Si vous êtes en retard, faites-le-moi savoir.",,,"falls = in case, if ● Subordinating conjunction",falls = au cas où ● Conjonctions de subordination
174,10,"_____ der Zug ausfällt, fahren wir mit dem Auto.",Falls,Falls,"Falls der Zug ausfällt, fahren wir mit dem Auto.","If the train is canceled, we will go by car.","Si le train est annulé, nous irons en voiture.",,,"falls = in case, if ● Subordinating conjunction",falls = au cas où ● Conjonctions de subordination
175,10,"Beeil dich, _____ verpassen wir den Zug.",sonst,sonst,"Beeil dich, sonst verpassen wir den Zug.","Hurry up, otherwise we will miss the train.","Dépêchez-vous, sinon nous allons rater le train.",,,"sonst = otherwise, else ● Adverb","sonst = sinon, autrement ● Adverbe"
176,10,"Du musst mehr lernen, _____ wirst du die Prüfung nicht bestehen.",sonst,sonst,"Du musst mehr lernen, sonst wirst du die Prüfung nicht bestehen.","You need to study more, otherwise, you will not pass the exam.","Vous devez étudier davantage, sinon vous ne réussirez pas l'examen.",,,"sonst = otherwise, else ● Adverb","sonst = sinon, autrement ● Adverbe"
177,10,"Ich gehe jetzt einkaufen, _____ haben wir nichts zum Abendessen.",sonst,sonst,"Ich gehe jetzt einkaufen, sonst haben wir nichts zum Abendessen.","I'm going shopping now, otherwise, we will have nothing for dinner.","Je vais faire les courses maintenant, sinon nous n'aurons rien pour le dîner.",,,"sonst = otherwise, else ● Adverb","sonst = sinon, autrement ● Adverbe"
178,10,"Er sollte sich mehr bewegen, _____ wird seine Gesundheit leiden.",sonst,sonst,"Er sollte sich mehr bewegen, sonst wird seine Gesundheit leiden.","He should exercise more, otherwise, his health will suffer.","Il devrait faire plus d’exercice, sinon sa santé en souffrira.",,,"sonst = otherwise, else ● Adverb","sonst = sinon, autrement ● Adverbe"
179,10,"Speichere deine Arbeit regelmäßig, _____ könntest du alles verlieren.",sonst,sonst,"Speichere deine Arbeit regelmäßig, sonst könntest du alles verlieren.","Save your work regularly, otherwise, you could lose everything.","Sauvegardez régulièrement votre travail, sinon vous risquez de tout perdre.",,,"sonst = otherwise, else ● Adverb","sonst = sinon, autrement ● Adverbe"
180,10,"_____ möchte ich sagen, dass ich mit dem Ergebnis sehr zufrieden bin.",Erstens,Erstens,"Erstens möchte ich sagen, dass ich mit dem Ergebnis sehr zufrieden bin.","First of all, I’d like to say that I’m very satisfied with the result.","Premièrement, je voudrais dire que je suis très satisfait du résultat.",,,erstens = firstly ● Adverb,erstens = premièrement ● Adverbe
181,10,"_____ war das Wetter schlecht, und zweitens hatten wir keine Zeit.",Erstens,Erstens,"Erstens war das Wetter schlecht, und zweitens hatten wir keine Zeit.","Firstly, the weather was bad, and secondly, we had no time.","Premièrement, le temps était mauvais, et deuxièmement, nous n’avions pas de temps.",,,erstens = firstly ● Adverb,erstens = premièrement ● Adverbe
182,10,"_____ solltest du dich entschuldigen, bevor du weiterredest.",Erstens,Erstens,"Erstens solltest du dich entschuldigen, bevor du weiterredest.","To begin with, you should apologize before you continue talking.","Pour commencer, tu devrais t’excuser avant de continuer à parler.",,,erstens = firstly ● Adverb,erstens = premièrement ● Adverbe
183,10,"_____ ist es wichtig, die Regeln zu verstehen, bevor man spielt.",Erstens,Erstens,"Erstens ist es wichtig, die Regeln zu verstehen, bevor man spielt.","Firstly, it’s important to understand the rules before playing.","Premièrement, il est important de comprendre les règles avant de jouer.",,,erstens = firstly ● Adverb,erstens = premièrement ● Adverbe
184,10,"_____ haben wir das Problem erkannt, und jetzt suchen wir eine Lösung.",Erstens,Erstens,"Erstens haben wir das Problem erkannt, und jetzt suchen wir eine Lösung.","Firstly, we have identified the problem, and now we’re looking for a solution.","Premièrement, nous avons identifié le problème, et maintenant nous cherchons une solution.",,,erstens = firstly ● Adverb,erstens = premièrement ● Adverbe
185,10,"_____ möchte ich betonen, dass wir alle Verantwortung tragen.",Zweitens,Zweitens,"Zweitens möchte ich betonen, dass wir alle Verantwortung tragen.","Secondly, I’d like to emphasize that we all share responsibility.","Deuxièmement, je voudrais souligner que nous partageons tous la responsabilité.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe
186,10,"_____ war das Hotel teurer, als wir erwartet hatten.",Zweitens,Zweitens,"Zweitens war das Hotel teurer, als wir erwartet hatten.","Secondly, the hotel was more expensive than we had expected.","Deuxièmement, l’hôtel était plus cher que ce que nous avions prévu.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe
187,10,"_____ sollten wir prüfen, ob die Daten wirklich korrekt sind.",Zweitens,Zweitens,"Zweitens sollten wir prüfen, ob die Daten wirklich korrekt sind.","Secondly, we should check whether the data is really correct.","Deuxièmement, nous devrions vérifier si les données sont vraiment correctes.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe
188,10,"_____ habe ich keine Zeit, mich um dieses Projekt zu kümmern.",Zweitens,Zweitens,"Zweitens habe ich keine Zeit, mich um dieses Projekt zu kümmern.","Secondly, I don’t have time to take care of this project.","Deuxièmement, je n’ai pas le temps de m’occuper de ce projet.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe
189,10,"_____ müssen wir überlegen, wie wir die Kosten reduzieren können.",Zweitens,Zweitens,"Zweitens müssen wir überlegen, wie wir die Kosten reduzieren können.","Secondly, we need to consider how we can reduce the costs.","Deuxièmement, nous devons réfléchir à la façon de réduire les coûts.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe
190,10,"_____ möchte ich hinzufügen, dass wir schon große Fortschritte gemacht haben.",Drittens,Drittens,"Drittens möchte ich hinzufügen, dass wir schon große Fortschritte gemacht haben.","Thirdly, I’d like to add that we’ve already made great progress.","Troisièmement, je voudrais ajouter que nous avons déjà fait de grands progrès.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe
191,10,_____ war die Kommunikation im Team nicht immer einfach.,Drittens,Drittens,Drittens war die Kommunikation im Team nicht immer einfach.,"Thirdly, communication in the team wasn’t always easy.","Troisièmement, la communication dans l’équipe n’était pas toujours facile.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe
192,10,"_____ müssen wir entscheiden, wann das Projekt beginnt.",Drittens,Drittens,"Drittens müssen wir entscheiden, wann das Projekt beginnt.","Thirdly, we need to decide when the project will start.","Troisièmement, nous devons décider quand le projet commencera.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe
193,10,"_____ finde ich, dass wir mehr auf Qualität achten sollten.",Drittens,Drittens,"Drittens finde ich, dass wir mehr auf Qualität achten sollten.","Thirdly, I think we should pay more attention to quality.","Troisièmement, je pense que nous devrions accorder plus d’attention à la qualité.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe
194,10,"_____ ist es wichtig, regelmäßig Feedback zu geben.",Drittens,Drittens,"Drittens ist es wichtig, regelmäßig Feedback zu geben.","Thirdly, it’s important to give feedback regularly.","Troisièmement, il est important de donner régulièrement du feedback.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe
195,10,"Ich wollte gestern joggen gehen, _____ hat es den ganzen Tag geregnet.",allerdings,allerdings,"Ich wollte gestern joggen gehen, allerdings hat es den ganzen Tag geregnet.","I wanted to go jogging yesterday, however it rained all day.","Je voulais aller courir hier, cependant il a plu toute la journée.",,,"allerdings = however, nonetheless, nevertheless ● Adverb","allerdings = cependant, néanmoins, toutefois ● Adverbe"
196,10,"Der Film war interessant, _____ etwas zu lang.",allerdings,allerdings,"Der Film war interessant, allerdings etwas zu lang.","The movie was interesting, however a bit too long.","Le film était intéressant, cependant un peu trop long.",,,"allerdings = however, nonetheless, nevertheless ● Adverb","allerdings = cependant, néanmoins, toutefois ● Adverbe"
197,10,"Wir haben genug Zeit, _____ müssen wir jetzt anfangen.",allerdings,allerdings,"Wir haben genug Zeit, allerdings müssen wir jetzt anfangen.","We have enough time, however we need to start now.","Nous avons assez de temps, cependant il faut commencer maintenant.",,,"allerdings = however, nonetheless, nevertheless ● Adverb","allerdings = cependant, néanmoins, toutefois ● Adverbe"
198,10,"Das Hotel war schön, _____ lag es weit vom Strand entfernt.",allerdings,allerdings,"Das Hotel war schön, allerdings lag es weit vom Strand entfernt.","The hotel was nice, however it was far from the beach.","L’hôtel était agréable, cependant il était loin de la plage.",,,"allerdings = however, nonetheless, nevertheless ● Adverb","allerdings = cependant, néanmoins, toutefois ● Adverbe"
199,10,"Ich habe die Aufgabe verstanden, _____ brauche ich noch etwas Übung.",allerdings,allerdings,"Ich habe die Aufgabe verstanden, allerdings brauche ich noch etwas Übung.","I understood the task, however I still need some practice.","J’ai compris l’exercice, cependant j’ai encore besoin d’un peu de pratique.",,,"allerdings = however, nonetheless, nevertheless ● Adverb","allerdings = cependant, néanmoins, toutefois ● Adverbe"
200,10,"Ich mag Obst, _____ Äpfel und Bananen.",zum Beispiel,zum Beispiel,"Ich mag Obst, zum Beispiel Äpfel und Bananen.","I like fruit, for example, apples and bananas.","J'aime les fruits, par exemple les pommes et les bananes.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe
201,10,"Viele europäische Länder haben den Euro, _____ Deutschland und Frankreich.",zum Beispiel,zum Beispiel,"Viele europäische Länder haben den Euro, zum Beispiel Deutschland und Frankreich.","Many European countries use the euro, for example, Germany and France.","De nombreux pays européens utilisent l’euro, par exemple l’Allemagne et la France.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe
202,10,"Man kann viele Sportarten treiben, _____ Tennis oder Fussball.",zum Beispiel,zum Beispiel,"Man kann viele Sportarten treiben, zum Beispiel Tennis oder Fussball.","You can practice many sports, for example, tennis or soccer.","Vous pouvez pratiquer de nombreux sports, par exemple le tennis ou le football.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe
203,10,"Es gibt viele schöne Städte in Italien, _____ Rom und Florenz.",zum Beispiel,zum Beispiel,"Es gibt viele schöne Städte in Italien, zum Beispiel Rom und Florenz.","There are many beautiful cities in Italy, for example, Rome and Florence.","Il y a beaucoup de belles villes en Italie, par exemple Rome et Florence.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe
204,10,"Einige Tiere sind sehr intelligent, _____ Delfine und Elefanten.",zum Beispiel,zum Beispiel,"Einige Tiere sind sehr intelligent, zum Beispiel Delfine und Elefanten.","Some animals are very intelligent, for example, dolphins and elephants.","Certains animaux sont très intelligents, comme les dauphins et les éléphants.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe
205,11,darum,deshalb,deshalb,"Ich habe mich lange vorbereitet, darum klappt die Präsentation heute besser.","therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
206,11,deswegen,deshalb,deshalb,"Sie hat viel geübt, deswegen versteht sie die Grammatik jetzt gut.","therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
207,11,obgleich,obwohl,obwohl,"Er geht joggen, obgleich er eigentlich keine Zeit hat.","although, even though","bien que, même si",Subordinating conjunction,Conjonctions de subordination,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
208,11,obschon,obwohl,obwohl,"Wir blieben im Park, obschon es leicht geregnet hat.","although, even though","bien que, même si",Subordinating conjunction,Conjonctions de subordination,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
209,11,da,weil,weil,"Ich nehme den Bus, da mein Fahrrad kaputt ist.","because, since","parce que, puisque",Subordinating conjunction,Conjonctions de subordination,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque ● Conjonctions de subordination"
210,11,statt zu,anstatt zu,anstatt zu,"Er arbeitet weiter, statt zu pausieren.",instead of,"au lieu de, à la place de",Correlative conjunction,Conjonction corrélative,anstatt zu = instead of ● Correlative conjunction,"anstatt zu = au lieu de, à la place de ● Conjonction corrélative"
211,11,dennoch,trotzdem,trotzdem,"Sie war sehr gestresst, dennoch blieb sie freundlich.","despite it, nevertheless, yet, nonetheless","malgré cela, néanmoins, pourtant",Adverb,Adverbe,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
212,11,jedoch,allerdings,allerdings,"Das Angebot war interessant, jedoch war der Preis zu hoch.","however, nonetheless, nevertheless","cependant, néanmoins, toutefois",Adverb,Adverbe,"allerdings = however, nonetheless, nevertheless ● Adverb","allerdings = cependant, néanmoins, toutefois ● Adverbe"
213,11,nachher,danach,danach,Wir treffen uns nachher im Café.,"after, afterwards, thereafter","après, par la suite",Adverb,Adverbe,"danach = after, afterwards, thereafter ● Adverb","danach = après, par la suite ● Adverbe"
214,11,davor,vorher,vorher,"Er war nervös, davor hatte er kaum geschlafen.","before, beforehand","avant, avant cela, préalablement",Adverb,Adverbe,"vorher = before, beforehand ● Adverb","vorher = avant, avant cela, préalablement ● Adverbe"
215,11,zuvor,vorher,vorher,Wir haben die Regeln zuvor genau erklärt.,"before, beforehand","avant, avant cela, préalablement",Adverb,Adverbe,"vorher = before, beforehand ● Adverb","vorher = avant, avant cela, préalablement ● Adverbe"
216,12,,entweder oder,entweder oder,,either or,"soit soit, soit ou",Correlative conjunction,Conjonction corrélative,entweder oder = either or ● Correlative conjunction,"entweder oder = soit soit, soit ou ● Conjonction corrélative"
217,12,,weder noch,weder noch,,neither nor,ni ni,Correlative conjunction,Conjonction corrélative,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
218,12,,sowohl als auch,sowohl als auch,,both and,à la fois ainsi que,Correlative conjunction,Conjonction corrélative,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
219,12,,nicht nur,nicht nur,,not only,pas seulement,Correlative conjunction,Conjonction corrélative,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative
220,12,,sowie,sowie,,as well as,ainsi que,Coordinating conjunction,Conjonction de coordination,sowie = as well as ● Coordinating conjunction,sowie = ainsi que ● Conjonction de coordination
221,12,,sondern auch,sondern auch,,but also,mais aussi,Correlative conjunction,Conjonction corrélative,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative
222,12,,einerseits,einerseits,,on the one hand,"d'un côté, d'une part",Adverb,Adverbe,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe"
223,12,,andererseits,andererseits,,on the other hand,"de l'autre côté, d'autre part",Adverb,Adverbe,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe"
224,13,"_____ ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.",Einerseits,Einerseits,"Einerseits ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.","On the one hand, the job is very demanding; on the other hand, it offers many opportunities.","D’un côté, le métier est très exigeant ; de l’autre, il offre de nombreuses opportunités.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe"
225,13,"_____ möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.",Einerseits,Einerseits,"Einerseits möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.","On the one hand, I want to move abroad; on the other hand, I miss my family.","D’un côté, j’ai envie de partir à l’étranger ; de l’autre, ma famille me manque.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe"
226,13,"_____ ist das Angebot günstig, andererseits gibt es bessere Alternativen.",Einerseits,Einerseits,"Einerseits ist das Angebot günstig, andererseits gibt es bessere Alternativen.","On the one hand, the offer is cheap; on the other hand, there are better alternatives.","D’un côté, l’offre est bon marché ; de l’autre, il existe de meilleures alternatives.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe"
227,13,"_____ liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.",Einerseits,Einerseits,"Einerseits liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.","On the one hand, I love my job; on the other hand, it is often very stressful.","D’un côté, j’aime mon travail ; de l’autre, il est souvent très stressant.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe"
228,13,"_____ wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.",Einerseits,Einerseits,"Einerseits wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.","On the one hand, owning a house would be nice; on the other hand, the costs are very high.","D’un côté, posséder une maison serait bien ; de l’autre, les coûts sont très élevés.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe"
229,13,"Ich möchte mehr Freizeit haben, _____ brauche ich das Geld.",andererseits,andererseits,"Ich möchte mehr Freizeit haben, andererseits brauche ich das Geld.","I would like to have more free time; on the other hand, I need the money.","J'aimerais avoir plus de temps libre, mais d'un autre côté, j'ai besoin d'argent.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe"
230,13,"Ein Auto zu besitzen ist praktisch, _____ sind die Kosten sehr hoch.",andererseits,andererseits,"Ein Auto zu besitzen ist praktisch, andererseits sind die Kosten sehr hoch.","Owning a car is practical; on the other hand, the costs are very high.","Posséder une voiture est pratique, mais en revanche, les coûts sont très élevés.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe"
231,13,"Er mag seinen Job, _____ würde er gerne etwas Neues ausprobieren.",andererseits,andererseits,"Er mag seinen Job, andererseits würde er gerne etwas Neues ausprobieren.","He likes his job; on the other hand, he would like to try something new.","Il aime son travail ; d’un autre côté, il aimerait essayer quelque chose de nouveau.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe"
232,13,"Eine grosse Stadt bietet viele Möglichkeiten, _____ kann es dort sehr laut sein.",andererseits,andererseits,"Eine grosse Stadt bietet viele Möglichkeiten, andererseits kann es dort sehr laut sein.","A big city offers many opportunities; on the other hand, it can be very noisy there.","Une grande ville offre de nombreuses opportunités ; en revanche, elle peut y être très bruyante.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe"
233,13,"Ich würde gerne umziehen, _____ ist meine Wohnung sehr günstig.",andererseits,andererseits,"Ich würde gerne umziehen, andererseits ist meine Wohnung sehr günstig.","I would like to move; on the other hand, my apartment is very affordable.","J'aimerais déménager, par contre mon appartement est très abordable.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe"
234,13,Wir können _____ ins Kino gehen oder zu Hause einen Film schauen.,entweder,entweder oder,Wir können entweder ins Kino gehen oder zu Hause einen Film schauen.,We can either go to the cinema or watch a movie at home.,"Nous pouvons soit aller au cinéma, soit regarder un film à la maison.",,,entweder oder = either or ● Correlative conjunction,"entweder oder = soit soit, soit ou ● Conjonction corrélative"
235,13,"_____ du kommst pünktlich, oder wir starten ohne dich.",Entweder,entweder oder,"Entweder du kommst pünktlich, oder wir starten ohne dich.","Either you arrive on time, or we will start without you.","Soit vous arrivez à l'heure, soit nous partons sans vous.",,,entweder oder = either or ● Correlative conjunction,"entweder oder = soit soit, soit ou ● Conjonction corrélative"
236,13,Sie wird _____ in Berlin studieren oder nach Hamburg ziehen.,entweder,entweder oder,Sie wird entweder in Berlin studieren oder nach Hamburg ziehen.,She will either study in Berlin or move to Hamburg.,"Elle étudiera soit à Berlin, soit déménagera à Hambourg.",,,entweder oder = either or ● Correlative conjunction,"entweder oder = soit soit, soit ou ● Conjonction corrélative"
237,13,"_____ du lernst fleißig, oder du wirst die Prüfung nicht bestehen.",Entweder,entweder oder,"Entweder du lernst fleißig, oder du wirst die Prüfung nicht bestehen.","Either you study hard, or you won’t pass the exam.","Soit vous étudiez dur, soit vous ne réussirez pas l’examen.",,,entweder oder = either or ● Correlative conjunction,"entweder oder = soit soit, soit ou ● Conjonction corrélative"
238,13,Wir können _____ mit dem Auto fahren oder den Zug nehmen.,entweder,entweder oder,Wir können entweder mit dem Auto fahren oder den Zug nehmen.,We can either go by car or take the train.,Nous pouvons y aller en voiture ou prendre le train.,,,entweder oder = either or ● Correlative conjunction,"entweder oder = soit soit, soit ou ● Conjonction corrélative"
239,13,Ich trinke _____ Kaffee noch Tee.,weder,weder noch,Ich trinke weder Kaffee noch Tee.,I drink neither coffee nor tea.,Je ne bois ni café ni thé.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
240,13,Er mag _____ klassische Musik noch Pop.,weder,weder noch,Er mag weder klassische Musik noch Pop.,He likes neither classical music nor pop.,Il n'aime ni la musique classique ni la pop.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
241,13,Sie spricht _____ Spanisch noch Italienisch.,weder,weder noch,Sie spricht weder Spanisch noch Italienisch.,She speaks neither Spanish nor Italian.,Elle ne parle ni espagnol ni italien.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
242,13,Das Hotel war _____ sauber noch günstig.,weder,weder noch,Das Hotel war weder sauber noch günstig.,The hotel was neither clean nor affordable.,L'hôtel n'était ni propre ni abordable.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
243,13,Wir haben _____ Zeit noch Geld für eine Reise.,weder,weder noch,Wir haben weder Zeit noch Geld für eine Reise.,We have neither time nor money for a trip.,Nous n'avons ni le temps ni l'argent pour un voyage.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
244,13,Er interessiert sich weder für Sport _____ für Kunst.,noch,weder noch,Er interessiert sich weder für Sport noch für Kunst.,He is interested in neither sports nor art.,Il ne s’intéresse ni au sport ni à l’art.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
245,13,Ich kann weder tanzen _____ singen.,noch,weder noch,Ich kann weder tanzen noch singen.,I can neither dance nor sing.,Je ne sais ni danser ni chanter.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
246,13,Die Aufgabe war weder einfach _____ schnell erledigt.,noch,weder noch,Die Aufgabe war weder einfach noch schnell erledigt.,The task was neither easy nor quickly done.,La tâche n’était ni facile ni rapide à réaliser.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
247,13,Weder mein Bruder _____ meine Schwester konnten kommen.,noch,weder noch,Weder mein Bruder noch meine Schwester konnten kommen.,Neither my brother nor my sister could come.,Ni mon frère ni ma sœur n’ont pu venir.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
248,13,Dieses Buch ist weder spannend _____ informativ.,noch,weder noch,Dieses Buch ist weder spannend noch informativ.,This book is neither exciting nor informative.,Ce livre n’est ni passionnant ni informatif.,,,weder noch = neither nor ● Correlative conjunction,weder noch = ni ni ● Conjonction corrélative
249,13,Er spricht _____ Deutsch als auch Englisch fließend.,sowohl,sowohl als auch,Er spricht sowohl Deutsch als auch Englisch fließend.,He speaks both German and English fluently.,Il parle couramment l'allemand et l'anglais.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
250,13,_____ das Design als auch die Funktionalität des neuen Smartphones sind beeindruckend.,Sowohl,sowohl als auch,Sowohl das Design als auch die Funktionalität des neuen Smartphones sind beeindruckend.,Both the design and the functionality of the new smartphone are impressive.,Le design et les fonctionnalités du nouveau smartphone sont tous deux impressionnants.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
251,13,Sie interessiert sich _____ für Kunst als auch für Wissenschaft.,sowohl,sowohl als auch,Sie interessiert sich sowohl für Kunst als auch für Wissenschaft.,She is interested in both art and science.,Elle s'intéresse à la fois à l'art et à la science.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
252,13,Die Firma legt Wert auf _____ nachhaltige als auch effiziente Produktionsmethoden.,sowohl,sowohl als auch,Die Firma legt Wert auf sowohl nachhaltige als auch effiziente Produktionsmethoden.,The company values both sustainable and efficient production methods.,L'entreprise valorise les méthodes de production à la fois durables et efficaces.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
253,13,Dieses Hotel bietet _____ einen Pool als auch ein Fitnessstudio für seine Gäste.,sowohl,sowohl als auch,Dieses Hotel bietet sowohl einen Pool als auch ein Fitnessstudio für seine Gäste.,This hotel offers both a pool and a gym for its guests.,Cet hôtel propose à ses clients une piscine et une salle de sport.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
