Nr,exercise,question,answer,frage_word,german,english,french,explanation_english,explanation_french
154,8,_____ Meetings musst du diese Woche noch?,Zu wie vielen,wie vielen Dative,Zu wie vielen Meetings musst du diese Woche noch?,How many meetings do you still have to go to this week?,À combien de réunions devez-vous encore assister cette semaine ?,Wie vielen = How many ● Dative,Wie vielen = Combien ● Datif
155,8,_____ Ländern wird Deutschland umgeben?,Von wie vielen,wie vielen Dative,Von wie vielen Ländern wird Deutschland umgeben?,How many countries border Germany?,Combien de pays bordent l'Allemagne ?,Wie vielen = How many ● Dative,Wie vielen = Combien ● Datif
156,8,_____ Konzerten warst du schon dieses Jahr?,Auf wie vielen,wie vielen Dative,Auf wie vielen Konzerten warst du schon dieses Jahr?,How many concerts have you been to this year?,À combien de concerts avez-vous assisté cette année ?,Wie vielen = How many ● Dative,Wie vielen = Combien ● Datif
157,9,,Welchen,welchen masculine accusative,,Which ● Masculin Accusative,Quel ● Accusatif Masculin,Welchen = Which ● Masculin Accusative,Welchen = Quel ● Accusatif Masculin
158,9,,Welchem,welchem masculine dative,,Which ● Masculin Dative,Quel ● Datif Masculin,Welchem = Which ● Masculin Dative,Welchem = Quel ● Datif Masculin
159,9,,Welches,welches neuter accusative,,Which ● Neuter Accusative,Quel ● Accusatif Neutre,Welches = Which ● Neuter Accusative,Welches = Quel ● Accusatif Neutre
160,9,,Welchem,welchem neuter dative,,Which ● Neuter Dative,Quel ● Datif Neutre,Welchem = Which ● Neuter Dative,Welchem = Quel ● Datif Neutre
161,9,,Welche,welche feminine accusative,,Which ● Feminine Accusative,Quel ● Accusatif Féminin,Welche = Which ● Feminine Accusative,Welche = Quel ● Accusatif Féminin
162,9,,Welcher,welcher feminine dative,,Which ● Feminine Dative,Quel ● Datif Féminin,Welcher = Which ● Feminine Dative,Welcher = Quel ● Datif Féminin
163,9,,Welche,welche plural accusative,,Which ● Plural Accusative,Quel ● Accusatif Pluriel,Welche = Which ● Plural Accusative,Welche = Quel ● Accusatif Pluriel
164,9,,Welchen,welchen plural dative,,Which ● Plural Dative,Quel ● Datif Pluriel,Welchen = Which ● Plural Dative,Welchen = Quel ● Datif Pluriel
165,10,_____ Film möchtest du sehen?,Welchen,welchen masculine accusative,Welchen Film möchtest du sehen?,Which movie would you like to watch?,Quel film aimerais-tu regarder ?,Welchen = Which ● Masculin Accusative,Welchen = Quel ● Accusatif Masculin
166,10,_____ Kuchen soll ich kaufen?,Welchen,welchen masculine accusative,Welchen Kuchen soll ich kaufen?,Which cake should I buy?,Quel gâteau dois-je acheter ?,Welchen = Which ● Masculin Accusative,Welchen = Quel ● Accusatif Masculin
167,10,_____ Lehrer hast du gestern getroffen?,Welchen,welchen masculine accusative,Welchen Lehrer hast du gestern getroffen?,Which teacher did you meet yesterday?,Quel professeur as-tu rencontré hier ?,Welchen = Which ● Masculin Accusative,Welchen = Quel ● Accusatif Masculin
168,10,_____ Pullover findest du schöner?,Welchen,welchen masculine accusative,Welchen Pullover findest du schöner?,Which sweater do you find nicer?,Quel pull trouvez-vous le plus joli ?,Welchen = Which ● Masculin Accusative,Welchen = Quel ● Accusatif Masculin
169,10,_____ Stift brauchst du für die Prüfung?,Welchen,welchen masculine accusative,Welchen Stift brauchst du für die Prüfung?,Which pen do you need for the exam?,De quel stylo avez-vous besoin pour l'examen ?,Welchen = Which ● Masculin Accusative,Welchen = Quel ● Accusatif Masculin
170,10,_____ Freund gehst du ins Kino?,Mit welchem,welchem masculine dative,Mit welchem Freund gehst du ins Kino?,With which friend are you going to the cinema?,Avec quel ami vas-tu au cinéma ?,Welchem = Which ● Masculin Dative,Welchem = Quel ● Datif Masculin
171,10,_____ Lehrer hast du Deutsch gelernt?,Bei welchem,welchem masculine dative,Bei welchem Lehrer hast du Deutsch gelernt?,With which teacher did you learn German?,Avec quel professeur as-tu appris l'allemand ?,Welchem = Which ● Masculin Dative,Welchem = Quel ● Datif Masculin
172,10,_____ Arzt gehst du?,Zu welchem,welchem masculine dative,Zu welchem Arzt gehst du?,To which doctor are you going?,Chez quel médecin vas-tu ?,Welchem = Which ● Masculin Dative,Welchem = Quel ● Datif Masculin
173,10,_____ Mann hast du das gehört?,Von welchem,welchem masculine dative,Von welchem Mann hast du das gehört?,From which man did you hear that?,De quel homme as-tu entendu cela ?,Welchem = Which ● Masculin Dative,Welchem = Quel ● Datif Masculin
174,10,_____ Bus musst du suchen?,Nach welchem,welchem masculine dative,Nach welchem Bus musst du suchen?,Which bus do you have to look for?,Quel bus faut-il chercher ?,Welchem = Which ● Masculin Dative,Welchem = Quel ● Datif Masculin
175,10,_____ Buch soll ich lesen?,Welches,welches neuter accusative,Welches Buch soll ich lesen?,Which book should I read?,Quel livre dois-je lire ?,Welches = Which ● Neuter Accusative,Welches = Quel ● Accusatif Neutre
176,10,_____ Essen möchtest du bestellen?,Welches,welches neuter accusative,Welches Essen möchtest du bestellen?,Which food would you like to order?,Quel plat souhaitez-vous commander ?,Welches = Which ● Neuter Accusative,Welches = Quel ● Accusatif Neutre
177,10,_____ Zimmer hast du reserviert?,Welches,welches neuter accusative,Welches Zimmer hast du reserviert?,Which room did you reserve?,Quelle chambre avez-vous réservée ?,Welches = Which ● Neuter Accusative,Welches = Quel ● Accusatif Neutre
178,10,_____ Getränk hast du genommen?,Welches,welches neuter accusative,Welches Getränk hast du genommen?,Which drink did you take?,Quelle boisson as-tu prise ?,Welches = Which ● Neuter Accusative,Welches = Quel ● Accusatif Neutre
179,10,_____ Lied hörst du gerade?,Welches,welches neuter accusative,Welches Lied hörst du gerade?,Which song are you listening to right now?,Quelle chanson écoutez-vous en ce moment ?,Welches = Which ● Neuter Accusative,Welches = Quel ● Accusatif Neutre
180,10,_____ Kind spielst du?,Mit welchem,welchem neuter dative,Mit welchem Kind spielst du?,With which child are you playing?,Avec quel enfant joues-tu ?,Welchem = Which ● Neuter Dative,Welchem = Quel ● Datif Neutre
181,10,_____ Zimmer schläfst du?,In welchem,welchem neuter dative,In welchem Zimmer schläfst du?,In which room do you sleep?,Dans quelle pièce dors-tu ?,Welchem = Which ● Neuter Dative,Welchem = Quel ● Datif Neutre
182,10,_____ Glas trinkst du?,Aus welchem,welchem neuter dative,Aus welchem Glas trinkst du?,From which glass are you drinking?,Dans quel verre bois-tu ?,Welchem = Which ● Neuter Dative,Welchem = Quel ● Datif Neutre
183,10,_____ Hotel hast du gebucht?,Bei welchem,welchem neuter dative,Bei welchem Hotel hast du gebucht?,At which hotel did you book?,Dans quel hôtel avez-vous réservé ?,Welchem = Which ● Neuter Dative,Welchem = Quel ● Datif Neutre
184,10,_____ Tier hast du geträumt?,Von welchem,welchem neuter dative,Von welchem Tier hast du geträumt?,About which animal did you dream?,De quel animal as-tu rêvé ?,Welchem = Which ● Neuter Dative,Welchem = Quel ● Datif Neutre
185,10,_____ Straße soll ich nehmen?,Welche,welche feminine accusative,Welche Straße soll ich nehmen?,Which street should I take?,Quelle rue dois-je prendre ?,Welche = Which ● Feminine Accusative,Welche = Quel ● Accusatif Féminin
186,10,_____ Lampe hast du gekauft?,Welche,welche feminine accusative,Welche Lampe hast du gekauft?,Which lamp did you buy?,Quelle lampe as-tu achetée ?,Welche = Which ● Feminine Accusative,Welche = Quel ● Accusatif Féminin
187,10,_____ Tasche gehört dir?,Welche,welche feminine accusative,Welche Tasche gehört dir?,Which bag belongs to you?,Quel sac t'appartient ?,Welche = Which ● Feminine Accusative,Welche = Quel ● Accusatif Féminin
188,10,_____ Blume möchtest du schenken?,Welche,welche feminine accusative,Welche Blume möchtest du schenken?,Which flower would you like to give (as a gift)?,Quelle fleur aimeriez-vous offrir (en cadeau) ?,Welche = Which ● Feminine Accusative,Welche = Quel ● Accusatif Féminin
189,10,_____ Sprache lernst du gerade?,Welche,welche feminine accusative,Welche Sprache lernst du gerade?,Which language are you currently learning?,Quelle langue apprenez-vous actuellement ?,Welche = Which ● Feminine Accusative,Welche = Quel ● Accusatif Féminin
190,10,_____ Freundin gehst du ins Café?,Mit welcher,welcher feminine dative,Mit welcher Freundin gehst du ins Café?,With which (female) friend are you going to the café?,Avec quelle amie (femme) vas-tu au café ?,Welcher = Which ● Feminine Dative,Welcher = Quel ● Datif Féminin
191,10,_____ Schule lernst du?,Bei welcher,welcher feminine dative,Bei welcher Schule lernst du?,At which school are you studying?,Dans quelle école étudies-tu ?,Welcher = Which ● Feminine Dative,Welcher = Quel ● Datif Féminin
192,10,_____ Ärztin gehst du?,Zu welcher,welcher feminine dative,Zu welcher Ärztin gehst du?,To which (female) doctor are you going?,Chez quel médecin (femme) vas-tu aller ?,Welcher = Which ● Feminine Dative,Welcher = Quel ● Datif Féminin
193,10,_____ Frau hast du das Geschenk bekommen?,Von welcher,welcher feminine dative,Von welcher Frau hast du das Geschenk bekommen?,From which woman did you get the gift?,De quelle femme as-tu reçu ce cadeau ?,Welcher = Which ● Feminine Dative,Welcher = Quel ● Datif Féminin
194,10,_____ Musik tanzt du gern?,Nach welcher,welcher feminine dative,Nach welcher Musik tanzt du gern?,To which music do you like to dance?,Sur quelle musique aimes-tu danser ?,Welcher = Which ● Feminine Dative,Welcher = Quel ● Datif Féminin
195,10,_____ Bücher hast du gekauft?,Welche,welche plural accusative,Welche Bücher hast du gekauft?,Which books did you buy?,Quels livres as-tu achetés ?,Welche = Which ● Plural Accusative,Welche = Quel ● Accusatif Pluriel
196,10,_____ Filme schaust du am liebsten?,Welche,welche plural accusative,Welche Filme schaust du am liebsten?,Which movies do you like watching the most?,Quels films aimez-vous le plus regarder ?,Welche = Which ● Plural Accusative,Welche = Quel ● Accusatif Pluriel
197,10,_____ Sprachen lernst du?,Welche,welche plural accusative,Welche Sprachen lernst du?,Which languages are you learning?,Quelles langues apprenez-vous ?,Welche = Which ● Plural Accusative,Welche = Quel ● Accusatif Pluriel
198,10,_____ Schuhe möchtest du anziehen?,Welche,welche plural accusative,Welche Schuhe möchtest du anziehen?,Which shoes would you like to wear?,Quelles chaussures aimeriez-vous porter ?,Welche = Which ● Plural Accusative,Welche = Quel ● Accusatif Pluriel
199,10,_____ Freunde hast du eingeladen?,Welche,welche plural accusative,Welche Freunde hast du eingeladen?,Which friends did you invite?,Quels amis as-tu invités ?,Welche = Which ● Plural Accusative,Welche = Quel ● Accusatif Pluriel
200,10,_____ Freunden gehst du aus?,Mit welchen,welchen plural dative,Mit welchen Freunden gehst du aus?,With which friends are you going out?,Avec quels amis sors-tu ?,Welchen = Which ● Plural Dative,Welchen = Quel ● Datif Pluriel
201,10,_____ Kursen gehst du am Wochenende?,Zu welchen,welchen plural dative,Zu welchen Kursen gehst du am Wochenende?,To which courses do you go on the weekend?,À quels cours participez-vous le week-end ?,Welchen = Which ● Plural Dative,Welchen = Quel ● Datif Pluriel
202,10,_____ Firmen hast du dich beworben?,Bei welchen,welchen plural dative,Bei welchen Firmen hast du dich beworben?,At which companies did you apply?,Dans quelles entreprises avez-vous postulé ?,Welchen = Which ● Plural Dative,Welchen = Quel ● Datif Pluriel
203,10,_____ Lehrern hast du das gelernt?,Von welchen,welchen plural dative,Von welchen Lehrern hast du das gelernt?,From which teachers did you learn that?,De quels professeurs avez-vous appris cela ?,Welchen = Which ● Plural Dative,Welchen = Quel ● Datif Pluriel
204,10,_____ Ländern warst du schon?,In welchen,welchen plural dative,In welchen Ländern warst du schon?,In which countries have you already been?,Dans quels pays êtes-vous déjà allé ?,Welchen = Which ● Plural Dative,Welchen = Quel ● Datif Pluriel
205,11,,Was für,was für,,What kind of,"Quel genre de, quel type de",Was für = What kind of,"Was für = Quel genre de, quel type de"
206,11,,Wie lange noch,wie lange noch,,How much longer,Combien de temps encore,Wie lange noch = How much longer,Wie lange noch = Combien de temps encore
207,11,,"Wie kommt es, dass","wie kommt es, dass",,"How is it that, How come that",Comment se fait-il que,"Wie kommt es, dass = How is it that, How come that","Wie kommt es, dass = Comment se fait-il que"
208,11,,Unter welchen Bedingungen,unter welchen bedingungen,,Unter what conditions,Dans quelles conditions,Unter welchen Bedingungen = Unter what conditions,Unter welchen Bedingungen = Dans quelles conditions
209,11,,Inwieweit,inwieweit,,To what extent,Dans quelle mesure,Inwieweit = To what extent,Inwieweit = Dans quelle mesure
210,11,,Was sonst,was sonst,,What else,Que ... d'autre,Was sonst = What else,Was sonst = Que ... d'autre
211,11,,nicht wahr,nicht wahr,,isn't it,n'est-ce pas,nicht wahr = isn't it,nicht wahr = n'est-ce pas
212,12,_____ Musik hörst du am liebsten?,Was für,was für,Was für Musik hörst du am liebsten?,What kind of music do you like to listen to most?,Quel genre de musique aimes-tu le plus écouter ?,Was für = What kind of,"Was für = Quel genre de, quel type de"
213,12,_____ Filme schaust du normalerweise?,Was für,was für,Was für Filme schaust du normalerweise?,What kind of movies do you usually watch?,Quel genre de films regardez-vous habituellement ?,Was für = What kind of,"Was für = Quel genre de, quel type de"
214,12,_____ ein Auto möchtest du später kaufen?,Was für,was für,Was für ein Auto möchtest du später kaufen?,What kind of car would you like to buy later?,Quel type de voiture aimeriez-vous acheter plus tard ?,Was für = What kind of,"Was für = Quel genre de, quel type de"
215,12,_____ Leute arbeiten in deiner Firma?,Was für,was für,Was für Leute arbeiten in deiner Firma?,What kind of people work at your company?,Quel genre de personnes travaillent dans votre entreprise ?,Was für = What kind of,"Was für = Quel genre de, quel type de"
216,12,_____ Bücher interessieren dich?,Was für,was für,Was für Bücher interessieren dich?,What kind of books are you interested in?,Quel genre de livres vous intéresse ?,Was für = What kind of,"Was für = Quel genre de, quel type de"
217,12,_____ müssen wir auf eine Entscheidung der Behörde warten?,Wie lange noch,wie lange noch,Wie lange noch müssen wir auf eine Entscheidung der Behörde warten?,How much longer do we have to wait for a decision from the authorities?,Combien de temps encore devons-nous attendre une décision des autorités ?,Wie lange noch = How much longer,Wie lange noch = Combien de temps encore
218,12,"_____ willst du dir das gefallen lassen, ohne etwas zu unternehmen?",Wie lange noch,wie lange noch,"Wie lange noch willst du dir das gefallen lassen, ohne etwas zu unternehmen?",How much longer are you going to put up with this without taking action?,Combien de temps encore allez-vous supporter cela sans agir ?,Wie lange noch = How much longer,Wie lange noch = Combien de temps encore
219,12,_____ soll diese Unsicherheit in der Wirtschaft andauern?,Wie lange noch,wie lange noch,Wie lange noch soll diese Unsicherheit in der Wirtschaft andauern?,How much longer is this uncertainty in the economy supposed to continue?,Combien de temps encore cette incertitude économique est-elle censée perdurer ?,Wie lange noch = How much longer,Wie lange noch = Combien de temps encore
220,12,"_____ können wir das aktuelle System aufrechterhalten, bevor es zusammenbricht?",Wie lange noch,wie lange noch,"Wie lange noch können wir das aktuelle System aufrechterhalten, bevor es zusammenbricht?",How much longer can we maintain the current system before it collapses?,Combien de temps encore pouvons-nous maintenir le système actuel avant qu’il ne s’effondre ?,Wie lange noch = How much longer,Wie lange noch = Combien de temps encore
221,12,"_____ wird es dauern, bis endlich nachhaltige Lösungen umgesetzt werden?",Wie lange noch,wie lange noch,"Wie lange noch wird es dauern, bis endlich nachhaltige Lösungen umgesetzt werden?",How much longer will it take until sustainable solutions are finally implemented?,Combien de temps faudra-t-il encore avant que des solutions durables soient enfin mises en œuvre ?,Wie lange noch = How much longer,Wie lange noch = Combien de temps encore
222,12,_____ wäre ein Kompromiss für beide Seiten akzeptabel?,Unter welchen Bedingungen,unter welchen bedingungen,Unter welchen Bedingungen wäre ein Kompromiss für beide Seiten akzeptabel?,Under what conditions would a compromise be acceptable for both sides?,Dans quelles conditions un compromis serait-il acceptable pour les deux parties ?,Unter welchen Bedingungen = Unter what conditions,Unter welchen Bedingungen = Dans quelles conditions
223,12,"Kannst du mir sagen, _____ das Experiment durchgeführt wurde?",unter welchen Bedingungen,unter welchen bedingungen,"Kannst du mir sagen, unter welchen Bedingungen das Experiment durchgeführt wurde?",Can you tell me under what conditions the experiment was conducted?,Pouvez-vous me dire dans quelles conditions l’expérience a été menée ?,Unter welchen Bedingungen = Unter what conditions,Unter welchen Bedingungen = Dans quelles conditions
224,12,_____ darf man diese Substanz überhaupt verwenden?,Unter welchen Bedingungen,unter welchen bedingungen,Unter welchen Bedingungen darf man diese Substanz überhaupt verwenden?,Under what conditions is one even allowed to use this substance?,Dans quelles conditions est-il permis d’utiliser cette substance ?,Unter welchen Bedingungen = Unter what conditions,Unter welchen Bedingungen = Dans quelles conditions
225,12,_____ wäre eine Verlängerung des Vertrags möglich?,Unter welchen Bedingungen,unter welchen bedingungen,Unter welchen Bedingungen wäre eine Verlängerung des Vertrags möglich?,Under what conditions would an extension of the contract be possible?,Dans quelles conditions une prolongation du contrat serait-elle possible ?,Unter welchen Bedingungen = Unter what conditions,Unter welchen Bedingungen = Dans quelles conditions
226,12,_____ sind die Ergebnisse wissenschaftlich gültig?,Unter welchen Bedingungen,unter welchen bedingungen,Unter welchen Bedingungen sind die Ergebnisse wissenschaftlich gültig?,Under what conditions are the results scientifically valid?,Dans quelles conditions les résultats sont-ils scientifiquement valables ?,Unter welchen Bedingungen = Unter what conditions,Unter welchen Bedingungen = Dans quelles conditions
227,12,_____ trotz aller Bemühungen keine Fortschritte erkennbar sind?,"Wie kommt es, dass","wie kommt es, dass","Wie kommt es, dass trotz aller Bemühungen keine Fortschritte erkennbar sind?",How is it that no progress is visible despite all the efforts?,Comment se fait-il qu’aucun progrès ne soit visible malgré tous les efforts ?,"Wie kommt es, dass = How is it that, How come that","Wie kommt es, dass = Comment se fait-il que"
228,12,"_____ du immer so ruhig bleibst, selbst in stressigen Situationen?","Wie kommt es, dass","wie kommt es, dass","Wie kommt es, dass du immer so ruhig bleibst, selbst in stressigen Situationen?","How is it that you always stay so calm, even in stressful situations?","Comment fais-tu pour rester toujours aussi calme, même dans les situations stressantes ?","Wie kommt es, dass = How is it that, How come that","Wie kommt es, dass = Comment se fait-il que"
229,12,_____ so viele Menschen falsche Informationen glauben?,"Wie kommt es, dass","wie kommt es, dass","Wie kommt es, dass so viele Menschen falsche Informationen glauben?",How is it that so many people believe false information?,Comment se fait-il que tant de gens croient à de fausses informations ?,"Wie kommt es, dass = How is it that, How come that","Wie kommt es, dass = Comment se fait-il que"
230,12,_____ das Unternehmen plötzlich so hohe Verluste macht?,"Wie kommt es, dass","wie kommt es, dass","Wie kommt es, dass das Unternehmen plötzlich so hohe Verluste macht?",How is it that the company is suddenly incurring such heavy losses?,Comment se fait-il que l’entreprise subisse soudainement des pertes aussi lourdes ?,"Wie kommt es, dass = How is it that, How come that","Wie kommt es, dass = Comment se fait-il que"
231,12,_____ bestimmte Entscheidungen nicht transparent kommuniziert wurden?,"Wie kommt es, dass","wie kommt es, dass","Wie kommt es, dass bestimmte Entscheidungen nicht transparent kommuniziert wurden?",How is it that certain decisions were not communicated transparently?,Comment se fait-il que certaines décisions n’aient pas été communiquées de manière transparente ?,"Wie kommt es, dass = How is it that, How come that","Wie kommt es, dass = Comment se fait-il que"
232,12,"Es ist unklar, _____ die neuen Maßnahmen tatsächlich Wirkung zeigen.",inwieweit,inwieweit,"Es ist unklar, inwieweit die neuen Maßnahmen tatsächlich Wirkung zeigen.",It is unclear to what extent the new measures are actually effective.,On ne sait pas dans quelle mesure les nouvelles mesures sont réellement efficaces.,Inwieweit = To what extent,Inwieweit = Dans quelle mesure
233,12,"Wir müssen prüfen, _____ das Budget gekürzt werden kann, ohne die Qualität zu gefährden.",inwieweit,inwieweit,"Wir müssen prüfen, inwieweit das Budget gekürzt werden kann, ohne die Qualität zu gefährden.",We need to examine to what extent the budget can be cut without compromising quality.,Nous devons examiner dans quelle mesure le budget peut être réduit sans compromettre la qualité.,Inwieweit = To what extent,Inwieweit = Dans quelle mesure
234,12,"Der Bericht zeigt, _____ externe Faktoren den Markt beeinflussen.",inwieweit,inwieweit,"Der Bericht zeigt, inwieweit externe Faktoren den Markt beeinflussen.",The report shows to what extent external factors influence the market.,Le rapport montre dans quelle mesure les facteurs externes influencent le marché.,Inwieweit = To what extent,Inwieweit = Dans quelle mesure
235,12,"_____ er für den Fehler verantwortlich ist, bleibt fraglich.",Inwieweit,inwieweit,"Inwieweit er für den Fehler verantwortlich ist, bleibt fraglich.",To what extent he is responsible for the error remains questionable.,Dans quelle mesure il est responsable de l’erreur reste discutable.,Inwieweit = To what extent,Inwieweit = Dans quelle mesure
236,12,"Die Studie untersucht, _____ Digitalisierung die Arbeitswelt verändert hat.",inwieweit,inwieweit,"Die Studie untersucht, inwieweit Digitalisierung die Arbeitswelt verändert hat.",The study investigates to what extent digitalization has changed the working world.,L’étude examine dans quelle mesure la numérisation a changé le monde du travail.,Inwieweit = To what extent,Inwieweit = Dans quelle mesure
237,12,_____ könnte man in einer solchen Situation tun?,Was sonst,was sonst,Was sonst könnte man in einer solchen Situation tun?,What else could one do in such a situation?,Que pourrait-on faire d’autre dans une telle situation ?,Was sonst = What else,Was sonst = Que ... d'autre
238,12,_____ hast du noch von deinem Chef verlangt?,Was sonst,was sonst,Was sonst hast du noch von deinem Chef verlangt?,What else did you ask of your boss?,Qu’as-tu demandé d’autre à ton patron ?,Was sonst = What else,Was sonst = Que ... d'autre
239,12,"_____ würde dich davon abhalten, das Angebot anzunehmen?",Was sonst,was sonst,"Was sonst würde dich davon abhalten, das Angebot anzunehmen?",What else would stop you from accepting the offer?,Qu’est-ce qui pourrait vous empêcher d’accepter l’offre ?,Was sonst = What else,Was sonst = Que ... d'autre
240,12,_____ erwartest du von diesem Projekt?,Was sonst,was sonst,Was sonst erwartest du von diesem Projekt?,What else do you expect from this project?,Qu’attendez-vous d’autre de ce projet ?,Was sonst = What else,Was sonst = Que ... d'autre
241,12,_____ sollte ich dir dazu noch sagen?,Was sonst,was sonst,Was sonst sollte ich dir dazu noch sagen?,What else should I tell you about it?,Que devrais-je vous dire d'autre à ce sujet ?,Was sonst = What else,Was sonst = Que ... d'autre
242,12,"Du hast die E-Mail gestern abgeschickt, _____?",nicht wahr,nicht wahr,"Du hast die E-Mail gestern abgeschickt, nicht wahr?","You sent the email yesterday, didn’t you?","Tu as envoyé l’e-mail hier, n’est-ce pas ?",nicht wahr = isn't it,nicht wahr = n'est-ce pas
243,12,"Das Problem lässt sich mit etwas Geduld lösen, _____?",nicht wahr,nicht wahr,"Das Problem lässt sich mit etwas Geduld lösen, nicht wahr?","The problem can be solved with a bit of patience, can’t it?","Le problème peut être résolu avec un peu de patience, n’est-ce pas ?",nicht wahr = isn't it,nicht wahr = n'est-ce pas
244,12,"In dieser Situation wäre ein Kompromiss sinnvoll, _____?",nicht wahr,nicht wahr,"In dieser Situation wäre ein Kompromiss sinnvoll, nicht wahr?","In this situation, a compromise would be sensible, wouldn’t it?","Dans cette situation, un compromis serait judicieux, n’est-ce pas ?",nicht wahr = isn't it,nicht wahr = n'est-ce pas
245,12,"Er hat deutlich gemacht, dass er mehr Zeit braucht, _____?",nicht wahr,nicht wahr,"Er hat deutlich gemacht, dass er mehr Zeit braucht, nicht wahr?","He made it clear that he needs more time, didn’t he?","Il a clairement indiqué qu’il avait besoin de plus de temps, n’est-ce pas ?",nicht wahr = isn't it,nicht wahr = n'est-ce pas
246,12,"Die Erklärung war verständlich genug, _____?",nicht wahr,nicht wahr,"Die Erklärung war verständlich genug, nicht wahr?","The explanation was clear enough, wasn’t it?","L’explication était assez claire, n’est-ce pas ?",nicht wahr = isn't it,nicht wahr = n'est-ce pas
247,13,,Wie vieler,wie vieler genitive,,How many ● Genitive,Combien ● Génitif,Wie vieler = How many ● Genitive,Wie vieler = Combien ● Génitif
248,13,,Welches,welches masculine genitive,,Which ● Masculine Genitive,Quel ● Génitif Masculin,Welches = Which ● Masculine Genitive,Welches = Quel ● Génitif Masculin
249,13,,Welches,welches neuter genitive,,Which ● Neuter Genitive,"Quel, Quelle ● Génitif Neutre",Welches = Which ● Neuter Genitive,"Welches = Quel, Quelle ● Génitif Neutre"
250,13,,Welcher,welcher feminine genitive,,Which ● Feminine Genitive,Quelle ● Génitif Féminin,Welcher = Which ● Feminine Genitive,Welcher = Quelle ● Génitif Féminin
251,13,,Welcher,welcher plural genitive,,Which ● Plural Genitive,"Quels, Quelles ● Génitif Pluriel",Welcher = Which ● Plural Genitive,"Welcher = Quels, Quelles ● Génitif Pluriel"
252,14,"_____ Opfer bedarf es noch, bevor politische Konsequenzen gezogen werden?",Wie vieler,wie vieler genitive,"Wie vieler Opfer bedarf es noch, bevor politische Konsequenzen gezogen werden?",How many victims are still required before political consequences are drawn?,De combien de victimes faudra-t-il encore avant que des conséquences politiques ne soient tirées ?,Wie vieler = How many ● Genitive,Wie vieler = Combien ● Génitif
253,14,"_____ Jahre intensiver Forschung bedurfte es, um zu diesem Ergebnis zu gelangen?",Wie vieler,wie vieler genitive,"Wie vieler Jahre intensiver Forschung bedurfte es, um zu diesem Ergebnis zu gelangen?",How many years of intensive research were required to reach this result?,De combien d’années de recherche intensive a-t-il fallu pour parvenir à ce résultat ?,Wie vieler = How many ● Genitive,Wie vieler = Combien ● Génitif
254,14,"_____ Fehler hat er sich schuldig gemacht, ohne jemals Verantwortung zu übernehmen?",Wie vieler,wie vieler genitive,"Wie vieler Fehler hat er sich schuldig gemacht, ohne jemals Verantwortung zu übernehmen?",Of how many mistakes has he been guilty without ever taking responsibility?,De combien d’erreurs s’est-il rendu coupable sans jamais assumer de responsabilité ?,Wie vieler = How many ● Genitive,Wie vieler = Combien ● Génitif
255,14,_____ Menschen gedenkt man an diesem Jahrestag offiziell?,Wie vieler,wie vieler genitive,Wie vieler Menschen gedenkt man an diesem Jahrestag offiziell?,How many people are officially commemorated on this anniversary?,De combien de personnes se souvient-on officiellement à l’occasion de cet anniversaire ?,Wie vieler = How many ● Genitive,Wie vieler = Combien ● Génitif
256,14,"_____ Mittel hat sich der Staat bereits bedient, um die Krise zu bewältigen?",Wie vieler,wie vieler genitive,"Wie vieler Mittel hat sich der Staat bereits bedient, um die Krise zu bewältigen?",Of how many means has the state already made use in order to manage the crisis?,De combien de moyens l’État s’est-il déjà servi pour gérer la crise ?,Wie vieler = How many ● Genitive,Wie vieler = Combien ● Génitif
257,14,"_____ Fortschritts bedarf es, um diese Technologie marktreif zu machen?",Welches,welches masculine genitive,"Welches Fortschritts bedarf es, um diese Technologie marktreif zu machen?",What degree of progress is required to make this technology market-ready?,De quel progrès a-t-on besoin pour rendre cette technologie commercialisable ?,Welches = Which ● Masculine Genitive,Welches = Quel ● Génitif Masculin
258,14,_____ Verrats wurde er schließlich für schuldig befunden?,Welches,welches masculine genitive,Welches Verrats wurde er schließlich für schuldig befunden?,Of what act of betrayal was he ultimately found guilty?,De quelle trahison a-t-il finalement été reconnu coupable ?,Welches = Which ● Masculine Genitive,Welches = Quel ● Génitif Masculin
259,14,_____ Moments gedenkt man bei dieser Zeremonie besonders?,Welches,welches masculine genitive,Welches Moments gedenkt man bei dieser Zeremonie besonders?,Which moment is particularly commemorated at this ceremony?,De quel moment se souvient-on particulièrement lors de cette cérémonie ?,Welches = Which ● Masculine Genitive,Welches = Quel ● Génitif Masculin
260,14,_____ Einflusses hat sich der Konzern über Jahre hinweg bedient?,Welches,welches masculine genitive,Welches Einflusses hat sich der Konzern über Jahre hinweg bedient?,What kind of influence did the corporation make use of over the years?,De quelle influence le groupe s’est-il servi pendant des années ?,Welches = Which ● Masculine Genitive,Welches = Quel ● Génitif Masculin
261,14,_____ Umfangs entbehrte der Bericht aus wissenschaftlicher Sicht?,Welches,welches masculine genitive,Welches Umfangs entbehrte der Bericht aus wissenschaftlicher Sicht?,Of what scope did the report lack from a scientific point of view?,De quelle ampleur le rapport manquait-il d’un point de vue scientifique ?,Welches = Which ● Masculine Genitive,Welches = Quel ● Génitif Masculin
